GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AB4001,AB4002,AB4003,AB4004,AB4005,AB4006,AB4007,AB4008,AB4009,AB4010,AB4011,AB4012,AB4013,AB4014,AB4015,AB4016,AB4017,AB4018,AB4019,AB4020,AB4021,AB4022
"G1702010","1840","Illinois","170","Winnebago","2010","Winnebago","21","2010",68315,334,50117,750,1399,127377,1828,0,67,79136,0,2942,0,2000,342,0,0,20,13823,0,410,0
"G1800010","1840","Indiana","180","Adams","0010","Adams","22","10",3948,4,4577,147,509,36688,398,0,5,7851,56,418,0,5000,120,0,0,0,15588,0,275,0
"G1800030","1840","Indiana","180","Allen","0030","Allen","22","30",34819,0,36770,946,675,84275,1460,100,400,33959,97,1850,0,0,0,0,0,0,24865,0,467,0
"G1800050","1840","Indiana","180","Bartholomew","0050","Bartholomew","22","50",37149,0,53277,2127,65,470630,12094,2,23,9719,1142,1294,0,0,1454,0,0,0,20758,0,15,0
"G1800090","1840","Indiana","180","Blackford","0090","Blackford","22","90",3259,0,1579,21,187,22753,551,2,303,3297,80,137,0,4000,0,0,0,0,7468,0,0,0
"G1800110","1840","Indiana","180","Boone","0110","Boone","22","110",35017,0,40017,1256,148,247752,9029,0,11,12058,2807,1514,0,720000,4097,0,0,0,92135,0,0,0
"G1800130","1840","Indiana","180","Brown","0130","Brown","22","130",3328,0,9375,36,30,66578,2991,0,0,3132,407,71,10,3200,3562,0,0,0,23215,0,0,0
"G1800150","1840","Indiana","180","Carroll","0150","Carroll","22","150",69172,150,76636,2214,835,298331,10400,259,544,24438,2298,2124,0,28000,3773,0,0,0,77654,0,586,0
"G1800170","1840","Indiana","180","Cass","0170","Cass","22","170",23990,0,37304,1860,720,118755,4583,0,216,29211,1285,1248,0,6000,0,0,0,0,20400,0,1620,0
"G1800190","1840","Indiana","180","Clark","0190","Clark","22","190",100105,1100,153586,1281,92,336570,25436,50,457,29958,3643,3376,0,301000,1295,0,0,0,16435,0,19445,0
"G1800210","1840","Indiana","180","Clay","0210","Clay","22","210",10874,0,25597,268,309,202250,7069,22,343,9750,1427,583,0,122000,8100,0,0,2,21375,0,300,0
"G1800230","1840","Indiana","180","Clinton","0230","Clinton","22","230",54281,215,83905,1751,793,415560,11811,36,47,16116,1104,2736,0,156000,4828,0,0,0,110290,0,0,0
"G1800250","1840","Indiana","180","Crawford","0250","Crawford","22","250",22201,0,41302,517,7,94396,6719,29,96,3742,1089,283,0,0,21100,0,0,0,295,0,4624,0
"G1800270","1840","Indiana","180","Daviess","0270","Daviess","22","270",35286,0,40892,168,0,202423,15144,0,0,11245,1542,2584,0,0,1900,0,0,0,0,0,401,0
"G1800290","1840","Indiana","180","Dearborn","0290","Dearborn","22","290",131318,3229,152802,1218,1125,640299,37116,9676,199,40514,1341,10668,0,21000,2850,0,0,0,34366,0,6974,10
"G1800310","1840","Indiana","180","Decatur","0310","Decatur","22","310",77511,0,112195,3198,317,643015,28205,0,0,10929,1516,3671,0,18000,0,0,0,0,33325,0,0,0
"G1800330","1840","Indiana","180","DeKalb","0330","De Kalb","22","330",9058,227,6958,181,619,31730,698,35,112,18612,67,247,0,1842000,135,0,0,0,41761,0,0,0
"G1800350","1840","Indiana","180","Delaware","0350","Delaware","22","350",58902,0,82548,3683,1583,345888,11515,0,0,19883,897,5125,0,32500,0,0,0,0,99778,0,0,0
"G1800370","1840","Indiana","180","Dubois","0370","Dubois","22","370",11822,0,17339,146,31,122173,4688,0,0,6808,582,106,0,0,0,0,0,0,6374,0,0,0
"G1800390","1840","Indiana","180","Elkhart","0390","Elkhart","22","390",44504,174,45877,8763,758,98862,4626,194,360,23398,33,2002,0,0,0,0,0,0,73697,0,920,0
"G1800410","1840","Indiana","180","Fayette","0410","Fayette","22","410",70439,75,123815,7989,393,711855,27235,34,87,13421,3373,4875,0,9500,808,0,0,150,28721,0,2794,0
"G1800430","1840","Indiana","180","Floyd","0430","Floyd","22","430",30116,0,56541,160,0,76091,1634,0,0,10888,412,1188,0,0,0,0,0,0,0,0,3815,100
"G1800450","1840","Indiana","180","Fountain","0450","Fountain","22","450",111118,0,80769,7976,2103,711128,27792,9,649,19503,3973,3842,0,0,0,0,0,0,118613,0,2335,0
"G1800470","1840","Indiana","180","Franklin","0470","Franklin","22","470",30230,1087,97535,1659,1067,370361,17817,2845,8483,4144,201,0,0,0,0,0,0,0,0,0,1955,955
"G1800490","1840","Indiana","180","Fulton","0490","Fulton","22","490",9122,0,9824,190,791,64626,2109,0,0,13392,121,24,0,0,0,0,0,0,22748,0,16,0
"G1800510","1840","Indiana","180","Gibson","0510","Gibson","22","510",62611,2,73620,557,69,490962,21805,47,1490,7928,2012,901,0,36000,6690,0,0,0,12365,0,2282,0
"G1800530","1840","Indiana","180","Grant","0530","Grant","22","530",22733,0,30707,437,1299,217543,7676,99,389,14085,1945,907,0,25000,246,0,140,2,50187,0,667,0
"G1800550","1840","Indiana","180","Greene","0550","Greene","22","550",27958,0,66435,673,151,368113,14081,2,726,10274,2609,1179,120,0,215889,0,0,0,30152,0,433,0
"G1800570","1840","Indiana","180","Hamilton","0570","Hamilton","22","570",40662,0,57143,2572,1370,410569,13221,142,971,27140,4115,3836,0,2480000,12747,0,0,0,139353,0,1966,0
"G1800590","1840","Indiana","180","Hancock","0590","Hancock","22","590",28531,0,66392,2130,1641,286095,11979,126,164,9374,1716,1612,0,12500,10304,0,0,0,39080,0,344,0
"G1800610","1840","Indiana","180","Harrison","0610","Harrison","22","610",66203,0,73878,27,0,164949,21532,0,0,18011,536,674,0,0,0,0,0,0,0,0,6930,240
"G1800630","1840","Indiana","180","Hendricks","0630","Hendricks","22","630",61370,0,113654,1050,250,540000,23258,0,250,16007,7441,4980,0,44000,20700,0,0,0,124765,0,250,0
"G1800650","1840","Indiana","180","Henry","0650","Henry","22","650",78234,71,118736,562,135,624543,30891,0,0,9388,2664,2976,0,44000,0,0,0,0,45050,0,688,0
"G1800690","1840","Indiana","180","Huntington","0690","Huntington","22","690",6427,40,9435,240,317,46702,259,0,278,5935,654,0,0,650000,0,0,0,0,8518,0,6,0
"G1800710","1840","Indiana","180","Jackson","0710","Jackson","22","710",38945,0,72212,2544,24,386498,14987,0,186,10346,1692,877,0,0,22986,0,0,0,28678,0,506,30
"G1800730","1840","Indiana","180","Jasper","0730","Jasper","22","730",5078,0,9505,12,71,47070,5251,25,0,3062,216,3130,0,4500,210,0,0,0,1440,0,0,0
"G1800750","1840","Indiana","180","Jay","0750","Jay","22","750",9703,0,5773,185,484,62842,953,0,110,8758,377,197,1,2000,45,0,0,0,16018,0,0,0
"G1800770","1840","Indiana","180","Jefferson","0770","Jefferson","22","770",85483,458,84264,2126,123,250007,26761,22,703,12958,1639,4065,0,125500,13180,0,0,0,6603,0,10270,0
"G1800790","1840","Indiana","180","Jennings","0790","Jennings","22","790",56691,0,81238,1971,133,170115,12168,0,268,8128,1387,3253,0,20000,21425,0,0,0,0,0,0,0
"G1800810","1840","Indiana","180","Johnson","0810","Johnson","22","810",46118,273,81747,2462,377,497028,20343,64,176,12598,1523,2088,300,24000,49484,0,0,25,29824,0,1754,0
"G1800830","1840","Indiana","180","Knox","0830","Knox","22","830",51679,348,124216,601,177,668283,29596,0,817,15769,885,2124,0,102000,22113,0,0,0,37601,0,8195,0
"G1800850","1840","Indiana","180","Kosciusko","0850","Kosciusko","22","850",30600,20,38445,523,936,146161,5052,46,547,21432,523,67,0,0,1569,0,0,50,68946,0,225,0
"G1800870","1840","Indiana","180","Lagrange","0870","Lagrange","22","870",58142,1619,72107,640,349,97953,5928,75,294,27278,0,2526,0,0,386,0,0,0,26084,0,126,0
"G1800890","1840","Indiana","180","Lake","0890","Lake","22","890",15838,495,29176,10,924,27675,481,3,77,16583,0,1657,0,1000,3020,0,0,16,0,0,0,0
"G1800910","1840","Indiana","180","LaPorte","0910","Laporte","22","910",221461,7545,166994,76,6439,270742,6550,137,499,76877,717,2260,0,4000,436,0,0,0,56964,0,2418,0
"G1800930","1840","Indiana","180","Lawrence","0930","Lawrence","22","930",75610,0,196453,1901,0,551705,26913,47,55,9659,2841,1620,28,0,11523,0,0,0,43937,0,3392,0
"G1800950","1840","Indiana","180","Madison","0950","Madison","22","950",46991,22,60867,1558,577,375715,12708,23,35,16590,1034,1297,9,2000,870,0,0,0,47887,0,413,0
"G1800970","1840","Indiana","180","Marion","0970","Marion","22","970",78649,1190,148790,2269,1068,604966,24151,173,415,29190,3242,7176,0,1042000,15905,0,0,4,97064,0,13053,0
"G1800990","1840","Indiana","180","Marshall","0990","Marshall","22","990",5540,0,16198,0,563,37570,0,170,0,13634,180,47,0,0,0,0,0,0,13655,0,0,0
"G1801010","1840","Indiana","180","Martin","1010","Martin","22","1010",9884,0,19164,132,87,87032,6713,12,145,5696,1737,239,0,2500,11705,0,0,0,15287,0,100,0
"G1801030","1840","Indiana","180","Miami","1030","Miami","22","1030",8127,0,12487,716,535,179143,4240,27,707,19216,519,220,0,0,1490,0,0,0,20548,0,539,0
"G1801050","1840","Indiana","180","Monroe","1050","Monroe","22","1050",57636,0,95221,2248,0,407968,14721,0,113,7301,2407,1152,0,67000,7365,0,0,0,20929,0,1102,304
"G1801070","1840","Indiana","180","Montgomery","1070","Montgomery","22","1070",84709,38,98621,3795,1771,993785,25545,119,96,21875,3775,3469,0,13500,17332,0,0,0,175482,0,1270,0
"G1801090","1840","Indiana","180","Morgan","1090","Morgan","22","1090",49217,0,78757,1078,0,475753,19920,0,0,0,0,2486,0,0,0,0,0,0,36222,0,0,0
"G1801130","1840","Indiana","180","Noble","1130","Noble","22","1130",18319,40,20551,575,361,66716,2378,20,317,23297,80,120,0,0,390,0,0,0,38444,0,0,0
"G1801170","1840","Indiana","180","Orange","1170","Orange","22","1170",140864,0,149796,1991,0,529927,23128,187,80,6426,2642,1290,0,2346000,268527,0,0,0,22968,0,488,0
"G1801190","1840","Indiana","180","Owen","1190","Owen","22","1190",47082,22,45265,1990,181,387050,15927,27,206,8975,2994,957,0,87000,41744,0,0,0,69139,0,1004,20
"G1801210","1840","Indiana","180","Parke","1210","Parke","22","1210",107188,0,137140,4025,275,942850,36636,0,2700,17500,5567,4641,170,0,15150,0,0,0,125576,0,1580,0
"G1801230","1840","Indiana","180","Perry","1230","Perry","22","1230",13452,0,29736,0,0,170295,8131,630,191,7554,1068,510,0,38000,21419,0,0,0,6076,0,9637,50
"G1801250","1840","Indiana","180","Pike","1250","Pike","22","1250",28947,39,31934,355,72,239037,6477,4,165,8641,725,419,5,2000,11440,0,40,0,6732,0,288,0
"G1801270","1840","Indiana","180","Porter","1270","Porter","22","1270",30712,200,53312,60,1740,60444,2126,5,221,17638,35,239,0,1520000,0,0,0,0,16406,0,0,0
"G1801290","1840","Indiana","180","Posey","1290","Posey","22","1290",55103,1500,66157,1821,0,607799,19792,2300,0,6820,1021,1254,0,0,0,0,0,0,0,0,10224,0
"G1801310","1840","Indiana","180","Pulaski","1310","Pulaski","22","1310",1399,0,1825,84,299,13075,428,2,61,3287,94,424,0,0,150,0,0,0,2123,0,21,0
"G1801330","1840","Indiana","180","Putnam","1330","Putnam","22","1330",72274,0,98208,2212,633,824792,35335,127,245,16666,9117,3735,0,102000,27582,0,0,0,232075,0,1535,0
"G1801350","1840","Indiana","180","Randolph","1350","Randolph","22","1350",63639,154,115846,2626,807,401291,18957,138,737,22310,3583,3620,0,54000,8325,0,0,0,167782,0,1576,2
"G1801370","1840","Indiana","180","Ripley","1370","Ripley","22","1370",22173,0,58413,972,660,115883,11363,20000,0,8422,769,3524,3,0,5051,0,0,0,19886,0,435,0
"G1801390","1840","Indiana","180","Rush","1390","Rush","22","1390",99712,120,224064,5375,238,1156707,82242,0,168,13385,5654,6240,0,22000,12239,0,0,0,414155,0,1900,0
"G1801410","1840","Indiana","180","St Joseph","1410","St Joseph","22","1410",102620,141,133647,928,1920,197438,6519,233,342,40687,180,2518,0,3092000,1412,0,0,0,72018,0,2553,0
"G1801430","1840","Indiana","180","Scott","1430","Scott","22","1430",15229,290,31254,152,0,52253,5240,0,32,2497,649,646,0,20000,6615,0,0,0,3795,0,0,0
"G1801450","1840","Indiana","180","Shelby","1450","Shelby","22","1450",61611,528,85725,2775,523,779101,27428,0,110,14399,1618,3242,0,20000,116254,0,0,0,47561,0,1126,0
"G1801470","1840","Indiana","180","Spencer","1470","Spencer","22","1470",18338,0,17719,253,244,53542,19165,0,0,11954,842,545,149,0,96407,0,0,0,2706,0,4559,0
"G1801490","1840","Indiana","180","Starke","1490","Starke","22","1490",545,0,174,0,66,1700,147,2,5,885,38,8,0,0,0,0,0,0,0,0,0,0
"G1801510","1840","Indiana","180","Steuben","1510","Steuben","22","1510",22149,545,26940,203,702,31906,1150,95,379,15866,0,1622,1,1000,1177,0,0,0,16043,0,142,0
"G1801530","1840","Indiana","180","Sullivan","1530","Sullivan","22","1530",44458,0,86700,2614,658,538543,20638,40,1663,14558,3349,3426,62,0,20446,0,0,0,85625,0,5064,8054
"G1801550","1840","Indiana","180","Switzerland","1550","Switzerland","22","1550",76889,510,79531,335,70,262385,17245,0,200,35246,111,2092,0,5500,55167,0,0,130,3148,0,6617,500
"G1801570","1840","Indiana","180","Tippecanoe","1570","Tippecanoe","22","1570",137243,660,156353,7588,1843,990160,28650,114,202,25355,2293,3825,0,8000,0,0,0,0,67110,0,2288,0
"G1801610","1840","Indiana","180","Union","1610","Union","22","1610",80890,574,136027,3052,451,512340,25233,15,0,7124,2188,4783,0,0,0,0,0,0,61364,0,391,0
"G1801630","1840","Indiana","180","Vanderburgh","1630","Vanderburgh","22","1630",4225,10,4315,0,26,105729,991,0,50,3503,38,324,0,0,0,0,0,0,335,0,3793,0
"G1801650","1840","Indiana","180","Vermillion","1650","Vermillion","22","1650",51185,35,83027,760,200,508297,15798,0,0,17363,1266,1941,0,16000,890,0,0,0,29051,0,2459,0
"G1801670","1840","Indiana","180","Vigo","1670","Vigo","22","1670",17654,0,104683,760,2268,718485,14708,0,30,31110,2596,2638,0,0,0,0,0,0,10117,0,7205,0
"G1801690","1840","Indiana","180","Wabash","1690","Wabash","22","1690",8705,0,9556,14,251,75644,2146,0,0,12818,1579,707,0,0,0,0,0,0,20190,0,0,0
"G1801710","1840","Indiana","180","Warren","1710","Warren","22","1710",32198,150,89955,1447,422,414046,18556,0,225,15540,3,2277,0,34000,830,0,0,0,8200,0,1550,0
"G1801730","1840","Indiana","180","Warrick","1730","Warrick","22","1730",20500,0,32500,215,0,250800,7470,0,0,13688,6312,686,0,16000,516000,0,0,0,0,0,10000,0
"G1801750","1840","Indiana","180","Washington","1750","Washington","22","1750",52508,0,50047,1830,0,164401,26790,0,0,8219,2532,2228,0,144000,71161,0,0,0,0,0,0,0
"G1801770","1840","Indiana","180","Wayne","1770","Wayne","22","1770",124750,4115,284437,2938,195,882477,51707,0,0,16584,4828,9099,0,0,0,0,0,0,66116,0,3806,0
"G1801790","1840","Indiana","180","Wells","1790","Wells","22","1790",4746,0,3911,25,152,48381,1225,0,0,6489,338,103,0,0,0,0,0,0,7519,0,0,0
"G1801810","1840","Indiana","180","White","1810","White","22","1810",17981,0,36528,636,605,124782,4466,0,179,7610,239,1229,0,0,288,0,0,0,440,0,0,0
"G1801830","1840","Indiana","180","Whitley","1830","Whitley","22","1830",5688,0,3074,160,130,27135,994,0,293,86656,3435,136,0,0,0,0,0,0,22595,0,0,0
"G1950015","1840","Iowa Territory","195","Cedar","0015","Cedar","31","310",14464,0,12120,385,521,49317,1981,71,146,8659,72,1261,0,2500,357,0,0,0,3315,0,50,0
"G1950035","1840","Iowa Territory","195","Clayton","0035","Clayton","31","430",1586,425,2960,50,180,23270,132,0,50,14000,0,1443,0,0,0,0,0,0,13529,0,3078,0
"G1950055","1840","Iowa Territory","195","Clinton","0055","Clinton","31","450",5413,0,3555,38,0,18515,145,0,25,17566,8,905,280,40000,200,0,0,0,805,0,300,0
"G1950075","1840","Iowa Territory","195","Delaware","0075","Delaware","31","550",450,0,690,100,30,3775,70,0,45,1479,0,233,0,0,0,0,0,0,0,0,0,0
"G1950095","1840","Iowa Territory","195","Des Moines","0095","Des Moines","31","570",15810,3,50933,151,221,190721,6657,0,91,16651,777,44,0,0,0,0,0,0,1070,0,417,0
"G1950115","1840","Iowa Territory","195","Dubuque","0115","Dubuque","31","610",10799,50,17951,715,850,16762,24,0,100,49195,0,4307,0,0,0,0,0,0,1245,0,1013,0
"G1950135","1840","Iowa Territory","195","Henry","0135","Henry","31","870",11375,0,22500,315,280,283200,5415,0,40,15061,1163,323,0,4000,0,0,0,0,5450,0,0,0
"G1950155","1840","Iowa Territory","195","Jackson","0155","Jackson","31","970",6199,20,8495,150,361,42519,560,0,401,19922,176,1935,0,0,0,0,0,0,0,0,0,0
"G1950175","1840","Iowa Territory","195","Jefferson","0175","Jefferson","31","1010",4223,65,10795,0,831,89675,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950195","1840","Iowa Territory","195","Johnson","0195","Johnson","31","1030",580,0,0,0,0,10700,0,0,200,2400,0,0,0,0,0,0,0,0,0,0,0,0
"G1950215","1840","Iowa Territory","195","Jones","0215","Jones","31","1050",3537,0,2286,0,90,14856,150,0,0,7333,0,537,0,0,0,0,0,0,0,0,0,0
"G1950235","1840","Iowa Territory","195","Lee","0235","Lee","31","1110",21395,125,30473,728,1210,213714,1694,0,0,9397,244,545,0,7000,3520,0,0,0,4363,0,347,0
"G1950255","1840","Iowa Territory","195","Linn","0255","Linn","31","1130",5908,37,2993,40,295,24654,716,0,515,5663,6,1562,0,4000,30,0,0,0,4804,0,6,0
"G1950275","1840","Iowa Territory","195","Louisa","0275","Louisa","31","1150",10553,0,15725,470,0,82625,0,0,0,5701,434,0,0,0,0,0,0,0,0,0,0,0
"G1950295","1840","Iowa Territory","195","Muscatine","0295","Muscatine","31","1390",5693,0,8860,0,86,44345,883,0,0,8590,57,1288,0,0,0,0,0,0,0,0,0,0
"G1950315","1840","Iowa Territory","195","Scott","0315","Scott","31","1630",25740,0,11720,80,176,46057,420,0,0,29797,205,2528,0,0,0,0,0,0,0,0,2093,0
"G1950335","1840","Iowa Territory","195","Van Buren","0335","Van Buren","31","1770",8758,3,12174,470,1046,151481,2610,12,519,15584,2566,1042,0,9000,3969,0,0,0,6869,0,0,0
"G1950355","1840","Iowa Territory","195","Washington","0355","Washington","31","1830",2210,0,2155,100,35,100055,344,0,0,1338,19,0,0,0,0,0,0,0,0,0,0,0
"G2100010","1840","Kentucky","210","Adair","0010","Adair","51","10",27888,0,104647,1164,0,308103,18107,0,1205,5504,7204,698,0,192000,1030116,0,8806,0,24705,0,1794,0
"G2100030","1840","Kentucky","210","Allen","0030","Allen","51","30",47157,0,103418,1594,0,312665,16361,0,1007,6976,9141,108,0,72000,508870,0,17869,0,35113,0,0,0
"G2100050","1840","Kentucky","210","Anderson","0050","Anderson","51","50",24526,0,43823,7685,0,221574,17269,0,0,4022,1678,489,20,8000,34476,0,0,0,0,0,959,0
"G2100090","1840","Kentucky","210","Barren","0090","Barren","51","90",80346,22,229403,5087,1,697578,35856,61,1127,11953,16156,704,0,164000,2321288,0,15040,49,22390,0,814,0
"G2100110","1840","Kentucky","210","Bath","0110","Bath","51","110",71122,0,79942,22624,0,1029797,30737,0,373,8599,3182,1574,65,14000,20223,0,0,0,68430,0,6527,0
"G2100150","1840","Kentucky","210","Boone","0150","Boone","51","150",101502,600,59423,7977,94,555270,30135,0,0,10941,2369,1692,0,0,1430247,0,0,0,0,0,11727,0
"G2100170","1840","Kentucky","210","Bourbon","0170","Bourbon","51","170",90099,0,157822,121817,3,1256436,59787,0,150,12469,3016,3359,333,8000,4361,0,0,0,37159,0,10540,72
"G2100230","1840","Kentucky","210","Bracken","0230","Bracken","51","230",183569,1335,76425,8531,15,282018,13771,81,132,5306,815,793,100,60000,343485,0,0,0,4466,0,8391,17
"G2100250","1840","Kentucky","210","Breathitt","0250","Breathitt","51","250",1628,0,7749,522,12,91185,3584,0,312,1372,1622,73,0,6000,2648,0,4270,0,12377,0,0,0
"G2100270","1840","Kentucky","210","Breckinridge","0270","Breckinridge","51","270",75430,0,119932,3028,0,356352,20021,0,0,12965,7562,450,0,0,1807104,0,0,0,4115,0,5666,0
"G2100290","1840","Kentucky","210","Bullitt","0290","Bullitt","51","290",39681,0,77105,3561,6,246655,15058,15,180,5111,1341,769,0,16000,2540,0,0,0,12171,0,7806,0
"G2100310","1840","Kentucky","210","Butler","0310","Butler","51","310",15313,0,35424,0,0,183088,5666,0,314,1936,2167,113,0,44000,170776,0,16409,0,10254,0,206,0
"G2100330","1840","Kentucky","210","Caldwell","0330","Caldwell","51","330",53109,50,101367,2113,0,601265,16048,40,516,7699,8296,135,0,0,2567625,0,17154,0,8205,0,4957,0
"G2100350","1840","Kentucky","210","Calloway","0350","Calloway","51","350",54911,0,65983,384,0,157818,10223,0,0,4520,6908,63,0,20000,143192,0,93471,0,2421,0,160,0
"G2100370","1840","Kentucky","210","Campbell","0370","Campbell","51","370",27702,148,19167,1110,0,112147,4657,0,0,13610,1761,881,0,104000,28010,0,0,0,0,0,9349,0
"G2100410","1840","Kentucky","210","Carroll","0410","Carroll","51","410",31888,0,18030,1895,0,196229,9588,0,0,5120,516,895,0,6000,255080,0,0,0,50,0,5181,0
"G2100430","1840","Kentucky","210","Carter","0430","Carter","51","430",2155,0,25550,1532,0,99080,3809,0,115,2932,1594,224,0,12000,3246,0,0,0,7413,0,0,0
"G2100450","1840","Kentucky","210","Casey","0450","Casey","51","450",14636,0,59948,10200,15,287025,15431,0,268,6289,6974,762,90,30000,51800,0,0,0,22642,0,0,0
"G2100470","1840","Kentucky","210","Christian","0470","Christian","51","470",103833,0,290585,13284,0,1022850,29463,0,314,10691,12155,457,150,54000,3409502,0,43040,3,19190,0,1658,0
"G2100490","1840","Kentucky","210","Clark","0490","Clark","51","490",76751,0,94770,146511,0,1004455,56882,0,119,14164,6966,2229,300,44000,82410,0,0,0,71155,0,1745,0
"G2100510","1840","Kentucky","210","Clay","0510","Clay","51","510",2476,0,25797,668,0,153140,5198,0,1093,3412,3549,164,0,2000,3543,0,0,0,13231,0,0,0
"G2100530","1840","Kentucky","210","Clinton","0530","Clinton","51","530",11938,0,41082,893,0,158177,6286,0,234,2943,4430,29,0,130000,84932,0,7228,0,4009,0,0,0
"G2100570","1840","Kentucky","210","Cumberland","0570","Cumberland","51","570",32937,0,56509,3265,0,496006,11919,0,430,7848,11142,466,0,10000,1480846,0,45595,0,1931,0,6675,0
"G2100590","1840","Kentucky","210","Daviess","0590","Daviess","51","590",33808,2508,52325,2538,0,361805,13551,0,0,7899,2718,1226,0,0,8598900,0,0,0,0,0,4267,0
"G2100610","1840","Kentucky","210","Edmonson","0610","Edmonson","51","610",6733,0,24780,760,3495,57050,2982,0,0,654,561,29,0,0,94122,0,2525,0,2060,0,70,0
"G2100650","1840","Kentucky","210","Estill","0650","Estill","51","650",6815,182,32610,1839,5,296697,8906,0,1024,3972,4223,277,90,22000,23876,0,3173,0,39573,0,35,0
"G2100670","1840","Kentucky","210","Fayette","0670","Fayette","51","670",109998,370,135648,103563,0,1006959,20573,87,134,29684,5520,3986,1300,24000,52900,0,0,20,655,0,16337,0
"G2100690","1840","Kentucky","210","Fleming","0690","Fleming","51","690",149286,0,127705,12873,6,594812,38060,24,65,11766,4839,2871,180,32000,20173,0,0,50,93010,0,5992,0
"G2100710","1840","Kentucky","210","Floyd","0710","Floyd","51","710",5957,0,5881,0,0,82300,3817,0,1490,1463,2506,74,2,0,2365,0,1148,0,1857,0,730,0
"G2100730","1840","Kentucky","210","Franklin","0730","Franklin","51","730",45401,0,57495,12295,0,268550,16020,0,0,8607,1474,1126,140,16000,113300,0,0,0,932,0,3480,0
"G2100770","1840","Kentucky","210","Gallatin","0770","Gallatin","51","770",27669,0,13635,2940,0,144400,6481,0,30,4564,695,726,6,0,198780,0,0,0,2183,0,4611,0
"G2100790","1840","Kentucky","210","Garrard","0790","Garrard","51","790",57941,330,140130,38184,0,576495,29212,0,710,10459,6095,1169,60,8000,472480,0,0,0,35888,0,2569,136
"G2100810","1840","Kentucky","210","Grant","0810","Grant","51","810",32303,87,26383,3532,48,244476,10538,25,193,4926,1190,383,10,18000,248325,0,0,1,25185,0,1210,10
"G2100830","1840","Kentucky","210","Graves","0830","Graves","51","830",36719,18,82843,1293,0,386840,10656,0,647,4489,7658,137,25,14000,464372,0,123332,0,0,0,0,0
"G2100850","1840","Kentucky","210","Grayson","0850","Grayson","51","850",18907,0,58509,473,0,141845,11138,0,633,2951,1891,288,50,40000,242372,0,0,0,30138,0,0,0
"G2100870","1840","Kentucky","210","Green","0870","Green","51","870",75221,50,143860,1050,0,338664,29546,10,181,5835,7136,1798,0,52000,1961711,0,2398,10,9147,0,198,1140
"G2100890","1840","Kentucky","210","Greenup","0890","Greenup","51","890",11635,30,30465,465,0,189800,6420,4,253,4225,1185,865,0,40000,3000,0,0,0,4925,0,4665,0
"G2100910","1840","Kentucky","210","Hancock","0910","Hancock","51","910",10274,0,19800,923,0,134400,4937,0,0,2820,1064,551,0,0,270497,0,0,0,2479,0,2161,0
"G2100930","1840","Kentucky","210","Hardin","0930","Hardin","51","930",120894,0,205894,7510,3,706349,40463,0,0,15733,7013,1574,0,64000,322488,0,0,0,1625,0,0,0
"G2100950","1840","Kentucky","210","Harlan","0950","Harlan","51","950",2420,0,20367,429,13,128462,5265,0,3055,2233,4827,32,0,0,4211,0,0,0,7830,0,0,0
"G2100970","1840","Kentucky","210","Harrison","0970","Harrison","51","970",350979,375,240266,111225,158,1716484,81039,0,0,24185,3931,4185,620,46000,31521,0,0,0,307636,0,3624,0
"G2100990","1840","Kentucky","210","Hart","0990","Hart","51","990",21869,0,64209,1950,0,144772,9113,0,578,2065,2844,55,5,6000,346624,0,2471,0,9192,0,354,0
"G2101010","1840","Kentucky","210","Henderson","1010","Henderson","51","1010",37006,0,46776,2146,14,503670,10973,0,0,6572,5036,750,0,0,2977810,0,0,50,0,0,7820,0
"G2101030","1840","Kentucky","210","Henry","1030","Henry","51","1030",96399,0,81041,15250,50,590962,28002,0,446,8003,3780,1778,15,14000,1596305,0,0,150,14642,0,590,0
"G2101050","1840","Kentucky","210","Hickman","1050","Hickman","51","1050",76858,0,161092,4208,10,593703,18797,48,1081,5538,10329,971,0,120000,1410438,0,57624,50,11929,0,5048,128
"G2101070","1840","Kentucky","210","Hopkins","1070","Hopkins","51","1070",41595,0,58452,0,0,424595,14750,0,0,4996,5927,404,110,48000,1716555,0,47536,0,5019,0,471,0
"G2101110","1840","Kentucky","210","Jefferson","1110","Jefferson","51","1110",115175,1750,156092,16969,5,665899,29450,15,166,56275,4329,5470,300,25000,75360,0,0,0,3944,0,15080,223
"G2101130","1840","Kentucky","210","Jessamine","1130","Jessamine","51","1130",61806,400,76160,59121,4,477912,29797,55,331,13213,5828,1504,590,14000,73793,0,170,33,1603,0,4295,5
"G2101170","1840","Kentucky","210","Kenton","1170","Kenton","51","1170",53987,340,28989,4738,26,294635,13087,3,101,9453,1370,1054,0,0,601774,0,0,233,5589,0,7627,0
"G2101210","1840","Kentucky","210","Knox","1210","Knox","51","1210",7873,150,56231,2530,20,263141,8169,28,1128,4499,6677,176,0,20000,9355,0,3618,0,10056,0,185,13
"G2101250","1840","Kentucky","210","Laurel","1250","Laurel","51","1250",1084,0,28335,627,36,90900,5899,0,552,2214,3386,158,0,6000,4106,0,0,0,300,0,0,0
"G2101270","1840","Kentucky","210","Lawrence","1270","Lawrence","51","1270",5496,0,39458,2092,5,141896,19375,0,0,2803,3203,215,2,0,0,0,0,0,0,0,0,0
