year,specification,polynomial,kernel,bw_method,coef,se,p_value,fisher_p,n_studies,mean_n_treat,mean_n_control,version
1860,Baseline,ALL,ALL,ALL,-0.30078787894175096,0.0477312759963428,2.944107180269384e-10,5.9115861871128494e-5,16,378.1875,405.6875,population_controls
1860,No_Geography,ALL,ALL,ALL,-0.45342634527687814,0.0481957038745001,0,1.7763568394002505e-14,16,396.75,480.5625,population_controls
1860,No_Border,ALL,ALL,ALL,-0.5451171260433701,0.06720654546486526,4.440892098500626e-16,2.489892958479345e-9,16,315.125,327.6875,population_controls
