year,specification,polynomial,kernel,bw_method,coef,se,p_value,fisher_p,n_studies,mean_n_treat,mean_n_control,version
1850,Baseline,ALL,ALL,ALL,-0.4655335704385852,0.05803535366968433,1.1102230246251565e-15,3.6415050974625274e-9,16,429.5625,454.0625,population_controls
1850,No_Geography,ALL,ALL,ALL,-0.44122862961580395,0.058310101540929096,3.8191672047105385e-14,7.579052263562147e-8,16,429.125,460.625,population_controls
1850,No_Border,ALL,ALL,ALL,-0.66324102746365865,0.0830006730676658,1.3322676295501878e-15,7.061621287718367e-9,16,367.8125,366,population_controls
