polynomial,kernel,bw_method,coef,se,p_value,n_treat,n_control,bw_left,bw_right,year,include_geology,exclude_border,include_enslaved,include_pc_black,version
1,triangular,mserd,-0.3093009008286914,0.18437945125755043,0.09344011733681082,314,319,104.50040816716371,104.50040816716371,1870,TRUE,FALSE,FALSE,TRUE,population_controls
2,triangular,mserd,-0.18853807614911003,0.19425672034576555,0.33176673117585187,496,474,181.81500073189935,181.81500073189935,1870,TRUE,FALSE,FALSE,TRUE,population_controls
1,epanechnikov,mserd,-0.33197348329038356,0.18946430388205954,0.07974474932844254,291,290,95.85103252586715,95.85103252586715,1870,TRUE,FALSE,FALSE,TRUE,population_controls
2,epanechnikov,mserd,-0.17633413868982628,0.19320492288419958,0.3614112205058824,471,442,168.06716964957897,168.06716964957897,1870,TRUE,FALSE,FALSE,TRUE,population_controls
1,triangular,msetwo,-0.3071237915484796,0.1796782153272171,0.08739558076649447,371,323,106.58359531030723,129.0002659203541,1870,TRUE,FALSE,FALSE,TRUE,population_controls
2,triangular,msetwo,-0.20743851019625414,0.193898288029218,0.284695128551512,491,528,208.16089107317697,178.75933417188034,1870,TRUE,FALSE,FALSE,TRUE,population_controls
1,epanechnikov,msetwo,-0.31395921454704206,0.18409891706757076,0.08812296510446202,336,292,96.74707034552631,114.86690776667996,1870,TRUE,FALSE,FALSE,TRUE,population_controls
2,epanechnikov,msetwo,-0.20465019335441503,0.19463328818325015,0.2930448331815843,473,515,200.0401275070502,169.16334163709388,1870,TRUE,FALSE,FALSE,TRUE,population_controls
1,triangular,cerrd,-0.318443486131857,0.19584049890362787,0.10394223118999449,273,271,86.89904170041916,86.89904170041916,1870,TRUE,FALSE,FALSE,TRUE,population_controls
2,triangular,cerrd,-0.20816916755659245,0.20765032932638536,0.31610283513346155,413,405,147.25953569170107,147.25953569170107,1870,TRUE,FALSE,FALSE,TRUE,population_controls
1,epanechnikov,cerrd,-0.3301981203888607,0.19868108944849208,0.09652271562003611,252,253,79.70651042022274,79.70651042022274,1870,TRUE,FALSE,FALSE,TRUE,population_controls
2,epanechnikov,cerrd,-0.21542568143576157,0.21345016536899092,0.3128522773264722,388,384,136.12459515433738,136.12459515433738,1870,TRUE,FALSE,FALSE,TRUE,population_controls
1,triangular,certwo,-0.31851267012100104,0.18975936953450712,0.09324791834543675,321,272,88.63135040233568,107.27230337364784,1870,TRUE,FALSE,FALSE,TRUE,population_controls
2,triangular,certwo,-0.19577473650926044,0.2014928387180256,0.33123897557648063,408,445,168.59816871660706,144.78462417699836,1870,TRUE,FALSE,FALSE,TRUE,population_controls
1,epanechnikov,certwo,-0.33197766930668704,0.19399484684947907,0.08703117926069283,291,253,80.45162547978458,95.51947579044413,1870,TRUE,FALSE,FALSE,TRUE,population_controls
2,epanechnikov,certwo,-0.19698542858722268,0.20128204767234237,0.32775109691011406,390,435,162.02082434240273,137.01243046643972,1870,TRUE,FALSE,FALSE,TRUE,population_controls
1,triangular,mserd,-0.37154844572046986,0.17752900275442818,0.03635909023253522,317,321,105.82997906874809,105.82997906874809,1870,FALSE,FALSE,FALSE,TRUE,population_controls
2,triangular,mserd,-0.2331637342363428,0.1885944699262552,0.21633841987338173,461,439,165.083945380368,165.083945380368,1870,FALSE,FALSE,FALSE,TRUE,population_controls
1,epanechnikov,mserd,-0.39233886434641,0.1837347880734986,0.0327320830287663,287,285,93.91380829090363,93.91380829090363,1870,FALSE,FALSE,FALSE,TRUE,population_controls
2,epanechnikov,mserd,-0.24037191792657514,0.18789029292098952,0.20078418944884457,439,422,155.02534953356175,155.02534953356175,1870,FALSE,FALSE,FALSE,TRUE,population_controls
1,triangular,msetwo,-0.3858765539545746,0.1725741386736219,0.025351475138980464,356,355,121.0861368263681,122.3564683182601,1870,FALSE,FALSE,FALSE,TRUE,population_controls
2,triangular,msetwo,-0.2978523304053384,0.18794594380046645,0.11301710489317043,438,561,223.22276118521108,154.74506127080545,1870,FALSE,FALSE,FALSE,TRUE,population_controls
1,epanechnikov,msetwo,-0.3911550652261643,0.17162447209454929,0.022659137085723084,318,330,110.90465849561616,106.63585470667435,1870,FALSE,FALSE,FALSE,TRUE,population_controls
2,epanechnikov,msetwo,-0.3292794274320822,0.1894087343486776,0.08212986755439533,406,561,223.9288682611146,143.6596548868915,1870,FALSE,FALSE,FALSE,TRUE,population_controls
1,triangular,cerrd,-0.36904536804658095,0.18950778046017605,0.05148811521894655,276,272,88.00466836013157,88.00466836013157,1870,FALSE,FALSE,FALSE,TRUE,population_controls
2,triangular,cerrd,-0.2633312114942088,0.20961940323419365,0.20903081431764942,384,382,133.70835766579253,133.70835766579253,1870,FALSE,FALSE,FALSE,TRUE,population_controls
1,epanechnikov,cerrd,-0.37164986465257027,0.19343212302627635,0.054688212999992665,251,249,78.09557958722667,78.09557958722667,1870,FALSE,FALSE,FALSE,TRUE,population_controls
2,epanechnikov,cerrd,-0.29608739057976985,0.21374396251903324,0.16597808672453607,362,364,125.56148228065673,125.56148228065673,1870,FALSE,FALSE,FALSE,TRUE,population_controls
1,triangular,certwo,-0.3789089484053416,0.1813327219514402,0.036655683866610944,309,304,100.69117851277012,101.74754366218363,1870,FALSE,FALSE,FALSE,TRUE,population_controls
2,triangular,certwo,-0.2594181495052374,0.19924242460080413,0.1929086431786897,362,475,180.79740415052748,125.33446515188753,1870,FALSE,FALSE,FALSE,TRUE,population_controls
1,epanechnikov,certwo,-0.40282885006926494,0.18587848759063663,0.03022248115093628,278,280,92.2246019170058,88.6748075671812,1870,FALSE,FALSE,FALSE,TRUE,population_controls
2,epanechnikov,certwo,-0.2770664545727545,0.20164075180044566,0.1694231128566664,339,475,181.36930965737562,116.3559331799512,1870,FALSE,FALSE,FALSE,TRUE,population_controls
1,triangular,mserd,-0.5258032094366398,0.2661723813178285,0.0482200943590202,237,245,102.7983780558125,102.7983780558125,1870,TRUE,TRUE,FALSE,TRUE,population_controls
2,triangular,mserd,-0.28839163801627243,0.3091098557187949,0.3508330929264435,441,415,187.67716117622518,187.67716117622518,1870,TRUE,TRUE,FALSE,TRUE,population_controls
1,epanechnikov,mserd,-0.5432619812018707,0.2662552759711184,0.04131247692648461,227,226,98.04728524313303,98.04728524313303,1870,TRUE,TRUE,FALSE,TRUE,population_controls
2,epanechnikov,mserd,-0.2924404572988503,0.30762410970065807,0.3417860438576577,438,411,186.46018950985592,186.46018950985592,1870,TRUE,TRUE,FALSE,TRUE,population_controls
1,triangular,msetwo,-0.45152834660194846,0.26847625435501493,0.09260402923189995,295,220,96.14333370841423,127.58441655673658,1870,TRUE,TRUE,FALSE,TRUE,population_controls
2,triangular,msetwo,-0.43278370588336385,0.2931859691251526,0.1399061575968612,473,473,215.78631933424455,202.9467858315971,1870,TRUE,TRUE,FALSE,TRUE,population_controls
1,epanechnikov,msetwo,-0.5149602202692766,0.23867947238155543,0.030963708054262944,264,258,109.73912751416933,115.13859457580295,1870,TRUE,TRUE,FALSE,TRUE,population_controls
