RDD ANALYSIS RESULTS
Year: 1860
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1860)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
------------------------------------------------------------------------------------------------------------------------
Border Point 1                                        -0.6005     0.3001     0.0454          105           61       161.01       161.01
Border Point 2                                        -0.4760     0.1406     0.0007          119           42       175.81       175.81
Border Point 3                                         0.1298     0.2614     0.6195           34           22        53.33        53.33
Border Point 4                                         0.0679     0.2431     0.7799           47           33        94.67        94.67
Border Point 5                                         0.1672     0.3020     0.5797           23           26        65.65        65.65
Border Point 6                                         0.4579     0.2375     0.0538           17           32        58.66        58.66
Border Point 7                                         0.2631     0.1897     0.1655           21           28        54.08        54.08
Border Point 8                                         0.3444     0.1971     0.0805           22           29        56.69        56.69
Border Point 9                                         0.3526     0.2831     0.2129           28           27        58.70        58.70
Border Point 10                                       -0.0224     0.2068     0.9139           31           37        64.05        64.05
Border Point 11                                        0.0225     0.2468     0.9274           54           48        85.31        85.31
Border Point 12                                       -0.2990     0.2193     0.1728           52           53        89.98        89.98
Border Point 13                                       -0.1685     0.3213     0.6000           28           33        64.43        64.43
Border Point 14                                       -0.5092     0.1730     0.0032           17           26        45.88        45.88
Border Point 15                                        0.1544     0.2791     0.5801           27           19        47.80        47.80
Border Point 16                                       -0.0515     0.2443     0.8329           26           23        52.57        52.57
Border Point 17                                       -0.1451     0.2502     0.5619           39           31        77.08        77.08
Border Point 18                                       -0.2558     0.3873     0.5090           23           39        73.52        73.52
Border Point 19                                       -0.3885     0.2878     0.1770           72           67       134.96       134.96
Border Point 20                                       -0.4820     0.2841     0.0898          102           71       167.33       167.33
Overall                                               -0.1039     0.1171     0.3751          298          289        98.54        98.54
Robust: mserd triangular p1                           -0.1039     0.1171     0.3751          298          289        98.54        98.54
Robust: msetwo triangular p1                          -0.1267     0.1081     0.2410          381          316       133.62       109.42
Robust: msesum triangular p1                          -0.2129     0.0968     0.0278          429          428       157.65       157.65
Robust: cerrd triangular p1                           -0.0784     0.1372     0.5677          213          213        67.46        67.46
Robust: certwo triangular p1                          -0.1153     0.1256     0.3587          278          235        91.47        74.91
Robust: cersum triangular p1                          -0.1250     0.1127     0.2674          327          312       107.92       107.92
Robust: mserd uniform p1                              -0.3443     0.0967     0.0004          381          370       133.51       133.51
Robust: msetwo uniform p1                             -0.3835     0.0934     0.0000          392          396       138.52       145.68
Robust: msesum uniform p1                             -0.4222     0.0861     0.0000          448          457       171.15       171.15
Robust: cerrd uniform p1                              -0.1607     0.1149     0.1621          277          272        91.40        91.40
Robust: certwo uniform p1                             -0.1704     0.1102     0.1220          286          292        94.83        99.73
Robust: cersum uniform p1                             -0.2369     0.1058     0.0251          340          327       117.17       117.17
Robust: mserd epanechnikov p1                         -0.1274     0.1167     0.2748          286          279        94.90        94.90
Robust: msetwo epanechnikov p1                        -0.1439     0.1071     0.1792          371          317       127.81       110.23
Robust: msesum epanechnikov p1                        -0.2385     0.0967     0.0136          413          410       150.86       150.86
Robust: cerrd epanechnikov p1                         -0.1102     0.1375     0.4228          203          206        64.97        64.97
Robust: certwo epanechnikov p1                        -0.1554     0.1243     0.2113          272          236        87.50        75.46
Robust: cersum epanechnikov p1                        -0.1423     0.1125     0.2059          316          299       103.27       103.27
