RDD ANALYSIS RESULTS
Year: 1870
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1870)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
------------------------------------------------------------------------------------------------------------------------
Border Point 1                                        -0.4986     0.2555     0.0510          107           64       163.30       163.30
Border Point 2                                        -0.6999     0.0843     0.0000          161           45       220.69       220.69
Border Point 3                                        -0.2613     0.2110     0.2155           35           22        55.53        55.53
Border Point 4                                        -0.2182     0.2440     0.3713           53           37       110.02       110.02
Border Point 5                                        -0.1232     0.3359     0.7137           26           30        75.70        75.70
Border Point 6                                        -0.2888     0.3364     0.3906           18           38        66.51        66.51
Border Point 7                                        -0.5312     0.2462     0.0310           22           30        60.37        60.37
Border Point 8                                        -0.3306     0.2843     0.2449           21           29        54.28        54.28
Border Point 9                                         0.0086     0.3399     0.9799           27           25        53.83        53.83
Border Point 10                                       -0.2401     0.2335     0.3039           32           37        64.36        64.36
Border Point 11                                       -0.0443     0.2455     0.8568           64           54        99.56        99.56
Border Point 12                                       -0.1246     0.2212     0.5732           51           55        85.52        85.52
Border Point 13                                        0.0137     0.3247     0.9663           28           38        65.52        65.52
Border Point 14                                       -0.4437     0.2245     0.0481           14           24        39.48        39.48
Border Point 15                                       -0.0547     0.3498     0.8758           30           21        52.78        52.78
Border Point 16                                       -0.2455     0.3188     0.4412           28           25        63.55        63.55
Border Point 17                                       -0.3218     0.2744     0.2409           40           33        81.02        81.02
Border Point 18                                       -0.4024     0.3988     0.3129           24           41        76.59        76.59
Border Point 19                                       -0.3018     0.3104     0.3309           65           60       115.46       115.46
Border Point 20                                       -0.4958     0.2010     0.0136          150           90       227.74       227.74
Overall                                               -0.2684     0.1178     0.0227          304          304       100.38       100.38
Robust: mserd triangular p1                           -0.2684     0.1178     0.0227          304          304       100.38       100.38
Robust: msetwo triangular p1                          -0.3453     0.1060     0.0011          304          471       100.71       168.22
Robust: msesum triangular p1                          -0.4050     0.0929     0.0000          465          487       177.17       177.17
Robust: cerrd triangular p1                           -0.2577     0.1386     0.0629          217          225        68.40        68.40
Robust: certwo triangular p1                          -0.2954     0.1246     0.0178          218          336        68.63       114.64
Robust: cersum triangular p1                          -0.2932     0.1097     0.0075          355          349       120.73       120.73
Robust: mserd uniform p1                              -0.3099     0.1271     0.0147          225          234        71.76        71.76
Robust: msetwo uniform p1                             -0.2981     0.1106     0.0070          271          334        86.80       113.69
Robust: msesum uniform p1                             -0.3342     0.1022     0.0011          355          352       121.24       121.24
Robust: cerrd uniform p1                              -0.1923     0.1501     0.1999          161          171        48.90        48.90
Robust: certwo uniform p1                             -0.3409     0.1297     0.0086          190          251        59.15        77.47
Robust: cersum uniform p1                             -0.3275     0.1177     0.0054          258          261        82.62        82.62
Robust: mserd epanechnikov p1                         -0.2897     0.1185     0.0145          285          286        93.51        93.51
Robust: msetwo epanechnikov p1                        -0.3610     0.1067     0.0007          283          449        92.70       159.04
Robust: msesum epanechnikov p1                        -0.5113     0.0876     0.0000          493          523       191.46       191.46
Robust: cerrd epanechnikov p1                         -0.2706     0.1405     0.0541          197          212        63.72        63.72
Robust: certwo epanechnikov p1                        -0.3117     0.1260     0.0134          196          322        63.17       108.38
Robust: cersum epanechnikov p1                        -0.3504     0.1042     0.0008          377          376       130.47       130.47
Robust: mserd triangular p2                           -0.1707     0.1292     0.1864          476          505       183.96       183.96
Robust: msetwo triangular p2                          -0.2240     0.1238     0.0704          571          506       230.84       185.34
Robust: msesum triangular p2                          -0.2569     0.1154     0.0260          590          619       239.26       239.26
Robust: cerrd triangular p2                           -0.2336     0.1574     0.1378          345          344       118.68       118.68
Robust: certwo triangular p2                          -0.1957     0.1496     0.1906          407          348       148.92       119.57
Robust: cersum triangular p2                          -0.1784     0.1388     0.1987          422          437       154.36       154.36
Robust: mserd uniform p2                              -0.2101     0.1277     0.1000          446          472       168.39       168.39
Robust: msetwo uniform p2                             -0.2257     0.1247     0.0704          497          456       193.11       162.84
Robust: msesum uniform p2                             -0.3306     0.1156     0.0042          525          548       203.63       203.63
Robust: cerrd uniform p2                              -0.2711     0.1585     0.0872          327          323       108.64       108.64
Robust: certwo uniform p2                             -0.2478     0.1512     0.1011          359          315       124.58       105.05
Robust: cersum uniform p2                             -0.1515     0.1416     0.2849          379          380       131.36       131.36
Robust: mserd epanechnikov p2                         -0.1656     0.1295     0.2009          467          487       177.27       177.27
Robust: msetwo epanechnikov p2                        -0.2298     0.1232     0.0622          560          496       222.28       182.08
Robust: msesum epanechnikov p2                        -0.2958     0.1141     0.0095          576          612       235.70       235.70
Robust: cerrd epanechnikov p2                         -0.2625     0.1581     0.0970          337          336       114.36       114.36
Robust: certwo epanechnikov p2                        -0.2107     0.1492     0.1579          399          339       143.40       117.47
Robust: cersum epanechnikov p2                        -0.1825     0.1378     0.1851          416          433       152.06       152.06
Robust Clustered: mserd triangular p1                 -0.3282     0.1737     0.0588          397          399       141.48       141.48
Robust Clustered: msetwo triangular p1                -0.3857     0.1829     0.0350          380          578       132.27       217.60
Robust Clustered: msesum triangular p1                -0.4846     0.1833     0.0082          572          602       231.04       231.04
Robust Clustered: cerrd triangular p1                 -0.2859     0.1715     0.0955          342          340       117.65       117.65
Robust Clustered: certwo triangular p1                -0.3571     0.1817     0.0494          329          495       109.99       180.95
Robust Clustered: cersum triangular p1                -0.4566     0.1803     0.0113          494          523       192.12       192.12
Robust Clustered: mserd uniform p1                    -0.2467     0.1775     0.1646          304          305       100.61       100.61
Robust Clustered: msetwo uniform p1                   -0.3703     0.1840     0.0442          359          348       124.69       119.56
Robust Clustered: msesum uniform p1                   -0.4237     0.1877     0.0239          384          388       136.00       136.00
Robust Clustered: cerrd uniform p1                    -0.3040     0.1765     0.0850          261          263        83.66        83.66
Robust Clustered: certwo uniform p1                   -0.2826     0.1735     0.1034          318          303       103.69        99.42
