RDD ANALYSIS RESULTS
Year: 1850
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1850)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
------------------------------------------------------------------------------------------------------------------------
Border Point 1                                        -0.6113     0.4255     0.1508           63           60       153.16       153.16
Border Point 2                                        -0.0128     0.2539     0.9597           33           29        68.98        68.98
Border Point 3                                         0.2303     0.3090     0.4562           27           21        49.45        49.45
Border Point 4                                        -0.0235     0.2122     0.9119           51           32       102.51       102.51
Border Point 5                                         0.1835     0.2705     0.4975           27           30        85.59        85.59
Border Point 6                                        -0.0623     0.2460     0.8002           17           27        56.86        56.86
Border Point 7                                        -0.2327     0.1406     0.0981           18           19        41.62        41.62
Border Point 8                                        -0.0185     0.2140     0.9311           17           19        42.61        42.61
Border Point 9                                         0.0697     0.3607     0.8467           23           22        50.17        50.17
Border Point 10                                       -0.2136     0.2623     0.4155           30           35        61.51        61.51
Border Point 11                                       -0.0842     0.2515     0.7377           67           53       103.69       103.69
Border Point 12                                       -0.2597     0.2401     0.2794           61           49       102.09       102.09
Border Point 13                                       -0.1359     0.3983     0.7329           31           30        69.74        69.74
Border Point 14                                       -0.5750     0.2464     0.0196           15           19        41.75        41.75
Border Point 15                                        0.3888     0.2517     0.1224           24           15        43.37        43.37
Border Point 16                                        0.0553     0.3050     0.8562           25           17        49.33        49.33
Border Point 17                                       -0.3124     0.2278     0.1701           56           42       131.17       131.17
Border Point 18                                       -0.4848     0.3759     0.1971           22           38        73.99        73.99
Border Point 19                                       -0.3469     0.2575     0.1779           73           73       142.15       142.15
Border Point 20                                       -0.6382     0.3631     0.0788           63           60       141.77       141.77
Overall                                               -0.2455     0.1121     0.0285          400          418       169.51       169.51
Robust: mserd triangular p1                           -0.2455     0.1121     0.0285          400          418       169.51       169.51
Robust: msetwo triangular p1                          -0.2540     0.1059     0.0164          492          400       236.17       159.60
Robust: msesum triangular p1                          -0.2244     0.1139     0.0488          392          404       162.54       162.54
Robust: cerrd triangular p1                           -0.1778     0.1290     0.1682          317          300       117.26       117.26
Robust: certwo triangular p1                          -0.2179     0.1228     0.0761          392          292       163.37       110.40
Robust: cersum triangular p1                          -0.1697     0.1308     0.1946          307          294       112.44       112.44
Robust: mserd uniform p1                              -0.2993     0.1130     0.0081          357          347       137.43       137.43
Robust: msetwo uniform p1                             -0.3066     0.1113     0.0059          378          323       154.25       125.56
Robust: msesum uniform p1                             -0.1730     0.1223     0.1571          318          303       117.90       117.90
Robust: cerrd uniform p1                              -0.2070     0.1303     0.1120          269          257        95.07        95.07
Robust: certwo uniform p1                             -0.2279     0.1340     0.0889          298          240       106.70        86.86
Robust: cersum uniform p1                             -0.1846     0.1386     0.1830          239          230        81.56        81.56
Robust: mserd epanechnikov p1                         -0.2674     0.1113     0.0163          392          405       163.66       163.66
Robust: msetwo epanechnikov p1                        -0.2715     0.1056     0.0101          480          383       223.66       152.02
Robust: msesum epanechnikov p1                        -0.2213     0.1156     0.0556          373          372       148.04       148.04
Robust: cerrd epanechnikov p1                         -0.1901     0.1278     0.1368          310          294       113.21       113.21
