RDD ANALYSIS RESULTS
Year: 1880
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1880)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
------------------------------------------------------------------------------------------------------------------------
Border Point 1                                        -0.5092     0.1973     0.0099          120           69       185.41       185.41
Border Point 2                                        -0.3682     0.0867     0.0000           72           38       112.33       112.33
Border Point 3                                        -0.1984     0.1924     0.3024           32           21        52.37        52.37
Border Point 4                                         0.0022     0.2890     0.9939           51           37       105.18       105.18
Border Point 5                                         0.7210     0.6621     0.2762           21           20        43.56        43.56
Border Point 6                                         0.4454     0.5696     0.4342           17           27        46.59        46.59
Border Point 7                                        -0.2858     0.1767     0.1057           23           33        65.41        65.41
Border Point 8                                        -0.2506     0.2679     0.3495           19           26        51.24        51.24
Border Point 9                                        -0.0637     0.2958     0.8295           28           28        61.05        61.05
Border Point 10                                       -0.1655     0.2044     0.4180           30           35        60.26        60.26
Border Point 11                                        0.1789     0.2039     0.3804           73           58       116.04       116.04
Border Point 12                                        0.0436     0.2227     0.8449           51           58        86.39        86.39
Border Point 13                                        0.1589     0.3302     0.6305           30           40        66.29        66.29
Border Point 14                                       -0.2674     0.1725     0.1212           17           29        46.17        46.17
Border Point 15                                        0.1427     0.2598     0.5828           30           21        52.11        52.11
Border Point 16                                        0.0666     0.2481     0.7883           26           23        51.10        51.10
Border Point 17                                       -0.2841     0.2025     0.1608           49           39        98.94        98.94
Border Point 18                                       -0.3301     0.3537     0.3507           25           44        79.24        79.24
Border Point 19                                       -0.3029     0.3218     0.3465           66           62       114.56       114.56
Border Point 20                                       -0.0920     0.2418     0.7037          111           75       176.63       176.63
Overall                                               -0.1054     0.1168     0.3668          266          276        85.70        85.70
Robust: mserd triangular p1                           -0.1054     0.1168     0.3668          266          276        85.70        85.70
Robust: msetwo triangular p1                          -0.1444     0.1022     0.1577          279          409        91.56       140.45
Robust: msesum triangular p1                          -0.1797     0.0853     0.0352          456          496       173.60       173.60
Robust: cerrd triangular p1                           -0.0500     0.1403     0.7216          188          202        58.14        58.14
Robust: certwo triangular p1                          -0.1130     0.1211     0.3508          196          296        62.12        95.29
Robust: cersum triangular p1                          -0.1113     0.1016     0.2734          343          351       117.78       117.78
Robust: mserd uniform p1                              -0.1411     0.1254     0.2606          196          211        62.20        62.20
Robust: msetwo uniform p1                             -0.1107     0.1109     0.3183          222          267        70.45        82.63
Robust: msesum uniform p1                             -0.1979     0.0885     0.0254          372          379       128.34       128.34
Robust: cerrd uniform p1                              -0.0547     0.1490     0.7137          142          152        42.20        42.20
Robust: certwo uniform p1                             -0.0917     0.1351     0.4975          155          197        47.79        56.06
Robust: cersum uniform p1                             -0.1087     0.1062     0.3063          271          280        87.07        87.07
Robust: mserd epanechnikov p1                         -0.1109     0.1190     0.3513          241          256        76.85        76.85
Robust: msetwo epanechnikov p1                        -0.1237     0.1051     0.2391          262          349        84.47       117.39
Robust: msesum epanechnikov p1                        -0.4572     0.0701     0.0000          614          674       248.70       248.70
Robust: cerrd epanechnikov p1                         -0.0485     0.1433     0.7353          170          184        52.14        52.14
Robust: certwo epanechnikov p1                        -0.1282     0.1243     0.3025          187          258        57.30        79.64
Robust: cersum epanechnikov p1                        -0.3198     0.0834     0.0001          447          486       168.73       168.73
Robust: mserd triangular p2                           -0.0168     0.1211     0.8895          463          503       174.83       174.83
Robust: msetwo triangular p2                          -0.0196     0.1172     0.8672          526          511       203.03       178.13
Robust: msesum triangular p2                          -0.0175     0.1117     0.8753          532          581       208.19       208.19
Robust: cerrd triangular p2                           -0.0733     0.1514     0.6283          333          343       112.22       112.22
Robust: certwo triangular p2                          -0.0639     0.1463     0.6623          378          347       130.32       114.33
Robust: cersum triangular p2                          -0.0438     0.1379     0.7507          383          395       133.63       133.63
Robust: mserd uniform p2                              -0.0021     0.1200     0.9864          414          438       150.64       150.64
Robust: msetwo uniform p2                              0.0142     0.1192     0.9052          432          433       158.47       148.92
Robust: msesum uniform p2                             -0.0467     0.1096     0.6699          477          525       183.93       183.93
Robust: cerrd uniform p2                              -0.1458     0.1536     0.3422          293          300        96.69        96.69
Robust: certwo uniform p2                             -0.1240     0.1505     0.4100          310          297       101.71        95.58
Robust: cersum uniform p2                             -0.0714     0.1359     0.5992          343          354       118.05       118.05
Robust: mserd epanechnikov p2                         -0.0125     0.1207     0.9177          442          480       166.76       166.76
Robust: msetwo epanechnikov p2                        -0.0140     0.1171     0.9048          495          491       192.25       170.19
Robust: msesum epanechnikov p2                        -0.0117     0.1113     0.9164          515          561       199.15       199.15
Robust: cerrd epanechnikov p2                         -0.1021     0.1507     0.4981          324          331       107.04       107.04
