RDD ANALYSIS RESULTS
Year: 1890
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1890)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
Robust Clustered: msesum epanechnikov p1              -0.2737     0.1644     0.0959          584          651       236.45       236.45
Robust Clustered: cerrd epanechnikov p1               -0.0500     0.1654     0.7624          292          303        96.63        96.63
Robust Clustered: certwo epanechnikov p1              -0.1288     0.1734     0.4578          281          500        92.34       172.24
Robust Clustered: cersum epanechnikov p1              -0.2320     0.1650     0.1597          511          558       196.63       196.63
Robust Clustered: mserd triangular p2                  0.0453     0.1708     0.7908          508          556       194.66       194.66
Robust Clustered: msetwo triangular p2                 0.0373     0.1705     0.8268          576          556       230.48       194.76
Robust Clustered: msesum triangular p2                 0.0242     0.1699     0.8865          573          633       229.48       229.48
Robust Clustered: cerrd triangular p2                  0.0321     0.1725     0.8523          431          464       157.66       157.66
Robust Clustered: certwo triangular p2                 0.0452     0.1714     0.7920          486          464       186.67       157.74
Robust Clustered: cersum triangular p2                 0.0419     0.1705     0.8059          481          534       185.86       185.86
Robust Clustered: mserd uniform p2                     0.0283     0.1808     0.8756          476          522       181.14       181.14
Robust Clustered: msetwo uniform p2                    0.0272     0.1751     0.8764          517          489       199.31       167.53
Robust Clustered: msesum uniform p2                    0.0203     0.1780     0.9090          510          558       196.07       196.07
Robust Clustered: cerrd uniform p2                     0.0536     0.1667     0.7477          406          430       146.71       146.71
Robust Clustered: certwo uniform p2                    0.0447     0.1706     0.7932          434          403       161.43       135.69
Robust Clustered: cersum uniform p2                    0.0518     0.1700     0.7608          432          468       158.81       158.81
Robust Clustered: mserd epanechnikov p2                0.0536     0.1711     0.7542          476          524       181.65       181.65
Robust Clustered: msetwo epanechnikov p2               0.0509     0.1715     0.7666          542          522       214.21       181.11
Robust Clustered: msesum epanechnikov p2               0.0367     0.1726     0.8317          541          600       213.92       213.92
Robust Clustered: cerrd epanechnikov p2                0.0234     0.1736     0.8928          406          432       147.13       147.13
Robust Clustered: certwo epanechnikov p2               0.0441     0.1708     0.7964          456          430       173.49       146.69
Robust Clustered: cersum epanechnikov p2               0.0444     0.1698     0.7936          454          501       173.26       173.26
========================================================================================================================

====================================================================================================
RDD Results: With Geography Controls (Year: 1890)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
------------------------------------------------------------------------------------------------------------------------
Border Point 1                                        -0.3003     0.1621     0.0639           92           59       147.82       147.82
Border Point 2                                        -0.3038     0.0668     0.0000          106           42       156.85       156.85
Border Point 3                                        -0.1135     0.0786     0.1487           22           18        38.33        38.33
