GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,land,farmv,pc_enslaved,farmv_na,cotton,corn
G2100790,1870,Kentucky,10376,0,3777902,91014,19788,110802,34.095972996877315,0,150.08548834707827,0,578887
G0100030,1870,Alabama,6004,0,140550,4919,78232,83151,1.6902983728397734,0,7.4404463179028015,34800,31025
G1302690,1870,Georgia,7143,0,618965,51267,109118,160385,3.8592449418586527,0,16.98783201766658,1423600,119269
G2001410,1870,Kansas,33,0,7200,3780,220,4000,1.8,0,7.923336842432477,0,0
G2101050,1870,Kentucky,8453,0,1178430,35006,62605,97611,12.072717214248394,0,53.14233616217948,123200,350860
G5400390,1870,West Virginia,22349,0,3097767,59459,171896,231355,13.389669555445096,0,58.939367831474776,0,406826
G5000090,1870,Vermont,6811,0,1873965,58516,79977,138493,13.531117096170926,0,59.56199922631058,0,13613
G0450177,1870,Arizona Territory,NA,0,43300,3150,1255,4405,9.829738933030647,0,43.26907368865257,0,0
G4803090,1870,Texas,13500,0,356734,36148,31672,67820,5.260011795930404,0,23.153802919069324,3531600,502500
G3100670,1870,Nebraska,3359,0,1018940,19324,75481,94805,10.747745372079532,0,47.31000382204494,0,146180
G4803910,1870,Texas,2324,0,135300,5400,133162,138562,0.9764581920006928,0,4.298226204318941,0,41555
G3101670,1870,Nebraska,636,0,159600,3115,29843,32958,4.842526852357546,0,21.316095233196176,0,9255
G4200190,1870,Pennsylvania,36510,0,18230848,273128,157883,431011,42.297871748052835,0,186.18904754323933,0,453894
G3100210,1870,Nebraska,2847,0,1040787,25451,67633,93084,11.181158953203559,0,49.217827041673054,0,157152
G2600490,1870,Michigan,33900,0,12671110,173035,136233,309268,40.971293505956,0,180.34964406547536,0,326637
G1302090,1870,Georgia,3586,0,255402,20664,278187,298851,0.8546131684351065,0,3.7618822241610173,156400,70405
G3550255,1870,New Mexico Territory,8056,0,446638,20503,8919,29422,15.180409217592278,0,66.82194202052804,0,57349
G2100050,1870,Kentucky,5449,0,1597857,59469,39262,98731,16.183944252565052,0,71.23935652901223,0,300963
G3600270,1870,New York,74041,0,39732864,376302,83823,460125,86.35232599837,0,380.11031445145824,0,509608
G3701110,1870,North Carolina,7592,0,581325,31496,27620,59116,9.833632180797077,0,43.286211196132825,0,176364
G2700030,1870,Minnesota,3940,0,421379,8434,38141,46575,9.047321524422975,0,39.8249866443294,0,36838
G4802130,1870,Texas,6786,0,187080,26240,145574,171814,1.0888518979827022,0,4.792966866243818,1186800,156804
G0600790,1870,California,4772,0,1869673,457846,97886,555732,3.3643428846998193,0,14.809345516065353,0,25982
G1900370,1870,Iowa,10180,0,3542015,66925,99905,166830,21.231283342324524,0,93.45700528797934,0,386723
G4804690,1870,Texas,4860,0,240743,11247,87764,99011,2.4314773106018523,0,10.703007642572384,82000,71078
G5500030,1870,Wisconsin,221,0,17400,175,655,830,20.96385542168675,0,92.27982667893247,0,0
G3101095,1870,Nebraska,261,0,51850,797,9304,10101,5.1331551331551335,0,22.595398435805254,0,3610
G1300395,1870,Georgia,9176,0,796235,49574,85574,135148,5.891578121762808,0,25.933865551240213,1048400,159502
G3600110,1870,New York,59550,0,32712556,334376,78501,412877,79.23075395335657,0,348.76219547351815,0,703148
G3701790,1870,North Carolina,12217,0,378056,71982,254102,326084,1.1593822450656885,0,5.103431142661694,478400,203032
G1801790,1870,Indiana,13585,0,6113709,86794,100103,186897,32.7116486620973,0,143.99189501172367,0,177630
G2102330,1870,Kentucky,10937,0,1075452,66344,96990,163334,6.584373125007653,0,28.983447869830776,0,221332
G4800970,1870,Texas,5315,0,688565,20159,91256,111415,6.180182201678409,0,27.204258517502222,123200,211939
G1701430,1870,Illinois,47540,0,10291236,170729,51182,221911,46.37551090301968,0,204.13821895806933,0,969224
G2601570,1870,Michigan,13714,0,3387540,48345,145834,194179,17.4454498169215,0,76.79231959290055,0,82880
G2001950,1870,Kansas,166,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G2101070,1870,Kentucky,13827,0,1052974,85955,130433,216388,4.866138602880012,0,21.420030706990055,3200,464879
G5501370,1870,Wisconsin,11279,0,1997300,59760,116870,176630,11.307818603861179,0,49.77536430639814,0,143099
G3701970,1870,North Carolina,10697,0,670688,50988,139691,190679,3.5173668836106757,0,15.482934787369096,16800,223856
G4701610,1870,Tennessee,12019,0,803838,47382,136380,183762,4.374342900055507,0,19.255217923023736,723600,428311
G5500710,1870,Wisconsin,33364,0,7029669,131292,157149,288441,24.371254433315652,0,107.27869897099207,0,2865
G5500790,1870,Wisconsin,89930,0,10284556,90358,28728,119086,86.36242715348571,0,380.1547782595024,0,169996
G1701590,1870,Illinois,12803,0,2984050,75079,52643,127722,23.363633516543743,0,102.84329900817848,0,482594
G2700670,1870,Minnesota,1760,0,266281,6199,25650,31849,8.360733461019183,0,36.802726367472935,0,488
G3701330,1870,North Carolina,7569,0,349640,37618,159138,196756,1.7770233182215536,0,7.822196848403581,352400,117420
G2800570,1870,Mississippi,7812,0,364342,29901,154982,184883,1.9706625271117408,0,8.674568336147527,746000,172363
G2600230,1870,Michigan,26226,0,12238802,150262,100055,250317,48.893211407934736,0,215.22076849629394,0,454593
G0450155,1870,Arizona Territory,179,0,4100,2240,60,2300,1.7826086956521738,0,7.8467828632785395,0,30
G0600750,1870,California,149473,0,5817400,3792,4506,8298,701.060496505182,0,3085.965811518618,0,0
G1200190,1870,Florida,2098,0,70418,2678,17834,20512,3.433014820592824,0,15.111629338122135,26000,13188
G4500110,1870,South Carolina,35724,0,4589974,383140,743944,1127084,4.072432933126546,0,17.92625438743162,9964000,781054
G2900090,1870,Missouri,10373,0,1092010,37518,67164,104682,10.431688351388013,0,45.91876702407019,0,322808
G2200235,1870,Louisiana,10110,0,2376630,44448,87083,131531,18.068972333518335,0,79.53697455281052,8153600,142525
G5500390,1870,Wisconsin,46273,0,17161132,285777,131764,417541,41.100471570456556,0,180.91826701974833,0,287400
G4701650,1870,Tennessee,23711,0,5167581,181189,160079,341268,15.142295790991245,0,66.65417228876174,68000,1155914
G4804930,1870,Texas,2556,0,153961,10907,48504,59411,2.591456127653128,0,11.40721100654524,143200,52712
G5501270,1870,Wisconsin,25972,0,11804180,221790,103316,325106,36.308711620210026,0,159.82564026759238,0,830179
G4800930,1870,Texas,1001,0,40595,1543,15936,17479,2.3225012872589965,0,10.223311119964478,11200,39292
G1801450,1870,Indiana,21892,0,12080676,137861,85035,222896,54.19871150671165,0,238.57480427416525,0,1509448
G2901070,1870,Missouri,22623,0,8623786,166608,109075,275683,31.281529873078863,0,137.69672118389883,0,1576126
G4950435,1870,Utah Territory,1955,0,22250,914,1050,1964,11.328920570264765,0,49.868252077427755,0,0
G1302330,1870,Georgia,7822,0,908923,38905,50431,89336,10.174207486343692,0,44.785373899499604,800400,126750
G3701390,1870,North Carolina,8131,0,1274945,44616,40034,84650,15.061370348493798,0,66.29795032207831,44000,434985
G5100470,1870,Virginia,12227,0,4041710,165789,69927,235716,17.146523782857336,0,75.47649089353233,0,361654
G2000570,1870,Kansas,427,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G2600170,1870,Michigan,15900,0,688860,7723,28166,35889,19.194182061355846,0,84.48998327060961,0,8458
G3900990,1870,Ohio,31001,0,14288062,179866,63074,242940,58.8131308141928,0,258.88680344383033,0,361439
G2200050,1870,Louisiana,11577,0,1475633,40091,40718,80809,18.260750658961253,0,80.38115470367823,392400,160542
G5400970,1870,West Virginia,8023,0,2341054,59812,95417,155229,15.081292799670164,0,66.38564603952123,0,108494
G1303110,1870,Georgia,4606,0,284098,17737,104914,122651,2.3163121376914986,0,10.196067388413654,0,80811
G2900170,1870,Missouri,8162,0,1346550,42009,143524,185533,7.25773851552015,0,31.94750387375666,2000,395953
G0600050,1870,California,9582,0,486400,41534,19782,61316,7.932676626003001,0,34.91848276106252,0,36760
G3600750,1870,New York,77941,0,22956268,323252,154010,477262,48.099928341246525,0,211.72885241364477,0,312903
G3900710,1870,Ohio,29133,0,12115600,220677,89039,309716,39.118418163737104,0,172.1935576968989,0,1110437
G2200090,1870,Louisiana,12926,0,1525955,38525,85280,123805,12.325471507612779,0,54.25492360923339,4055600,175330
G1801370,1870,Indiana,20977,0,6180650,129320,115519,244839,25.243731595048175,0,111.11921588195663,0,441645
G2101490,1870,Kentucky,7614,0,1214143,42640,58183,100823,12.042321692470964,0,53.00853951909944,0,271508
G5500310,1870,Wisconsin,1122,0,66760,234,694,928,71.9396551724138,0,316.66784458859684,0,0
G1701350,1870,Illinois,25314,0,7961130,276682,56299,332981,23.908661455158104,0,105.24243231161081,0,1527898
G5100750,1870,Virginia,10313,0,1607600,135445,62512,197957,8.120955561056189,0,35.74725910704078,0,101402
G3050035,1870,Montana Territory,38,0,250,6,0,6,41.666666666666664,0,183.41057505630732,0,0
G1900590,1870,Iowa,1389,0,225950,5473,25378,30851,7.323911704644906,0,32.238788577853015,0,5267
G4201330,1870,Pennsylvania,76134,0,36358484,411341,123181,534522,68.02055668428989,0,299.4165460107782,0,1531541
G2102350,1870,Kentucky,8278,0,685940,58464,193648,252112,2.720774893698039,0,11.976453308446098,0,251872
G0601050,1870,California,3213,0,78550,2307,6225,8532,9.206516643225504,0,40.52574028318689,0,795
G4100110,1870,Oregon,1644,0,203350,3421,23691,27112,7.50036884036589,0,33.015527091502,0,1859
G1700190,1870,Illinois,32737,0,16634592,419368,75282,494650,33.62901445466491,0,148.0300051129671,0,3924720
G2101910,1870,Kentucky,14030,0,2602376,82724,47508,130232,19.982615639781315,0,87.96055261491483,0,578938
G3109015,1870,Nebraska,44,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G3900370,1870,Ohio,32278,0,14438482,195236,137600,332836,43.380169212465,0,190.95316275115496,0,1063030
G4803310,1870,Texas,8984,0,505584,32644,114336,146980,3.439814940808273,0,15.141562473142155,2057200,201117
G1701050,1870,Illinois,31471,0,14246594,377505,54250,431755,32.996940394436656,0,145.24770750821577,0,1182696
G4803950,1870,Texas,9990,0,742965,27207,86513,113720,6.533283503341541,0,28.758558824490194,1933200,140083
G0100930,1870,Alabama,6059,0,80438,18315,96806,115121,0.6987256886232747,0,3.0756883285682193,185200,90429
G4802810,1870,Texas,1344,0,62140,3611,47219,50830,1.2225063938618925,0,5.381294416997333,10400,45487
G0600270,1870,California,1956,0,148520,4988,7898,12886,11.525686791867143,0,50.73438821796572,0,22915
G4200370,1870,Pennsylvania,28766,0,9015460,136710,68445,205155,43.94462723306768,0,193.43782443484812,0,589472
G5101350,1870,Virginia,9291,0,1225536,69454,75056,144510,8.480631098193896,0,37.33049823744349,0,82686
G0950975,1870,Dakota Territory,712,0,85100,3029,32909,35938,2.3679670543714173,0,10.423444779759643,0,3318
G2100490,1870,Kentucky,10882,0,7292615,118684,22933,141617,51.49533601191947,0,226.6749405759341,0,774210
G5400830,1870,West Virginia,5563,0,1469878,50036,251849,301885,4.868999784686221,0,21.432625211000072,800,59758
G4801970,1870,Texas,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G5100010,1870,Virginia,20409,0,2657265,78556,84070,162626,16.33973042440938,0,71.92510448174316,0,530560
G2901730,1870,Missouri,10510,0,4504516,94794,84951,179745,25.06059139336282,0,110.3130594889877,0,292534
G5101750,1870,Virginia,12285,0,1203975,123059,166257,289316,4.161453220699857,0,18.318108678683593,1200,218858
G2900670,1870,Missouri,3915,0,226210,12840,40362,53202,4.2519078230141725,0,18.716276613730585,0,102975
G1901710,1870,Iowa,16131,0,6540221,167563,99519,267082,24.48768917411132,0,107.79122767737286,0,1103371
G2800330,1870,Mississippi,32021,0,4670763,191692,227475,419167,11.142964498636582,0,49.04970063664686,9647200,741363
G2001610,1870,Kansas,5105,0,1808615,28366,71913,100279,18.03583003420457,0,79.3910869965907,0,405277
G3700730,1870,North Carolina,7724,0,451750,53382,100084,153466,2.9436487560762643,0,12.957511466777552,60400,158070
G2200470,1870,Louisiana,12347,0,1334675,32812,144070,176882,7.545567101231329,0,33.21448322790701,471200,168645
G0450195,1870,Arizona Territory,5716,0,151840,10451,7006,17457,8.697943518359397,0,38.28707574022987,0,32011
G5500650,1870,Wisconsin,22659,0,10278218,207887,111607,319494,32.170300537725275,0,141.6089597126022,0,1294453
G2600770,1870,Michigan,32054,0,17255840,204689,96087,300776,57.3710668404394,0,252.539048659172,0,143817
G4500750,1870,South Carolina,16865,0,965031,102985,373336,476321,2.026009770721845,0,8.918198810826985,2579600,263739
G2901570,1870,Missouri,9877,0,2080920,63458,158993,222451,9.354509532436357,0,41.177183345132654,0,331375
G0100670,1870,Alabama,14191,0,895419,106863,217753,324616,2.758394533849225,0,12.142049464451068,2850800,248470
G4500070,1870,South Carolina,24049,0,1286989,96228,306465,402693,3.1959557280608304,0,14.06812987051527,2109600,409688
G1900390,1870,Iowa,8735,0,2214809,63162,68148,131310,16.86702459827888,0,74.24617634542105,0,374588
G2700510,1870,Minnesota,340,0,40835,864,10053,10917,3.7404964733901256,0,16.46511862033374,0,100
G3550035,1870,New Mexico Territory,7591,0,144300,4966,46713,51679,2.792236691886453,0,12.291017696453173,0,31505
G4700910,1870,Tennessee,5852,0,763190,28393,131660,160053,4.768357981418655,0,20.98961470671188,0,85782
G1302370,1870,Georgia,10461,0,1085455,45639,143089,188728,5.75142533169429,0,25.31693345950711,2930400,160661
G1200770,1870,Florida,1050,0,42165,4976,26845,31821,1.3250683510889036,0,5.83275715829109,48000,10865
G5100230,1870,Virginia,11329,0,2748574,73691,82222,155913,17.62889560203447,0,77.59982111944197,0,95986
G3300070,1870,New Hampshire,14932,0,3647955,120874,117559,238433,15.299706835882617,0,67.34707269509153,0,19227
G2601270,1870,Michigan,7222,0,779590,11476,43574,55050,14.161489554950045,0,62.33680663025466,0,40397
G1300630,1870,Georgia,5477,0,421921,36993,30938,67931,6.211022949757843,0,27.340014981672194,488400,64319
G3700850,1870,North Carolina,8895,0,509679,29114,176820,205934,2.4749628521759397,0,10.894424639054105,133600,125410
G1701250,1870,Illinois,16184,0,10109200,209453,62752,272205,37.13818629341856,0,163.47686651098005,0,2648726
G2902230,1870,Missouri,6068,0,735177,27489,97766,125255,5.869442337631233,0,25.836427065714744,0,293569
G0500330,1870,Arkansas,8957,0,748524,24026,51912,75938,9.857041270510154,0,43.389254586672514,946400,237702
G4800295,1870,Texas,1077,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G2000430,1870,Kansas,13969,0,3962347,88028,66101,154129,25.70799135788852,0,113.16281948382989,0,1326968
G2901890,1870,Missouri,351189,0,28409636,132556,82489,215045,132.11019089027877,0,581.5297459676295,0,1023978
G5100830,1870,Virginia,27828,0,2545790,183771,158908,342679,7.429080859930139,0,32.701727823830225,0,387227
G5000070,1870,Vermont,36480,0,14783046,218670,72025,290695,50.854146098144106,0,223.85251631659386,0,163597
G4801750,1870,Texas,3628,0,105484,6257,35761,42018,2.510447903279547,0,11.050624646145664,36800,37640
G4803370,1870,Texas,890,0,63960,2615,26212,28827,2.2187532521594338,0,9.766627437278732,6000,41715
G0600090,1870,California,8895,0,221245,41000,39048,80048,2.763904157505497,0,12.166302022286443,0,4535
G1801310,1870,Indiana,7801,0,2467985,65038,72177,137215,17.986262434864994,0,79.17289767101391,0,60512
G2100570,1870,Kentucky,7690,0,939691,40781,67533,108314,8.675619033550603,0,38.18880662191107,0,243840
G0101330,1870,Alabama,4155,0,149410,17847,103936,121783,1.2268543228529434,0,5.400433364754597,82000,94165
G4200270,1870,Pennsylvania,34418,0,13565198,152338,90362,242700,55.89286361763494,0,246.03221418370035,0,1044760
G2800670,1870,Mississippi,3313,0,69080,11860,79788,91648,0.7537534916201117,0,3.3179126723698613,126000,43187
G0601070,1870,California,4533,0,812900,35028,53616,88644,9.17038942285998,0,40.366713540888654,0,9750
G3100010,1870,Nebraska,19,0,8940,416,1830,2246,3.9804096170970613,0,17.52118120395427,0,425
G5501090,1870,Wisconsin,11035,0,3666305,103953,93434,197387,18.574196882266815,0,81.76089915325505,0,42461
G2600070,1870,Michigan,2756,0,39800,502,2282,2784,14.295977011494253,0,62.92880075207786,0,0
G1901870,1870,Iowa,10484,0,1852565,37175,62558,99733,18.575245906570544,0,81.76551680487412,0,301176
G1700170,1870,Illinois,11580,0,4591535,92902,40097,132999,34.523079120895645,0,151.9655470626688,0,1146980
G0500290,1870,Arkansas,8112,0,1055071,28984,171846,200830,5.253552756062342,0,23.125371169873016,1581600,269945
G2700230,1870,Minnesota,1467,0,45365,9524,3531,13055,3.4749138261202606,0,15.296062634875923,0,3550
G4801230,1870,Texas,6443,0,478823,22884,176937,199821,2.396259652388888,0,10.547984659892954,216400,107896
G4201010,1870,Pennsylvania,674022,0,18945000,37518,2786,40304,470.05260023818977,0,2069.102825193574,0,189325
G1900170,1870,Iowa,12528,0,4486291,139519,51700,191219,23.46153363420999,0,103.2742410132804,0,423362
G0100570,1870,Alabama,7136,0,325385,40897,221569,262466,1.2397224783400516,0,5.457077103901905,763600,201228
G3900250,1870,Ohio,34268,0,14229016,187046,60971,248017,57.37113181757702,0,252.5393346790323,0,878027
G1701750,1870,Illinois,10751,0,7226929,138129,15158,153287,47.14639206194916,0,207.5315251178932,0,1149878
G5350395,1870,Washington Territory,599,0,81570,1473,17785,19258,4.2356423304600685,0,18.64467829350045,0,0
G3600690,1870,New York,45108,0,31471540,321875,79397,401272,78.42944436691322,0,345.2349478243732,0,727661
G4100230,1870,Oregon,2251,0,128800,10963,7214,18177,7.085877757605766,0,31.190997943228098,0,143
G3701870,1870,North Carolina,6516,0,393207,21215,53900,75115,5.234733408773215,0,23.04253115446942,434800,152038
G2800890,1870,Mississippi,20948,0,2907357,212782,163092,375874,7.734924469370055,0,34.048006678662354,7707600,320602
G2900910,1870,Missouri,4218,0,363950,12934,64222,77156,4.717066721965887,0,20.76383808131361,0,115728
G3601170,1870,New York,47710,0,27020484,284454,68923,353377,76.46361817548963,0,336.58166833085915,0,635309
G4200990,1870,Pennsylvania,25447,0,8750896,136809,126225,263034,33.269067877156566,0,146.44557290247857,0,417235
G2901670,1870,Missouri,12445,0,2596553,74680,199910,274590,9.45610910812484,0,41.62440982359269,0,552612
G4800250,1870,Texas,1082,0,16099,452,10381,10833,1.4861072648389182,0,6.541626912947088,400,4690
G5501170,1870,Wisconsin,31749,0,8929086,159912,127118,287030,31.108546145002265,0,136.93527210289292,0,75198
G5100370,1870,Virginia,14513,0,2401030,116802,139583,256385,9.364939446535484,0,41.22309430215767,6800,194260
G3300010,1870,New Hampshire,17681,0,4934900,155421,56123,211544,23.328007412169573,0,102.6864781052117,0,90687
G4200050,1870,Pennsylvania,43382,0,13681426,230915,126155,357070,38.315809225081914,0,168.66059048928093,0,680314
G2901010,1870,Missouri,24648,0,11835734,197491,189496,386987,30.584319369901316,0,134.62770248014462,0,1946741
G5101110,1870,Virginia,10403,0,891238,94967,129677,224644,3.967334983351436,0,17.463628577699815,0,107174
G5000250,1870,Vermont,26036,0,9127096,308975,125131,434106,21.025039967196953,0,92.54915210317051,0,185675
G4802710,1870,Texas,1204,0,57605,2610,22300,24910,2.3125250903251704,0,10.179397359568284,0,17320
G1900250,1870,Iowa,1602,0,215000,6475,12662,19137,11.234780791137586,0,49.4538625328184,0,36589
G1800010,1870,Indiana,11382,0,3453733,76020,84400,160420,21.52931679341728,0,94.76890496760187,0,96168
G1801630,1870,Indiana,33145,0,4241775,66913,41542,108455,39.11092158037896,0,172.16055883294666,0,553925
G0600370,1870,California,15309,0,4245885,234883,371429,606312,7.00280548628429,0,30.82532594992477,0,454896
G2000030,1870,Kansas,5220,0,1343358,29598,84180,113778,11.806834361651637,0,51.9719587167623,0,206989
G4700970,1870,Tennessee,10838,0,2536980,53728,104489,158217,16.03481294677563,0,70.58290232372256,2534800,443809
G5100110,1870,Virginia,8950,0,1540199,109111,83457,192568,7.998208425075817,0,35.20694415992058,0,76708
G1300870,1870,Georgia,15183,0,805560,79918,200979,280897,2.867812756989217,0,12.623692485916955,2177600,215040
G5650035,1870,Wyoming Territory,1368,0,320,65,65,130,2.4615384615384617,0,10.835332434095694,0,0
G2901190,1870,Missouri,5226,0,726827,21958,45018,66976,10.852051481127567,0,47.769144064662214,11200,156712
G0850255,1870,Colorado Territory,2390,0,342675,7166,15766,22932,14.94309262166405,0,65.7773090606176,0,8625
G4800350,1870,Texas,4981,0,380355,21038,91787,112825,3.3711943274983383,0,14.839504565592755,866000,260946
G4803070,1870,Texas,173,0,2920,97,3653,3750,0.7786666666666666,0,3.4275768266522713,0,1270
G4700530,1870,Tennessee,25666,0,4890576,132669,194117,326786,14.96568396442932,0,65.87675284864653,3926000,1067775
