GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,land,farmv,pc_enslaved,farmv_na,cotton,corn
G4800890,1860,Texas,7885,3559,3066070,35168,156074,191242,16.03240919881616,45.13633481293595,97.96252176022077,5775200,264805
G0501150,1860,Arkansas,7883,978,1032383,35577,80279,115856,8.910915274133407,12.406444247114043,54.44819431818365,1489200,361196
G4802670,1860,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5000210,1860,Vermont,35946,0,10541940,300833,145583,446416,23.614610587434143,0,144.29190116364265,0,228364
G3150575,1860,Nebraska Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100630,1860,Virginia,8236,475,1023165,52466,115348,167814,6.09701812721227,5.767362797474502,37.25449266873726,0,121510
G4701450,1860,Tennessee,13583,1748,3420610,95944,270314,366258,9.339345488699223,12.869027460796584,57.06602322316437,80000,751790
G2200130,1860,Louisiana,11000,5000,NA,NA,NA,NA,NA,45.45454545454545,NA,NA,NA
G4800230,1860,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101310,1860,Virginia,7832,3872,2184150,56402,40065,96467,22.6414214187235,49.43820224719101,138.345442092247,0,377205
G3600430,1860,New York,40561,0,16583798,279398,124839,404237,41.02493834062691,0,250.673892180979,0,158441
G5101835,1860,Virginia,7463,112,1090010,35147,32900,68047,16.0184872220671,1.5007369690473,97.87745457329257,0,78001
G4804850,1860,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2100050,1860,Kentucky,7404,1357,1798182,63842,41328,105170,17.097860606636875,18.327930848190167,104.47272901783002,0,510505
G0101230,1860,Alabama,23827,6672,3256377,153332,301859,455191,7.153869474572213,28.00184664456289,43.71215114221933,6959600,635220
G2050455,1860,Kansas Territory,4459,0,599705,22910,53094,76004,7.890439976843324,0,48.2128037242404,0,344160
G0600950,1860,California,7169,0,2529460,162220,71528,233748,10.821311840101306,0,66.12125373448774,0,3360
G4802910,1860,Texas,3189,1079,751645,10914,242759,253673,2.9630469147288045,33.83505801191596,18.105048608796046,626000,87557
G1900490,1860,Iowa,5244,0,1225211,38082,84633,122715,9.984199160656807,0,61.00626021985778,0,470023
G3400230,1860,New Jersey,34812,1,9916006,106206,39673,145879,67.97418408406968,0.002872572676088705,415.3413504416182,0,487115
G3701970,1860,North Carolina,10714,1436,1106415,61254,138519,199773,5.538361039780151,13.403024080642151,33.84094100564026,800,293459
G4200270,1860,Pennsylvania,27000,0,7073465,117354,63055,180409,39.207938628338944,0,239.57151376448573,0,451360
G1800750,1860,Indiana,11399,0,2600610,61470,88482,149952,17.342949743918055,0,105.970292462373,0,404616
G5101390,1860,Virginia,8109,850,2192549,58431,63600,122031,17.967147691979907,10.482180293501047,109.78431718638075,0,175168
G5500490,1860,Wisconsin,18967,0,2808453,80618,189722,270340,10.388595842272693,0,63.477237490415625,0,308298
G4804170,1860,Texas,44,9,500,50,910,960,0.5208333333333334,20.454545454545457,3.1824379054573084,22800,500
G3550555,1860,New Mexico Territory,11321,0,179924,22344,142296,164640,1.0928328474246842,0,6.6775155417084635,0,53587
G2400410,1860,Maryland,14795,3725,5774848,110483,55674,166157,34.755369921219085,25.177424805677596,212.3650687785185,0,679571
G2901870,1860,Missouri,7249,877,1132682,32225,102473,134698,8.409048389731103,12.0982204441992,51.3816467410656,0,282300
G3700890,1860,North Carolina,10448,1382,1515097,43479,150519,193998,7.809858864524377,13.227411944869832,47.72043050252956,0,326110
G5000050,1860,Vermont,21708,0,5277560,204458,106846,311304,16.953074807904812,0,103.5880471348409,0,41297
G3600210,1860,New York,47172,0,21270066,347840,52027,399867,53.1928516231647,0,325.0232588254572,0,537113
G0500490,1860,Arkansas,4024,88,466340,15065,91023,106088,4.395784631626574,2.1868787276341948,26.85947834095699,1200,234288
G4200330,1860,Pennsylvania,18759,0,3578785,91209,163028,254237,14.076570286779658,0,86.01179685020473,0,90314
G2800490,1860,Mississippi,31339,22363,6240445,190599,210342,400941,15.564497020758665,71.35837135837136,95.10344697262025,21874000,1028343
G3150135,1860,Nebraska Territory,165,0,21800,1229,4357,5586,3.9026136770497675,0,23.846065336702665,0,75
G0101010,1860,Alabama,35904,23710,9883964,257602,295511,553113,17.869701127979273,66.03721033868094,109.18889131943894,23552000,1586480
G4803510,1860,Texas,3119,1013,552081,12143,176179,188322,2.9315799534839266,32.47835844822058,17.912776640344358,836400,78923
G2200570,1860,Louisiana,14044,6395,4104100,40555,89542,130097,31.546461486429358,45.53545998291085,192.7577372495268,190400,277173
G1301250,1860,Georgia,2437,758,345665,24507,47390,71897,4.807780574989221,31.10381616741896,29.376889234496694,643600,74538
G2102390,1860,Kentucky,11219,5829,6642240,108327,7895,116222,57.151313864844866,51.95650236206435,349.21057457312656,0,758065
G4804573,1860,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2900490,1860,Missouri,7848,1144,2834145,71616,98785,170401,16.632208731169417,14.576962283384301,101.62746531369898,0,913865
G1301350,1860,Georgia,12940,2551,1116021,64755,164166,228921,4.875135963935157,19.71406491499227,29.788449572899957,978400,325440
G2900290,1860,Missouri,4975,206,390845,17267,46283,63550,6.150196695515342,4.14070351758794,37.579428652466504,0,224447
G4700890,1860,Tennessee,16043,2096,4224357,111405,148321,259726,16.264667380239175,13.064888113195785,99.38168446181407,4800,892591
G1701770,1860,Illinois,25112,0,7016265,209756,88275,298031,23.542064416117785,0,143.84862368749614,0,893318
G0500010,1860,Arkansas,8844,4921,5498395,45493,288767,334260,16.449455513671992,55.642243328810494,100.51079184161944,8071200,364632
G3701590,1860,North Carolina,14589,3930,2924631,135102,197715,332817,8.787504845004912,26.938104050997325,53.69412194521609,2782800,508166
G2900730,1860,Missouri,8727,76,1326430,35704,156492,192196,6.90144435888364,0.8708605477254497,42.169762809822345,0,328562
G2901570,1860,Missouri,9128,739,1482013,47084,140813,187897,7.887369143733003,8.095968448729185,48.19404007171249,0,327340
G1901770,1860,Iowa,17081,0,2800204,91914,121564,213478,13.117061242844695,0,80.1489271822731,0,1155573
G1302050,1860,Georgia,4308,1589,819057,26699,83523,110222,7.430975667289652,36.88486536675952,45.40534778517792,1413200,113562
G1801350,1860,Indiana,18997,0,5852796,114104,120077,234181,24.992616822030822,0,152.71190617152163,0,880944
G1901830,1860,Iowa,14235,0,3304843,109863,113043,222906,14.826173364557258,0,90.59208212783717,0,1410420
G2700250,1860,Minnesota,1743,0,124019,3648,18484,22132,5.603605638893909,0,34.23960382550456,0,20697
G0501270,1860,Arkansas,5145,215,520782,18871,69230,88101,5.9111928354956245,4.178814382896015,36.11904796060597,160000,240810
G3701390,1860,North Carolina,8940,2983,1927149,53674,40258,93932,20.516426776817273,33.366890380313194,125.36112817743856,0,574689
G1801290,1860,Indiana,16167,0,3786096,79712,79534,159246,23.775140348894165,0,145.27278307946548,0,1039211
G1300010,1860,Georgia,4190,745,364901,20225,362957,383182,0.9522916003361327,17.780429594272075,5.818769061039955,206800,96724
G1300650,1860,Georgia,3063,449,368176,11602,154393,165995,2.217994517907166,14.658831211230819,13.552569269537804,86400,62931
G2701545,1860,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101437,1860,Virginia,3958,252,2051780,74619,754302,828921,2.4752419108696726,6.366851945426983,15.124423070070192,0,48229
G1901750,1860,Iowa,2012,0,377447,12456,30131,42587,8.862962875995022,0,54.155191701556745,0,160635
G2900530,1860,Missouri,17356,3800,5186619,116197,177053,293250,17.68668030690537,21.894445724821388,108.0705827143698,80400,1765220
G4700610,1860,Tennessee,3093,266,504332,17342,79833,97175,5.189935683046051,8.600064662140316,31.711964245653533,1600,172035
G2901690,1860,Missouri,3835,56,300605,12526,27412,39938,7.526791526866643,1.4602346805736637,45.990809590224565,99600,205205
G1700010,1860,Illinois,41323,0,9228170,205106,136143,341249,27.04233565519606,0,165.23626375909558,0,2654197
G1300710,1860,Georgia,1316,110,137187,7837,67912,75749,1.8110734135104094,8.358662613981762,11.06616706698525,112800,27339
G5500770,1860,Wisconsin,8233,0,1017305,45009,102776,147785,6.883682376425212,0,42.061232109818945,0,87842
G4800655,1860,Texas,8411,3475,1209853,47902,195760,243662,4.965292084937332,41.31494471525383,30.339328786121683,3987200,281979
G2801130,1860,Mississippi,11135,4935,1544998,58292,240610,298902,5.168911549604887,44.31971261787157,31.583500887203837,3435200,314135
G1301410,1860,Georgia,12044,8137,2179578,111205,216462,327667,6.65180808564793,67.56061109266025,40.644415087859294,5332800,354859
G4950375,1860,Utah Territory,715,0,13868,1241,554,1795,7.7259052924791085,0,47.207450604976785,0,364
G1800250,1860,Indiana,8226,0,954283,41813,99203,141016,6.767196630169626,0,41.349471493506776,0,211373
G5100775,1860,Virginia,12211,1525,5713422,123765,285084,408849,13.974406198865596,12.488739660961429,85.3875455875727,0,231479
G3150535,1860,Nebraska Territory,882,0,93300,3475,14986,18461,5.053897405340989,0,30.880732172255044,0,60605
G2902190,1860,Missouri,8839,1034,1909747,63595,115131,178726,10.685333974911316,11.698155899988686,65.29039079851887,0,651570
G5500235,1860,Wisconsin,13,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G5101290,1860,Virginia,36227,9004,2140252,47985,81794,129779,16.491512494317263,24.85439037182212,100.76777180205707,0,454116
G5101557,1860,Virginia,4990,183,1628295,48249,278083,326332,4.989688415478715,3.6673346693386772,30.488397215694096,0,56225
G0600790,1860,California,1782,0,582700,3713,310447,314160,1.8547873694932517,0,11.333271611978446,0,35420
G1900790,1860,Iowa,1699,0,312375,8237,20334,28571,10.93328899933499,0,66.8054656181819,0,45505
G2300010,1860,Maine,29726,0,4990907,145186,89055,234241,21.30671829440619,0,130.19003124675635,0,121049
G0500430,1860,Arkansas,9078,3497,1062123,44858,320868,365726,2.90414955458458,38.52170081515752,17.745169201203694,3681600,317287
G4801310,1860,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2400470,1860,Maryland,20661,3648,4260120,155609,160479,316088,13.477639138467769,17.656454189051836,82.35215936704282,0,934070
G1201090,1860,Florida,3038,1003,69530,1504,14172,15676,4.43544271497831,33.015141540487164,27.10180036537238,400,11290
G4201150,1860,Pennsylvania,36267,0,6115268,165535,110328,275863,22.167771683770567,0,135.4513092210329,0,140674
G3701890,1860,North Carolina,4957,104,532532,25085,141743,166828,3.192102045220227,2.0980431712729475,19.504639769849565,180000,106649
G2701370,1860,Minnesota,406,0,21100,335,2170,2505,8.42315369261477,0,51.46783410215028,0,10
G2101330,1860,Kentucky,3904,108,281764,16291,150912,167203,1.6851611514147473,2.7663934426229506,10.296807792127439,0,138383
G1701190,1860,Illinois,31251,0,6052957,167039,96816,263855,22.940467302116694,0,140.17269640542742,0,1498915
G1800870,1860,Indiana,11366,0,3667472,79857,79073,158930,23.07602088969987,0,141.00096688609062,0,472847
G5101130,1860,Virginia,8854,4397,2816620,97421,115801,213222,13.20980011443472,49.66117009261351,80.71558772676737,0,363360
G4500510,1860,South Carolina,7962,2359,863735,33651,386599,420250,2.055288518738846,29.628234112032153,12.558389930276556,178800,128078
G5500030,1860,Wisconsin,515,0,140350,625,14016,14641,9.586093846048767,0,58.57372496819833,0,251
G0100890,1860,Alabama,26451,14573,6078806,214509,192734,407243,14.926729250103746,55.09432535631923,91.20650682245471,8847600,988396
G1302230,1860,Georgia,7038,572,671708,31684,60864,92548,7.257941824782815,8.127308894572321,44.3480624232822,939600,182865
