GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,land,farmv,pc_enslaved,farmv_na,cotton,corn
G4700990,1900,Tennessee,15402,0,1696989,63553,155729,219282,7.73884313349933,0,31.597828459847303,56500,408930
G3101630,1900,Nebraska,6550,0,4596599,168394,151605,319999,14.364416763802387,0,58.65015855711583,0,993580
G2100770,1900,Kentucky,5163,0,2010659,57264,5798,63062,31.883844470521076,0,130.18228058648157,0,225140
G4100550,1900,Oregon,3477,0,3591040,198285,104197,302482,11.871913039453588,0,48.473223353896195,0,2650
G2900810,1900,Missouri,24398,0,16412733,328598,120343,448941,36.558774983795196,0,149.27010157883538,0,3370790
G4803190,1900,Texas,5573,0,3599645,31437,616032,647469,5.5595634694479585,0,22.69979243523135,1545000,209700
G1200090,1900,Florida,5158,0,2319825,7290,30823,38113,60.86702699866187,0,248.5211090065028,0,1820
G1700130,1900,Illinois,8917,0,4421679,74708,70270,144978,30.498965360261558,0,124.5277955673726,0,757150
G2700910,1900,Minnesota,16936,0,16250759,383459,37333,420792,38.61945806954505,0,157.68390575219763,0,1685860
G5100850,1900,Virginia,17618,0,3301513,130450,132547,262997,12.553424563778295,0,51.255846527352844,0,507860
G2000650,1900,Kansas,5173,0,3262037,141567,264565,406132,8.03196251465041,0,32.79463989071558,0,720300
G1301030,1900,Georgia,8334,0,670954,28260,165246,193506,3.4673550174154806,0,14.15726965383575,285500,127670
G5300490,1900,Washington,5983,0,1013645,8123,43813,51936,19.517194239063464,0,79.6890368424601,0,70
G2200890,1900,Louisiana,9072,0,1623632,31973,22157,54130,29.995048956216515,0,122.47029629798007,0,175740
G2701590,1900,Minnesota,7921,0,2034921,61284,80091,141375,14.3937824933687,0,58.770059331615066,0,150780
G4900270,1900,Utah,5678,0,2534144,39153,68856,108009,23.46234110120453,0,95.79713874456839,0,9030
G0500510,1900,Arkansas,18773,0,1263547,40923,114039,154962,8.153915153392445,0,33.29257459396807,293500,213060
G2600370,1900,Michigan,25136,0,16886491,277631,78696,356327,47.3904335063018,0,193.49594800389994,0,1310030
G4804670,1900,Texas,25481,0,4782076,194514,182086,376600,12.698024429102496,0,51.84625024287113,12112000,1126120
G3101610,1900,Nebraska,6033,0,5152910,136021,581221,717242,7.184339455860086,0,29.333780489866474,0,141660
G0500370,1900,Arkansas,11051,0,1309207,49584,63539,113123,11.573305163406204,0,47.25400230478854,3118000,389455
G2900290,1900,Missouri,13113,0,2600132,82857,201435,284292,9.145990741913245,0,37.343236136594236,500,741540
G3000090,1900,Montana,7533,0,3598742,77165,74823,151988,23.677803510803486,0,96.67687543655309,0,9640
G2900450,1900,Missouri,15383,0,10579714,224651,82840,307491,34.406581005622925,0,140.48265687146946,0,1742630
G4100510,1900,Oregon,103167,0,8422825,34196,68730,102926,81.8337932106562,0,334.1287729293596,0,3330
G0500570,1900,Arkansas,24101,0,2790255,146988,142081,289069,9.652557001961469,0,39.4115548132273,9539500,681979
G2700350,1900,Minnesota,14250,0,1951192,36179,134330,170509,11.443337301843304,0,46.72334131010047,0,91200
G4801370,1900,Texas,3108,0,2883140,5104,989486,994590,2.8988226304306295,0,11.835942224410035,36000,30070
G2000470,1900,Kansas,3682,0,3318452,131525,234234,365759,9.072782898028484,0,37.04432726183326,0,454290
G0100090,1900,Alabama,23119,0,2358320,128769,192672,321441,7.336711869363273,0,29.955919652119984,5724500,571650
G2900710,1900,Missouri,30581,0,12815983,263711,202887,466598,27.46686226687641,0,112.14766694031333,0,1849100
G1300550,1900,Georgia,12952,0,1744465,65028,88552,153580,11.358673004297435,0,46.377655539710894,2914500,339450
G5500390,1900,Wisconsin,47589,0,31274129,346171,102390,448561,69.72101676249162,0,284.67210017102224,0,1389850
G3101510,1900,Nebraska,18252,0,14439139,296823,65068,361891,39.899138138279206,0,162.90886129113537,0,4653330
G3100530,1900,Nebraska,22298,0,17982659,291866,36964,328830,54.68679560867317,0,223.2871188694363,0,4631090
G5000250,1900,Vermont,26660,0,7672042,141581,287315,428896,17.887884242333804,0,73.0365363463945,0,183020
G4700670,1900,Tennessee,11147,0,1711945,65133,59386,124519,13.748464089817618,0,56.13521328736278,500,367150
G4500510,1900,South Carolina,23364,0,2185895,79918,388256,468174,4.668979909179066,0,19.06352457437705,2803000,332130
G3701650,1900,North Carolina,12553,0,2417729,61442,65961,127403,18.977017809627718,0,77.48348727117093,8030500,197500
G0450035,1900,Arizona Territory,9251,0,3505069,10576,52416,62992,55.64308166116332,0,227.19165112624472,0,8140
G2800430,1900,Mississippi,14112,0,1806458,87175,129049,216224,8.35456748557052,0,34.11184148733437,5853500,373150
G2902290,1900,Missouri,17519,0,3306600,139272,187310,326582,10.124869098725588,0,41.34001315714453,0,505780
G4200490,1900,Pennsylvania,98473,0,24649795,286480,173381,459861,53.60270820965466,0,218.86077153576454,0,686470
G3809055,1900,North Dakota,2208,0,749723,14430,21141,35571,21.07680413820247,0,86.05695065168996,0,23390
G2601470,1900,Michigan,55228,0,15814229,310021,111996,422017,37.47296672882846,0,153.00276206059755,0,695330
G4804210,1900,Texas,104,0,1063630,2880,192435,195315,5.445715894836546,0,22.234950847013955,0,0
G1800850,1900,Indiana,29109,0,15230690,240069,82110,322179,47.27399985722223,0,193.02054742953698,0,2206780
G2901350,1900,Missouri,15931,0,7671913,183348,72185,255533,30.02317900232064,0,122.58515175583501,0,1507640
G0600770,1900,California,35452,0,31218424,652923,98142,751065,41.56554226331942,0,169.71281774554066,0,31789
G1201270,1900,Florida,10003,0,1189328,10741,36017,46758,25.435818469566705,0,103.85488048699627,1000,20290
G1901770,1900,Iowa,17354,0,12806451,210723,89388,300111,42.67238121894899,0,174.232060072765,0,1674720
G5100870,1900,Virginia,30062,0,6137242,67272,53689,120961,50.73736162895479,0,207.1615125931653,0,295410
G2000150,1900,Kansas,23363,0,18869096,538464,333437,871901,21.641328545327966,0,88.36191343101464,0,5476640
G5300190,1900,Washington,4562,0,268819,3833,11934,15767,17.049470412887676,0,69.6132783859733,0,300
G0100010,1900,Alabama,17915,0,1925523,98612,145899,244511,7.874995398980005,0,32.15374048117454,7174000,282306
G4100670,1900,Oregon,14467,0,7112422,92512,159056,251568,28.272363734656235,0,115.43654316690164,0,2580
G3100130,1900,Nebraska,5572,0,1992687,50358,316530,366888,5.431322365408517,0,22.17618182095244,0,41930
G1800610,1900,Indiana,21702,0,5975176,190768,100819,291587,20.491914934479247,0,83.66883806064092,0,884120
G4200970,1900,Pennsylvania,90911,0,10661301,167428,46786,214214,49.769394157244626,0,203.2092849025157,0,747900
G1700330,1900,Illinois,19240,0,9952645,221914,36130,258044,38.56956565546961,0,157.48019417487168,0,1785130
G3101690,1900,Nebraska,14325,0,11527425,294879,58805,353684,32.592441275262665,0,133.0754934216791,0,4434960
G2800710,1900,Mississippi,22110,0,2801339,127915,218828,346743,8.079006641806757,0,32.98672186398816,8604500,746780
G4800170,1900,Texas,4,0,647910,275,306391,306666,2.1127545929447673,0,8.626413025048178,0,0
G5100690,1900,Virginia,13239,0,6094621,161113,86523,247636,24.611207578865756,0,100.48798016080906,0,485630
G3300050,1900,New Hampshire,31321,0,8507945,95978,272905,368883,23.064074516852227,0,94.17100949029017,0,132360
G3700030,1900,North Carolina,10960,0,1640496,65576,92043,157619,10.407983809058553,0,42.495975346484755,373500,262110
G2100110,1900,Kentucky,14734,0,4865438,124200,27066,151266,32.16478256845557,0,131.32935563028803,0,754560
G5101910,1900,Virginia,28995,0,6610694,192051,124124,316175,20.90833873645924,0,85.36910354407003,2000,706020
G1800910,1900,Indiana,38386,0,15333261,261294,82156,343450,44.644812927645944,0,182.2855323689515,0,1570300
G2801390,1900,Mississippi,12983,0,1652687,72576,166404,238980,6.915587078416604,0,28.236459950588994,3399500,457210
G4201090,1900,Pennsylvania,17304,0,6053096,111889,42096,153985,39.3096470435432,0,160.5019591006198,0,484750
G5400930,1900,West Virginia,13433,0,1124730,35402,58288,93690,12.00480307396734,0,49.01581563056507,0,97220
G1301910,1900,Georgia,6537,0,405326,7667,47940,55607,7.289118276475984,0,29.761594200899683,2000,20980
G5100430,1900,Virginia,7927,0,4052149,82980,21031,104011,38.95885050619646,0,159.06965085762036,0,459730
G4700450,1900,Tennessee,23776,0,5285678,125576,86638,212214,24.907301120566974,0,101.6969351399124,4263000,1449000
G2300170,1900,Maine,32238,0,9103881,198474,422230,620704,14.667024862092076,0,59.88571258184182,0,89550
G4803890,1900,Texas,1847,0,2116903,8017,888251,896268,2.3619084916565134,0,9.643712641513728,0,36950
G2500070,1900,Massachusetts,4561,0,851435,14461,19727,34188,24.904498654498653,0,101.68549262317394,0,6090
