GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ASW001,AUJ001,AUJ002,AUK001,AUK002,AUK003,ATB001,ATB002,ATB003,ATB004,ATB005,ATB006,ATB007,ATB008,ATB009,ATB010,ATB011,ATB012,ATB013,ATB014,ATB015,ATB016,ATB017,ATB018,ATB019,ATB020,ATB021,ATB022,ATB023,ATB024,ATB025,ATB026,ATB027,ATB028,ATB029,ATB030,ATB031
"G0100410","1890","Alabama","010","Crenshaw","0410","Crenshaw","41","410",15425,101681,167060,1032780,30010,354670,0,0,340761,42354,34,0,13442,2016,0,0,0,0,44700,53758,0,1403,0,0,80,0,0,5550,896,0,44,4512,14,0,7659,402,60335
"G0100430","1890","Alabama","010","Cullman","0430","Cullman","41","430",13439,59426,181984,1174230,48420,296100,0,5,285699,36179,1144,1733,5268,689,0,0,0,0,0,2386,1,12580,0,0,653,2,0,0,12678,0,7,670,63,10,369,18826,44307
"G0100450","1890","Alabama","010","Dale","0450","Dale","41","450",17225,116566,242860,1625320,62000,403560,0,350,431883,58332,4102,0,16259,3989,0,0,0,0,37350,114466,0,415,0,0,14,0,0,15382,1895,0,403,5298,86,0,46523,109,65719
"G0100470","1890","Alabama","010","Dallas","0470","Dallas","41","470",49350,252097,165399,2930460,164310,905320,0,40,738847,82103,294,9,42819,12275,0,0,0,0,5850,26821,0,12194,0,0,2562,6,100,13802,491,0,169,11774,63,0,5206,4852,213270
"G0100490","1890","Alabama","010","DeKalb","0490","Dekalb","41","490",21106,87042,200226,1695270,57770,444390,87,415,515605,60771,515,9198,4573,228,0,0,0,0,0,9980,0,35263,0,0,1050,0,0,0,19355,0,0,703,109,140,122,21450,55377
"G0100510","1890","Alabama","010","Elmore","0510","Elmore","41","510",21732,110692,211514,2020930,69180,476170,26,0,394092,86901,124,4330,16871,4892,0,0,0,0,900,56699,0,25345,0,0,471,4,0,1080,275,0,75,14411,65,0,6912,2687,82998
"G0100530","1890","Alabama","010","Escambia","0530","Escambia","41","530",8666,10269,76754,386770,14960,163360,0,0,100284,12664,0,0,462,23,0,0,0,0,27000,37890,,,0,0,66,0,0,28550,0,0,5,2806,516,0,3376,2111,62477
"G0100550","1890","Alabama","010","Etowah","0550","Etowah","41","550",21926,79414,142010,1689570,63450,372900,0,6,428465,66033,8,4726,8482,1399,0,0,0,0,,,0,31526,0,0,452,0,0,0,3442,0,14,393,17,0,157,5937,40697
"G0100570","1890","Alabama","010","Fayette","0570","Fayette","41","570",12823,67087,242398,989720,53060,372610,0,0,364580,37890,228,882,6141,765,0,0,0,0,5175,13881,0,17773,0,0,522,44,0,420,4240,0,187,2151,49,1353,654,3453,43533
"G0100590","1890","Alabama","010","Franklin","0590","Franklin","41","590",10681,47412,132553,829020,24890,243580,0,0,306343,16048,11,1100,2669,333,0,0,0,0,0,664,0,10481,0,0,133,0,0,120,910,0,4,45,0,0,40,6722,17483
"G0100610","1890","Alabama","010","Geneva","0610","Geneva","41","610",10690,52638,194643,840950,24160,290150,0,0,216893,7745,3,0,7158,1788,0,0,0,0,9000,83170,0,48,0,0,2,0,0,54650,392,0,19,2349,0,0,17388,50,65237
"G0100630","1890","Alabama","010","Greene","0630","Greene","41","630",22007,156666,122256,1548450,83240,474410,20,370,495030,27727,25,0,20901,6256,0,0,0,0,0,27432,0,29290,0,0,879,0,0,0,25,0,12,2921,25,0,495,800,48499
"G0100650","1890","Alabama","010","Hale","0650","Hale","41","650",27501,183457,140940,3131120,136160,640810,25,0,676279,42346,29,25,28973,6317,0,0,0,0,3300,39803,0,14908,0,0,1832,418,1,3510,842,0,253,2792,100,0,995,1168,78787
"G0100670","1890","Alabama","010","Henry","0670","Henry","41","670",24847,182433,292581,2509850,93420,560190,0,200,548674,58272,414,0,23738,9032,0,0,0,0,15550,168843,0,223,0,0,0,0,0,20225,873,0,72,7510,55,0,60167,2023,131211
"G0100710","1890","Alabama","010","Jackson","0710","Jackson","41","710",28026,148791,295944,3250670,93970,769880,100,220,1166372,112527,163,7114,5358,1259,0,0,0,0,,,0,29156,0,0,4122,1,0,0,1507,0,3,294,201,0,223,22459,26121
"G0100730","1890","Alabama","010","Jefferson","0730","Jefferson","41","730",88501,75706,204021,3024830,93320,578190,10,3,439316,88586,34,1889,4829,1521,0,0,0,0,0,2190,1,11631,0,0,1067,40,8,0,2190,0,37,3057,30,1210,418,24587,104598
"G0100750","1890","Alabama","010","Lamar","0750","Lamar","41","750",14187,77739,241951,1125570,45640,389120,0,125,345529,42206,131,1006,6998,1489,0,0,0,0,1200,23377,0,20567,0,0,169,0,4,50,1734,0,0,2171,38,10,238,2353,54676
"G0100770","1890","Alabama","010","Lauderdale","0770","Lauderdale","41","770",23739,119352,212059,2091260,79520,534440,0,903,706859,22596,289,4244,5156,1057,0,0,0,0,,,0,16221,0,0,1214,0,0,0,435,0,160,201,0,0,0,16372,23724
"G0100790","1890","Alabama","010","Lawrence","0790","Lawrence","41","790",20725,140798,176303,2210090,74010,547910,462,0,638994,33815,163,8556,9248,2589,0,0,0,0,0,689,0,12077,0,0,1648,62,10,0,4227,0,81,142,5,500,535,8518,16270
"G0100810","1890","Alabama","010","Lee","0810","Lee","41","810",28694,168608,148549,1926170,77960,443330,38,50,329438,74749,405,3326,18332,3720,0,0,0,0,4350,65451,0,25558,0,0,807,0,0,0,75,0,148,13394,140,0,998,4866,89865
"G0100830","1890","Alabama","010","Limestone","0830","Limestone","41","830",21201,135843,138044,2586310,68695,574280,100,6,671662,23982,10,6413,8093,2016,0,0,0,0,,,0,24869,0,0,1825,15,1,0,6274,0,3,236,13,16000,122,23767,31649
"G0100850","1890","Alabama","010","Lowndes","0850","Lowndes","41","850",31550,231706,109086,2649310,137990,802250,0,600,1063793,60608,0,0,40388,11724,0,0,0,0,2175,47734,0,8476,0,0,101,125,0,1990,0,0,430,4781,123,0,1606,1949,153586
"G0100870","1890","Alabama","010","Macon","0870","Macon","41","870",18439,116479,102171,1157250,46610,369570,0,0,316365,46709,56,455,19099,5638,0,0,0,0,150,59348,0,21071,0,0,260,129,0,4690,134,0,29,11794,47,400,5170,1844,77177
"G0100890","1890","Alabama","010","Madison","0890","Madison","41","890",38119,218911,172826,4330350,181300,916390,548,0,1109800,102216,721,12968,13150,3451,0,0,0,0,0,1084,0,41698,0,0,8225,164,210,0,3541,0,213,991,53,1200,201,36828,44098
"G0100910","1890","Alabama","010","Marengo","0910","Marengo","41","910",33095,225075,252950,3136570,124880,777320,0,0,796922,58236,0,0,31651,9260,0,0,0,0,400,33058,0,32188,0,0,978,0,0,5050,264,0,2,3746,29,0,925,552,81498
"G0100930","1890","Alabama","010","Marion","0930","Marion","41","930",11347,59139,225905,639630,34910,291170,0,22,290035,16783,170,1321,4454,572,0,0,0,0,0,5032,0,9121,0,0,62,25,6,90,5177,0,38,812,58,330,142,4727,37908
"G0100950","1890","Alabama","010","Marshall","0950","Marshall","41","950",18935,102081,201813,1697140,85970,487650,0,2,607488,53365,188,3806,8118,1453,0,0,0,0,0,2250,0,24438,0,0,1180,0,0,0,5003,0,76,787,124,0,257,12639,35773
"G0100970","1890","Alabama","010","Mobile","0970","Mobile","41","970",51587,12023,81021,639710,30380,192760,0,0,45663,755,4,0,24,1,0,0,0,0,1050,17847,,,0,0,2833,0,0,18460,0,0,9,444,63,0,52,104249,50816
"G0100990","1890","Alabama","010","Monroe","0990","Monroe","41","990",18990,120729,286087,1319500,84550,509830,0,0,351725,41942,88,0,15919,3209,0,0,0,0,26400,89884,0,2930,0,0,103,0,0,37105,480,0,119,5536,20,0,6083,4868,106029
"G0101010","1890","Alabama","010","Montgomery","1010","Montgomery","41","1010",56172,269061,107297,3204870,156120,837970,150,0,739516,55670,302,0,45827,10682,0,0,0,0,0,39974,0,6971,0,0,1289,54,20,2340,1205,0,8,4235,41,0,6632,3417,107754
"G0101030","1890","Alabama","010","Morgan","1030","Morgan","41","1030",24089,103344,193776,2075240,72860,488850,17,271,611984,72260,290,6309,6227,1086,0,0,0,0,0,1101,0,18899,0,0,1782,0,1,0,1543,0,10,199,10,1300,262,16516,34442
"G0101050","1890","Alabama","010","Perry","1050","Perry","41","1050",29332,178603,159558,1739930,103540,684790,55,0,590694,88184,120,130,24873,9730,0,0,0,0,300,51623,0,14662,0,0,900,200,1,17100,545,0,20,9790,25,0,3146,4092,102524
"G0101070","1890","Alabama","010","Pickens","1070","Pickens","41","1070",22470,158895,270104,2084790,98760,745270,0,0,513410,77682,0,70,18904,1488,0,0,0,0,0,41437,0,44845,0,0,388,0,0,1300,1130,0,193,8447,79,0,527,2708,109792
"G0101090","1890","Alabama","010","Pike","1090","Pike","41","1090",24423,161405,169918,1892500,68790,477090,0,300,426116,32876,24,65,25879,6777,0,0,0,0,0,62752,0,1711,0,0,373,0,0,0,425,0,0,2780,8,0,11658,761,41764
"G0101110","1890","Alabama","010","Randolph","1110","Randolph","41","1110",17219,93427,206678,1266450,41860,339380,21,0,331213,41746,257,11038,10348,879,0,0,0,0,21000,15536,0,45242,0,0,20,0,0,0,3424,0,77,891,5,0,167,1406,48855
"G0101130","1890","Alabama","010","Russell","1130","Russell","41","1130",24093,151957,102249,1577270,65960,365580,0,0,318550,54703,82,186,20521,2565,0,0,0,0,3250,60644,0,6801,0,0,1027,102,0,3300,250,0,202,25390,68,0,6545,1627,76257
"G0101150","1890","Alabama","010","St Clair","1150","St Clair","41","1150",17353,94068,149730,1448110,70770,387030,0,140,446074,45264,70,7406,7136,1233,0,0,0,0,0,604,0,17211,0,0,284,5,0,0,700,0,20,2202,61,0,18,1178,14999
"G0101170","1890","Alabama","010","Shelby","1170","Shelby","41","1170",20886,71288,143772,1059500,47770,350930,60,35,329672,58804,106,2853,7308,1424,0,0,0,0,0,13404,0,26925,0,0,1124,0,6,0,2156,0,33,6723,107,30,500,4609,41152
"G0101190","1890","Alabama","010","Sumter","1190","Sumter","41","1190",29574,243577,196455,2109520,104730,756640,10,0,787560,23349,4,0,25768,6322,0,0,0,0,600,37747,0,31901,0,0,1048,0,25,150,10,0,0,7728,20,50,2630,983,97272
"G0101210","1890","Alabama","010","Talladega","1210","Talladega","41","1210",29346,120778,129022,2061980,68720,511680,44,40,536030,100623,964,13138,15686,3229,0,0,0,0,0,16314,0,44654,0,0,1104,6,0,600,940,0,30,2641,40,0,574,3907,54071
"G0101230","1890","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",25460,162222,207521,2133410,82650,566910,18,0,552961,76549,188,8426,20337,3108,0,0,0,0,1200,62125,0,42594,0,0,45,0,0,0,4577,0,838,6158,208,0,852,2419,54957
"G0101250","1890","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",30352,112955,342578,1741010,80760,550930,0,0,550186,61762,147,88,13008,1997,0,0,0,0,0,25125,0,25310,0,0,3921,0,62,1740,1058,0,97,5172,155,0,2172,3969,83139
"G0101270","1890","Alabama","010","Walker","1270","Walker","41","1270",16078,53257,263793,1304050,36500,340020,0,0,369456,38551,46,69,3211,802,0,0,0,0,0,818,0,10702,0,0,114,0,0,0,5190,0,22,1086,95,0,266,8716,51182
"G0101290","1890","Alabama","010","Washington","1290","Washington","41","1290",7935,16810,115406,265550,9850,200000,0,0,103098,3584,0,0,2030,203,0,0,0,0,1500,15812,0,319,0,0,12,0,0,4630,0,0,0,577,0,0,171,1410,41130
