GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ASW001,AUJ001,AUJ002,AUK001,AUK002,AUK003,ATB001,ATB002,ATB003,ATB004,ATB005,ATB006,ATB007,ATB008,ATB009,ATB010,ATB011,ATB012,ATB013,ATB014,ATB015,ATB016,ATB017,ATB018,ATB019,ATB020,ATB021,ATB022,ATB023,ATB024,ATB025,ATB026,ATB027,ATB028,ATB029,ATB030,ATB031
"G1201050","1890","Florida","120","Polk","1050","Polk","43","1050",7905,17431,81325,2497010,35000,289520,0,0,47274,945,15,0,0,0,0,0,0,0,141240,28998,0,0,0,0,65,0,0,28070,2175,0,35,2353,41,0,518,1573,85328
"G1201070","1890","Florida","120","Putnam","1070","Putnam","43","1070",11186,20608,79015,5406900,41460,190010,0,0,36341,3710,51,0,264,69,0,0,0,0,17100,11759,0,715,0,0,153,100,0,11167,115,0,7,3339,41,0,1700,1873,41020
"G1201090","1890","Florida","120","St Johns","1090","St Johns","43","1090",8712,4627,50952,1758090,14610,121760,0,0,9642,400,0,0,0,0,0,0,0,0,91400,14033,0,0,0,0,4,0,0,2600,0,0,16,1155,6,0,14,1202,51492
"G1201130","1890","Florida","120","Santa Rosa","1130","Santa Rosa","43","1130",7961,5513,36825,210240,8460,168490,0,0,30806,850,40,0,15,0,0,0,0,0,2220,10159,0,0,0,0,81,0,0,44140,470,0,31,376,8,0,909,1715,32572
"G1201190","1890","Florida","120","Sumter","1190","Sumter","43","1190",5363,23303,61891,3644990,31510,174870,0,0,37692,4965,35,0,88,0,0,0,0,0,16000,39328,0,100,0,0,133,0,0,14730,350,0,71,818,40,0,2052,1613,24533
"G1201210","1890","Florida","120","Suwannee","1210","Suwannee","43","1210",10524,57621,104349,856380,42110,269430,0,0,185030,20551,141,0,2200,706,0,0,0,0,156630,51321,0,67,0,0,1,0,0,11430,60,0,25,5384,88,0,20075,1110,43894
"G1201230","1890","Florida","120","Taylor","1230","Taylor","43","1230",2122,8508,27529,121390,6500,65060,0,0,45380,2500,0,0,381,0,0,0,0,0,6000,9672,0,150,0,0,0,0,0,1400,310,0,0,1946,4,0,11539,330,18265
"G1201270","1890","Florida","120","Volusia","1270","Volusia","43","1270",8467,16185,48402,6262100,42010,231640,0,0,10611,0,0,0,0,0,0,0,0,0,4800,4230,0,0,0,0,78,0,0,19780,0,0,0,731,2,0,0,1245,16597
"G1201290","1890","Florida","120","Wakulla","1290","Wakulla","43","1290",3117,11422,36829,111330,11640,59730,0,0,59810,3725,0,0,423,107,0,0,0,0,4800,20890,0,0,0,0,19,0,0,7150,300,0,0,170,0,0,4945,40,10764
"G1201310","1890","Florida","120","Walton","1310","Walton","43","1310",4816,8152,30119,214470,3230,90060,0,0,43644,8431,0,0,399,0,0,0,0,0,50,30949,0,0,0,0,0,0,0,49303,27740,0,0,1125,0,0,1775,20,30901
"G1201330","1890","Florida","120","Washington","1330","Washington","43","1330",6426,13837,33419,257210,11000,69080,0,0,64399,4113,76,0,502,0,0,0,0,0,6780,36770,0,0,0,0,17,0,0,75061,1820,0,17,408,0,0,11582,634,24378
"G1300010","1890","Georgia","130","Appling","0010","Appling","44","10",8676,20288,273935,531430,19160,249000,0,0,104470,8974,30,0,1377,282,0,0,0,0,38400,80821,0,0,0,0,0,0,0,37990,0,0,0,7139,0,0,560,100,44853
"G1300070","1890","Georgia","130","Baker","0070","Baker","44","70",6144,60304,46141,405420,24720,171250,0,0,155326,14109,0,70,6002,1500,0,0,0,0,11300,40100,0,60,0,0,23,0,0,2140,0,0,20,3528,285,0,11016,340,43542
"G1300090","1890","Georgia","130","Baldwin","0090","Baldwin","44","90",14608,63923,59753,709220,39130,186120,24,0,128736,22303,203,1371,9112,3866,0,0,0,0,0,6027,0,3826,0,0,399,7,0,0,0,0,0,14299,522,0,922,607,37007
"G1300110","1890","Georgia","130","Banks","0110","Banks","44","110",8562,41752,69475,754750,23060,138750,0,10,152382,32594,13,14466,5888,1030,0,0,0,0,0,0,0,520,0,0,75,0,0,0,719,0,0,610,53,0,140,2299,28944
"G1300150","1890","Georgia","130","Bartow","0150","Bartow","44","150",20616,96270,109155,2223300,69470,378610,91,5,438755,62715,507,66933,9024,2050,0,0,0,0,0,0,0,22652,0,0,2438,107,0,0,21925,0,27,1995,77,0,80,5956,27234
"G1300190","1890","Georgia","130","Berrien","0190","Berrien","44","190",10694,40510,243907,856720,43860,267800,0,0,127079,37545,77,10,4121,1030,0,0,0,0,32700,47602,0,0,0,0,23,0,0,84264,15,0,5,2368,98,0,9770,70,80325
"G1300210","1890","Georgia","130","Bibb","0210","Bibb","44","210",42370,61609,65984,1544650,40370,225730,20,0,174336,41551,143,411,8154,702,0,0,0,0,50,11246,0,329,0,0,980,0,0,900,40,0,4,8392,871,0,1340,2449,50209
"G1300270","1890","Georgia","130","Brooks","0270","Brooks","44","270",13979,82830,162825,1168670,69890,285900,0,250,270978,122775,565,0,9194,2298,0,0,0,0,35800,88353,0,0,0,0,52,0,0,2760,300,0,65,239,23,0,91685,131,68608
"G1300290","1890","Georgia","130","Bryan","0290","Bryan","44","290",5520,18188,171650,395940,15740,126220,0,0,58120,12638,0,0,684,51,0,0,0,0,15800,28044,0,0,0,0,41,0,0,1851985,0,0,292,1805,0,0,0,0,32221
"G1300310","1890","Georgia","130","Bulloch","0310","Bulloch","44","310",13712,66452,367752,1658890,45170,401620,0,0,267902,32738,791,50,6549,2198,0,0,0,0,96100,80221,0,0,0,0,0,0,0,26440,0,0,0,18953,0,0,5316,25,58422
"G1300330","1890","Georgia","130","Burke","0330","Burke","44","330",28501,246517,204760,2700330,158480,632460,0,0,598585,64061,181,310,37698,9169,0,0,0,0,1500,37340,0,4489,0,0,1582,13,0,0,0,0,51,25625,153,0,1700,498,76972
"G1300350","1890","Georgia","130","Butts","0350","Butts","44","350",10565,54303,54384,936310,29730,191770,0,0,174342,17895,111,7951,10810,3352,0,0,0,0,450,5817,0,8948,0,0,143,14,0,0,0,0,0,2376,25,0,483,600,25481
"G1300370","1890","Georgia","130","Calhoun","0370","Calhoun","44","370",8438,70150,81042,661370,47470,208240,0,0,192368,25486,73,21,10056,1978,0,0,0,0,8550,41177,0,0,0,0,1,0,0,6825,0,0,0,3436,100,0,14619,71,28649
"G1300390","1890","Georgia","130","Camden","0390","Camden","44","390",6178,7122,90524,313570,13580,115160,0,0,25607,790,0,0,4,0,0,0,0,0,1200,19453,0,0,0,0,82,7,0,2743210,0,0,2,505,0,0,278,145,48006
"G1300395","1890","Georgia","130","Campbell","0395","Campbell","44","410",9115,58376,68569,1011250,30720,144390,0,0,156174,29624,5,4972,7181,1481,0,0,0,0,0,1114,0,11649,0,0,164,0,0,75,0,0,7,1439,76,0,627,715,22765
"G1300450","1890","Georgia","130","Carroll","0450","Carroll","44","450",22301,116214,119771,1811050,59350,403790,72,12,450769,80018,353,16065,17635,5811,0,0,0,0,600,3638,0,60834,0,0,347,0,0,0,1932,0,33,2592,48,0,813,1875,60285
"G1300470","1890","Georgia","130","Catoosa","0470","Catoosa","44","470",5431,34489,58100,734900,29340,140500,0,1,182488,30640,0,11351,1040,275,0,0,0,0,0,350,0,6916,0,0,2904,0,0,0,2940,0,66,209,41,0,67,13956,20046
"G1300490","1890","Georgia","130","Charlton","0490","Charlton","44","490",3335,6374,122016,117320,5850,114530,0,0,28551,2546,0,0,268,13,0,0,0,0,10950,16184,0,0,0,0,0,0,0,16555,0,0,0,738,5,0,662,25,32709
"G1300510","1890","Georgia","130","Chatham","0510","Chatham","44","510",57740,24804,59004,3021600,53500,173660,0,0,37675,2733,0,0,9,0,0,0,0,0,0,2907,0,0,0,0,1799,0,0,4602661,0,0,1,402,90,0,0,103680,85706
"G1300530","1890","Georgia","130","Chattahoochee","0530","Chattahoochee","44","530",4902,41700,81477,399160,13740,81410,0,0,94816,10782,295,70,4505,450,0,0,0,0,1560,16278,0,1414,0,0,7,3,0,750,0,0,0,6111,89,0,1350,101,12032
"G1300550","1890","Georgia","130","Chattooga","0550","Chattooga","44","550",11202,62166,89063,1258080,36520,239120,0,0,308243,52967,954,19994,6460,1194,0,0,0,0,0,0,0,27482,0,0,1885,24,0,0,2679,0,25,1691,289,0,177,6014,22406
"G1300570","1890","Georgia","130","Cherokee","0570","Cherokee","44","570",15412,76671,138673,1361870,35100,265540,0,0,399525,53821,475,26603,5749,709,0,0,0,0,0,0,0,21979,0,0,344,0,0,0,46945,0,3,1563,135,0,155,5560,40657
"G1300590","1890","Georgia","130","Clarke","0590","Clarke","44","590",15186,32878,24142,766810,14890,118620,80,10,52139,18981,212,3824,5471,1532,0,0,0,0,0,0,0,3825,0,0,833,0,0,0,0,0,0,3200,3,0,22,1887,16766
"G1300610","1890","Georgia","130","Clay","0610","Clay","44","610",7817,39776,40909,435230,19310,115050,0,0,114153,25031,0,0,8150,815,0,0,0,0,120,42017,0,115,0,0,5,0,0,0,100,0,0,1944,0,0,1638,0,34501
"G1300630","1890","Georgia","130","Clayton","0630","Clayton","44","630",8295,43328,40649,1042420,29690,154600,85,0,129811,25051,86,3241,6739,1585,0,0,0,0,0,1265,0,9447,0,0,115,0,0,0,0,0,1,1661,125,0,343,1347,24201
"G1300650","1890","Georgia","130","Clinch","0650","Clinch","44","650",6652,14566,190288,249470,10570,106190,0,0,59859,8765,0,0,822,41,0,0,0,0,4100,36778,0,0,0,0,4,0,0,78426,0,0,15,1154,40,0,1201,190,37764
"G1300670","1890","Georgia","130","Cobb","0670","Cobb","44","670",22286,98240,80609,2058610,74860,322930,10,0,347786,57662,500,22720,10631,2930,0,0,0,0,0,801,5,30071,0,0,1651,16,0,0,180,0,27,2482,18,6000,275,2880,50829
"G1300690","1890","Georgia","130","Coffee","0690","Coffee","44","690",10483,29235,526971,821520,53670,405000,0,0,117859,15991,1,0,2067,206,0,0,0,0,10650,45154,0,0,0,0,150,0,0,31199,100,0,5,5477,17,0,2569,0,64086
"G1300710","1890","Georgia","130","Colquitt","0710","Colquitt","44","710",4794,19138,180589,429330,13260,162150,0,0,79892,16763,2,0,2608,977,0,0,0,0,20550,27268,0,0,0,0,0,0,0,20330,0,0,16,1119,0,0,2800,0,29791
"G1300730","1890","Georgia","130","Columbia","0730","Columbia","44","730",11281,74119,77129,1114470,43160,198450,10,0,160012,47133,6,1063,10910,2365,0,0,0,0,0,3091,0,5220,0,0,463,0,0,780,0,0,0,7552,26,0,508,1191,33025
"G1300770","1890","Georgia","130","Coweta","0770","Coweta","44","770",22354,138994,111466,2507640,84445,400170,258,300,297803,62232,239,14108,24659,8235,0,0,0,0,1200,8138,0,29922,0,0,1124,0,0,0,163,0,42,5182,194,0,565,1193,58075
"G1300790","1890","Georgia","130","Crawford","0790","Crawford","44","790",9315,73141,93465,788580,38710,204970,16,0,206785,25794,100,574,10460,941,0,0,0,0,0,29777,0,2437,0,0,102,0,0,0,0,0,61,9252,0,0,7074,515,37455
"G1300830","1890","Georgia","130","Dade","0830","Dade","44","830",5707,19561,32016,545620,15870,104790,140,0,156542,27028,0,6992,59,3,0,0,0,0,0,0,0,8210,0,0,1314,30,6,0,2380,0,0,259,56,0,12,11904,6533
"G1300850","1890","Georgia","130","Dawson","0850","Dawson","44","850",5612,42120,82436,535230,15550,117300,45,40,187783,17030,724,18347,1218,305,0,0,0,0,0,0,0,17106,0,0,534,0,0,0,3627,0,6,810,722,0,19,4780,19349
"G1300870","1890","Georgia","130","Decatur","0870","Decatur","44","870",19949,82126,208225,975960,31430,400930,0,0,303464,50679,183,0,9405,1303,0,0,0,0,91800,148177,0,0,0,0,41,0,0,37475,25812,0,0,2929,16,0,33306,219,73986
"G1300890","1890","Georgia","130","DeKalb","0890","De Kalb","44","890",17189,69921,75843,2957890,41950,313190,34,0,245530,40661,203,10936,6972,2534,0,0,0,0,0,1070,0,17991,0,0,2107,0,6,0,25,0,0,1510,25,0,80,7493,57015
"G1300910","1890","Georgia","130","Dodge","0910","Dodge","44","910",11452,38003,134244,643190,29710,165210,0,0,128378,11268,67,0,4952,1238,0,0,0,0,3500,37409,0,0,0,0,39,0,0,200,0,0,233,6880,8,20,342,300,32378
"G1300930","1890","Georgia","130","Dooly","0930","Dooly","44","930",18146,95188,142109,1102400,74680,359130,0,0,363880,36668,1307,568,15791,3690,0,0,0,0,0,84120,0,0,0,0,0,0,0,0,0,0,3271,14958,0,0,35459,2061,66805
"G1300950","1890","Georgia","130","Dougherty","0950","Dougherty","44","950",12206,71073,37092,664540,40870,199170,0,0,163810,35522,23,0,10186,1388,0,0,0,0,0,23762,0,0,0,0,104,0,0,3450,0,0,15,7872,45,0,1188,205,26548
"G1300970","1890","Georgia","130","Douglas","0970","Douglas","44","970",7794,50013,58580,983310,31330,146820,20,0,165275,38474,18,3493,5801,648,0,0,0,0,0,326,0,16935,0,0,1240,0,0,0,160,0,159,639,433,0,129,1759,28192
"G1300990","1890","Georgia","130","Early","0990","Early","44","990",9792,63994,85566,595280,25340,207150,0,200,183269,15629,12,36,8313,3389,0,0,0,0,0,57450,0,54,0,0,100,0,0,1900,0,0,4,928,95,0,6981,0,22698
"G1301010","1890","Georgia","130","Echols","1010","Echols","44","1010",3079,17851,100734,173320,10870,90500,0,0,52936,5145,92,0,1020,479,0,0,0,0,34350,15790,0,0,0,0,9,0,0,4040,0,0,0,1000,12,0,8828,0,15430
"G1301030","1890","Georgia","130","Effingham","1030","Effingham","44","1030",5599,26804,167683,473430,22790,135070,0,0,99688,7622,22,0,789,118,0,0,0,0,42000,35678,0,0,0,0,39,0,0,60020,0,0,24,749,11,0,388,5608,19310
"G1301050","1890","Georgia","130","Elbert","1050","Elbert","44","1050",15376,92118,72724,1331950,42730,274800,97,7,238206,54519,252,22135,15195,1391,0,0,0,0,0,54,0,22737,0,0,493,0,0,0,150,0,62,5039,25,0,141,689,47025
"G1301070","1890","Georgia","130","Emanuel","1070","Emanuel","44","1070",14703,75531,398340,1307280,59480,428350,0,0,319841,39000,131,68,8450,1538,0,0,0,0,102900,133358,0,15,0,0,97,0,0,20866,55,0,952,39838,0,0,1629,119,72315
"G1301110","1890","Georgia","130","Fannin","1110","Fannin","44","1110",8724,41332,136817,483130,18150,148670,0,0,250488,11327,10400,8189,13,6,0,0,0,0,0,0,0,9730,0,0,767,0,0,0,3925,0,37,241,331,0,0,18465,13882
"G1301130","1890","Georgia","130","Fayette","1130","Fayette","44","1130",8728,54784,46271,993240,28010,168040,25,15,162214,17837,31,3626,8912,1327,0,0,0,0,1200,3158,0,5408,0,0,232,0,0,0,175,0,11,1988,16,0,387,608,14959
"G1301150","1890","Georgia","130","Floyd","1150","Floyd","44","1150",28391,104530,141889,3022660,88540,509720,105,82,506377,102642,304,20418,11805,3153,0,0,0,0,0,0,0,46604,0,0,3542,0,0,0,4341,0,67,2457,11,0,265,9660,55926
"G1301170","1890","Georgia","130","Forsyth","1170","Forsyth","44","1170",11155,65873,71513,888420,32940,200350,19,20,266080,44048,505,31031,5477,684,0,0,0,0,0,0,0,16903,0,0,82,0,5,0,8690,0,17,2193,337,0,325,1118,40164
"G1301190","1890","Georgia","130","Franklin","1190","Franklin","44","1190",14670,75415,107269,1372800,49700,251410,0,0,241050,52111,47,29514,10987,2637,0,0,0,0,0,0,0,23282,0,0,324,0,0,0,435,0,20,697,32,0,59,2421,55967
"G1301210","1890","Georgia","130","Fulton","1210","Fulton","44","1210",84655,33956,40211,5035230,47730,223250,25,0,186703,42043,3132,4008,2659,399,0,0,0,0,0,122,0,4983,0,0,2440,0,0,0,250,0,148,3300,407,0,102,26033,92502
"G1301230","1890","Georgia","130","Gilmer","1230","Gilmer","44","1230",9074,38289,183539,521310,15090,152330,0,0,252993,15238,4967,13863,88,4,0,0,0,0,0,0,0,24318,0,0,955,0,0,0,18992,0,3,610,1096,0,1,14762,19611
"G1301250","1890","Georgia","130","Glascock","1250","Glascock","44","1250",3720,32637,47423,327360,20570,84090,0,0,95530,12082,177,4398,3316,764,0,0,0,0,0,2357,0,1676,0,0,0,0,0,0,0,0,0,14434,210,0,495,190,11548
"G1301270","1890","Georgia","130","Glynn","1270","Glynn","44","1270",13420,5151,48653,316620,6260,74080,0,0,13155,1311,0,0,0,0,0,0,0,0,2950,7135,0,0,0,0,15,0,0,810025,0,0,0,160,0,0,250,1011,25968
"G1301290","1890","Georgia","130","Gordon","1290","Gordon","44","1290",12758,89570,90595,1545840,47850,294410,0,0,433781,38541,346,57164,4768,668,0,0,0,0,0,0,0,14267,0,0,2490,36,9,0,12558,0,0,1676,59,0,45,1427,10142
"G1301330","1890","Georgia","130","Greene","1330","Greene","44","1330",17051,136503,87469,1829870,94530,336950,172,0,272335,40553,236,9073,17575,3366,0,0,0,0,0,2815,0,32530,0,0,1608,8,0,0,0,0,115,13024,528,0,770,12087,76853
"G1301350","1890","Georgia","130","Gwinnett","1350","Gwinnett","44","1350",19899,123381,151603,1740130,47840,345500,21,0,422024,66920,786,36004,11301,1200,0,0,0,0,0,68,0,38662,0,0,290,0,1,0,997,0,35,3053,19,0,794,2508,66279
"G1301370","1890","Georgia","130","Habersham","1370","Habersham","44","1370",11573,34473,148319,772840,22290,141210,0,0,210861,16507,1802,8025,1074,303,0,0,0,0,0,0,0,9704,0,0,539,0,0,4850,3114,0,34,530,359,0,70,3796,24837
"G1301390","1890","Georgia","130","Hall","1390","Hall","44","1390",18047,75200,146209,1365130,41160,258460,24,110,331140,38716,372,29679,6074,607,0,0,0,0,0,0,0,26217,0,0,599,0,0,400,15517,0,78,2686,271,40,451,5063,41173
"G1301410","1890","Georgia","130","Hancock","1410","Hancock","44","1410",17149,124980,136423,1661670,61370,336850,99,82,258133,67173,841,8120,17846,5094,0,0,0,0,0,8895,0,18744,0,0,320,0,0,420,160,0,3220,46935,399,0,2864,5671,79496
"G1301430","1890","Georgia","130","Haralson","1430","Haralson","44","1430",11316,39060,76705,750530,27620,141560,25,35,188161,33037,71,8152,3460,653,0,0,0,0,0,0,0,17344,0,0,62,0,0,0,4511,0,11,1264,83,0,126,2590,22408
"G1301450","1890","Georgia","130","Harris","1450","Harris","44","1450",16797,126348,110578,1476250,51370,310900,87,45,276733,36123,155,2628,17780,3248,0,0,0,0,1500,53624,0,15927,0,0,636,0,0,400,0,0,59,5437,2,0,1089,924,54581
"G1301470","1890","Georgia","130","Hart","1470","Hart","44","1470",10887,73486,65591,1145210,37650,192550,20,11,150736,28647,247,29690,9682,2053,0,0,0,0,0,0,0,23908,0,0,22,0,0,0,6505,0,0,1620,11,0,136,870,32888
"G1301490","1890","Georgia","130","Heard","1490","Heard","44","1490",9557,66404,93606,915800,35470,196060,10,0,221644,37122,45,5101,8170,587,0,0,0,0,0,5348,0,28194,0,0,96,0,0,0,755,0,3,1512,0,100,259,183,30516
"G1301510","1890","Georgia","130","Henry","1510","Henry","44","1510",16220,109749,73742,1384380,71800,321750,0,0,303103,29107,2069,18770,17193,3841,0,0,0,0,300,9289,0,17330,0,0,240,0,0,0,0,0,0,8762,335,0,591,2002,46573
"G1301530","1890","Georgia","130","Houston","1530","Houston","44","1530",21613,190055,111197,2525040,102060,428010,22,0,438457,88142,791,4168,24288,5712,0,0,0,0,12950,47731,0,680,0,0,454,0,0,4500,168,0,0,23732,115,0,23803,792,83260
"G1301550","1890","Georgia","130","Irwin","1550","Irwin","44","1550",6316,30273,318399,725670,27850,205670,0,0,104243,27860,10,7,3105,155,0,0,0,0,19350,42436,0,0,0,0,0,0,0,6810,0,0,0,4650,17,0,537,0,38742
"G1301570","1890","Georgia","130","Jackson","1570","Jackson","44","1570",19176,123745,84176,1771370,81380,379290,0,0,347524,59758,144,45859,16490,3779,0,0,0,0,0,0,0,40222,0,0,297,10,0,0,530,0,17,1773,25,0,185,3171,51144
"G1301590","1890","Georgia","130","Jasper","1590","Jasper","44","1590",13879,99767,94100,1171870,37430,275940,45,0,283530,30185,0,9266,14553,5446,0,0,0,0,0,7668,0,14337,0,0,153,4,0,0,300,0,0,4346,12,0,139,532,56968
"G1301630","1890","Georgia","130","Jefferson","1630","Jefferson","44","1630",17213,112863,124205,1513360,79870,338800,0,0,335066,61369,1866,1716,15272,2596,0,0,0,0,0,18674,0,2263,0,0,53,0,0,0,0,0,670,12810,0,0,2537,78,25028
"G1301670","1890","Georgia","130","Johnson","1670","Johnson","44","1670",6129,26839,68116,489810,12150,104650,0,0,99239,6226,36,23,4233,317,0,0,0,0,0,20256,0,0,0,0,0,0,0,0,0,0,793,0,0,0,240,0,14984
"G1301690","1890","Georgia","130","Jones","1690","Jones","44","1690",12709,118016,100834,1350220,54580,306490,120,0,299580,38091,74,1615,15085,4862,0,0,0,0,5250,7947,0,4172,0,0,376,0,0,0,0,0,0,9574,160,0,364,611,57671
"G1301750","1890","Georgia","130","Laurens","1750","Laurens","44","1750",13747,95167,209250,1190090,55835,287490,0,60,305763,33139,491,100,11318,566,0,0,0,0,10050,94156,0,143,0,0,0,0,0,0,25,0,182,23765,7,0,4042,1130,79123
"G1301770","1890","Georgia","130","Lee","1770","Lee","44","1770",9074,84967,76227,696500,44770,190920,0,0,219678,47720,265,286,11439,3195,0,0,0,0,47400,33342,0,40,0,0,13,0,0,3200,0,0,17,9185,5,0,4131,444,36079
"G1301790","1890","Georgia","130","Liberty","1790","Liberty","44","1790",12887,41528,254298,672320,28430,279100,0,0,108075,13375,55,0,615,156,0,0,0,0,65000,64792,0,90,0,0,47,0,0,1842542,575,0,5,2990,15,0,699,664,71205
"G1301810","1890","Georgia","130","Lincoln","1810","Lincoln","44","1810",6146,50601,71011,664770,25980,133690,75,0,110536,61756,8,7291,5389,135,0,0,0,0,0,70,0,12858,0,0,143,0,0,0,265,0,0,5021,0,0,710,395,22090
"G1301850","1890","Georgia","130","Lowndes","1850","Lowndes","44","1850",15102,91868,165448,984090,65990,286680,0,20,218143,56155,77,500,6289,629,0,0,0,0,91800,67289,0,0,0,0,16,2,0,30125,3000,0,0,1777,1335,0,35365,1067,72992
"G1301870","1890","Georgia","130","Lumpkin","1870","Lumpkin","44","1870",6867,26064,86323,331720,14450,88660,21,0,144552,10236,495,7975,254,0,0,0,0,0,0,0,0,14420,0,0,290,0,0,180,6797,0,22,806,1165,0,19,4897,12008
"G1301890","1890","Georgia","130","McDuffie","1890","Mcduffie","44","1890",8789,59536,62619,597830,23820,137830,95,28,127908,38934,18,2015,7690,1624,0,0,0,0,0,2024,0,11266,0,0,178,0,0,0,0,0,151,15716,8,0,740,400,39016
"G1301910","1890","Georgia","130","McIntosh","1910","Mcintosh","44","1910",6470,19240,37704,522030,18400,71900,0,0,17308,852,30,0,22,0,0,0,0,0,0,8971,0,0,0,0,118,0,0,1916377,0,0,21,1526,50,0,1035,575,28631
"G1301930","1890","Georgia","130","Macon","1930","Macon","44","1930",13183,106069,71672,1143390,45630,237160,0,0,233843,34371,202,2308,14516,1743,0,0,0,0,2800,46992,0,0,0,0,152,0,0,360,0,0,62,27721,291,0,21601,340,34260
"G1301950","1890","Georgia","130","Madison","1950","Madison","44","1950",11024,66376,89442,1083390,41250,208590,7,0,178494,36024,198,25207,9505,238,0,0,0,0,0,0,0,13281,0,0,80,0,0,0,150,0,16,2628,18,0,123,270,37395
"G1301970","1890","Georgia","130","Marion","1970","Marion","44","1970",7728,59275,61647,560920,25800,130440,0,0,158440,20195,3101,2063,7381,1206,0,0,0,0,20770,29802,0,910,0,0,11,0,0,270,30,0,0,9254,25,0,3694,756,23615
"G1301990","1890","Georgia","130","Meriwether","1990","Meriwether","44","1990",20740,153084,126503,2606820,95490,388130,194,300,392690,56158,785,6881,24667,5962,0,0,0,0,100,22063,0,41046,0,0,352,0,0,0,0,0,24,10913,39,0,2097,3975,64221
"G1302010","1890","Georgia","130","Miller","2010","Miller","44","2010",4275,28851,88354,361370,8770,161150,0,0,108914,21715,0,0,3549,532,0,0,0,0,1200,34708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13710,0,25095
"G1302015","1890","Georgia","130","Milton","2015","Milton","44","2030",6208,41481,38860,690700,13600,124920,0,0,163429,35887,170,12111,3763,470,0,0,0,0,0,0,0,14168,0,0,279,0,0,0,707,0,0,2118,56,0,208,3011,20290
"G1302050","1890","Georgia","130","Mitchell","2050","Mitchell","44","2050",10906,76913,101585,829740,36300,256190,0,0,232746,40710,88,0,10265,1950,0,0,0,0,6600,39979,0,0,0,0,14,0,0,1200,0,0,0,892,0,0,0,90,24315
"G1302070","1890","Georgia","130","Monroe","2070","Monroe","44","2070",19137,161404,116546,1954840,100240,410650,485,75,373633,56159,1048,12394,23408,5852,0,0,0,0,9650,23967,0,33063,0,0,584,9,0,0,10,0,276,16409,106,0,4289,3765,93198
"G1302090","1890","Georgia","130","Montgomery","2090","Montgomery","44","2090",9248,41288,254883,532580,22015,241360,0,0,168865,23396,0,32,2215,723,0,0,0,0,45750,59111,0,0,0,0,102,0,0,3410,0,0,47,13405,1107,0,2936,0,48563
"G1302110","1890","Georgia","130","Morgan","2110","Morgan","44","2110",16041,102811,79458,1608040,55930,281950,826,0,235003,30310,102,7095,19300,5403,0,0,0,0,0,1343,0,7275,0,0,1255,0,0,0,0,0,66,5741,0,0,264,782,35475
"G1302130","1890","Georgia","130","Murray","2130","Murray","44","2130",8461,48337,85535,848570,33510,198420,0,0,248364,36427,1382,23814,3073,844,0,0,0,0,0,0,0,9537,0,0,2527,138,58,0,4102,0,9,2310,38,0,82,3653,9758
"G1302150","1890","Georgia","130","Muscogee","2150","Muscogee","44","2150",27761,48032,54486,1193050,32910,166550,0,200,110971,18518,262,84,7005,708,0,0,0,0,46500,16591,0,3165,0,0,341,0,90,0,0,0,42,5340,70,0,751,1843,37800
"G1302170","1890","Georgia","130","Newton","2170","Newton","44","2170",14310,100654,57799,1425960,58260,244120,32,0,182636,31114,209,6705,14723,1550,0,0,0,0,0,1417,0,11624,0,0,1371,2,0,0,75,0,4,2187,16,0,1466,557,41443
"G1302190","1890","Georgia","130","Oconee","2190","Oconee","44","2190",7713,57499,39988,673390,18210,163470,0,0,132371,19703,271,9997,8232,617,0,0,0,0,0,0,0,10832,0,0,309,0,0,0,25,0,40,4413,10,0,221,581,19335
"G1302210","1890","Georgia","130","Oglethorpe","2210","Oglethorpe","44","2210",16951,135396,124801,1859260,81840,329970,283,325,283008,57139,2360,38560,21294,6110,0,0,0,0,0,3230,0,24992,0,0,1187,0,0,500,0,0,301,16724,94,0,714,6297,49993
"G1302230","1890","Georgia","130","Paulding","2230","Paulding","44","2230",11948,76231,85499,1000190,50800,217010,0,80,262125,44550,149,11645,7670,920,0,0,0,0,0,0,0,27002,0,0,50,0,0,0,1355,0,104,369,41,0,290,2438,34725
"G1302270","1890","Georgia","130","Pickens","2270","Pickens","44","2270",8182,35434,94132,556810,9360,107930,0,0,185799,17314,718,19791,876,120,0,0,0,0,0,0,0,5606,0,0,85,2,0,0,23390,0,86,613,331,0,0,1489,11868
"G1302290","1890","Georgia","130","Pierce","2290","Pierce","44","2290",6379,17257,172069,480760,34650,216550,0,0,76134,7301,0,0,1405,527,0,0,0,0,29300,37507,0,0,0,0,37,0,0,32200,0,0,0,1415,0,0,1694,708,43911
"G1302310","1890","Georgia","130","Pike","2310","Pike","44","2310",16300,103017,72483,1901320,52230,326700,9,0,270840,20161,352,7264,16586,3234,0,0,0,0,0,11915,0,32532,0,0,151,0,25,3600,96,0,3,9285,0,0,539,1296,59735
"G1302330","1890","Georgia","130","Polk","2330","Polk","44","2330",14945,72060,65366,1322230,43730,227080,0,10,301460,62416,111,25066,8214,1445,0,0,0,0,0,441,0,28250,0,0,1470,8,0,60,1393,0,0,1571,8,0,71,3966,16035
