GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002,AJ1001,AJ1002,AJ1003,AJ1004,AJ1005,AJ1006,AJ1007,AJ1008,AJ1009,AJ1010,AJ1011,AJ1012,AJ1013,AJ1014,AJ1015,AJ1016,AJ1017,AJ1018,AJ1019,AJ1020,AJ1021,AJ1022,AJ1023,AJ1024,AJ1025,AJ1026,AJ1027,AJ1028,AJ1029,AJ1030,AJ1031,AJ1032,AJ1033,AJ1034
"G0100390","1870","Alabama","010","Covington","0390","Covington","41","390",4868,14048,65203,280,123443,5188,0,0,0,63389,465,0,0,1179,330,689,7078,1376,210,16264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9646,0,0,0,625
"G0100410","1870","Alabama","010","Crenshaw","0410","Crenshaw","41","410",11156,74115,131262,60,684870,34571,50,10,0,263615,2565,0,0,10855,317,4638,2847,2458,351,45320,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12690,0,76,1348
"G0100450","1870","Alabama","010","Dale","0450","Dale","41","450",11325,76083,163156,10901,437060,22293,0,60,89,225364,14444,165,0,34152,3258,4273,5045,19285,306,49728,3,41291,0,0,0,0,0,0,0,0,0,0,9,0,0,29594,0,0,743,10722
"G0100470","1870","Alabama","010","Dallas","0470","Dallas","41","470",40705,168156,193366,58240,3112373,89523,1038,257,55,436701,18101,250,0,6000,130,24819,1926,2956,5567,35968,163,63122,0,3400,366,0,0,2,0,20,0,0,0,0,0,0,40,0,117,5368
"G0100490","1870","Alabama","010","DeKalb","0490","Dekalb","41","490",7126,44188,67457,1718,534924,46477,1,36879,1651,209994,12088,58,30,0,6707,205,11909,1543,8241,20488,2,91042,1160,5,172,2,18,0,0,0,0,0,0,0,0,5907,6839,0,213,6276
"G0100510","1870","Alabama","010","Elmore","0510","Elmore","41","510",14477,73524,233684,5976,924020,44111,0,10330,103,198371,18078,57,0,0,115,7295,2547,5697,335,32560,0,57673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,501,7675
"G0100530","1870","Alabama","010","Escambia","0530","Escambia","41","530",4041,7783,49222,180,36999,3108,0,0,15,30390,240,0,0,2665,175,605,9965,210,30,31665,0,10780,100,0,117,0,0,0,0,0,0,0,0,0,0,0,1395,0,0,100
"G0100550","1870","Alabama","010","Etowah","0550","Etowah","41","550",10109,37277,124545,3930,750420,37836,41128,0,88,181034,9300,49,0,0,4441,1383,13791,252,2321,16745,0,58057,0,0,15,3,0,0,0,0,0,0,0,0,0,0,13545,0,412,6348
"G0100570","1870","Alabama","010","Fayette","0570","Fayette","41","570",7136,40897,221489,80,325385,17043,5956,8310,302,201228,13283,369,0,10,3254,1909,13194,4730,1957,27702,40,97350,20,0,971,0,0,0,0,0,0,0,0,0,0,0,6435,0,1109,11037
"G0100590","1870","Alabama","010","Franklin","0590","Franklin","41","590",8006,41036,169902,2221,488593,29851,8890,180,310,264136,7055,0,0,0,6656,2072,6142,1488,4490,10584,0,31061,0,0,593,7,0,0,0,0,0,0,0,0,0,0,5869,0,77,4565
