GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AG3001,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006,AG6001,AG6002
"G0100010","1860","Alabama","010","Autauga","0010","Autauga","41","10",16739,7105,14,9607,13,,,125234,778906
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin","41","30",7530,3585,140,3714,91,,,20495,294470
"G0100050","1860","Alabama","010","Barbour","0050","Barbour","41","50",30812,14629,33,16150,0,,,181321,1225193
"G0100070","1860","Alabama","010","Bibb","0070","Bibb","41","70",11894,8027,25,3842,0,,,112325,608458
"G0100090","1860","Alabama","010","Blount","0090","Blount","41","90",10865,10193,6,666,0,,,54835,305025
"G0100130","1860","Alabama","010","Butler","0130","Butler","41","130",18122,11260,44,6818,0,,,101432,746735
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun","41","150",21539,17169,28,4342,0,,,150088,812766
"G0100170","1860","Alabama","010","Chambers","0170","Chambers","41","170",23214,11315,50,11849,0,,,216501,1132376
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee","41","190",18360,15321,37,3002,0,,,166508,739631
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw","41","230",13877,6767,16,7094,0,,,112246,678377
"G0100250","1860","Alabama","010","Clarke","0250","Clarke","41","250",15049,7599,14,7436,0,,,143281,808820
"G0100310","1860","Alabama","010","Coffee","0310","Coffee","41","310",9623,8200,6,1417,0,,,41228,392032
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh","41","350",11311,6419,10,4882,0,,,73492,458986
"G0100370","1860","Alabama","010","Coosa","0370","Coosa","41","370",19273,14044,11,5212,6,,,146061,909070
"G0100390","1860","Alabama","010","Covington","0390","Covington","41","390",6469,5631,17,821,0,,,39266,324362
"G0100450","1860","Alabama","010","Dale","0450","Dale","41","450",12197,10379,7,1809,2,,,83868,550691
"G0100470","1860","Alabama","010","Dallas","0470","Dallas","41","470",33625,7785,80,25760,0,,,245541,1716129
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb","41","490",10705,9853,4,848,0,,,74053,496116
"G0100570","1860","Alabama","010","Fayette","0570","Fayette","41","570",12850,11145,2,1703,0,,,96246,501713
"G0100590","1860","Alabama","010","Franklin","0590","Franklin","41","590",18627,10119,13,8495,0,,,140228,838487
"G0100630","1860","Alabama","010","Greene","0630","Greene","41","630",30859,7251,10,23598,0,,,259471,1746454
"G0100670","1860","Alabama","010","Henry","0670","Henry","41","670",14918,10464,21,4433,0,,,99118,621480
"G0100710","1860","Alabama","010","Jackson","0710","Jackson","41","710",18283,14811,67,3405,0,,,98255,837307
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson","41","730",11746,9078,19,2649,0,,,95261,552095
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale","41","770",17420,10639,44,6737,0,,,154512,845171
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence","41","790",13975,7173,14,6788,0,,,91730,768543
"G0100830","1860","Alabama","010","Limestone","0830","Limestone","41","830",15306,7215,6,8085,0,,,114529,718902
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes","41","850",27716,8362,14,19340,0,,,405489,1661362
"G0100870","1860","Alabama","010","Macon","0870","Macon","41","870",26802,8624,1,18176,1,,,152394,1291568
"G0100890","1860","Alabama","010","Madison","0890","Madison","41","890",26451,11685,192,14573,1,,,184277,1107685
"G0100910","1860","Alabama","010","Marengo","0910","Marengo","41","910",31171,6761,1,24409,0,,,301473,1699142
"G0100930","1860","Alabama","010","Marion","0930","Marion","41","930",11182,9893,5,1283,1,,,85834,493607
"G0100950","1860","Alabama","010","Marshall","0950","Marshall","41","950",11472,9596,51,1821,4,,,71393,518027
"G0100970","1860","Alabama","010","Mobile","0970","Mobile","41","970",41131,28559,1195,11376,1,,,40758,389430
"G0100990","1860","Alabama","010","Monroe","0990","Monroe","41","990",15667,6878,46,8705,38,,,144549,673257
"G0101010","1860","Alabama","010","Montgomery","1010","Montgomery","41","1010",35904,12122,70,23710,2,,,326229,1748273
"G0101030","1860","Alabama","010","Morgan","1030","Morgan","41","1030",11335,7592,37,3706,0,,,77076,546110
"G0101050","1860","Alabama","010","Perry","1050","Perry","41","1050",27724,9479,39,18206,0,,,276479,1305872
"G0101070","1860","Alabama","010","Pickens","1070","Pickens","41","1070",22316,10117,8,12191,0,,,263403,1229332
"G0101090","1860","Alabama","010","Pike","1090","Pike","41","1090",24435,15646,4,8785,0,,,165763,1133938
"G0101110","1860","Alabama","010","Randolph","1110","Randolph","41","1110",20059,18132,23,1904,0,,,105930,679785
"G0101130","1860","Alabama","010","Russell","1130","Russell","41","1130",26592,10936,18,15638,0,,,208958,964095
"G0101150","1860","Alabama","010","St Clair","1150","St Clair","41","1150",11013,9236,9,1768,0,,,75371,306026
"G0101170","1860","Alabama","010","Shelby","1170","Shelby","41","1170",12618,8970,26,3622,0,,,82123,442289
"G0101190","1860","Alabama","010","Sumter","1190","Sumter","41","1190",24035,5919,25,18091,0,,,248997,1181240
"G0101210","1860","Alabama","010","Talladega","1210","Talladega","41","1210",23520,14634,21,8865,0,,,184704,929590
"G0101230","1860","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",23827,17154,1,6672,0,,,198236,983087
"G0101250","1860","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",23200,12971,84,10145,0,,,260551,1716130
"G0101270","1860","Alabama","010","Walker","1270","Walker","41","1270",7980,7461,0,519,0,,,57797,292831
"G0101290","1860","Alabama","010","Washington","1290","Washington","41","1290",4669,2119,56,2494,0,,,23920,295576
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox","41","1310",24618,6795,26,17797,0,,,233165,1303368
"G0101330","1860","Alabama","010","Winston","1330","Winston","41","1330",3576,3454,0,122,0,,,21184,111796
"G0500010","1860","Arkansas","050","Arkansas","0010","Arkansas","42","10",8844,3923,0,4921,0,,,175999,632069
"G0500030","1860","Arkansas","050","Ashley","0030","Ashley","42","30",8590,4829,0,3761,0,,,126402,446241
"G0500070","1860","Arkansas","050","Benton","0070","Benton","42","70",9306,8905,1,384,16,,,70544,494380
"G0500110","1860","Arkansas","050","Bradley","0110","Bradley","42","110",8388,5698,0,2690,0,,,109668,395306
"G0500130","1860","Arkansas","050","Calhoun","0130","Calhoun","42","130",4103,3122,0,981,0,,,30647,163542
"G0500150","1860","Arkansas","050","Carroll","0150","Carroll","42","150",9383,9053,0,330,0,,,62775,606162
"G0500170","1860","Arkansas","050","Chicot","0170","Chicot","42","170",9234,1722,0,7512,0,,,234555,572910
"G0500190","1860","Arkansas","050","Clark","0190","Clark","42","190",9735,7516,5,2214,0,,,65452,461429
"G0500270","1860","Arkansas","050","Columbia","0270","Columbia","42","270",12449,8845,5,3599,0,,,156534,615518
"G0500290","1860","Arkansas","050","Conway","0290","Conway","42","290",6697,5895,0,802,0,,,33470,336848
"G0500310","1860","Arkansas","050","Craighead","0310","Craighead","42","310",3066,2978,1,87,0,,,16589,108699
"G0500330","1860","Arkansas","050","Crawford","0330","Crawford","42","330",7850,6986,6,858,0,,,50663,297229
"G0500350","1860","Arkansas","050","Crittenden","0350","Crittenden","42","350",4920,2573,0,2347,0,,,51871,333843
"G0500390","1860","Arkansas","050","Dallas","0390","Dallas","42","390",8283,4788,1,3494,0,,,75500,348141
"G0500410","1860","Arkansas","050","Desha","0410","Desha","42","410",6459,2655,20,3784,0,,,128064,403250
"G0500430","1860","Arkansas","050","Drew","0430","Drew","42","430",9078,5581,0,3497,0,,,67024,447800
"G0500470","1860","Arkansas","050","Franklin","0470","Franklin","42","470",7298,6330,6,962,0,,,42288,402743
"G0500490","1860","Arkansas","050","Fulton","0490","Fulton","42","490",4024,3936,0,88,0,,,25268,201431
"G0500550","1860","Arkansas","050","Greene","0550","Greene","42","550",5843,5654,0,189,0,,,45666,311609
"G0500570","1860","Arkansas","050","Hempstead","0570","Hempstead","42","570",13989,8589,2,5398,0,,,156522,775743
"G0500590","1860","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",5635,5019,3,613,0,,,64013,313248
"G0500630","1860","Arkansas","050","Independence","0630","Independence","42","630",14307,12970,0,1337,0,,,107267,620398
"G0500650","1860","Arkansas","050","Izard","0650","Izard","42","650",7215,6831,0,382,2,,,32496,339969
"G0500670","1860","Arkansas","050","Jackson","0670","Jackson","42","670",10493,7957,1,2535,0,,,93719,475297
"G0500690","1860","Arkansas","050","Jefferson","0690","Jefferson","42","690",14971,7813,12,7146,0,,,276942,658332
"G0500710","1860","Arkansas","050","Johnson","0710","Johnson","42","710",7612,6639,0,973,0,,,155482,444800
"G0500730","1860","Arkansas","050","Lafayette","0730","Lafayette","42","730",8464,4146,7,4311,0,,,70945,461447
"G0500750","1860","Arkansas","050","Lawrence","0750","Lawrence","42","750",9372,8875,3,494,0,,,72614,574328
"G0500870","1860","Arkansas","050","Madison","0870","Madison","42","870",7740,7444,0,296,0,,,59917,408271
"G0500890","1860","Arkansas","050","Marion","0890","Marion","42","890",6192,5923,8,261,0,,,33379,291258
"G0500930","1860","Arkansas","050","Mississippi","0930","Mississippi","42","930",3895,2434,0,1461,0,,,22829,265395
"G0500950","1860","Arkansas","050","Monroe","0950","Monroe","42","950",5657,3431,0,2226,0,,,54438,302406
"G0500970","1860","Arkansas","050","Montgomery","0970","Montgomery","42","970",3633,3541,0,92,0,,,30635,202406
"G0501010","1860","Arkansas","050","Newton","1010","Newton","42","1010",3393,3369,0,24,0,,,17202,171739
"G0501030","1860","Arkansas","050","Ouachita","1030","Ouachita","42","1030",12936,8457,1,4478,0,,,102852,453696
"G0501050","1860","Arkansas","050","Perry","1050","Perry","42","1050",2465,2162,0,303,0,,,24518,145484
"G0501070","1860","Arkansas","050","Phillips","1070","Phillips","42","1070",14877,5931,4,8941,1,,,169685,780682
"G0501090","1860","Arkansas","050","Pike","1090","Pike","42","1090",4025,3798,0,227,0,,,35032,193480
"G0501110","1860","Arkansas","050","Poinsett","1110","Poinsett","42","1110",3621,2535,0,1086,0,,,40279,212315
"G0501130","1860","Arkansas","050","Polk","1130","Polk","42","1130",4262,4090,0,172,0,,,28554,189152
"G0501150","1860","Arkansas","050","Pope","1150","Pope","42","1150",7883,6905,0,978,0,,,67086,433068
"G0501170","1860","Arkansas","050","Prairie","1170","Prairie","42","1170",8854,6015,0,2839,0,,,53992,334467
"G0501190","1860","Arkansas","050","Pulaski","1190","Pulaski","42","1190",11699,8187,7,3505,0,,,105600,432798
"G0501210","1860","Arkansas","050","Randolph","1210","Randolph","42","1210",6261,5902,0,359,0,,,24187,390623
"G0501230","1860","Arkansas","050","St Francis","1230","St Francis","42","1230",8672,6051,0,2621,0,,,82091,570183
"G0501250","1860","Arkansas","050","Saline","1250","Saline","42","1250",6640,5891,0,749,0,,,54153,315245
"G0501270","1860","Arkansas","050","Scott","1270","Scott","42","1270",5145,4930,0,215,0,,,41763,283432
"G0501290","1860","Arkansas","050","Searcy","1290","Searcy","42","1290",5271,5178,0,93,0,,,26610,239008
"G0501310","1860","Arkansas","050","Sebastian","1310","Sebastian","42","1310",9238,8555,1,680,2,,,49509,339008
"G0501330","1860","Arkansas","050","Sevier","1330","Sevier","42","1330",10516,7150,0,3366,0,,,107022,548433
"G0501390","1860","Arkansas","050","Union","1390","Union","42","1390",12288,5957,0,6331,0,,,136719,608265
"G0501410","1860","Arkansas","050","Van Buren","1410","Van Buren","42","1410",5357,5157,0,200,0,,,34006,274913
"G0501430","1860","Arkansas","050","Washington","1430","Washington","42","1430",14673,13106,47,1493,27,,,123783,747078
"G0501450","1860","Arkansas","050","White","1450","White","42","1450",8316,6881,3,1432,0,,,30814,345628
"G0501490","1860","Arkansas","050","Yell","1490","Yell","42","1490",6333,5335,0,998,0,,,19692,375832
"G0600010","1860","California","060","Alameda","0010","Alameda","71","10",8927,8548,55,0,131,,193,173254,1645399
"G0600050","1860","California","060","Amador","0050","Amador","71","50",10930,8252,88,0,22,,2568,51907,788351
"G0600070","1860","California","060","Butte","0070","Butte","71","70",12106,9737,71,0,121,,2177,53775,1007130
"G0600090","1860","California","060","Calaveras","0090","Calaveras","71","90",16299,12546,95,0,1,,3657,35197,541604
"G0600110","1860","California","060","Colusa","0110","Colusa","71","110",2274,2165,25,0,75,,9,36480,1349795
"G0600130","1860","California","060","Contra Costa","0130","Contra Costa","71","130",5328,5185,27,0,114,,2,114529,1291528
"G0600150","1860","California","060","Del Norte","0150","Del Norte","71","150",1993,1341,48,0,266,,338,26970,149180
"G0600170","1860","California","060","El Dorado","0170","El Dorado","71","170",20562,15515,277,0,8,,4762,1055,731104
"G0600190","1860","California","060","Fresno","0190","Fresno","71","190",4605,999,3,0,3294,,309,5940,293450
"G0600230","1860","California","060","Humboldt","0230","Humboldt","71","230",2694,2498,6,0,153,,37,19760,149939
"G0600315","1860","California","060","Klamath","0315","Klamath","71","315",1803,1220,4,0,46,,533,4150,117505
"G0600370","1860","California","060","Los Angeles","0370","Los Angeles","71","370",11333,9221,87,0,2014,,11,44865,1451089
"G0600410","1860","California","060","Marin","0410","Marin","71","410",3334,3097,23,0,210,,4,34876,754748
"G0600430","1860","California","060","Mariposa","0430","Mariposa","71","430",6243,4303,90,0,7,,1843,17370,269345
"G0600450","1860","California","060","Mendocino","0450","Mendocino","71","450",3967,2905,3,0,1054,,5,39622,1193882
"G0600470","1860","California","060","Merced","0470","Merced","71","470",1141,1114,23,0,4,,0,25620,642111
"G0600530","1860","California","060","Monterey","0530","Monterey","71","530",4739,4305,17,0,411,,6,41115,1073309
"G0600550","1860","California","060","Napa","0550","Napa","71","550",5521,5448,55,0,1,,17,118740,957025
"G0600570","1860","California","060","Nevada","0570","Nevada","71","570",16446,14138,156,0,5,,2147,19691,289880
"G0600610","1860","California","060","Placer","0610","Placer","71","610",13270,10819,52,0,7,,2392,30976,513157
"G0600630","1860","California","060","Plumas","0630","Plumas","71","630",4363,3851,5,0,108,,399,29180,467400
"G0600670","1860","California","060","Sacramento","0670","Sacramento","71","670",24142,21692,468,0,251,,1731,161182,1612226
"G0600710","1860","California","060","San Bernardino","0710","San Bernardino","71","710",5551,2504,19,0,3028,,0,17981,141661
"G0600730","1860","California","060","San Diego","0730","San Diego","71","730",4324,1249,8,0,3067,,0,24450,412300
"G0600750","1860","California","060","San Francisco","0750","San Francisco","71","750",56802,52866,1176,0,41,,2719,8000,142205
"G0600770","1860","California","060","San Joaquin","0770","San Joaquin","71","770",9435,9166,126,0,4,,139,194859,1445212
"G0600790","1860","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",1782,1621,12,0,149,,0,12271,1120810
"G0600810","1860","California","060","San Mateo","0810","San Mateo","71","810",3214,3088,68,0,52,,6,78057,701051
"G0600830","1860","California","060","Santa Barbara","0830","Santa Barbara","71","830",3543,3178,0,0,365,,0,10650,1422435
"G0600850","1860","California","060","Santa Clara","0850","Santa Clara","71","850",11912,11646,87,0,157,,22,167330,1325635
"G0600870","1860","California","060","Santa Cruz","0870","Santa Cruz","71","870",4944,4688,32,0,218,,6,51498,308907
"G0600890","1860","California","060","Shasta","0890","Shasta","71","890",4360,3895,42,0,8,,415,29985,333210
"G0600910","1860","California","060","Sierra","0910","Sierra","71","910",11387,9122,57,0,0,,2208,610,21585
"G0600930","1860","California","060","Siskiyou","0930","Siskiyou","71","930",7629,6992,71,0,51,,515,68862,1110317
"G0600950","1860","California","060","Solano","0950","Solano","71","950",7169,7092,42,0,21,,14,106000,1591898
"G0600970","1860","California","060","Sonoma","0970","Sonoma","71","970",11867,11587,85,0,144,,51,138857,1591648
"G0600990","1860","California","060","Stanislaus","0990","Stanislaus","71","990",2245,2002,45,0,6,,192,35051,728581
"G0601010","1860","California","060","Sutter","1010","Sutter","71","1010",3390,3348,30,0,10,,2,103366,1217577
"G0601030","1860","California","060","Tehama","1030","Tehama","71","1030",4044,3242,42,0,656,,104,96053,752470
"G0601050","1860","California","060","Trinity","1050","Trinity","71","1050",5125,3370,17,0,100,,1638,12005,170427
"G0601070","1860","California","060","Tulare","1070","Tulare","71","1070",4638,3262,23,0,1340,,13,32763,1212381
"G0601090","1860","California","060","Tuolumne","1090","Tuolumne","71","1090",16229,14095,166,0,6,,1962,28565,325465
"G0601130","1860","California","060","Yolo","1130","Yolo","71","1130",4716,4683,27,0,0,,6,165949,1379750
"G0601150","1860","California","060","Yuba","1150","Yuba","71","1150",13668,11582,233,0,72,,1781,89090,840335
"G0900010","1860","Connecticut","090","Fairfield","0010","Fairfield","1","10",77476,75800,1676,0,0,,,310222,1735071
"G0900030","1860","Connecticut","090","Hartford","0030","Hartford","1","30",89962,88643,1319,0,0,,,553633,1961211
"G0900050","1860","Connecticut","090","Litchfield","0050","Litchfield","1","50",47318,46207,1111,0,0,,,365183,2225611
"G0900070","1860","Connecticut","090","Middlesex","0070","Middlesex","1","70",30859,30522,337,0,0,,,139714,809209
"G0900090","1860","Connecticut","090","New Haven","0090","New Haven","1","90",97345,95223,2113,0,9,,,347517,1656898
"G0900110","1860","Connecticut","090","New London","0110","New London","1","110",61731,60387,1344,0,0,,,250818,1242262
"G0900130","1860","Connecticut","090","Tolland","0130","Tolland","1","130",20709,20452,256,0,1,,,153377,606473
"G0900150","1860","Connecticut","090","Windham","0150","Windham","1","150",34747,34270,471,0,6,,,219017,1074344
"G1000010","1860","Delaware","100","Kent","0010","Kent","11","10",27804,20330,7271,203,0,,,223222,911936
"G1000030","1860","Delaware","100","New Castle","0030","New Castle","11","30",54797,46355,8188,254,0,,,433003,1423443
"G1000050","1860","Delaware","100","Sussex","0050","Sussex","11","50",29615,23904,4370,1341,0,,,161658,809327
"G1200010","1860","Florida","120","Alachua","0010","Alachua","43","10",8232,3767,8,4457,0,,,87924,330938
"G1200090","1860","Florida","120","Brevard","0090","Brevard","43","90",246,224,1,21,0,,,440,15780
"G1200130","1860","Florida","120","Calhoun","0130","Calhoun","43","130",1446,895,27,524,0,,,17650,69110
"G1200190","1860","Florida","120","Clay","0190","Clay","43","190",1914,1388,7,519,0,,,9222,85049
"G1200230","1860","Florida","120","Columbia","0230","Columbia","43","230",4646,2582,1,2063,0,,,35901,220243
"G1200250","1860","Florida","120","Dade","0250","Dade","43","250",83,80,1,2,0,,,,
"G1200310","1860","Florida","120","Duval","0310","Duval","43","310",5074,2925,162,1987,0,,,11490,47669
"G1200330","1860","Florida","120","Escambia","0330","Escambia","43","330",5768,3653,153,1961,1,,,936,40790
"G1200370","1860","Florida","120","Franklin","0370","Franklin","43","370",1904,1378,6,520,0,,,650,50
"G1200390","1860","Florida","120","Gadsden","0390","Gadsden","43","390",9396,3981,6,5409,0,,,155450,362765
"G1200470","1860","Florida","120","Hamilton","0470","Hamilton","43","470",4154,2734,23,1397,0,,,17068,177176
"G1200530","1860","Florida","120","Hernando","0530","Hernando","43","530",1200,1000,0,200,0,,,,
"G1200570","1860","Florida","120","Hillsborough","0570","Hillsborough","43","570",2981,2415,2,564,0,,,11031,255519
"G1200590","1860","Florida","120","Holmes","0590","Holmes","43","590",1386,1271,3,112,0,,,5856,58250
"G1200630","1860","Florida","120","Jackson","0630","Jackson","43","630",10209,5263,43,4903,0,,,54780,399002
"G1200650","1860","Florida","120","Jefferson","0650","Jefferson","43","650",9876,3498,4,6374,0,,,88293,398893
"G1200670","1860","Florida","120","Lafayette","0670","Lafayette","43","670",2068,1490,1,577,0,,,6544,46937
"G1200730","1860","Florida","120","Leon","0730","Leon","43","730",12343,3194,60,9089,0,,,94363,503526
"G1200750","1860","Florida","120","Levy","0750","Levy","43","750",1781,1331,0,450,0,,,3518,89178
"G1200770","1860","Florida","120","Liberty","0770","Liberty","43","770",1457,935,1,521,0,,,7336,75257
"G1200790","1860","Florida","120","Madison","0790","Madison","43","790",7779,3521,9,4249,0,,,64319,347410
"G1200810","1860","Florida","120","Manatee","0810","Manatee","43","810",854,601,0,253,0,,,6512,194400
"G1200830","1860","Florida","120","Marion","0830","Marion","43","830",8609,3294,1,5314,0,,,83790,447268
"G1200870","1860","Florida","120","Monroe","0870","Monroe","43","870",2913,2302,160,451,0,,,95,0
"G1200875","1860","Florida","120","Monroe-Dade [multi-county reporting area]","0875","Monroe-Dade (multi-county reporting area)","43","875",,,,,,,,,
"G1200890","1860","Florida","120","Nassau","0890","Nassau","43","890",3644,1978,54,1612,0,,,5832,138811
"G1200895","1860","Florida","120","New River","0895","New River","43","70",3820,3075,1,744,0,,,26250,219637
"G1200950","1860","Florida","120","Orange","0950","Orange","43","950",987,823,1,163,0,,,8681,58295
"G1201070","1860","Florida","120","Putnam","1070","Putnam","43","1070",2712,1634,31,1047,0,,,19139,111850
"G1201090","1860","Florida","120","St Johns","1090","St Johns","43","1090",3038,1953,82,1003,0,,,5770,67800
"G1201130","1860","Florida","120","Santa Rosa","1130","Santa Rosa","43","1130",5480,4048,61,1371,0,,,768,30248
"G1201190","1860","Florida","120","Sumter","1190","Sumter","43","1190",1549,1000,0,549,0,,,2302,173914
"G1201210","1860","Florida","120","Suwannee","1210","Suwannee","43","1210",2303,1467,1,835,0,,,16139,102148
"G1201230","1860","Florida","120","Taylor","1230","Taylor","43","1230",1384,1259,0,125,0,,,4590,58124
"G1201270","1860","Florida","120","Volusia","1270","Volusia","43","1270",1158,861,0,297,0,,,9672,113984
"G1201290","1860","Florida","120","Wakulla","1290","Wakulla","43","1290",2839,1672,0,1167,0,,,14506,98626
"G1201310","1860","Florida","120","Walton","1310","Walton","43","1310",3037,2584,12,441,0,,,12052,126711
"G1201330","1860","Florida","120","Washington","1330","Washington","43","1330",2154,1670,10,474,0,,,11800,87998
"G1300010","1860","Georgia","130","Appling","0010","Appling","44","10",4190,3442,3,745,0,,,27679,258539
"G1300070","1860","Georgia","130","Baker","0070","Baker","44","70",4985,1493,0,3492,0,,,40439,259195
"G1300090","1860","Georgia","130","Baldwin","0090","Baldwin","44","90",9078,4057,92,4929,0,,,52502,314300
"G1300110","1860","Georgia","130","Banks","0110","Banks","44","110",4707,3610,11,1086,0,,,21841,138520
"G1300190","1860","Georgia","130","Berrien","0190","Berrien","44","190",3475,3041,2,432,0,,,16044,183293
"G1300210","1860","Georgia","130","Bibb","0210","Bibb","44","210",16291,9458,41,6790,2,,,45506,301109
"G1300270","1860","Georgia","130","Brooks","0270","Brooks","44","270",6356,3067,2,3282,5,,,88994,318199
"G1300290","1860","Georgia","130","Bryan","0290","Bryan","44","290",4015,1636,0,2379,0,,,31524,141331
"G1300310","1860","Georgia","130","Bulloch","0310","Bulloch","44","310",5668,3506,0,2162,0,,,43555,344724
"G1300330","1860","Georgia","130","Burke","0330","Burke","44","330",17165,5013,100,12052,0,,,93565,766079
"G1300350","1860","Georgia","130","Butts","0350","Butts","44","350",6455,3373,15,3067,0,,,52202,255789
"G1300370","1860","Georgia","130","Calhoun","0370","Calhoun","44","370",4913,2174,8,2731,0,,,33962,194867
"G1300390","1860","Georgia","130","Camden","0390","Camden","44","390",5420,1276,1,4143,0,,,61031,94824
"G1300395","1860","Georgia","130","Campbell","0395","Campbell","44","410",8301,6289,8,2004,0,,,54776,288181
"G1300450","1860","Georgia","130","Carroll","0450","Carroll","44","450",11991,10116,13,1862,0,,,52450,362755
"G1300455","1860","Georgia","130","Cass","0455","Cass","44","150",15724,11433,9,4282,0,,,81820,404961
"G1300470","1860","Georgia","130","Catoosa","0470","Catoosa","44","470",5082,4368,4,710,0,,,23895,120281
"G1300490","1860","Georgia","130","Charlton","0490","Charlton","44","490",1780,1223,0,557,0,,,3844,68254
"G1300510","1860","Georgia","130","Chatham","0510","Chatham","44","510",31043,15511,725,14807,0,,,60688,217787
"G1300530","1860","Georgia","130","Chattahoochee","0530","Chattahoochee","44","530",5797,3034,5,2758,0,,,35889,226198
"G1300550","1860","Georgia","130","Chattooga","0550","Chattooga","44","550",7165,5107,4,2054,0,,,50083,258735
"G1300570","1860","Georgia","130","Cherokee","0570","Cherokee","44","570",11291,10047,45,1199,0,,,46279,316222
"G1300590","1860","Georgia","130","Clarke","0590","Clarke","44","590",11218,5539,19,5660,0,,,44518,259100
"G1300610","1860","Georgia","130","Clay","0610","Clay","44","610",4893,2626,14,2253,0,,,32632,179323
"G1300630","1860","Georgia","130","Clayton","0630","Clayton","44","630",4466,3240,0,1226,0,,,32751,154946
"G1300650","1860","Georgia","130","Clinch","0650","Clinch","44","650",3063,2609,5,449,0,,,13963,135751
"G1300670","1860","Georgia","130","Cobb","0670","Cobb","44","670",14242,10410,13,3819,0,,,83757,330464
"G1300690","1860","Georgia","130","Coffee","0690","Coffee","44","690",2879,2206,10,663,0,,,15576,197213
"G1300710","1860","Georgia","130","Colquitt","0710","Colquitt","44","710",1316,1195,11,110,0,,,4660,76001
"G1300730","1860","Georgia","130","Columbia","0730","Columbia","44","730",11860,3511,56,8293,0,,,157512,471753
"G1300770","1860","Georgia","130","Coweta","0770","Coweta","44","770",14703,7433,22,7248,0,,,106079,649956
"G1300790","1860","Georgia","130","Crawford","0790","Crawford","44","790",7693,3407,16,4270,0,,,54185,318006
"G1300830","1860","Georgia","130","Dade","0830","Dade","44","830",3069,2765,4,300,0,,,15200,111270
"G1300850","1860","Georgia","130","Dawson","0850","Dawson","44","850",3856,3526,4,326,0,,,20151,112355
"G1300870","1860","Georgia","130","Decatur","0870","Decatur","44","870",11922,5985,13,5924,0,,,131318,507581
"G1300890","1860","Georgia","130","DeKalb","0890","De Kalb","44","890",7806,5798,8,2000,0,,,48711,246530
"G1300930","1860","Georgia","130","Dooly","0930","Dooly","44","930",8917,4845,2,4070,0,,,32899,456520
"G1300950","1860","Georgia","130","Dougherty","0950","Dougherty","44","950",8295,2207,9,6079,0,,,62672,429446
"G1300990","1860","Georgia","130","Early","0990","Early","44","990",6149,2092,0,4057,0,,,154170,466063
"G1301010","1860","Georgia","130","Echols","1010","Echols","44","1010",1491,1177,0,314,0,,,13037,101767
"G1301030","1860","Georgia","130","Effingham","1030","Effingham","44","1030",4755,2572,18,2165,0,,,28694,194497
"G1301050","1860","Georgia","130","Elbert","1050","Elbert","44","1050",10433,4697,25,5711,0,,,76633,330349
"G1301070","1860","Georgia","130","Emanuel","1070","Emanuel","44","1070",5081,3748,39,1294,0,,,23150,321833
"G1301110","1860","Georgia","130","Fannin","1110","Fannin","44","1110",5139,4966,1,143,29,,,13828,95585
"G1301130","1860","Georgia","130","Fayette","1130","Fayette","44","1130",7047,5022,6,2019,0,,,44683,248871
"G1301150","1860","Georgia","130","Floyd","1150","Floyd","44","1150",15195,9269,13,5913,0,,,150403,550472
"G1301170","1860","Georgia","130","Forsyth","1170","Forsyth","44","1170",7749,6851,8,890,0,,,19534,211490
"G1301190","1860","Georgia","130","Franklin","1190","Franklin","44","1190",7393,6038,42,1313,0,,,23226,171418
"G1301210","1860","Georgia","130","Fulton","1210","Fulton","44","1210",14427,11441,31,2955,0,,,25891,179937
"G1301230","1860","Georgia","130","Gilmer","1230","Gilmer","44","1230",6724,6553,3,167,1,,,22559,159877
"G1301250","1860","Georgia","130","Glascock","1250","Glascock","44","1250",2437,1654,25,758,0,,,15244,91366
"G1301270","1860","Georgia","130","Glynn","1270","Glynn","44","1270",3889,1048,2,2839,0,,,46920,79925
"G1301290","1860","Georgia","130","Gordon","1290","Gordon","44","1290",10146,8001,39,2106,0,,,73089,364210
"G1301330","1860","Georgia","130","Greene","1330","Greene","44","1330",12652,4229,25,8398,0,,,108946,424107
"G1301350","1860","Georgia","130","Gwinnett","1350","Gwinnett","44","1350",12940,10358,31,2551,0,,,59876,330203
"G1301370","1860","Georgia","130","Habersham","1370","Habersham","44","1370",5966,5136,43,787,0,,,33655,174809
"G1301390","1860","Georgia","130","Hall","1390","Hall","44","1390",9366,8091,14,1261,0,,,46195,244189
