GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AOT001,APP001,APP002,APP003,APP004
"G0600450","1880","California","060","Mendocino","0450","Mendocino","71","450",12800,11185,4,346,1265
"G0600470","1880","California","060","Merced","0470","Merced","71","470",5656,5015,59,575,7
"G0600490","1880","California","060","Modoc","0490","Modoc","71","490",4399,3955,23,17,404
"G0600510","1880","California","060","Mono","0510","Mono","71","510",7499,7082,19,363,35
"G0600530","1880","California","060","Monterey","0530","Monterey","71","530",11302,10648,60,372,222
"G0600550","1880","California","060","Napa","0550","Napa","71","550",13235,12160,104,907,64
"G0600570","1880","California","060","Nevada","0570","Nevada","71","570",20823,17567,150,3005,101
"G0600610","1880","California","060","Placer","0610","Placer","71","610",14232,11882,69,2190,91
"G0600630","1880","California","060","Plumas","0630","Plumas","71","630",6180,4761,9,872,538
"G0600670","1880","California","060","Sacramento","0670","Sacramento","71","670",34390,28923,560,4893,14
"G0600690","1880","California","060","San Benito","0690","San Benito","71","690",5584,5255,6,242,81
"G0600710","1880","California","060","San Bernardino","0710","San Bernardino","71","710",7786,6988,17,123,658
"G0600730","1880","California","060","San Diego","0730","San Diego","71","730",8618,6674,13,229,1702
"G0600750","1880","California","060","San Francisco","0750","San Francisco","71","750",233959,210496,1628,21790,45
"G0600770","1880","California","060","San Joaquin","0770","San Joaquin","71","770",24349,21990,328,1997,34
"G0600790","1880","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",9142,8783,23,183,153
"G0600810","1880","California","060","San Mateo","0810","San Mateo","71","810",8669,8031,34,596,8
"G0600830","1880","California","060","Santa Barbara","0830","Santa Barbara","71","830",9513,9135,63,227,88
"G0600850","1880","California","060","Santa Clara","0850","Santa Clara","71","850",35039,32110,161,2695,73
"G0600870","1880","California","060","Santa Cruz","0870","Santa Cruz","71","870",12802,12085,63,523,131
"G0600890","1880","California","060","Shasta","0890","Shasta","71","890",9492,7066,54,1335,1037
"G0600910","1880","California","060","Sierra","0910","Sierra","71","910",6623,5337,22,1252,12
"G0600930","1880","California","060","Siskiyou","0930","Siskiyou","71","930",8610,6461,88,1568,493
"G0600950","1880","California","060","Solano","0950","Solano","71","950",18475,17387,72,995,21
"G0600970","1880","California","060","Sonoma","0970","Sonoma","71","970",25926,24623,60,904,339
"G0600990","1880","California","060","Stanislaus","0990","Stanislaus","71","990",8751,8186,20,518,27
"G0601010","1880","California","060","Sutter","1010","Sutter","71","1010",5159,4845,35,266,13
"G0601030","1880","California","060","Tehama","1030","Tehama","71","1030",9301,8218,142,774,167
"G0601050","1880","California","060","Trinity","1050","Trinity","71","1050",4999,2780,7,1951,261
"G0601070","1880","California","060","Tulare","1070","Tulare","71","1070",11281,10757,80,326,118
"G0601090","1880","California","060","Tuolumne","1090","Tuolumne","71","1090",7848,6612,84,805,347
"G0601110","1880","California","060","Ventura","1110","Ventura","71","1110",5073,4849,15,129,80
"G0601130","1880","California","060","Yolo","1130","Yolo","71","1130",11772,11015,102,608,47
"G0601150","1880","California","060","Yuba","1150","Yuba","71","1150",11284,8824,247,2146,67
"G0800050","1880","Colorado","080","Arapahoe","0050","Arapahoe","62","50",38644,37322,1083,238,1
"G0800110","1880","Colorado","080","Bent","0110","Bent","62","110",1654,1593,42,2,17
"G0800130","1880","Colorado","080","Boulder","0130","Boulder","62","130",9723,9656,49,18,0
"G0800150","1880","Colorado","080","Chaffee","0150","Chaffee","62","150",6512,6435,70,6,1
"G0800190","1880","Colorado","080","Clear Creek","0190","Clear Creek","62","190",7823,7712,94,17,0
"G0800210","1880","Colorado","080","Conejos","0210","Conejos","62","210",5605,5558,17,9,21
"G0800230","1880","Colorado","080","Costilla","0230","Costilla","62","230",2879,2852,7,0,20
"G0800270","1880","Colorado","080","Custer","0270","Custer","62","270",8080,8025,40,9,6
"G0800350","1880","Colorado","080","Douglas","0350","Douglas","62","350",2486,2468,17,0,1
"G0800390","1880","Colorado","080","Elbert","0390","Elbert","62","390",1708,1700,7,1,0
"G0800410","1880","Colorado","080","El Paso","0410","El Paso","62","410",7949,7771,159,16,3
"G0800430","1880","Colorado","080","Fremont","0430","Fremont","62","430",4735,4659,72,4,0
"G0800470","1880","Colorado","080","Gilpin","0470","Gilpin","62","470",6489,6293,71,124,1
"G0800490","1880","Colorado","080","Grand","0490","Grand","62","490",417,413,4,0,0
"G0800510","1880","Colorado","080","Gunnison","0510","Gunnison","62","510",8235,8189,46,0,0
"G0800530","1880","Colorado","080","Hinsdale","0530","Hinsdale","62","530",1487,1468,16,3,0
"G0800550","1880","Colorado","080","Huerfano","0550","Huerfano","62","550",4124,4114,0,0,10
"G0800590","1880","Colorado","080","Jefferson","0590","Jefferson","62","590",6804,6768,34,2,0
"G0800650","1880","Colorado","080","Lake","0650","Lake","62","650",23563,23258,298,0,7
"G0800670","1880","Colorado","080","La Plata","0670","La Plata","62","670",1110,1109,1,0,0
"G0800690","1880","Colorado","080","Larimer","0690","Larimer","62","690",4892,4844,43,3,2
"G0800710","1880","Colorado","080","Las Animas","0710","Las Animas","62","710",8903,8796,53,6,48
"G0800910","1880","Colorado","080","Ouray","0910","Ouray","62","910",2669,2659,6,3,1
"G0800930","1880","Colorado","080","Park","0930","Park","62","930",3970,3824,14,124,8
"G0801010","1880","Colorado","080","Pueblo","1010","Pueblo","62","1010",7617,7462,147,7,1
"G0801050","1880","Colorado","080","Rio Grande","1050","Rio Grande","62","1050",1944,1936,4,0,4
"G0801070","1880","Colorado","080","Routt","1070","Routt","62","1070",140,139,1,0,0
"G0801090","1880","Colorado","080","Saguache","1090","Saguache","62","1090",1973,1968,3,0,2
"G0801110","1880","Colorado","080","San Juan","1110","San Juan","62","1110",1087,1086,0,1,0
"G0801170","1880","Colorado","080","Summit","1170","Summit","62","1170",5459,5418,22,19,0
"G0801230","1880","Colorado","080","Weld","1230","Weld","62","1230",5646,5631,15,0,0
"G0900010","1880","Connecticut","090","Fairfield","0010","Fairfield","1","10",112042,109827,2182,11,22
"G0900030","1880","Connecticut","090","Hartford","0030","Hartford","1","30",125382,123085,2232,51,14
"G0900050","1880","Connecticut","090","Litchfield","0050","Litchfield","1","50",52044,50978,1026,0,40
"G0900070","1880","Connecticut","090","Middlesex","0070","Middlesex","1","70",35589,35204,371,7,7
"G0900090","1880","Connecticut","090","New Haven","0090","New Haven","1","90",156523,152952,3513,44,14
"G0900110","1880","Connecticut","090","New London","0110","New London","1","110",73152,71511,1480,14,147
"G0900130","1880","Connecticut","090","Tolland","0130","Tolland","1","130",24112,23913,195,0,4
"G0900150","1880","Connecticut","090","Windham","0150","Windham","1","150",43856,43299,548,2,7
"G0950015","1880","Dakota Territory","095","Aurora","0015","Aurora","37","30",69,69,0,0,0
"G0950035","1880","Dakota Territory","095","Barnes","0035","Barnes","36","30",1585,1583,2,0,0
"G0950037","1880","Dakota Territory","095","Beadle","0037","Beadle","37","50",1290,1290,0,0,0
"G0950055","1880","Dakota Territory","095","Billings","0055","Billings","36","70",1323,1314,2,0,7
"G0950075","1880","Dakota Territory","095","Bon Homme","0075","Bon Homme","37","90",5468,5439,22,0,7
"G0950095","1880","Dakota Territory","095","Boreman","0095","Boreman","37","95",534,523,8,0,3
"G0950115","1880","Dakota Territory","095","Bottineau","0115","Bottineau","36","90",0,0,0,0,0
"G0950135","1880","Dakota Territory","095","Brookings","0135","Brookings","37","110",4965,4959,6,0,0
"G0950155","1880","Dakota Territory","095","Brown","0155","Brown","37","130",353,353,0,0,0
"G0950175","1880","Dakota Territory","095","Brule","0175","Brule","37","150",238,237,0,0,1
"G0950195","1880","Dakota Territory","095","Buffalo","0195","Buffalo","37","170",63,51,0,0,12
"G0950215","1880","Dakota Territory","095","Burleigh","0215","Burleigh","36","150",3246,3143,73,5,25
"G0950235","1880","Dakota Territory","095","Campbell","0235","Campbell","37","210",50,29,0,0,21
"G0950255","1880","Dakota Territory","095","Cass","0255","Cass","36","170",8998,8956,12,3,27
"G0950275","1880","Dakota Territory","095","Cavalier","0275","Cavalier","36","190",0,0,0,0,0
"G0950295","1880","Dakota Territory","095","Charles Mix","0295","Charles Mix","37","230",407,291,21,0,95
"G0950315","1880","Dakota Territory","095","Cheyenne","0315","Cheyenne","37","240",0,0,0,0,0
"G0950335","1880","Dakota Territory","095","Clark","0335","Clark","37","250",114,114,0,0,0
"G0950355","1880","Dakota Territory","095","Clay","0355","Clay","37","270",5001,4998,2,0,1
"G0950375","1880","Dakota Territory","095","Codington","0375","Codington","37","290",2156,2155,1,0,0
"G0950395","1880","Dakota Territory","095","Custer","0395","Custer","37","330",995,985,9,0,1
"G0950415","1880","Dakota Territory","095","Davison","0415","Davison","37","350",1256,1255,1,0,0
"G0950435","1880","Dakota Territory","095","Day","0435","Day","37","370",97,86,0,0,11
"G0950455","1880","Dakota Territory","095","Delano","0455","Delano","37","375",0,0,0,0,0
"G0950475","1880","Dakota Territory","095","Desmet","0475","Desmet","36","200",0,0,0,0,0
"G0950495","1880","Dakota Territory","095","Deuel","0495","Deuel","37","390",2302,2302,0,0,0
"G0950515","1880","Dakota Territory","095","Douglas","0515","Douglas","37","430",6,6,0,0,0
"G0950535","1880","Dakota Territory","095","Edmunds","0535","Edmunds","37","450",0,0,0,0,0
"G0950555","1880","Dakota Territory","095","Emmons","0555","Emmons","36","290",38,22,0,0,16
"G0950575","1880","Dakota Territory","095","Faulk","0575","Faulk","37","490",4,4,0,0,0
"G0950595","1880","Dakota Territory","095","Forsythe","0595","Forsythe","37","470",0,0,0,0,0
"G0950615","1880","Dakota Territory","095","Foster","0615","Foster","36","310",37,33,4,0,0
"G0950617","1880","Dakota Territory","095","Fort Sisseton","0617","Fort Sisseton","37","8030",134,130,2,0,2
"G0950635","1880","Dakota Territory","095","Gingras","0635","Gingras","36","320",0,0,0,0,0
"G0950655","1880","Dakota Territory","095","Grand Forks","0655","Grand Forks","36","350",6248,6215,4,0,29
"G0950675","1880","Dakota Territory","095","Grant","0675","Grant","37","510",3010,2967,0,0,43
"G0950695","1880","Dakota Territory","095","Gregory","0695","Gregory","37","530",0,0,0,0,0
"G0950715","1880","Dakota Territory","095","Hamlin","0715","Hamlin","37","570",693,693,0,0,0
"G0950735","1880","Dakota Territory","095","Hand","0735","Hand","37","590",153,153,0,0,0
"G0950755","1880","Dakota Territory","095","Hanson","0755","Hanson","37","610",1301,1299,0,0,2
"G0950775","1880","Dakota Territory","095","Howard","0775","Howard","36","415",12,12,0,0,0
"G0950795","1880","Dakota Territory","095","Hughes","0795","Hughes","37","650",268,139,0,0,129
"G0950815","1880","Dakota Territory","095","Hutchinson","0815","Hutchinson","37","670",5573,5573,0,0,0
"G0950835","1880","Dakota Territory","095","Hyde","0835","Hyde","37","690",0,0,0,0,0
"G0950875","1880","Dakota Territory","095","Kidder","0875","Kidder","36","430",89,88,1,0,0
"G0950895","1880","Dakota Territory","095","Kingsbury","0895","Kingsbury","37","770",1102,1102,0,0,0
"G0950915","1880","Dakota Territory","095","La Moure","0915","La Moure","36","450",20,20,0,0,0
"G0950935","1880","Dakota Territory","095","Lake","0935","Lake","37","790",2657,2657,0,0,0
"G0950955","1880","Dakota Territory","095","Lawrence","0955","Lawrence","37","810",13248,12921,97,220,10
"G0950975","1880","Dakota Territory","095","Lincoln","0975","Lincoln","37","830",5896,5895,1,0,0
"G0950995","1880","Dakota Territory","095","Logan","0995","Logan","36","470",0,0,0,0,0
"G0951015","1880","Dakota Territory","095","Lugenbeel","1015","Lugenbeel","37","845",0,0,0,0,0
"G0951035","1880","Dakota Territory","095","Lyman","1035","Lyman","37","850",124,113,2,0,9
"G0951055","1880","Dakota Territory","095","Mandan","1055","Mandan","37","860",0,0,0,0,0
"G0951075","1880","Dakota Territory","095","McCook","1075","Mccook","37","870",1283,1283,0,0,0
"G0951095","1880","Dakota Territory","095","McHenry","1095","Mchenry","36","490",0,0,0,0,0
"G0951115","1880","Dakota Territory","095","McPherson","1115","Mcpherson","37","890",0,0,0,0,0
