GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,slavery_legal,total_farmland
G3400310,1850,New Jersey,22569,31,3204977,34152,62203,0,NA
G5101390,1850,Virginia,7600,957,1735759,52182,103713,1,NA
G3901510,1850,Ohio,39878,0,8534064,206116,124173,0,NA
G1700030,1850,Illinois,2484,0,95459,5333,16882,0,NA
G1701490,1850,Illinois,18819,0,1447579,87957,105455,0,NA
G0101130,1850,Alabama,19548,11111,1724187,148947,223857,1,NA
G1801790,1850,Indiana,6152,0,858200,23901,68545,0,NA
G2102290,1850,Kentucky,12194,3045,2176912,102441,83802,1,NA
G1701850,1850,Illinois,4690,0,407434,24369,39648,0,NA
G5101193,1850,Virginia,12387,176,1569392,58536,68047,1,NA
G2801270,1850,Mississippi,4734,1541,211988,23152,52147,1,NA
G3900310,1850,Ohio,25674,0,5032658,184460,152386,0,NA
G3700790,1850,North Carolina,6619,3244,767803,57161,80173,1,NA
G0100590,1850,Alabama,19610,8197,2196209,105461,296370,1,NA
G0500970,1850,Arkansas,1958,66,98230,6659,3239,1,NA
G3701590,1850,North Carolina,13870,3854,1071546,104157,145157,1,NA
G4700810,1850,Tennessee,9397,1816,751904,44667,197376,1,NA
G3400270,1850,New Jersey,30158,19,7981997,136543,99542,0,NA
G3701290,1850,North Carolina,17668,8581,1002957,49694,365244,1,NA
G2100430,1850,Kentucky,6241,257,438950,28234,218630,1,NA
G3701770,1850,North Carolina,5133,1702,319493,15188,37268,1,NA
G1200750,1850,Florida,465,145,30000,1069,4802,1,NA
G0500030,1850,Arkansas,2058,644,148285,7526,13613,1,NA
G1301590,1850,Georgia,11486,7134,1441394,139948,89875,1,NA
G2801390,1850,Mississippi,20741,4928,1383250,102770,282543,1,NA
G5500675,1850,Wisconsin,489,0,3550,110,0,0,NA
G2601270,1850,Michigan,300,0,0,0,0,0,NA
G3400010,1850,New Jersey,8961,1,685425,15006,34585,0,NA
G3600270,1850,New York,58992,0,25181302,378506,96621,0,NA
G4804590,1850,Texas,3394,682,237684,9564,120082,1,NA
G0101010,1850,Alabama,29711,19427,2864322,203045,284804,1,NA
G2801210,1850,Mississippi,7227,3276,564190,37199,101305,1,NA
G4200290,1850,Pennsylvania,66438,0,25425956,333572,89713,0,NA
G5101913,1850,Virginia,4760,189,618023,21594,140291,1,NA
G5100237,1850,Virginia,5054,31,1279368,33811,18630,1,NA
G5101057,1850,Virginia,3620,87,275487,12887,112853,1,NA
G2200070,1850,Louisiana,10538,5341,5632580,31361,91525,1,NA
G1700930,1850,Illinois,7730,0,1335917,79257,70885,0,NA
G2100810,1850,Kentucky,6531,532,1201640,40544,74839,1,NA
G1701730,1850,Illinois,7807,0,998930,51454,109520,0,NA
G2400190,1850,Maryland,18877,4282,2708681,112521,113650,1,NA
G4200470,1850,Pennsylvania,3531,0,286772,9730,37870,0,NA
G4801390,1850,Texas,989,77,56136,2600,57048,1,NA
G0500290,1850,Arkansas,3583,240,150252,11885,33216,1,NA
G3901310,1850,Ohio,10953,0,1699333,68185,75386,0,NA
G2901270,1850,Missouri,12230,2832,1661153,62145,122248,1,NA
G2101150,1850,Kentucky,3873,30,253927,15094,110382,1,NA
G5000250,1850,Vermont,29062,0,6301500,319558,99674,0,NA
G1701930,1850,Illinois,8925,0,522691,48548,88996,0,NA
G1901850,1850,Iowa,340,0,8400,1126,3333,0,NA
G2800370,1850,Mississippi,5904,3350,451423,39944,77013,1,NA
G4201230,1850,Pennsylvania,13671,0,1593186,49258,92780,0,NA
G4803310,1850,Texas,2907,436,157410,3146,80923,1,NA
G3900650,1850,Ohio,8251,0,1059330,33353,64588,0,NA
G1701630,1850,Illinois,20180,0,2626504,113101,161001,0,NA
G4701850,1850,Tennessee,11444,1214,752896,79174,219678,1,NA
G2600910,1850,Michigan,26372,0,4159825,138499,137262,0,NA
G4804530,1850,Texas,3138,791,278362,6941,66380,1,NA
G1701530,1850,Illinois,2265,0,127613,7332,22809,0,NA
G5501030,1850,Wisconsin,903,0,87111,2106,20664,0,NA
G2200270,1850,Louisiana,7471,2522,424670,31971,85039,1,NA
G4500670,1850,South Carolina,17407,7520,2601144,124306,652342,1,NA
G5500090,1850,Wisconsin,6215,0,287290,5936,45027,0,NA
G5100790,1850,Virginia,4400,1699,692422,37998,39385,1,NA
G5101830,1850,Virginia,9820,5992,555514,91408,98677,1,NA
G4802770,1850,Texas,3978,1085,448262,16031,237313,1,NA
G4500190,1850,South Carolina,72805,44376,3681543,127584,589439,1,NA
G3901430,1850,Ohio,14305,0,2308341,72806,77885,0,NA
G4802230,1850,Texas,2623,154,101694,5447,99503,1,NA
G5500450,1850,Wisconsin,8566,0,1044736,47307,87774,0,NA
G2601570,1850,Michigan,291,0,0,0,0,0,NA
G2100990,1850,Kentucky,9093,1301,626926,47659,135584,1,NA
G2900410,1850,Missouri,7514,1778,702733,34651,94054,1,NA
G4804690,1850,Texas,2019,571,202310,4072,130545,1,NA
G5100930,1850,Virginia,9353,3395,945102,65925,92901,1,NA
G4700410,1850,Tennessee,8016,668,476559,29220,111381,1,NA
G4802930,1850,Texas,2608,618,102640,8638,326374,1,NA
G3300030,1850,New Hampshire,20157,0,3500651,152631,142843,0,NA
G1800190,1850,Indiana,15828,0,2117303,65631,84356,0,NA
G3901050,1850,Ohio,17971,0,1646218,58139,87445,0,NA
G4800655,1850,Texas,4991,1902,485524,24062,263295,1,NA
G2801350,1850,Mississippi,4643,2547,451190,27372,48462,1,NA
G3600670,1850,New York,85890,0,17055334,317280,113291,0,NA
G5101910,1850,Virginia,14612,2131,1953811,100362,136123,1,NA
G4950615,1850,Utah Territory,152,0,2160,352,197,0,NA
G3700510,1850,North Carolina,20610,7217,1295053,77260,557473,1,NA
G4500310,1850,South Carolina,16831,10041,2840486,123162,540408,1,NA
G3300090,1850,New Hampshire,42343,0,7838130,401145,263690,0,NA
G0100050,1850,Alabama,23632,10780,1962320,147124,229149,1,NA
G2600770,1850,Michigan,13179,0,2056860,73200,81782,0,NA
G4804710,1850,Texas,3964,1301,422445,11976,433885,1,NA
G3600750,1850,New York,62198,0,8037526,193220,170060,0,NA
G0600850,1850,California,NA,NA,0,0,0,0,NA
G4200330,1850,Pennsylvania,12586,0,1718869,61115,117468,0,NA
G4803550,1850,Texas,698,47,108268,995,93988,1,NA
G2901230,1850,Missouri,6003,696,370767,19955,35089,1,NA
G4700490,1850,Tennessee,4454,148,218002,21561,100654,1,NA
G3700870,1850,North Carolina,7074,418,459457,35006,357042,1,NA
G4701790,1850,Tennessee,13861,930,1700231,86794,116150,1,NA
G1801690,1850,Indiana,12138,0,1977112,44252,111124,0,NA
G5100350,1850,Virginia,5909,154,495858,39161,135292,1,NA
G2800010,1850,Mississippi,18601,14395,2231043,77675,93766,1,NA
G3600110,1850,New York,55458,0,15086322,298633,99863,0,NA
G4804030,1850,Texas,2498,942,389269,12759,419704,1,NA
G1701330,1850,Illinois,7679,0,722157,39687,74186,0,NA
G2901050,1850,Missouri,2498,140,143570,10312,12927,1,NA
G2101630,1850,Kentucky,7393,1573,634378,40366,80573,1,NA
G1300550,1850,Georgia,6815,1680,787401,29325,78186,1,NA
G4800370,1850,Texas,2912,1641,187394,19045,335398,1,NA
G2101370,1850,Kentucky,10093,3355,2285321,90094,77288,1,NA
G5100310,1850,Virginia,23245,10866,2368184,122912,158227,1,NA
G2101710,1850,Kentucky,7756,831,448494,43662,91922,1,NA
G1701150,1850,Illinois,3988,0,786603,33330,69901,0,NA
G1901070,1850,Iowa,4822,0,465951,21075,62263,0,NA
G2900090,1850,Missouri,3467,150,154319,11563,14910,1,NA
G1900110,1850,Iowa,672,0,44675,2967,9237,0,NA
G5101930,1850,Virginia,8080,3557,1100857,68627,61450,1,NA
G2100830,1850,Kentucky,11397,1439,771845,56868,228342,1,NA
G3700890,1850,North Carolina,6853,924,376746,26251,126767,1,NA
G5101170,1850,Virginia,20630,12462,2470541,215646,179183,1,NA
G4201050,1850,Pennsylvania,6048,0,730986,23732,56281,0,NA
G3900030,1850,Ohio,12109,0,1637290,50766,87259,0,NA
G0500890,1850,Arkansas,2308,126,137795,7776,17477,1,NA
G2801030,1850,Mississippi,16299,11323,1708764,123394,176741,1,NA
G1700430,1850,Illinois,9290,0,1714065,86200,59231,0,NA
G0900110,1850,Connecticut,51821,0,8350759,221997,103168,0,NA
G5100490,1850,Virginia,9751,6329,1510498,94153,83630,1,NA
G3701710,1850,North Carolina,18443,2000,962741,104119,302795,1,NA
G5101490,1850,Virginia,7596,4408,1128184,57603,175313,1,NA
G4701150,1850,Tennessee,6314,551,648694,39985,202533,1,NA
G1800950,1850,Indiana,12375,0,1875335,61925,116833,0,NA
G5000170,1850,Vermont,27296,0,4807788,226257,120142,0,NA
G0101030,1850,Alabama,10125,3437,893597,64123,102821,1,NA
G3400170,1850,New Jersey,21822,3,2964995,9223,7729,0,NA
G0501390,1850,Arkansas,10298,4767,687300,56841,97435,1,NA
G4200930,1850,Pennsylvania,13239,0,2614949,67132,38002,0,NA
G1701430,1850,Illinois,17547,0,2089921,83718,100790,0,NA
G1701690,1850,Illinois,10573,0,806991,37776,60313,0,NA
G4800390,1850,Texas,4841,3507,748056,22251,1023706,1,NA
G4800570,1850,Texas,1110,234,75365,1085,38570,1,NA
G1302150,1850,Georgia,18578,8156,1600757,78015,131361,1,NA
G0500490,1850,Arkansas,1819,50,73991,6055,5578,1,NA
G2101070,1850,Kentucky,12441,2192,976498,70065,204441,1,NA
G2200930,1850,Louisiana,11098,7751,2505235,41905,49164,1,NA
G2100470,1850,Kentucky,19580,8140,2417282,105670,171260,1,NA
G2200190,1850,Louisiana,3914,957,127216,18542,20943,1,NA
G4500830,1850,South Carolina,26400,8039,2659146,207666,354281,1,NA
G5101450,1850,Virginia,8178,5282,1395501,81045,69716,1,NA
G2900030,1850,Missouri,9433,662,1337583,40447,114951,1,NA
G3701070,1850,North Carolina,7828,4116,1191461,72712,147892,1,NA
G2600050,1850,Michigan,5125,0,404860,12380,24965,0,NA
G2901730,1850,Missouri,6151,1368,735124,40420,83947,1,NA
G1302410,1850,Georgia,2448,110,156885,12741,120634,1,NA
G2101870,1850,Kentucky,10444,1514,1748243,64755,95840,1,NA
G5100570,1850,Virginia,10206,6762,1897664,93223,59797,1,NA
G2601150,1850,Michigan,14698,0,1584343,55993,81207,0,NA
G4700710,1850,Tennessee,10328,1257,546319,34466,164432,1,NA
G1301490,1850,Georgia,6923,2400,723990,42691,96409,1,NA
G1700170,1850,Illinois,7253,0,1220254,54578,46732,0,NA
G5101937,1850,Virginia,3353,32,400465,14217,83499,1,NA
G4701870,1850,Tennessee,27201,12864,5208237,169792,164840,1,NA
G1300310,1850,Georgia,4300,1460,348258,26760,473233,1,NA
G1700390,1850,Illinois,5002,0,788270,36945,48402,0,NA
G2750055,1850,Minnesota Territory,97,0,0,100,0,0,NA
G1801730,1850,Indiana,8811,0,797346,39463,84239,0,NA
G2100890,1850,Kentucky,9654,606,740601,30008,111396,1,NA
G2800570,1850,Mississippi,13528,2127,883983,67980,281979,1,NA
G5101135,1850,Virginia,10138,49,1632609,53478,79711,1,NA
G5501010,1850,Wisconsin,14973,0,1781703,63338,82947,0,NA
G3400090,1850,New Jersey,6433,0,824950,14310,37653,0,NA
G4200190,1850,Pennsylvania,30346,0,5012491,179642,188322,0,NA
G3900010,1850,Ohio,18883,0,2785628,104797,117107,0,NA
G5100250,1850,Virginia,13894,8456,1034422,177196,117772,1,NA
G1800990,1850,Indiana,5348,0,565595,20070,65018,0,NA
G3900730,1850,Ohio,14119,0,1326210,59709,82626,0,NA
G2400170,1850,Maryland,16162,9584,2472279,126232,115120,1,NA
G1800530,1850,Indiana,11092,0,1192596,37942,69752,0,NA
G1800490,1850,Indiana,5982,0,777124,31843,101454,0,NA
G5101053,1850,Virginia,10031,368,1133510,48152,126827,1,NA
G5101175,1850,Virginia,4222,177,387969,20552,137333,1,NA
G2100330,1850,Kentucky,13048,3107,1044893,69713,182549,1,NA
G5100837,1850,Virginia,4050,3,1148840,26877,22862,1,NA
G2200250,1850,Louisiana,7132,3528,754406,26077,83265,1,NA
G4200850,1850,Pennsylvania,33172,0,4793787,171792,162399,0,NA
G2902150,1850,Missouri,2312,42,93350,6991,7576,1,NA
G4201210,1850,Pennsylvania,18310,0,2149597,98362,187191,0,NA
G5100360,1850,Virginia,5200,2764,885252,36124,49796,1,NA
G2800330,1850,Mississippi,19042,9553,1868637,116044,168291,1,NA
G3701310,1850,North Carolina,13335,6511,1053197,107025,157664,1,NA
G3901130,1850,Ohio,38218,0,7752152,151306,109233,0,NA
G1301930,1850,Georgia,7052,2961,1070571,51588,134548,1,NA
G1801450,1850,Indiana,15502,0,2685781,86101,121587,0,NA
G2100850,1850,Kentucky,6837,320,321725,36612,115857,1,NA
G4400070,1850,Rhode Island,87526,0,7442040,115837,97474,0,NA
G0501170,1850,Arkansas,2097,273,180332,6615,52194,1,NA
G0500550,1850,Arkansas,2593,53,78537,9118,4039,1,NA
G0600370,1850,California,3530,0,649900,2648,1034550,0,NA
G2100090,1850,Kentucky,20240,4584,1322506,117604,204564,1,NA
G1700290,1850,Illinois,9335,0,1240751,77544,123669,0,NA
G2201070,1850,Louisiana,9040,8138,2432734,59391,158539,1,NA
G2800290,1850,Mississippi,11794,5480,874597,69943,180205,1,NA
G1200650,1850,Florida,7718,4938,511193,49403,104956,1,NA
G2601170,1850,Michigan,891,0,34500,1711,3414,0,NA
G1200230,1850,Florida,4808,1266,243097,18467,28012,1,NA
G2901870,1850,Missouri,4964,680,374295,19188,50779,1,NA
G1301410,1850,Georgia,11578,7306,1323711,125691,162644,1,NA
G3701790,1850,North Carolina,10051,1982,689663,56093,248063,1,NA
G3600350,1850,New York,20171,0,3465299,117413,47122,0,NA
G0100570,1850,Alabama,9681,1221,409649,46641,99789,1,NA
G2801070,1850,Mississippi,11444,6420,1180076,73713,124221,1,NA
G4800010,1850,Texas,2884,600,209973,9844,103264,1,NA
G2600870,1850,Michigan,7029,0,743940,34510,39153,0,NA
G3600310,1850,New York,31148,0,3393385,166951,136610,0,NA
G2400410,1850,Maryland,13811,4134,3750845,114109,55312,1,NA
G2600450,1850,Michigan,7058,0,717728,27538,55032,0,NA
G0500570,1850,Arkansas,7672,2460,591487,32618,56904,1,NA
G1801390,1850,Indiana,16445,0,4323533,126449,115576,0,NA
G5100470,1850,Virginia,12282,6683,2898534,135366,78374,1,NA
G5100530,1850,Virginia,25118,10880,1450785,102517,192529,1,NA
G1800050,1850,Indiana,12428,0,2315095,70203,96534,0,NA
G2901590,1850,Missouri,5150,884,692965,49112,91545,1,NA
G5000110,1850,Vermont,28586,0,4284070,180843,127002,0,NA
G5100150,1850,Virginia,24610,5053,7033273,178695,155981,1,NA
G1701790,1850,Illinois,12052,0,1604205,72882,92077,0,NA
G4500690,1850,South Carolina,10789,5600,1881909,85395,204505,1,NA
G1100017,1850,District of Columbia,8366,725,44800,117,8,1,NA
G4802890,1850,Texas,1946,621,179562,6485,109592,1,NA
G1900430,1850,Iowa,3873,0,240514,10934,36716,0,NA
G2300150,1850,Maine,74875,0,6311672,188466,224712,0,NA
G5101890,1850,Virginia,1546,905,248603,10929,19180,1,NA
G0600090,1850,California,16884,0,76860,0,14820,0,NA
G4804770,1850,Texas,5983,2817,649229,19535,244382,1,NA
G3900070,1850,Ohio,28767,0,5107073,174355,88841,0,NA
G2600930,1850,Michigan,13485,0,2293470,104189,124604,0,NA
G3701890,1850,North Carolina,3400,129,345717,17113,121761,1,NA
G2100710,1850,Kentucky,5714,149,295495,16700,94897,1,NA
G3900610,1850,Ohio,156844,0,17449236,137517,72883,0,NA
G0500650,1850,Arkansas,3213,196,138777,9467,9115,1,NA
G5101010,1850,Virginia,8779,5731,1458110,84639,66803,1,NA
G1301070,1850,Georgia,4577,962,579979,35092,502609,1,NA
G4200950,1850,Pennsylvania,40235,0,2535675,30059,7123,0,NA
G1301970,1850,Georgia,10280,3604,1144400,61938,119311,1,NA
G2800910,1850,Mississippi,4410,2195,206666,20393,57461,1,NA
G2102390,1850,Kentucky,12423,6376,4363917,108828,7347,1,NA
G3901690,1850,Ohio,32981,0,9442016,204129,130906,0,NA
G1300930,1850,Georgia,8361,2775,443483,59859,308583,1,NA
G4200430,1850,Pennsylvania,35754,0,7175872,150492,71285,0,NA
G5500010,1850,Wisconsin,187,0,NA,NA,NA,0,NA
G2101030,1850,Kentucky,11442,3013,2687743,118714,44496,1,NA
G0501010,1850,Arkansas,1758,47,63732,5555,7814,1,NA
G1901250,1850,Iowa,5482,0,300134,13619,59942,0,NA
G1701450,1850,Illinois,5278,0,375401,32333,58544,0,NA
G3901230,1850,Ohio,3308,0,314435,13158,16513,0,NA
G3900370,1850,Ohio,20276,0,3560998,102977,140154,0,NA
G1801150,1850,Indiana,5308,0,1202507,24056,27159,0,NA
G0501050,1850,Arkansas,978,15,25175,2095,2851,1,NA
G1702010,1850,Illinois,11773,0,1550965,64929,94325,0,NA
G3901470,1850,Ohio,27104,0,5710509,152554,131822,0,NA
G2901970,1850,Missouri,3287,55,195654,16121,35828,1,NA
G5500490,1850,Wisconsin,9525,0,355645,17195,48537,0,NA
G2101010,1850,Kentucky,12171,4397,2014355,70432,160711,1,NA
G5101957,1850,Virginia,1645,61,115979,5930,22080,1,NA
G2901490,1850,Missouri,1432,18,39095,3905,1522,1,NA
G4804190,1850,Texas,4239,961,405009,19460,251055,1,NA
G0500930,1850,Arkansas,2368,865,327415,8711,50544,1,NA
G1700790,1850,Illinois,3220,0,184605,10948,38774,0,NA
G1700210,1850,Illinois,3203,0,497590,27654,43412,0,NA
G1700990,1850,Illinois,17815,0,1800483,93098,118546,0,NA
G0100990,1850,Alabama,12013,6325,842285,67188,191523,1,NA
G1700810,1850,Illinois,8109,0,255394,29660,19727,0,NA
G3900250,1850,Ohio,30455,0,5551673,132002,90673,0,NA
G4801410,1850,Texas,NA,NA,NA,NA,NA,1,NA
G2901650,1850,Missouri,16845,2798,3738215,94446,124752,1,NA
G0501410,1850,Arkansas,2864,103,125912,11092,9403,1,NA
G1701350,1850,Illinois,6277,0,660765,49206,86829,0,NA
G5100155,1850,Virginia,9005,113,1757362,57731,138469,1,NA
G4800290,1850,Texas,6052,389,209951,5062,135182,1,NA
G2600250,1850,Michigan,19162,0,3032150,118963,139722,0,NA
G1800410,1850,Indiana,10217,0,3050791,71516,60075,0,NA
G4700610,1850,Tennessee,2773,236,177569,13939,131775,1,NA
G5100770,1850,Virginia,6677,499,571191,42200,136301,1,NA
G4804670,1850,Texas,1348,40,69547,3127,45463,1,NA
G3700810,1850,North Carolina,19754,3186,1437561,190309,183437,1,NA
G4804230,1850,Texas,4292,717,261871,8926,82434,1,NA
G5100630,1850,Virginia,6458,443,578414,34398,94494,1,NA
G1901050,1850,Iowa,3007,0,240290,13739,25700,0,NA
G0100250,1850,Alabama,9786,4876,675460,47927,163126,1,NA
G2800630,1850,Mississippi,13193,10493,1697377,93817,135868,1,NA
G1200830,1850,Florida,3338,1269,346695,11451,44168,1,NA
G3901090,1850,Ohio,24999,0,5320430,115063,94907,0,NA
G1801190,1850,Indiana,12106,0,1381711,63072,127120,0,NA
G0100730,1850,Alabama,8989,2267,580808,51921,85438,1,NA
G2200990,1850,Louisiana,11761,6489,1430147,35971,150119,1,NA
G3701570,1850,North Carolina,14495,5329,988175,70757,187476,1,NA
G5100775,1850,Virginia,10022,1317,2352596,97917,250631,1,NA
G3900410,1850,Ohio,21817,0,3510325,109458,111538,0,NA
G4200510,1850,Pennsylvania,39112,0,7369275,178397,153143,0,NA
