GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,slavery_legal,total_farmland
G5500630,1860,Wisconsin,12186,0,1641935,31189,68983,0,NA
G1302850,1860,Georgia,16262,10002,2196064,146245,113526,1,NA
G4803110,1860,Texas,NA,NA,NA,NA,NA,1,NA
G3700990,1860,North Carolina,5515,268,616119,86145,320038,1,NA
G3700690,1860,North Carolina,14107,7076,2453259,118968,180816,1,NA
G2800870,1860,Mississippi,23625,16730,7726605,167373,154190,1,NA
G4100595,1860,Oregon,1250,0,379745,33966,50092,0,NA
G4701890,1860,Tennessee,26072,7964,9939448,214884,120471,1,NA
G3900770,1860,Ohio,29616,0,9911868,190672,85156,0,NA
G4801330,1860,Texas,99,0,18025,650,16724,1,NA
G1301990,1860,Georgia,15330,8748,2432794,162609,144479,1,NA
G1900410,1860,Iowa,52,0,6000,208,902,0,NA
G2900390,1860,Missouri,6637,211,1370566,37658,162682,1,NA
G1302390,1860,Georgia,3499,1625,574730,31015,48469,1,NA
G5500550,1860,Wisconsin,30438,0,5057531,189611,93266,0,NA
G2600510,1860,Michigan,14,0,NA,NA,NA,0,NA
G4804490,1860,Texas,9648,2438,1448531,45791,220671,1,NA
G1801150,1860,Indiana,5462,0,2026760,31284,27114,0,NA
G4100510,1860,Oregon,4150,0,766440,5887,52649,0,NA
G4200850,1860,Pennsylvania,36856,0,9022238,219811,123843,0,NA
G2801530,1860,Mississippi,3691,1947,347840,18799,40420,1,NA
G0600870,1860,California,4944,0,887223,83423,47595,0,NA
G2601370,1860,Michigan,NA,NA,NA,NA,NA,0,NA
G3150515,1860,Nebraska Territory,4211,10,1369770,26890,190223,0,NA
G3150335,1860,Nebraska Territory,528,0,60822,2503,10838,0,NA
G2900450,1860,Missouri,11684,455,3046500,73195,112939,1,NA
G1301850,1860,Georgia,5249,2399,1258205,34418,255625,1,NA
G4800570,1860,Texas,2642,414,44400,1087,10966,1,NA
G3900990,1860,Ohio,25894,0,9194650,165984,69838,0,NA
G1900190,1860,Iowa,7906,0,1456513,37772,83568,0,NA
G4200090,1860,Pennsylvania,26736,0,6324760,177917,194020,0,NA
G2050555,1860,Kansas Territory,636,0,102800,3975,13851,1,NA
G5000150,1860,Vermont,12311,0,3381150,104080,83679,0,NA
G5100170,1860,Virginia,3676,946,1455351,37605,148540,1,NA
G4200190,1860,Pennsylvania,35594,0,9604550,250698,176875,0,NA
G1300450,1860,Georgia,11991,1862,1351973,58042,154199,1,NA
G0600930,1860,California,7629,0,875730,57870,21461,0,NA
G4701410,1860,Tennessee,8558,682,889274,49303,171536,1,NA
G1701290,1860,Illinois,9584,0,3466631,104231,49545,0,NA
G2902150,1860,Missouri,6067,56,594772,19706,118124,1,NA
G4802090,1860,Texas,2126,797,324567,10077,26717,1,NA
G3700130,1860,North Carolina,14766,5878,1139020,32026,226721,1,NA
G2901830,1860,Missouri,16523,2181,4457541,92173,120769,1,NA
G3150115,1860,Nebraska Territory,246,0,8590,455,3960,0,NA
G1302350,1860,Georgia,8744,4106,1485870,65519,255686,1,NA
G2700877,1860,Minnesota,136,0,62060,867,1255,0,NA
G2801110,1860,Mississippi,2606,738,209598,9629,92602,1,NA
G4801210,1860,Texas,5031,251,532037,10368,85068,1,NA
G1901170,1860,Iowa,5766,0,739539,33763,54726,0,NA
G1701130,1860,Illinois,28772,0,8258690,333427,86095,0,NA
G5101890,1860,Virginia,1740,1019,406250,12093,25144,1,NA
G5101197,1860,Virginia,10757,1114,3768775,106295,185669,1,NA
G1302990,1860,Georgia,2200,377,381571,9097,197075,1,NA
G1200950,1860,Florida,987,163,90555,2768,9435,1,NA
G5100833,1860,Virginia,13913,1213,3947900,172690,376640,1,NA
G1801130,1860,Indiana,14915,0,3242207,69285,93190,0,NA
G1700370,1860,Illinois,19086,0,5596102,266218,16847,0,NA
G4800130,1860,Texas,1578,107,94126,3397,80239,1,NA
G4200130,1860,Pennsylvania,27829,0,4995315,88379,51885,0,NA
G1301870,1860,Georgia,4626,432,331295,17506,69552,1,NA
G2300270,1860,Maine,38447,0,4516496,192237,160860,0,NA
G4950735,1860,Utah Territory,691,0,47064,1540,110,0,NA
G1200590,1860,Florida,1386,112,62753,5251,11959,1,NA
G3900650,1860,Ohio,13570,0,3396493,69188,82622,0,NA
G0600450,1860,California,3967,0,523195,92729,5445,0,NA
G1300850,1860,Georgia,3856,326,397507,20507,88020,1,NA
G4701350,1860,Tennessee,6042,548,958740,28510,155013,1,NA
G1800670,1860,Indiana,12524,0,2514795,55373,71876,0,NA
G1702030,1860,Illinois,13282,0,4685920,149089,66605,0,NA
G5500675,1860,Wisconsin,353,0,36600,293,1689,0,NA
G1900270,1860,Iowa,281,0,28250,1460,4053,0,NA
G0100790,1860,Alabama,13975,6788,2996285,142726,201467,1,NA
G2700630,1860,Minnesota,181,0,2350,130,670,0,NA
G4804090,1860,Texas,620,95,181193,1718,147575,1,NA
G2600890,1860,Michigan,2158,0,65011,1373,8366,0,NA
G4803770,1860,Texas,580,4,NA,NA,NA,1,NA
G3701610,1860,North Carolina,11573,2391,1100656,58178,149242,1,NA
G0500070,1860,Arkansas,9306,384,1411920,41183,150019,1,NA
G5100550,1860,Virginia,5798,2417,1273050,17534,13905,1,NA
G3900970,1860,Ohio,13015,0,7785708,183624,71363,0,NA
G5101215,1860,Virginia,3732,94,479987,27147,48116,1,NA
G0100010,1860,Alabama,16739,9607,2901285,131733,307385,1,NA
G1300790,1860,Georgia,7693,4270,1232668,82587,98073,1,NA
G2600910,1860,Michigan,38112,0,9350796,197073,147265,0,NA
G4200430,1860,Pennsylvania,46756,0,13000746,170725,52852,0,NA
G1800410,1860,Indiana,10225,0,5898011,84257,50260,0,NA
G4701470,1860,Tennessee,15265,4861,5211402,123443,156925,1,NA
G3600450,1860,New York,69825,0,25542788,510920,293490,0,NA
G2901150,1860,Missouri,9112,577,2003723,53869,145814,1,NA
G4500230,1860,South Carolina,18122,10868,4235265,183106,176598,1,NA
G2900690,1860,Missouri,5026,171,614457,15822,63159,1,NA
G1800530,1860,Indiana,15797,0,3104998,72846,47760,0,NA
G1300330,1860,Georgia,17165,12052,4034000,250814,309507,1,NA
G1301930,1860,Georgia,8449,4865,1680768,88353,108176,1,NA
G2200670,1860,Louisiana,10357,6569,5505285,52988,150032,1,NA
G5000090,1860,Vermont,5786,0,1190049,55169,62872,0,NA
G5500035,1860,Wisconsin,11007,0,1295153,39066,108046,0,NA
G1300630,1860,Georgia,4466,1226,660807,34883,52628,1,NA
G2801030,1860,Mississippi,20667,15496,8353247,162835,178710,1,NA
G4804550,1860,Texas,4392,959,281239,11872,50452,1,NA
G2200870,1860,Louisiana,4076,2240,NA,NA,NA,1,NA
G3150395,1860,Nebraska Territory,153,0,11000,460,2190,0,NA
G0900150,1860,Connecticut,34747,0,7612095,239622,82799,0,NA
G5350035,1860,Washington Territory,149,0,90300,566,4727,0,NA
G1700230,1860,Illinois,14987,0,2507566,89462,102374,0,NA
G0501110,1860,Arkansas,3621,1086,912217,15478,75632,1,NA
G3600850,1860,New York,25492,0,3327800,9852,4743,0,NA
G2100170,1860,Kentucky,14860,6767,13036380,176916,0,1,NA
G2901070,1860,Missouri,20098,6374,7782352,150092,180062,1,NA
G0500410,1860,Arkansas,6459,3784,4098240,42264,125800,1,NA
G2900070,1860,Missouri,8075,1166,3557273,84531,160905,1,NA
G2701010,1860,Minnesota,29,0,1500,40,440,0,NA
G2101170,1860,Kentucky,25467,567,2613330,51454,35214,1,NA
G2601010,1860,Michigan,975,0,NA,NA,NA,0,NA
G1701450,1860,Illinois,9552,0,2256945,62799,77929,0,NA
G3701070,1860,North Carolina,10220,5140,2432030,111183,161476,1,NA
G1900390,1860,Iowa,5427,0,911039,28093,67453,0,NA
G3900390,1860,Ohio,11886,0,2565397,51368,92348,0,NA
G2902050,1860,Missouri,7301,724,2892020,62829,105038,1,NA
G5350375,1860,Washington Territory,162,0,69417,649,14862,0,NA
G1701030,1860,Illinois,17651,0,4860834,152472,79779,0,NA
G4200030,1860,Pennsylvania,178831,0,25394396,278583,124107,0,NA
G5000190,1860,Vermont,18981,0,4973918,153864,125988,0,NA
G3701450,1860,North Carolina,11221,5195,1915505,101736,118662,1,NA
G1901930,1860,Iowa,1119,0,127698,2696,12194,0,NA
G4805070,1860,Texas,26,0,NA,NA,NA,1,NA
G1303190,1860,Georgia,9376,3887,1974014,94373,154706,1,NA
G0501230,1860,Arkansas,8672,2621,2498918,38730,193000,1,NA
G4400010,1860,Rhode Island,8907,0,1210830,11540,1614,0,NA
G0600230,1860,California,2694,0,324976,5324,23705,0,NA
G3901550,1860,Ohio,30656,0,9890406,231506,104325,0,NA
G2601095,1860,Michigan,1938,0,16350,646,2323,0,NA
G1701310,1860,Illinois,15042,0,4751115,149535,95484,0,NA
G1201270,1860,Florida,1158,297,99810,3008,11642,1,NA
G2900350,1860,Missouri,1235,20,105245,4603,24517,1,NA
G2100510,1860,Kentucky,6652,349,501280,27590,227306,1,NA
G3600230,1860,New York,26294,0,9846986,206750,88576,0,NA
G3601210,1860,New York,31968,0,11173680,252236,94150,0,NA
G4804810,1860,Texas,3380,2734,1816560,23239,109446,1,NA
G4950605,1860,Utah Territory,105,0,0,20,0,0,NA
G2400090,1860,Maryland,10447,4609,3407902,81301,55130,1,NA
G5500530,1860,Wisconsin,4170,0,471490,15263,38780,0,NA
G2500190,1860,Massachusetts,6094,0,166548,6736,6382,0,NA
G2900310,1860,Missouri,15547,1533,2709272,78816,187205,1,NA
G1900590,1860,Iowa,180,0,9700,367,1197,0,NA
G2900570,1860,Missouri,7072,346,1414927,41830,151856,1,NA
G3600870,1860,New York,22492,0,4693250,41342,24994,0,NA
G1701250,1860,Illinois,10931,0,3029529,119435,63611,0,NA
G0501010,1860,Arkansas,3393,24,190491,11597,19351,1,NA
G3150325,1860,Nebraska Territory,NA,NA,NA,NA,NA,0,NA
G2101910,1860,Kentucky,10443,424,1956278,60045,70632,1,NA
G3600810,1860,New York,57391,0,18090150,115564,43549,0,NA
G4803470,1860,Texas,8292,2359,1106470,46649,203145,1,NA
G2600010,1860,Michigan,185,0,NA,NA,NA,0,NA
G3400350,1860,New Jersey,22057,9,11922420,152899,21361,0,NA
G2102230,1860,Kentucky,5880,831,1378122,45624,36596,1,NA
G0101310,1860,Alabama,24618,17797,7311117,179143,337886,1,NA
G0600890,1860,California,4360,0,396455,24964,53079,0,NA
G0501030,1860,Arkansas,12936,4478,1988237,74000,269631,1,NA
G5101857,1860,Virginia,7292,212,1665426,49170,101626,1,NA
G5101990,1860,Virginia,4949,1925,1167320,28030,39697,1,NA
G1700210,1860,Illinois,10492,0,2632005,133266,54098,0,NA
G3400410,1860,New Jersey,28433,1,12685074,143739,85804,0,NA
G1300470,1860,Georgia,5082,710,822780,26471,52250,1,NA
G1701630,1860,Illinois,37694,0,10721968,196735,120954,0,NA
G3700050,1860,North Carolina,3590,206,482244,30786,87451,1,NA
G4801390,1860,Texas,5246,1104,1050851,23636,163653,1,NA
G4700410,1860,Tennessee,10573,1025,1858285,50424,122453,1,NA
G0600090,1860,California,16299,0,491065,30213,53448,0,NA
G2050015,1860,Kansas Territory,3082,0,260719,13326,103686,1,NA
G1700630,1860,Illinois,10379,0,2573250,132971,11609,0,NA
G1301270,1860,Georgia,3889,2839,614582,17810,90507,1,NA
G1301050,1860,Georgia,10433,5711,1901904,74859,217182,1,NA
G2200310,1860,Louisiana,13298,8507,2546987,96591,282354,1,NA
G1801490,1860,Indiana,2195,0,411650,9541,30847,0,NA
G3150555,1860,Nebraska Territory,NA,NA,NA,NA,NA,0,NA
G4801610,1860,Texas,6881,3613,608371,41918,240785,1,NA
G3701310,1860,North Carolina,13372,6804,2659031,127775,170292,1,NA
G2900870,1860,Missouri,6550,309,1314860,26058,66418,1,NA
G2200690,1860,Louisiana,16699,9434,5059293,80616,276626,1,NA
G4800730,1860,Texas,12098,3246,1261459,59089,247687,1,NA
G2600750,1860,Michigan,26671,0,8492460,216211,159183,0,NA
G5500090,1860,Wisconsin,11795,0,305104,10149,25074,0,NA
G1301790,1860,Georgia,8367,6083,617592,46874,358319,1,NA
G5100035,1860,Virginia,12652,1386,853260,8291,6969,1,NA
G0500570,1860,Arkansas,13989,5398,3029418,65548,211138,1,NA
G1302430,1860,Georgia,9571,4467,1443698,80854,131360,1,NA
G5101630,1860,Virginia,17248,3985,5785123,139236,200886,1,NA
G4800090,1860,Texas,NA,NA,NA,NA,NA,1,NA
G5500930,1860,Wisconsin,4672,0,533001,13969,42929,0,NA
G2200850,1860,Louisiana,5828,1713,414746,26350,86171,1,NA
G2102090,1860,Kentucky,14417,5744,6793203,162277,3039,1,NA
G3901270,1860,Ohio,19678,0,5960281,153486,91633,0,NA
G4801470,1860,Texas,9217,1721,1508806,41285,204588,1,NA
G0600010,1860,California,8927,0,4247430,82169,158746,0,NA
G2700670,1860,Minnesota,76,0,4400,109,793,0,NA
G2100010,1860,Kentucky,9509,1602,1062283,58132,102239,1,NA
G1201310,1860,Florida,3037,441,154671,9681,24625,1,NA
G3600610,1860,New York,813669,0,9561350,1275,310,0,NA
G1901130,1860,Iowa,18947,0,3845262,115867,136451,0,NA
G4700390,1860,Tennessee,6276,784,736009,33741,132664,1,NA
G2900130,1860,Missouri,7215,442,1074464,33781,114385,1,NA
G4800270,1860,Texas,4799,1005,1339192,21196,441688,1,NA
G1701650,1860,Illinois,9331,0,1243220,46150,111521,0,NA
G2100870,1860,Kentucky,8806,2372,1154698,65009,83420,1,NA
G2201070,1860,Louisiana,16078,14592,15452764,117355,236675,1,NA
G3901730,1860,Ohio,17886,0,4187710,84887,114212,0,NA
G2050255,1860,Kansas Territory,1163,0,95050,2959,10279,1,NA
G0101190,1860,Alabama,24035,18091,5303979,189014,208798,1,NA
G2700410,1860,Minnesota,195,0,13000,577,3027,0,NA
G1701470,1860,Illinois,6127,0,2744850,97511,40074,0,NA
G2101570,1860,Kentucky,6982,351,999606,35439,89787,1,NA
G2900710,1860,Missouri,18085,1601,3216300,76559,207135,1,NA
G3900710,1860,Ohio,27773,0,10845788,200849,121427,0,NA
G5100830,1860,Virginia,26520,14897,6922479,277913,196552,1,NA
G3700070,1860,North Carolina,13664,6951,1711978,103391,210366,1,NA
G5100330,1860,Virginia,18464,10672,4407613,183799,122123,1,NA
G5350135,1860,Washington Territory,531,0,75250,488,6978,0,NA
G4201170,1860,Pennsylvania,31044,0,6246289,158913,145678,0,NA
G1200570,1860,Florida,2981,564,178670,6682,24285,1,NA
G2900930,1860,Missouri,5842,313,620510,16087,55406,1,NA
G4803990,1860,Texas,NA,NA,NA,NA,NA,1,NA
G2200950,1860,Louisiana,7930,4594,2592800,32481,40505,1,NA
G1900610,1860,Iowa,31164,0,3658878,109038,169722,0,NA
G1301470,1860,Georgia,6137,1528,738093,34892,102863,1,NA
G1200770,1860,Florida,1457,521,373940,7714,54688,1,NA
G4701110,1860,Tennessee,7290,929,1246301,45441,119909,1,NA
G3701130,1860,North Carolina,6004,519,894577,32609,303946,1,NA
G5101950,1860,Virginia,4508,66,506618,21181,175425,1,NA
G5500910,1860,Wisconsin,2392,0,228780,5271,20185,0,NA
G1801530,1860,Indiana,15064,0,2548305,91967,102072,0,NA
G4800850,1860,Texas,9264,1047,2090058,38196,216404,1,NA
G4100470,1860,Oregon,7088,0,1902426,96568,164367,0,NA
G5100490,1860,Virginia,9961,6705,2355423,90746,80028,1,NA
G2900590,1860,Missouri,5892,114,497821,40923,120950,1,NA
G5101510,1860,Virginia,7714,3186,1860486,57612,75140,1,NA
G4200590,1860,Pennsylvania,24343,0,7442626,201413,124256,0,NA
G1300670,1860,Georgia,14242,3819,1533869,63385,113232,1,NA
G1701350,1860,Illinois,13979,0,3336107,127484,78187,0,NA
G2050155,1860,Kansas Territory,437,0,32300,1631,6527,1,NA
G2901510,1860,Missouri,7879,256,1369166,37734,197135,1,NA
G2200790,1860,Louisiana,25360,15358,9340612,105839,331117,1,NA
G1301550,1860,Georgia,1699,246,142475,9322,128508,1,NA
G2901410,1860,Missouri,8202,649,1572007,39393,154898,1,NA
G5101135,1860,Virginia,12997,29,2489909,59136,62543,1,NA
G2700135,1860,Minnesota,79,0,NA,NA,NA,0,NA
G3300090,1860,New Hampshire,42260,0,9972260,436841,258762,0,NA
G3901570,1860,Ohio,32463,0,7743502,206863,102834,0,NA
G3900290,1860,Ohio,32836,0,9651074,192868,100203,0,NA
G2900850,1860,Missouri,4705,195,825491,25632,96492,1,NA
G1901230,1860,Iowa,14816,0,2476356,73850,97019,0,NA
G2701710,1860,Minnesota,3729,0,425792,10087,84961,0,NA
G0500290,1860,Arkansas,6697,802,923263,21747,121016,1,NA
G2601230,1860,Michigan,2760,0,129000,6229,10167,0,NA
G3700230,1860,North Carolina,9237,2371,784793,33253,126986,1,NA
G1801550,1860,Indiana,12698,0,4508776,77485,51214,0,NA
G1700550,1860,Illinois,9393,0,1567095,56028,130362,0,NA
G3901530,1860,Ohio,27344,0,9579954,174073,60134,0,NA
G5101070,1860,Virginia,21774,5501,10508212,220266,75876,1,NA
G2801330,1860,Mississippi,5019,3917,NA,NA,NA,1,NA
G1301070,1860,Georgia,5081,1294,238396,38164,468193,1,NA
G1303110,1860,Georgia,3315,263,326872,15000,65105,1,NA
G4100710,1860,Oregon,3245,0,1275101,92347,96756,0,NA
G1300090,1860,Georgia,9078,4929,1110163,43982,115844,1,NA
G5350515,1860,Washington Territory,352,0,13400,106,2287,0,NA
G2900750,1860,Missouri,11980,118,2688986,65737,225480,1,NA
G1700250,1860,Illinois,9336,0,2745904,105974,116655,0,NA
G3900010,1860,Ohio,20309,0,5257360,147943,124298,0,NA
G2101370,1860,Kentucky,10647,3430,3993899,104469,58612,1,NA
G4800590,1860,Texas,NA,NA,NA,NA,NA,1,NA
G3900950,1860,Ohio,25831,0,3160115,54727,55405,0,NA
G1801590,1860,Indiana,8170,0,2026633,42431,71196,0,NA
G2901850,1860,Missouri,6812,574,861725,27723,110137,1,NA
G4800290,1860,Texas,14454,1395,591706,13697,162023,1,NA
G2400310,1860,Maryland,18322,5421,5920318,176790,114814,1,NA
G1700870,1860,Illinois,9342,0,1070845,42406,111906,0,NA
G3600270,1860,New York,64941,0,30005990,392664,79609,0,NA
G4802030,1860,Texas,15001,8784,2668809,117847,276979,1,NA
G1801330,1860,Indiana,20681,0,7755634,245817,49934,0,NA
G0100710,1860,Alabama,18283,3405,3121085,104860,228582,1,NA
G3600090,1860,New York,43886,0,11210206,297134,257279,0,NA
G4800970,1860,Texas,3760,369,548601,11460,145103,1,NA
G2601150,1860,Michigan,21593,0,4026965,93977,107650,0,NA
G1200130,1860,Florida,1446,524,218540,6001,25341,1,NA
G1701510,1860,Illinois,6742,0,720814,30100,83518,0,NA
G2101630,1860,Kentucky,8898,1932,1937357,65603,99936,1,NA
G2050055,1860,Kansas Territory,34277,0,NA,NA,NA,1,NA
G4804110,1860,Texas,913,89,145807,1216,47249,1,NA
G2101710,1860,Kentucky,8551,922,1082376,50947,108129,1,NA
G3701850,1860,North Carolina,15726,10401,3338899,122074,225183,1,NA
G3601130,1860,New York,21434,0,2802399,119157,123915,0,NA
G5501270,1860,Wisconsin,26496,0,6778235,212898,89384,0,NA
G3701350,1860,North Carolina,16947,5108,2141690,101354,246040,1,NA
G2902250,1860,Missouri,7099,220,764390,27210,70023,1,NA
G1301630,1860,Georgia,10219,6045,1845175,125328,227803,1,NA
G3550395,1860,New Mexico Territory,13714,0,559296,21550,149205,1,NA
G1303170,1860,Georgia,11420,7953,1601158,130185,161428,1,NA
G3601050,1860,New York,32385,0,5202980,139296,185682,0,NA
G2701610,1860,Minnesota,2601,0,160180,5525,26149,0,NA
G2901430,1860,Missouri,5654,1777,1688142,40791,86962,1,NA
G4804530,1860,Texas,8080,3136,2305038,44609,1318947,1,NA
G1901710,1860,Iowa,5285,0,313943,10615,5956,0,NA
G1900750,1860,Iowa,793,0,200720,5458,12961,0,NA
G3150375,1860,Nebraska Territory,474,5,NA,NA,NA,0,NA
G3400110,1860,New Jersey,22605,0,4295875,63276,46708,0,NA
G4201190,1860,Pennsylvania,14145,0,4949388,73501,24775,0,NA
G4700430,1860,Tennessee,9982,2201,1541760,55301,231657,1,NA
G0600130,1860,California,5328,0,1888659,84120,121716,0,NA
G3901350,1860,Ohio,21820,0,11102552,145818,115098,0,NA
G5101170,1860,Virginia,20096,12420,3606956,139840,202643,1,NA
G3700910,1860,North Carolina,9504,4445,1321818,73270,133652,1,NA
G3701250,1860,North Carolina,11427,2518,1178311,65165,375148,1,NA
G4804770,1860,Texas,15215,7941,4313993,76328,288597,1,NA
G3150015,1860,Nebraska Territory,114,0,14300,579,2941,0,NA
G3901430,1860,Ohio,21429,0,3925728,79164,51671,0,NA
G2900610,1860,Missouri,9606,358,2526192,72038,189636,1,NA
G3400370,1860,New Jersey,23846,0,11105234,175894,86335,0,NA
G4500430,1860,South Carolina,21305,18109,5818690,59858,309683,1,NA
G4100050,1860,Oregon,3466,0,817090,15051,115901,0,NA
G2600170,1860,Michigan,3164,0,134110,2567,5843,0,NA
G2901810,1860,Missouri,3747,78,273280,10930,58672,1,NA
G4700250,1860,Tennessee,9643,743,1558030,64460,182705,1,NA
G1800370,1860,Indiana,10394,0,1319575,58279,138008,0,NA
G4201310,1860,Pennsylvania,12540,0,3247140,73092,70121,0,NA
G4200630,1860,Pennsylvania,33687,0,6847960,223544,194146,0,NA
G2101270,1860,Kentucky,7601,146,837015,38236,198275,1,NA
G0501050,1860,Arkansas,2465,303,422441,8735,42974,1,NA
G1901670,1860,Iowa,10,0,NA,NA,NA,0,NA
G3701170,1860,North Carolina,10195,4309,1158545,56072,178507,1,NA
G1900070,1860,Iowa,11931,0,2240170,74627,146832,0,NA
G1800010,1860,Indiana,9252,0,1657480,48359,60202,0,NA
G5350275,1860,Washington Territory,1115,0,178940,15593,32788,0,NA
G1301490,1860,Georgia,7805,2811,1143428,60765,117298,1,NA
G3701150,1860,North Carolina,5908,213,733397,32592,174760,1,NA
G4700290,1860,Tennessee,10408,849,2320967,67637,159727,1,NA
G2101810,1860,Kentucky,11030,1614,3377294,101990,34116,1,NA
G2801610,1860,Mississippi,16952,9531,3235661,113646,235683,1,NA
G4701490,1860,Tennessee,27918,12984,13468310,184468,219753,1,NA
G3700730,1860,North Carolina,8443,3901,934908,72678,83673,1,NA
G4201290,1860,Pennsylvania,53736,0,16036204,348457,184036,0,NA
G1801430,1860,Indiana,7303,0,1176590,45056,50744,0,NA
G4201070,1860,Pennsylvania,89510,0,7024544,114403,117811,0,NA
G1700310,1860,Illinois,144954,0,10005774,267927,70623,0,NA
G1900910,1860,Iowa,332,0,18730,1110,2676,0,NA
G4700190,1860,Tennessee,7124,374,1168255,33624,81132,1,NA
G2050435,1860,Kansas Territory,1936,0,210900,5294,18796,1,NA
G4200510,1860,Pennsylvania,39909,0,9794618,196394,117628,0,NA
G0600110,1860,California,2274,0,878240,89704,84960,0,NA
G2101690,1860,Kentucky,6745,781,902722,45406,74722,1,NA
G0601050,1860,California,5125,0,218760,4876,16021,0,NA
G5101930,1860,Virginia,8282,3704,1931680,76100,55415,1,NA
G5100410,1860,Virginia,19016,8354,3263370,106999,154973,1,NA
G1801190,1860,Indiana,14376,0,3530527,136355,82597,0,NA
G1800270,1860,Indiana,13323,0,2792551,99400,119963,0,NA
G1300490,1860,Georgia,1780,557,61955,3111,58587,1,NA
G1301530,1860,Georgia,15611,10755,3524197,184132,186487,1,NA
G5000250,1860,Vermont,26982,0,6936519,308090,117907,0,NA
G4700970,1860,Tennessee,7559,2854,1857255,38539,117825,1,NA
G0501410,1860,Arkansas,5357,200,506147,15759,84711,1,NA
G3400290,1860,New Jersey,11176,0,2318800,37746,81121,0,NA
G3700850,1860,North Carolina,8039,2584,992531,46667,241403,1,NA
G4100330,1860,Oregon,1623,0,173180,13454,15077,0,NA
G1900510,1860,Iowa,13764,0,2494091,87909,140978,0,NA
G2101390,1860,Kentucky,7213,1222,1283874,34653,90416,1,NA
G4100290,1860,Oregon,3736,0,575950,32527,18334,0,NA
G1201190,1860,Florida,1549,549,199873,4950,15342,1,NA
G2701030,1860,Minnesota,3773,0,502885,9753,55886,0,NA
G2900250,1860,Missouri,5034,222,1282636,39420,106097,1,NA
G5101850,1860,Virginia,9920,1202,2878107,65722,273251,1,NA
G2901330,1860,Missouri,4859,1010,1381300,33624,80911,1,NA
G2101670,1860,Kentucky,13701,3274,4376120,110957,40556,1,NA
G2800470,1860,Mississippi,4819,1015,683900,8674,96839,1,NA
G3700710,1860,North Carolina,9307,2199,1529274,52824,167382,1,NA
G0100630,1860,Alabama,30859,23598,9176802,277462,282682,1,NA
G3901450,1860,Ohio,24297,0,3347888,81288,76744,0,NA
G2200290,1860,Louisiana,13805,12542,12335720,87406,158523,1,NA
G0500670,1860,Arkansas,10493,2535,2063231,40597,108028,1,NA
G4803150,1860,Texas,3977,2017,359635,23340,97424,1,NA
G0600970,1860,California,11867,0,2989110,198768,80453,0,NA
G5100810,1860,Virginia,6374,4167,982900,70317,97648,1,NA
G5100910,1860,Virginia,4319,402,1535379,66027,172944,1,NA
G2300310,1860,Maine,62107,0,10757624,243077,201337,0,NA
G3900350,1860,Ohio,78033,0,11342820,175655,64440,0,NA
G4800930,1860,Texas,709,61,49024,1880,22850,1,NA
G1800990,1860,Indiana,12722,0,1692420,29231,40385,0,NA
G2400050,1860,Maryland,54135,3182,22491196,206536,113021,1,NA
G2902010,1860,Missouri,5247,503,626323,21999,52293,1,NA
G3901630,1860,Ohio,13631,0,2580130,76379,113782,0,NA
G4802650,1860,Texas,634,49,82910,2201,23396,1,NA
G4802370,1860,Texas,1000,50,23770,911,6759,1,NA
G1300110,1860,Georgia,4707,1086,248484,32225,96250,1,NA
G0600430,1860,California,6243,0,176060,8145,24696,0,NA
G5350195,1860,Washington Territory,230,0,48550,1222,9185,0,NA
G2200410,1860,Louisiana,6162,3402,1674572,34138,127655,1,NA
G4100090,1860,Oregon,532,0,142352,6556,21289,0,NA
G5500210,1860,Wisconsin,24441,0,5663789,185548,152859,0,NA
G1800090,1860,Indiana,4122,0,757340,20376,34229,0,NA
G2100250,1860,Kentucky,4980,190,452020,18093,226518,1,NA
G2600390,1860,Michigan,NA,NA,NA,NA,NA,0,NA
G5100090,1860,Virginia,13742,6278,2874596,111969,132949,1,NA
G4700370,1860,Tennessee,47055,14790,13929974,132763,116084,1,NA
G2400130,1860,Maryland,24533,783,7567638,170353,67145,1,NA
G0100230,1860,Alabama,13877,7094,2746506,92272,258903,1,NA
G2100370,1860,Kentucky,20909,116,2797505,42203,25285,1,NA
G1900730,1860,Iowa,1374,0,168557,7227,20860,0,NA
G3901090,1860,Ohio,29959,0,11246996,148985,88602,0,NA
G2902290,1860,Missouri,4508,66,380840,17187,52689,1,NA
G2400350,1860,Maryland,15961,4174,5236080,153113,62718,1,NA
G4803910,1860,Texas,1600,234,758651,5210,385639,1,NA
G1801270,1860,Indiana,10313,0,3307780,73123,56819,0,NA
G4802530,1860,Texas,NA,NA,NA,NA,NA,1,NA
G1302090,1860,Georgia,2997,977,389038,21696,331095,1,NA
G2300110,1860,Maine,55655,0,8858356,285393,164960,0,NA
G4100030,1860,Oregon,3074,0,1268818,107341,52034,0,NA
G2050195,1860,Kansas Territory,163,0,9200,481,2446,1,NA
G4801970,1860,Texas,NA,NA,NA,NA,NA,1,NA
G2100910,1860,Kentucky,6213,818,1092955,30632,48506,1,NA
G1300370,1860,Georgia,4913,2731,1028452,41908,96526,1,NA
G0100190,1860,Alabama,18360,3002,2979265,106919,218234,1,NA
G2700990,1860,Minnesota,3217,0,234630,7964,28387,0,NA
G3700250,1860,North Carolina,10546,3040,1812519,83105,124471,1,NA
