year,state,slavery_legal,GISJOIN,farmv,border_county
1850,Alabama,1,G0100590,5.465504154731716,0
1850,Arkansas,1,G0500970,9.92422711658921,0
1850,North Carolina,1,G3701590,4.297977650673448,0
1850,Tennessee,1,G4700810,3.106489342802725,0
1850,New Jersey,0,G3400270,33.809843912150285,0
1850,North Carolina,1,G3701290,2.4171249680675184,0
1850,Kentucky,1,G2100430,1.7781045433923133,0
1850,North Carolina,1,G3701770,6.090685526917798,0
1850,Florida,1,G1200750,5.109862033725089,0
1850,Arkansas,1,G0500030,7.014759449359005,0
1850,Georgia,1,G1301590,6.271756960791565,0
1850,Mississippi,1,G2801390,3.589938569422781,0
1850,Wisconsin,0,G5500675,32.27272727272727,0
1850,Michigan,0,G2601270,NA,0
1850,New Jersey,0,G3400010,13.821560363775685,0
1850,New York,0,G3600270,52.99909708351662,0
1850,Texas,1,G4804590,1.8333307622294557,0
1850,Alabama,1,G0101010,5.871329038288486,0
1850,Mississippi,1,G2801210,4.073456362271126,0
1850,Pennsylvania,0,G4200290,60.068171562894975,1
1850,Virginia,1,G5101913,3.817666862278778,1
1850,Virginia,1,G5100237,24.396331114967296,1
1850,Virginia,1,G5101057,2.1909257197391443,0
1850,Louisiana,1,G2200070,45.83581530849731,0
1850,Illinois,0,G1700930,8.8976901866233291,0
1850,Kentucky,1,G2100810,10.414359134361215,0
1850,Illinois,0,G1701730,6.20553629778722,0
1850,Maryland,1,G2400190,11.976252481529462,0
1850,Pennsylvania,0,G4200470,6.024621848739495,0
1850,Texas,1,G4801390,0.9411212446351931,0
1850,Arkansas,1,G0500290,3.3314560652757144,0
1850,Ohio,0,G3901310,11.836185580653474,0
1850,Missouri,1,G2901270,9.008763890169366,1
1850,Kentucky,1,G2101150,2.0237097134113298,0
1850,Vermont,0,G5000250,15.031056789558049,0
1850,Illinois,0,G1701930,3.800173035537719,0
1850,Iowa,0,G1901850,1.8838304552590266,1
1850,Mississippi,1,G2800370,3.859734774318767,0
1850,Pennsylvania,0,G4201230,11.216618088117265,0
1850,Texas,1,G4803310,1.872390536345145,0
1850,Ohio,0,G3900650,10.81600147027292,0
1850,Illinois,0,G1701630,9.582213920365412,1
1850,Tennessee,1,G4701850,2.5192938310601902,0
1850,Michigan,0,G2600910,15.084892352435624,0
1850,Texas,1,G4804530,3.7964839541195565,0
1850,Illinois,0,G1701530,4.233867489466176,1
1850,Wisconsin,0,G5501030,3.825691699604743,0
1850,Louisiana,1,G2200270,3.6293479189812836,0
1850,South Carolina,1,G4500670,3.349192941976288,0
1850,Wisconsin,0,G5500090,5.6372270078292095,0
1850,Virginia,1,G5100790,8.947985991755296,0
1850,Virginia,1,G5101830,2.922450482678802,0
1850,Texas,1,G4802770,1.7693807629152456,0
1850,South Carolina,1,G4500190,5.134483831062602,0
1850,Ohio,0,G3901430,15.318373360054682,0
1850,Texas,1,G4802230,0.9689757027155789,0
1850,Wisconsin,0,G5500450,7.7341446983661655,0
1850,Michigan,0,G2601570,NA,0
1850,Kentucky,1,G2100990,3.4212821226458856,0
1850,Missouri,1,G2900410,5.460028747911892,0
1850,Texas,1,G4804690,1.5028562514392685,0
1850,Virginia,1,G5100930,5.950549658116429,0
1850,Tennessee,1,G4700410,3.389442464847334,0
1850,Texas,1,G4802930,0.3063770849999403,0
1850,New Hampshire,0,G3300030,11.847577113383919,0
1850,Indiana,0,G1800190,14.116576769986732,1
