bw_method,kernel,p_order,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
mserd,triangular,1,1900,1,-0.013631465054780634,0.14852494405936634,0.9268736601545,419,395,138.74710436940163,138.74710436940163,NA,NA,NA
msetwo,triangular,1,1900,1,-0.12204967701090386,0.15501251666695487,0.43107484808939256,663,417,151.6573844753555,234.9813623447199,NA,NA,NA
msesum,triangular,1,1900,1,-0.12051872658099594,0.15564702247232864,0.438748704664399,580,516,197.77077111413956,197.77077111413956,NA,NA,NA
cerrd,triangular,1,1900,1,-0.0035929308842002072,0.14612678418756717,0.9803837792611391,356,340,115.37744799161091,115.37744799161091,NA,NA,NA
certwo,triangular,1,1900,1,-0.10437729769790849,0.15403867431539164,0.4980224970406839,573,369,126.1132048079551,195.40263586866467,NA,NA,NA
cersum,triangular,1,1900,1,-0.07649629883859888,0.15251784736322987,0.6159796119550736,495,441,164.4595536763837,164.4595536763837,NA,NA,NA
mserd,uniform,1,1900,1,0.012516090170024086,0.14948729918487932,0.9332736647590761,347,331,111.07757683106801,111.07757683106801,NA,NA,NA
msetwo,uniform,1,1900,1,-0.33115444176290865,0.16625556469801384,0.04638864376207163,536,490,188.18968650487088,180.30142335636438,NA,NA,NA
msesum,uniform,1,1900,1,-0.13385602387920947,0.16806332908259117,0.42576366231354185,441,407,147.1437276239711,147.1437276239711,NA,NA,NA
cerrd,uniform,1,1900,1,0.002246141263251289,0.14909361083348383,0.9879800775159042,297,282,92.36839501702089,92.36839501702089,NA,NA,NA
certwo,uniform,1,1900,1,-0.2189565188157614,0.16913734910735626,0.19547599286338943,452,427,156.4922444036368,149.9326287972612,NA,NA,NA
cersum,uniform,1,1900,1,-0.0467937015562212,0.15618738375423155,0.7644824727887436,377,359,122.35979884687595,122.35979884687595,NA,NA,NA
mserd,epanechnikov,1,1900,1,0.005011291494602332,0.14745134133399432,0.9728882594287218,382,361,124.44830171495914,124.44830171495914,NA,NA,NA
msetwo,epanechnikov,1,1900,1,-0.17706855241742403,0.15876474114171005,0.2647266434414978,627,448,168.42437493445695,218.1621998659005,NA,NA,NA
msesum,epanechnikov,1,1900,1,-0.0843998887012738,0.15707752534223285,0.5910510212185209,500,443,166.60402802863675,166.60402802863675,NA,NA,NA
cerrd,epanechnikov,1,1900,1,-0.010006031065655563,0.148619176881889,0.946321662669249,327,316,103.48704229915832,103.48704229915832,NA,NA,NA
certwo,epanechnikov,1,1900,1,-0.1373908417923566,0.15676740871209158,0.38081301769978587,539,397,140.0560728660898,181.41638330518128,NA,NA,NA
cersum,epanechnikov,1,1900,1,-0.023517792945626503,0.15119222160044407,0.8763885585073168,419,395,138.54233330801023,138.54233330801023,NA,NA,NA
mserd,triangular,2,1900,1,0.00873438564073048,0.15392591399795383,0.9547490532643538,676,599,239.5367134836163,239.5367134836163,NA,NA,NA
