point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_black_coef
1,0.07347249818294227,0.3625489051880457,0.8394043750734748,8,13,91.65109228361915,91.65109228361915,-0.046745817375549836,0.1967894328190576,0.10112647500634156,-4.2762652530805895e-4
2,0.06860851258577683,0.25899701945854164,0.7910858971034105,10,13,81.22360734003132,81.22360734003132,0.04536784672360225,0.10149375071904729,0.0672552352834123,0.001634467267166893
3,0.1443317009651584,0.1168541388523693,0.21677687662682754,17,17,87.89210225359463,87.89210225359463,0.08131660268141419,0.014029286764504363,0.040225507848116696,-4.447076631020902e-4
4,-0.44144459843521383,0.06312539358392465,2.6880456771127715e-12,21,22,102.56141948505451,102.56141948505451,0.05688630169437783,-0.048117355249100074,-0.007154811159983996,-0.0019389250489939677
5,-0.4109208623566332,0.07072968579850651,6.257111283239048e-9,12,24,97.68745172330428,97.68745172330428,0.022368328714733834,-0.0981070608541732,0.002928340805543511,-0.00122377910243213
6,-0.5170878134908573,0.11181917596170025,3.758266624953487e-6,11,37,108.87173147599077,108.87173147599077,0.028980602580636228,-0.13105136809994355,0.00323067455343754,-5.122466335000771e-4
7,-0.4968847585225268,0.07857608385061945,2.5551691283937914e-10,26,43,131.12152562393334,131.12152562393334,0.04870513878548991,-0.11373504936825407,0.002484480156726491,-8.541550014174119e-4
8,-0.7317938596049351,0.09757705425839543,6.398793628617026e-14,24,27,117.89712390230761,117.89712390230761,0.05432483501350345,-0.10775115276838736,0.007811933678303259,6.186248120313648e-4
9,-0.5711322668852282,0.14512798985904118,8.30687879859273e-5,42,56,151.76583001655504,151.76583001655504,0.1201312646583211,-0.09077114828978791,0.010802258382319149,0.005582599281274888
10,-0.5591894746441634,0.2283337142557353,0.014325308508542392,32,39,133.44889166249843,133.44889166249843,0.11687138991351925,-0.06363908774232377,0.016715039349539208,0.0048268042459495885
11,-0.10146107263880799,0.3154293623947021,0.7477101303898536,17,28,109.81461990922762,109.81461990922762,0.11744915207840834,-0.03241548561615199,0.02923929469684743,0.005952603618899617
12,0.2236283925651114,0.21176213502134353,0.29095186596605005,29,24,118.52877606271014,118.52877606271014,0.105371417461995,-0.022976664115311234,0.026595711762548494,0.0011881429172322564
13,-0.2461674640592028,0.1882327629669459,0.19094718031856184,16,14,93.39606237455742,93.39606237455742,0.0721921380724416,-0.06762986638578136,0.030340327905330495,0.0018826828271773658
14,-0.056130732960502194,0.20550555832671902,0.7847495467842531,23,13,97.08164208498609,97.08164208498609,0.027190610876458552,-0.1358668047422999,0.031483371045835165,0.0026705007504354717
15,0.23383836427862287,0.22986753714788508,0.3090229044410142,39,10,105.15172154279657,105.15172154279657,0.02636295875761331,-0.1418325610446634,0.02293472007754669,0.0034375253144655164
16,0.24586294877598047,0.1582031618952675,0.12016144731844376,52,13,115.31861306435701,115.31861306435701,0.06059681257659426,-0.09032136658120155,0.013454406295684875,0.003292896726539058
17,0.048768900403929435,0.20580324807913836,0.8126811771184013,52,17,116.94524594084349,116.94524594084349,0.085659094785844,-0.09874920938792664,0.01080698456291098,0.0024944774649133354
18,-0.1713227260003541,0.15952583045395038,0.28284520315431744,46,25,118.07565431322915,118.07565431322915,0.06593018143420655,-0.1144363470562511,0.01118899203134039,5.793555727763838e-4
19,-0.21668287153738122,0.18581859585357036,0.2435744367503008,21,20,92.83405569589239,92.83405569589239,0.09043919951462934,-0.09561259168088498,0.008983239596704697,2.0180925689736173e-4
20,-0.41290564909983285,0.1534390639159509,0.007123662492289278,30,42,120.5639709414192,120.5639709414192,0.09035667921262713,-0.06041432752905665,0.012260164423924956,0.0019537509664332713
21,-0.32377907716632215,0.19927266181972544,0.1042042652141615,10,15,75.92510996071728,75.92510996071728,0.11246456691763854,0.015009498305259744,0.022869496367180338,0.003187542329217386
22,-0.7448292328393236,0.19336271194676352,1.1716675858525377e-4,7,8,63.745105122285054,63.745105122285054,0.07390353322962266,-0.044861208103044836,0.02745424424689996,-0.0029392330365254765
23,-0.5049940231132919,0.4194528620530785,0.22861466426254817,11,8,66.53261643137613,66.53261643137613,0.10315259123452919,-0.07181444994475383,0.06075523694363494,0.002176818305527976
24,-0.5022539722935256,0.30235105461025163,0.0966809884135716,25,21,88.9884849336872,88.9884849336872,0.12539586987632015,-0.016253334101196486,0.04490731405029886,0.0021884727386810533
25,-0.6354449579665319,0.3538400550509722,0.07251779398499035,32,14,87.105023737309,87.105023737309,0.16889468694948861,0.022393284695467544,0.037561159357633774,0.0023123838334462733
26,-0.5588382095726777,0.20516200340973262,0.0064518486097902925,41,33,105.59488311344832,105.59488311344832,0.15195705096483864,0.03672757246735421,0.031204059732214903,0.001743217576131273
