point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef
1,-0.34762025966122834,0.32971567113839967,0.29174416233680367,44,75,134.14136412766652,134.14136412766652,0.2234783174494978,-0.00566616088802502
2,-0.9334959348873699,0.1297196985597685,6.188916863384e-13,32,100,169.9415054059055,169.9415054059055,-0.012399474022994073,-0.0039003081619803557
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,-0.4311030120999598,0.3044138529406319,0.1567245390450221,18,28,78.30969860456379,78.30969860456379,-0.08272658167692892,-0.0037703060766900555
5,-3.4281049539300548,1.0991512338085438,0.0018154876335643463,6,6,36.67863084555522,36.67863084555522,0.18578795150568753,0.0013387998526536056
6,-1.5550464461008455,0.34864652180664346,8.186870749329563e-6,21,7,54.47593953540611,54.47593953540611,-0.21788085386325062,0.0036466869662275946
7,-2.543738545174783,1.2690985985473673,0.04503082953130209,7,4,27.894862795944263,27.894862795944263,-0.4593132922905345,0.015601111017427949
8,-1.280372061037327,0.42997786112856273,0.0029036064210497207,15,8,42.9392434460724,42.9392434460724,-0.3027738270345473,0.005029517239997644
9,-0.5509435235001772,0.9709744250696102,0.5704336112169782,4,6,28.006030903645225,28.006030903645225,-0.4392581904515772,0.017355926224631422
10,0.5262008768546359,0.3610182592485243,0.14496560320752686,36,24,77.67177214834494,77.67177214834494,-0.14564464780267172,0.008448981241002832
11,0.6566720137265079,0.3343216632510681,0.049507803396417666,30,36,71.8676596274332,71.8676596274332,-0.14548003297718493,0.00860181841991419
12,1.272214721261809,0.45347914574302545,0.005024580838370882,28,21,57.051758755022284,57.051758755022284,-0.2188940466836981,0.0023554193386699463
13,-0.040801502328266806,0.28845000788747494,0.8875137758984951,24,18,61.277522002829876,61.277522002829876,-0.1920953149366922,-0.0012077389782835842
14,0.007099420715603766,0.5722916955049282,0.9901022975838407,15,7,40.60737849191213,40.60737849191213,-0.20297579080982392,0.010386982803334938
15,-0.604490079975357,0.3569942975684729,0.09040283560228785,18,35,82.2014660049553,82.2014660049553,-0.07507720233323217,0.0018040784859631063
16,-0.6911099280005464,0.61908031914146755,0.2642726139517233,11,13,44.52954469553601,44.52954469553601,-0.04139415647690395,0.004514656445093691
17,-2.020510667248821,0.6087167365272481,9.024490712503451e-4,21,25,71.24693042424875,71.24693042424875,-0.02863975070758404,-0.002635404266469597
18,-1.510568163766794,0.5946191283003784,0.011072696125358227,27,12,66.35378238501912,66.35378238501912,-0.054114175129893805,-0.0022183622280408655
19,-2.6894247843002788,1.388618799298013,0.05277438474889504,19,14,53.68897551096251,53.68897551096251,-0.21344496427680748,0.002014836972497311
20,0.07741266793792906,0.33096493142830796,0.8150626824643213,53,77,147.2310838474131,147.2310838474131,0.10294864555952157,-0.004925046982464821
