point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_enslaved_coef
1,-0.08556408195631272,0.2623264578305759,0.7442926773005063,56,35,225.94275420815302,225.94275420815302,0.06760511971443176,0.06889828161848259,-6.673503588526804e-4,0.029831834214118377
2,0.22169876546784986,0.2713854573542689,0.413977184945923,72,61,245.78327581192255,245.78327581192255,0.08421456717534548,0.06358376123066309,-5.03937000103964e-4,0.022383201869124115
3,0.21844119397576128,0.17228555080118796,0.2048329507466172,78,81,247.38454951355797,247.38454951355797,0.07408118982853569,0.0379183918156731,-0.0014622258722034993,0.01589931147139228
4,-0.08059318395773704,0.13308005948711335,0.5447809017811023,75,95,234.74740664039675,234.74740664039675,0.0655833650131316,0.01657396823595299,-0.003472119110394121,0.008498077583080327
5,-0.20316948609371258,0.11220045348342633,0.0701760880456735,68,99,203.9215901984964,203.9215901984964,0.07023119687562009,-0.0039748749679472395,-0.005528730088585915,0.0026759934056835195
6,-0.17534158653053328,0.07608037903963054,0.02118401666584791,46,80,158.46696601749923,158.46696601749923,0.04825243588620126,-0.03070329566361,-0.00752400812138566,2.2930310028605738e-4
7,-0.445500607105851,0.10703732295900856,3.1532690043614075e-5,40,57,133.10421920211454,133.10421920211454,0.01768369174375309,-0.04098124206283933,-0.007538721430805809,0.0038266192317546258
8,-0.7746539889846809,0.15392630139654084,4.837985012404137e-7,43,46,127.39629054446087,127.39629054446087,-0.004637407837288082,-0.061549987323195055,-0.008488321553911125,0.005226558490280031
9,-0.2471295539111218,0.33932054498826075,0.4664256318161661,46,59,139.5855903769632,139.5855903769632,0.06553783724121094,-0.008474853269686548,-0.001663346482460043,-0.010098487408040858
10,0.13035260092126813,0.32519269931963907,0.6885325850304815,66,85,167.8040430470903,167.8040430470903,0.07407712700281806,0.026742276104582137,0.0015876672394619946,-0.014705206850193882
11,0.3268691998016056,0.31769437907220804,0.30353635308801985,79,94,178.77628647434577,178.77628647434577,0.07732188209214348,0.02979646725419755,0.0012766818137656998,-0.012431220711739688
12,0.35211603567195215,0.2608117554954821,0.1769911827520317,73,67,164.74420539127823,164.74420539127823,0.07112781696794374,0.031875687997458504,0.0011725374173407847,-0.013423155357772552
