bw_method,kernel,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
mserd,triangular,1900,1,-0.012207088638594321,0.10545401184796596,0.9078447651912684,303,292,96.35496479312445,96.35496479312445,NA,NA,NA
msetwo,triangular,1900,1,-0.09409503007584696,0.08828901780114345,0.2865314993682005,528,328,108.4897804569782,176.50889925809884,NA,NA,NA
msesum,triangular,1900,1,-0.01945982079093067,0.08866253078571541,0.8262746771959003,431,401,143.62397356545307,143.62397356545307,NA,NA,NA
cerrd,triangular,1900,1,0.002339259962972129,0.12722539307790226,0.9853303322393265,223,203,64.98212372501692,64.98212372501692,NA,NA,NA
certwo,triangular,1900,1,-0.037033669284338266,0.1029161926068161,0.7189645608847253,367,228,73.16588565717929,119.03821619137551,NA,NA,NA
cersum,triangular,1900,1,-0.02354408778627537,0.10521421769236948,0.8229340388415483,307,294,96.86050781240905,96.86050781240905,NA,NA,NA
mserd,uniform,1900,1,-0.02931276632427604,0.10344848573069412,0.7769038261814523,261,250,78.83571113448787,78.83571113448787,NA,NA,NA
msetwo,uniform,1900,1,-0.18530013957307467,0.07964570031869637,0.019988937028273326,419,415,150.9025544929108,138.99642412110748,NA,NA,NA
msesum,uniform,1900,1,0.017131674695162857,0.09359041405992598,0.8547592112158275,330,317,104.05439162349381,104.05439162349381,NA,NA,NA
cerrd,uniform,1900,1,-0.0030200424684947436,0.12312039424817771,0.9804305074266582,192,179,53.16707806276462,53.16707806276462,NA,NA,NA
certwo,uniform,1900,1,-0.020113653347397786,0.09779557773928205,0.8370483995346222,298,310,101.76920813092505,93.73967235591003,NA,NA,NA
cersum,uniform,1900,1,-0.09076591076002494,0.11204536254932534,0.4178931545966178,236,221,70.17464398566962,70.17464398566962,NA,NA,NA
mserd,epanechnikov,1900,1,-0.03032026615030592,0.10707922800566605,0.7770562514178598,283,269,86.389027860799,86.389027860799,NA,NA,NA
msetwo,epanechnikov,1900,1,-0.10147041697753245,0.08754267187793735,0.24641679463985963,497,333,111.46269288833503,165.36583279332785,NA,NA,NA
msesum,epanechnikov,1900,1,0.005949543680856095,0.08943096605994325,0.9469585312554427,405,382,132.58305946868268,132.58305946868268,NA,NA,NA
cerrd,epanechnikov,1900,1,0.006009478688581815,0.12771861820337088,0.9624713948328768,205,188,58.2610611605449,58.2610611605449,NA,NA,NA
certwo,epanechnikov,1900,1,-0.0497961464405039,0.10141144877817948,0.6234046522789937,349,232,75.17082815135012,111.52329337193919,NA,NA,NA
cersum,epanechnikov,1900,1,-0.03495618009428547,0.10532876761162163,0.739982248157109,290,273,89.41447690560504,89.41447690560504,NA,NA,NA
mserd,triangular,1900,2,0.058007876698847514,0.10028276590635778,0.562964984210821,298,285,93.53439870502459,93.53439870502459,-0.06935216385644444,5.559418676890093e-4,NA
msetwo,triangular,1900,2,-0.006355847716692899,0.083073910548009,0.9390146721375353,544,308,101.4550669537739,182.43594910570326,-0.07454845377137423,7.538687683304745e-4,NA
msesum,triangular,1900,2,0.0924856136638549,0.08479980118377393,0.2754336132341983,416,394,137.8458040003187,137.8458040003187,-0.06788071973190438,3.935315331491244e-4,NA
cerrd,triangular,1900,2,0.07020214902037285,0.12105119166090356,0.5619566348190191,216,196,63.09789823242582,63.09789823242582,-0.06594443722536657,5.66091189870641e-4,NA
certwo,triangular,1900,2,0.020903851031165894,0.09658446352824705,0.8286519737669714,377,217,68.44114655616303,123.07049716447584,-0.07263296501104433,7.214751238370047e-4,NA
cersum,triangular,1900,2,0.054515932950065314,0.10054515315031884,0.5876783312792107,298,283,92.99017936715286,92.99017936715286,-0.06934293876701271,5.574193959708422e-4,NA
mserd,uniform,1900,2,0.015341422112031766,0.11766963391133722,0.8962681071215861,208,194,59.95277751048799,59.95277751048799,-0.07074274783501634,4.910175327062342e-4,NA
msetwo,uniform,1900,2,0.004775611762946528,0.08771757184353271,0.9565821842673341,408,225,71.929450719249175,134.64127284181285,-0.0786737611645197,0.0010377032369456802,NA
