point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef
1,0.9343446129962044,0.29284212757899586,0.001419734680094632,20,33,151.05871514986183,151.05871514986183,-0.09302549727912698,-0.12725570226183291,-0.0029008692570183297
2,0.2434159327650044,0.2771101259600007,0.37972198966556353,28,39,147.8570219034621,147.8570219034621,0.019307759017722446,-0.03637565124498403,-0.0038386945154820214
3,0.13851304767769987,0.28811344107851833,0.6306879956577991,24,29,115.40962774732631,115.40962774732631,0.12706311397134162,0.18410854977761465,-0.004200520290102673
4,-0.8717599801773536,0.3066371341658953,0.004469536558124236,20,25,107.61299056884906,107.61299056884906,0.053605504659063274,0.007789536548560627,-0.005115717632403945
5,-0.8442803159345869,0.16608720143419897,3.7082439420569463e-7,47,109,191.96810348305436,191.96810348305436,0.055988925431952816,-0.06404602464469886,-0.005294028474524575
6,-0.820563820187923,0.30203056655343447,0.006591169437959241,38,96,175.68464653843097,175.68464653843097,0.04714872614076612,-0.09563570379077814,-0.004848287918348565
7,-0.8792188689948601,0.2652492271883813,9.174492052168289e-4,43,78,168.06024758829824,168.06024758829824,0.07494225836184266,-0.11684440453851218,-0.003280410143403859
8,-0.4440090450479373,0.20691458436408416,0.03188441413036844,43,57,154.26960962976958,154.26960962976958,0.1095410950279211,-0.06987113965342978,3.2923647679584597e-4
9,-0.19370357519753206,0.2402154490728153,0.42002703545260517,27,35,127.07096047750497,127.07096047750497,0.1000047022744198,-0.07658494180875795,0.0035491891620330956
10,-0.01825398802890725,0.2840801204063951,0.9487660072638185,25,30,118.93943784765503,118.93943784765503,0.08769608769075365,-0.07112143574365488,0.0030980299770936525
11,0.3380968556658787,0.3094800612986593,0.2746277435421228,17,26,106.27690674689995,106.27690674689995,0.0962615180658031,-0.03187054397848635,0.004608198560284299
12,-0.37990796722560005,0.3944477326759835,0.33547780739012223,26,21,112.60534425915336,112.60534425915336,0.1228979928241235,0.08886908027656963,9.756668201586302e-4
13,-0.47097984828265815,0.29900134129110545,0.11521573926272068,40,27,128.84404640526924,128.84404640526924,0.08290167523803071,-0.036531039845365654,0.0012085983368194232
14,-0.36194894459723487,0.2947621409726319,0.2194711210702079,63,31,149.17317162121293,149.17317162121293,0.022584154910235642,-0.08909797803443803,-1.2060929094481667e-4
15,-0.10256755723436958,0.31150520123950004,0.7419558885865902,56,19,134.20855425095493,134.20855425095493,-0.016837348698704062,-0.17145052830062252,7.849889434449805e-4
16,0.3129624158328405,0.25451989552892273,0.21883993471091379,69,21,144.1997205316477,144.1997205316477,-0.00877967862901675,-0.12745122615283486,2.945120188025778e-4
17,0.5912058732211727,0.15947722586579635,2.0960545117886084e-4,67,27,140.61703041982904,140.61703041982904,0.0452419847497869,-0.09919241011610039,0.0032587528979030897
18,0.5994916458463705,0.13818515827461061,1.4357501198404285e-5,84,43,161.64860192612454,161.64860192612454,0.05501406072306454,-0.09271475303342562,0.0038256491252067247
19,0.5785380822117852,0.1512494964922867,1.30741353163549e-4,62,45,146.7377586754987,146.7377586754987,0.06899789169598176,-0.0940638548779499,0.004872000867688
20,0.15344354115871284,0.1698543922848278,0.36632275081730054,25,41,118.17397700932894,118.17397700932894,0.0778491109980729,-0.1057801714923544,0.00876092698721263
21,-0.13928982230986942,0.17487097214320546,0.42572455436432965,10,15,70.99538996588525,70.99538996588525,0.082103148854135,-0.16806517229206752,0.013506124045630435
22,0.8038069158371274,0.9428861567882654,0.39393871770311323,7,6,57.644443284895026,57.644443284895026,-0.010721745648949954,-0.18060997549067037,-3.3712735701667274e-4
23,-0.32420418117664224,1.4764180255535337,0.8261917742764434,8,5,58.99602513822466,58.99602513822466,-0.30170370296019344,-0.4455461277662473,0.005820559700001889
24,-0.6140972644815134,1.404285768349651,0.6618921956543726,15,16,78.4860735869362,78.4860735869362,0.18164573459932074,0.008480039234361553,0.009238080558685885
25,-0.18282311362175957,0.4842340303684029,0.7057640619078053,32,14,86.97374409980291,86.97374409980291,0.27325937120977883,-0.013492973903123387,0.006747509544497609
26,0.9382195987523079,0.2259692623963495,3.296127266474101e-5,21,17,81.36589310639036,81.36589310639036,0.1103085041260925,-0.11904038604468235,0.0022599707536535814
27,1.2333507994404744,0.15635066878316536,3.0617658105153072e-15,32,33,101.34094060753712,101.34094060753712,0.05935551504819776,-0.16211648763946068,0.002638310612136145
28,0.5598931744409006,0.2777627986718753,0.0438288314135421,35,53,115.45451682571601,115.45451682571601,0.05777687433837922,-0.14804640117217022,0.0012325675008051443
29,0.9230046300458705,0.1872757984175927,8.282743645175752e-7,69,119,174.12000245977865,174.12000245977865,0.016515645751570045,-0.12585820924088484,0.0013716915848295446
30,-0.058322308540264864,0.2023132138139262,0.7731344762069361,73,82,159.05628038671537,159.05628038671537,0.058321457672249055,-0.12244390457309623,-7.71561212814317e-4
31,-0.5974201186491879,0.25294728041672393,0.0181846603909638,52,37,125.13594028618932,125.13594028618932,0.07184486203691617,-0.13715091485065617,-0.0028176720264386085
32,-1.5325050402399671,0.4163022127901885,2.3210965263594698e-4,30,19,100.41483306344327,100.41483306344327,0.008275788778858532,-0.15266725997176123,-0.002044667330777551
33,-0.46839596445547005,0.37897339128490143,0.21647342092473304,48,15,111.6891292168666,111.6891292168666,0.033288243772950366,-0.12704187680056112,-2.8940692099049727e-4
34,-0.6207740212567348,0.2948075012928082,0.0352310490837913,51,27,123.3409832301076,123.3409832301076,-0.004022900359669512,-0.12036786654567022,-8.30680491390387e-4
35,-0.30227879841228306,0.28203958621332303,0.28382776160175144,40,23,116.255641291104,116.255641291104,-0.003161237285634555,-0.1038294925010992,-6.512716467418323e-4
36,-0.9217019083693039,0.19426630033376663,2.0899303379664696e-6,53,51,150.59765037507086,150.59765037507086,0.014565489057228605,-0.11114380152060808,-3.112660814505463e-4
37,-1.0432701348244187,0.1693144294843965,7.195356318513287e-10,76,70,177.54649971328715,177.54649971328715,0.020118534072121275,-0.1260547533092076,-1.6429117328942318e-4
38,-1.0565555400540534,0.23522482007618725,7.066224392821923e-6,58,73,175.15931039653262,175.15931039653262,0.027374974484630298,-0.10815680030883594,-3.027271812185441e-4
39,-0.2872206946620265,0.5082678678220176,0.5720077255526577,30,67,156.17347407527694,156.17347407527694,0.05387705157630328,-0.05795314611445087,1.7689535034041623e-4
40,0.5609524141653973,1.1637665133069799,0.6297955968599054,18,58,144.67849060677892,144.67849060677892,0.08364516142467716,-0.022224688694753532,0.001073549270521201
41,-0.5211742163557683,0.3780921611774309,0.16807004510912701,38,61,153.95654226787326,153.95654226787326,0.056299473662801455,-0.07881814102973947,-3.4799911000628955e-5
42,-0.4456221061606888,0.3798824872062267,0.24077474793587142,38,34,129.00579578134983,129.00579578134983,0.09016029107632915,-0.09692692029317576,1.6985796016712055e-4
43,-1.0911904439295812,0.5790865162397413,0.059520270468890475,29,14,107.36162576901958,107.36162576901958,0.11908249561956313,-0.05583703938979944,2.2823887940951436e-4
44,-2.1502392723779904,0.4965778609947626,1.4903145404944544e-5,27,12,98.28840844267941,98.28840844267941,0.18433722744334402,-0.07753741367441794,0.001223404276617197
45,-0.9460161342816554,0.33249749482062535,0.004438595052528041,47,27,133.45714946943474,133.45714946943474,0.0810168143749099,-0.09309271206647418,-2.6816804147382963e-4
46,-0.26485741742731694,0.30637254164674754,0.38731622830950313,54,45,152.28139320992275,152.28139320992275,0.07097651500011519,-0.06396490949976308,-9.227364871741217e-4
47,0.06795392719840014,0.47713481789910783,0.8867476260041421,47,52,148.0047509033063,148.0047509033063,0.10261484995158576,-0.035443240349544325,-0.0019881859251345
48,-0.2927106028035886,0.4489109856470179,0.5143715120490746,59,77,192.42567162408054,192.42567162408054,0.127808137690617,-0.02420351260403636,-0.0036578498434471744
