spec,bw_method,kernel,exclude_ohio_virginia,year,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_black_coef
1,mserd,triangular,FALSE,1880,-0.10536955498706124,0.11676378219377888,0.36683569875018385,276,266,85.69852379975711,85.69852379975711,NA,NA,NA,NA
2,mserd,triangular,FALSE,1880,-0.051347304767482865,0.11746417696334836,0.6620159043217555,269,258,83.17052210812712,83.17052210812712,-0.04258653579703747,6.62455759074755e-5,NA,NA
3,mserd,triangular,FALSE,1880,-0.24430064248069341,0.1531860870587577,0.11075773978019231,211,272,88.75088482994812,88.75088482994812,-0.008059609405868171,-0.059660887223163435,3.084099952819163e-4,NA
4,mserd,triangular,FALSE,1880,-0.27031108861491976,0.16285386823503753,0.09694698552373163,172,231,74.01603459794565,74.01603459794565,0.004784470683445261,-0.03257517574877216,0.02590720812398453,7.336503492005749e-4
1,msetwo,triangular,FALSE,1880,-0.14441436993231438,0.10221326931249375,0.15769306491734422,409,279,91.56285648462591,140.45243750477542,NA,NA,NA,NA
2,msetwo,triangular,FALSE,1880,-0.076085571989538,0.10395090884139715,0.4642066948307876,395,271,87.03356441994065,133.05905386455785,-0.053455892071214366,2.319363974835969e-4,NA,NA
3,msetwo,triangular,FALSE,1880,-0.18548993413956494,0.12681667340883757,0.14355987825177924,300,274,90.49262860916166,126.37524642066343,-0.0095008492566334,-0.06747552102629728,4.2748450650751876e-4,NA
4,msetwo,triangular,FALSE,1880,-0.2624083153793587,0.14880790838886604,0.07783254045458377,194,272,88.2532979346902,83.83146680213008,0.00403519596995071,-0.03522709008878831,0.026512793653131733,7.604291005757612e-4
1,msesum,triangular,FALSE,1880,-0.1796654521215828,0.08532625810229702,0.03523658279598038,496,456,173.60314998367713,173.60314998367713,NA,NA,NA,NA
2,msesum,triangular,FALSE,1880,-0.07928634397643303,0.0890801814704405,0.37343585365463816,450,421,154.07681592666697,154.07681592666697,-0.05155219749740825,1.72593924511414e-6,NA,NA
3,msesum,triangular,FALSE,1880,-0.17390796296391633,0.11905123977941565,0.14407515072764437,316,379,131.10622327907905,131.10622327907905,-0.012589430203983688,-0.06678484528703292,2.030060751521119e-4,NA
4,msesum,triangular,FALSE,1880,-0.25512271040198914,0.11234176953112547,0.02314991392040018,316,381,132.0022227757391,132.0022227757391,5.34082287205806e-4,-0.04456470630412295,0.02193183146654996,6.037409813335227e-4
1,cerrd,triangular,FALSE,1880,-0.04999963242465544,0.14031575416627462,0.7215885367934574,202,188,58.1412984662953,58.1412984662953,NA,NA,NA,NA
2,cerrd,triangular,FALSE,1880,-0.0053719308535519535,0.14162121898456936,0.9697421537021099,199,186,56.4370604463128,56.4370604463128,-0.03136574589552842,-1.3048974005779989e-5,NA,NA
3,cerrd,triangular,FALSE,1880,-0.34366387855475156,0.20032043756989878,0.08624064023624248,132,193,60.32082457446941,60.32082457446941,-0.00423727638732568,-0.04613454743752879,2.3105184453882182e-4,NA
4,cerrd,triangular,FALSE,1880,-0.3145397421522765,0.2259454115108108,0.16389059760806649,107,164,50.309411383665555,50.309411383665555,0.0029090587950650892,-0.024389831837215478,0.02131651011725577,4.8247020819589567e-4
1,certwo,triangular,FALSE,1880,-0.11297975536447424,0.12109988645237167,0.3508474207760847,296,196,62.11989578418252,95.28853855598128,NA,NA,NA,NA
2,certwo,triangular,FALSE,1880,-0.06879479507195613,0.12310852248238137,0.5762885049843041,288,190,59.05840689133145,90.28994498940925,-0.044402896720465504,7.155845007596195e-5,NA,NA
3,certwo,triangular,FALSE,1880,-0.28077267075172807,0.16257437943710126,0.08416024303594609,203,194,61.504625965981404,85.89276697919586,-0.00729984794962597,-0.05745298283390692,2.953921836333735e-4,NA
4,certwo,triangular,FALSE,1880,-0.27682541760486784,0.19624397555903841,0.15835708083095254,126,193,59.98661635792043,56.981055161276146,0.0034763676082748066,-0.02796981075562625,0.02368226090785112,5.881225080236259e-4
1,cersum,triangular,FALSE,1880,-0.11126024430211512,0.10159021098261532,0.2734348668180205,351,343,117.77930482763585,117.77930482763585,NA,NA,NA,NA
2,cersum,triangular,FALSE,1880,-0.05199085120585087,0.10599750123871,0.6237862911542152,325,319,104.55197771301485,104.55197771301485,-0.04769922810648995,3.5107786207547566e-5,NA,NA
3,cersum,triangular,FALSE,1880,-0.24958787573534097,0.15276072161979032,0.10229066586078084,212,273,89.10824393685279,89.10824393685279,-0.00810549672095961,-0.05980005658815069,3.086361349565526e-4,NA
4,cersum,triangular,FALSE,1880,-0.2787027271357924,0.1430682900874732,0.05141019778611906,212,273,89.7231818112997,89.7231818112997,0.004078239499962069,-0.03709227525970175,0.026262703639160292,7.790065526690631e-4
1,mserd,uniform,FALSE,1880,-0.14107694765017698,0.12540049994889912,0.2605843534098196,211,196,62.20328884021288,62.20328884021288,NA,NA,NA,NA
2,mserd,uniform,FALSE,1880,-0.09834294965211637,0.1260206749440851,0.4351722077970975,206,194,60.47163755984163,60.47163755984163,-0.04760033337477032,8.043002512464264e-5,NA,NA
3,mserd,uniform,FALSE,1880,-0.31023637220938227,0.176168175273611,0.07823435297083532,151,212,66.08548904274437,66.08548904274437,-0.00692295677849657,-0.06421221472559266,3.8904043179245336e-4,NA
4,mserd,uniform,FALSE,1880,-0.2528459884889585,0.1844630736137883,0.17046434691348572,126,187,57.294357598451455,57.294357598451455,0.008689270188942668,-0.032616088300698745,0.028306422449693548,7.643213474656687e-4
1,msetwo,uniform,FALSE,1880,-0.11070107927814199,0.11093732373161216,0.31834217342157206,267,222,70.44579979947534,82.63202392236212,NA,NA,NA,NA
2,msetwo,uniform,FALSE,1880,-0.026603315316829752,0.10893575010681511,0.8070673594976074,292,216,67.63574158909981,91.69308253726953,-0.061051737182401616,3.045919338289882e-4,NA,NA
3,msetwo,uniform,FALSE,1880,-0.1622082117445814,0.1251915264622374,0.19508560387082624,243,273,89.55924589344623,102.18817961930826,-0.012814376887582019,-0.07507365844952028,4.0040761261359004e-4,NA
4,msetwo,uniform,FALSE,1880,-0.3513944479062028,0.15780402379893163,0.025962148574373338,153,293,96.69108209593944,67.91312584890761,0.0034557340822402253,-0.03531074190504376,0.027276964842513532,4.8555437082073135e-4
1,msesum,uniform,FALSE,1880,-0.19790848969787955,0.08852844733389524,0.025382211549963143,379,372,128.34257316837548,128.34257316837548,NA,NA,NA,NA
2,msesum,uniform,FALSE,1880,-0.018213599956620176,0.09616216997088954,0.8497753721159831,321,316,103.54590462322757,103.54590462322757,-0.056903938237858574,-2.9058488181220917e-5,NA,NA
