bw_method,kernel,p_order,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
mserd,triangular,1,1880,1,-0.10717426731908297,0.16971304260803236,0.527711797008931,366,357,121.85704262588325,121.85704262588325,NA,NA,NA
msetwo,triangular,1,1880,1,-0.19926337243219816,0.17435272646866343,0.253090493278146,556,357,122.1276599665592,197.09712650426482,NA,NA,NA
msesum,triangular,1,1880,1,-0.23394593201689728,0.17067426979768865,0.1704635423676472,568,521,200.75432598783243,200.75432598783243,NA,NA,NA
cerrd,triangular,1,1880,1,-0.10686686731533879,0.1712767066080228,0.5326651530313724,316,308,101.33223797267195,101.33223797267195,NA,NA,NA
certwo,triangular,1,1880,1,-0.1729999084722813,0.17481114008890059,0.32235063784976564,473,308,101.55727429534963,163.8993733663592,NA,NA,NA
cersum,triangular,1,1880,1,-0.19675430330475807,0.17189137441229857,0.2523569640915219,483,444,166.940578046832,166.940578046832,NA,NA,NA
mserd,uniform,1,1880,1,-0.13001958426160876,0.17737750493114668,0.4635519885787828,265,254,81.58340651454854,81.58340651454854,NA,NA,NA
msetwo,uniform,1,1880,1,-0.1094683763455988,0.17987750176961703,0.5428082962466417,343,273,89.25776754914997,112.17255467781281,NA,NA,NA
msesum,uniform,1,1880,1,-0.23633659261757334,0.18039796742104097,0.19016722949232068,411,398,141.63702584982727,141.63702584982727,NA,NA,NA
cerrd,uniform,1,1880,1,-0.1438951966854498,0.1793797291603639,0.4224476651097146,228,216,67.84203018067907,67.84203018067907,NA,NA,NA
certwo,uniform,1,1880,1,-0.08221496340713408,0.17407592293411223,0.6367171596342367,293,231,74.22377194864525,93.27894194438888,NA,NA,NA
cersum,uniform,1,1880,1,-0.14186773767473415,0.1755788005434167,0.41909036300878105,351,343,117.78060996621987,117.78060996621987,NA,NA,NA
mserd,epanechnikov,1,1880,1,-0.09701362318035933,0.17026299397377484,0.5688222430095622,337,328,108.93436788893017,108.93436788893017,NA,NA,NA
msetwo,epanechnikov,1,1880,1,-0.17756044926825343,0.1770619362447827,0.315949902062745,485,333,111.91480120276579,168.0208202774667,NA,NA,NA
msesum,epanechnikov,1,1880,1,-0.4496877447495118,0.16894271041207135,0.007772945980927265,729,663,279.8220881857839,279.8220881857839,NA,NA,NA
cerrd,epanechnikov,1,1880,1,-0.12247002785686245,0.1741064970873751,0.4817939185725439,289,274,90.5861741960493,90.5861741960493,NA,NA,NA
certwo,epanechnikov,1,1880,1,-0.15615046530975274,0.17739615301141384,0.3787315203201319,408,283,93.06460278180197,139.7204903207078,NA,NA,NA
cersum,epanechnikov,1,1880,1,-0.4167825050999241,0.1717490367917579,0.015237065254398097,635,579,232.69068261491734,232.69068261491734,NA,NA,NA
mserd,triangular,2,1880,1,-0.009774531259646224,0.1795428808505741,0.9565836485546206,525,477,183.94974038427475,183.94974038427475,NA,NA,NA
msetwo,triangular,2,1880,1,-0.017966339870607584,0.18061406125983973,0.9207622085653504,521,544,214.7043207750327,182.3429814860963,NA,NA,NA
msesum,triangular,2,1880,1,-0.011845871125682805,0.18097629160791326,0.9478114352849635,581,532,208.80528332543201,208.80528332543201,NA,NA,NA
cerrd,triangular,2,1880,1,-0.02641719552770816,0.18123767247423977,0.8841108871098124,434,409,148.98855017766758,148.98855017766758,NA,NA,NA
certwo,triangular,2,1880,1,-0.016106495125148612,0.1799765940924686,0.9286907797135422,430,459,173.8979647501997,147.687169277512,NA,NA,NA
cersum,triangular,2,1880,1,-0.008442528371535474,0.17893850056062538,0.9623688324891169,487,447,169.12008881939514,169.12008881939514,NA,NA,NA
mserd,uniform,2,1880,1,0.004765196754743073,0.1773554574761592,0.9785649701738846,438,413,150.16534071020533,150.16534071020533,NA,NA,NA
msetwo,uniform,2,1880,1,-0.040573675872259685,0.18665261850997372,0.8279158498144965,443,481,185.7181590921923,151.82372790689465,NA,NA,NA
msesum,uniform,2,1880,1,0.0024276978693045237,0.1828993972720014,0.9894096656407813,485,444,167.7724637064181,167.7724637064181,NA,NA,NA
cerrd,uniform,2,1880,1,-0.022047369140477002,0.18350528749081396,0.9043677401681964,365,357,121.62515887552489,121.62515887552489,NA,NA,NA
certwo,uniform,2,1880,1,0.004163234871516153,0.17953722465590324,0.9814997521451415,368,414,150.42086608553078,122.96835568326048,NA,NA,NA
cersum,uniform,2,1880,1,-0.0032002368455330554,0.18323292747930148,0.986065333370728,399,385,135.8859005461876,135.8859005461876,NA,NA,NA
mserd,epanechnikov,2,1880,1,-3.5926635309024846e-4,0.17917476794435103,0.9984001492645735,487,447,169.10609757030414,169.10609757030414,NA,NA,NA
msetwo,epanechnikov,2,1880,1,-0.0111373345714334,0.18218492260598146,0.9512540587704578,491,525,202.76060434681762,170.30744837556273,NA,NA,NA
msesum,epanechnikov,2,1880,1,-5.196282018005149e-7,0.18258239171496374,0.9999977292261555,551,509,195.11993951697752,195.11993951697752,NA,NA,NA
cerrd,epanechnikov,2,1880,1,-0.036944462420201774,0.1844210523131361,0.8412250753934815,401,389,136.9660661144191,136.9660661144191,NA,NA,NA
certwo,epanechnikov,2,1880,1,-0.02063764071319696,0.1802258913834191,0.9088336345228504,404,439,164.22425175307563,137.93909012824128,NA,NA,NA
cersum,epanechnikov,2,1880,1,-0.004254936092436878,0.17921957962072518,0.981058827845201,462,431,158.0357593256697,158.0357593256697,NA,NA,NA
mserd,triangular,1,1880,2,-0.03181015518149115,0.17585723663032368,0.8564568656914785,346,337,113.94722495981081,113.94722495981081,-0.04873629061987162,4.733950699266527e-6,NA
msetwo,triangular,1,1880,2,-0.09826074806140557,0.17184042680608094,0.5674480458380888,512,341,116.58778804927579,178.26608481131143,-0.05443199640663321,1.9797478205941317e-4,NA
msesum,triangular,1,1880,2,-0.14229354612318132,0.16847013469767524,0.3983220410475797,537,489,189.5873737480959,189.5873737480959,-0.05219075474715987,9.3712910538860592e-06,NA
cerrd,triangular,1,1880,2,-0.047815183144962706,0.18073761318208514,0.7913516766145119,296,286,94.75469835093942,94.75469835093942,-0.04598997589624185,6.276768150706956e-5,NA
certwo,triangular,1,1880,2,-0.08790165335137978,0.17724961720299331,0.6199507625366912,431,294,96.95050223389599,148.24010938797718,-0.054663272406228106,2.540256012082843e-4,NA
cersum,triangular,1,1880,2,-0.11257352199599141,0.17297732698710677,0.5151760570889833,459,430,157.65451433313663,157.65451433313663,-0.05169907428989086,4.025932519283746e-6,NA
mserd,uniform,1,1880,2,-0.053697950859732946,0.17992885378642606,0.7653674325922675,269,261,83.85704725216058,83.85704725216058,-0.05547487116637145,1.2153445579517392e-4,NA
msetwo,uniform,1,1880,2,-0.06042536447976151,0.18503418227084906,0.7439982407936281,349,276,90.97834812652782,117.54197502345609,-0.05936206876313322,2.192609568514971e-4,NA
msesum,uniform,1,1880,2,-0.07501903672448638,0.17775337636855018,0.6729958140404892,373,361,125.10069069296405,125.10069069296405,-0.05520256480599334,-6.1263323863801e-6,NA
cerrd,uniform,1,1880,2,-0.060604943985393345,0.18561969803601924,0.7440456305057468,233,221,69.73271371708658,69.73271371708658,-0.05248306764279738,1.5839665905626648e-4,NA
certwo,uniform,1,1880,2,-0.036679433059506446,0.1815805304964549,0.8399160099236259,305,235,75.65454916726925,97.74397218404826,-0.06123659430554364,3.1126528249739204e-4,NA
cersum,uniform,1,1880,2,-0.03928739726961213,0.1768778788880103,0.8242236253352038,324,317,104.02954713716676,104.02954713716676,-0.05663311364303746,-3.3187169317016414e-5,NA
mserd,epanechnikov,1,1880,2,-0.032690287476650357,0.17695860796925236,0.8534376060996097,325,319,104.53650556273502,104.53650556273502,-0.051719355245175846,4.450468103566027e-5,NA
msetwo,epanechnikov,1,1880,2,-0.08054658407629371,0.17505169265429085,0.6454227119934739,448,324,106.91021613454865,153.67937062474945,-0.05719691893285313,2.463873548609601e-4,NA
msesum,epanechnikov,1,1880,2,-0.07799460749176079,0.17380131750337738,0.6536067549733722,459,430,157.64043981434864,157.64043981434864,-0.054000671709206305,1.168511728362985e-5,NA
cerrd,epanechnikov,1,1880,2,-0.06502524092092844,0.18210531498967142,0.7210357188576276,280,271,86.92905908636095,86.92905908636095,-0.04806835305684512,9.587281705053367e-5,NA
certwo,epanechnikov,1,1880,2,-0.07417019002556925,0.17947754538559413,0.6794189915780959,378,272,88.90295734745476,127.79462081192689,-0.05683393466963879,2.621298598066088e-4,NA
cersum,epanechnikov,1,1880,2,-0.052269058315709466,0.1752847886732387,0.7655542908894913,390,379,131.08851336911772,131.08851336911772,-0.05315343559298402,-1.6224638309138414e-5,NA
mserd,triangular,2,1880,2,0.01151058886842305,0.18940369524909523,0.9515401696377038,565,517,200.00865667064238,200.00865667064238,-0.04883679511721104,-4.136752300114852e-5,NA
msetwo,triangular,2,1880,2,0.0056493969630819554,0.18911599724711367,0.9761686141680045,581,546,215.54336243307918,207.4338539548312,-0.048158997437006634,-6.037779460967376e-5,NA
msesum,triangular,2,1880,2,-0.017024502705071477,0.1875075976186834,0.9276565408843842,647,590,238.20495435855486,238.20495435855486,-0.04687738194275548,-6.437653106202128e-5,NA
cerrd,triangular,2,1880,2,0.020624930839254853,0.18970224376269487,0.9134224754658451,467,436,161.99533480227356,161.99533480227356,-0.04999667383386535,-3.609662901660638e-5,NA
certwo,triangular,2,1880,2,0.023722895825049967,0.18901332921063688,0.9001205087347821,485,462,174.5775395074669,168.00931109733887,-0.04962467117260963,-5.2086659447301686e-5,NA
cersum,triangular,2,1880,2,0.014442076020978412,0.18933578773860296,0.9391982610724607,546,497,192.93210591588564,192.93210591588564,-0.04912134264912403,-4.087030280737372e-5,NA
mserd,uniform,2,1880,2,0.02566800363634314,0.1909515490839851,0.8930692400470253,474,439,164.72353248662884,164.72353248662884,-0.04809751160873068,-6.836940010950822e-5,NA
msetwo,uniform,2,1880,2,0.01732100738302437,0.192874814799795,0.9284426501238245,506,456,173.78273383600632,176.1169648785109,-0.04643873316280386,-8.647737450450115e-5,NA
msesum,uniform,2,1880,2,-0.04783389498285621,0.19494540807889335,0.8061693988204276,547,502,193.66839214574708,193.66839214574708,-0.04459331888582194,-7.612963916922132e-5,NA
cerrd,uniform,2,1880,2,0.03780130678313028,0.19461932213023803,0.845994201008169,395,382,133.41644426384178,133.41644426384178,-0.052462193845329914,-4.5198485256618074e-5,NA
certwo,uniform,2,1880,2,0.03703405722188856,0.1887750578974261,0.8444685918171992,415,398,140.75386845368695,142.64445931875673,-0.052929401463208015,1.022048277097079e-5,NA
cersum,uniform,2,1880,2,0.04021223460709225,0.18834397439359551,0.8309336926899233,455,427,156.86009070063088,156.86009070063088,-0.04902167234000821,-4.5353970371073355e-5,NA
mserd,epanechnikov,2,1880,2,0.018866269785689293,0.1906263013996098,0.9211621532393752,536,489,189.15946874421667,189.15946874421667,-0.050171291265207696,-4.000150947714343e-5,NA
msetwo,epanechnikov,2,1880,2,0.010975253106285493,0.1913269552493941,0.9542553493227547,551,528,204.43556327294885,195.8580192131188,-0.049355366913257065,-5.761336905276879e-5,NA
msesum,epanechnikov,2,1880,2,-0.017937943158444557,0.1898265926702422,0.9247147854313345,618,565,224.61478116150042,224.61478116150042,-0.047407488107494115,-6.168147215180274e-5,NA
