bw_method,kernel,p_order,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
mserd,triangular,1,1870,1,-0.3281685272166919,0.1736748568283417,0.05881724364053135,399,397,141.4770760042041,141.4770760042041,NA,NA,NA
msetwo,triangular,1,1870,1,-0.38568089148238816,0.18293363918989503,0.03500415014659086,578,380,132.2702233861442,217.60438598242146,NA,NA,NA
msesum,triangular,1,1870,1,-0.4846403562435522,0.18326399296140614,0.008181338607500518,602,572,231.03741864788478,231.03741864788478,NA,NA,NA
cerrd,triangular,1,1870,1,-0.2859056303215164,0.17149351147123712,0.09548432391662472,340,342,117.64760102827822,117.64760102827822,NA,NA,NA
certwo,triangular,1,1870,1,-0.3570958139389031,0.18174040527584354,0.0494295763324052,495,329,109.99149055350787,180.95252395025918,NA,NA,NA
cersum,triangular,1,1870,1,-0.45658803245247803,0.18028115417466134,0.011320577296606009,523,494,192.12298429804932,192.12298429804932,NA,NA,NA
mserd,uniform,1,1870,1,-0.24668618973442236,0.17748306266857652,0.16455500037016885,305,304,100.60516755166758,100.60516755166758,NA,NA,NA
msetwo,uniform,1,1870,1,-0.37030038400597487,0.184004218557297,0.04417189594717149,348,359,124.69071128302893,119.56328642120695,NA,NA,NA
msesum,uniform,1,1870,1,-0.42372677542160275,0.18765161940172762,0.023942530329413438,388,384,135.99641716231065,135.99641716231065,NA,NA,NA
cerrd,uniform,1,1870,1,-0.30395391786747084,0.17645170068377813,0.08496271230202151,263,261,83.65988998210534,83.65988998210534,NA,NA,NA
certwo,uniform,1,1870,1,-0.28259404626782647,0.17353289830962937,0.10342413312771699,303,318,103.6886219822786,99.42482708713827,NA,NA,NA
cersum,uniform,1,1870,1,-0.3200622601400198,0.18245217459654198,0.07939187269866003,333,336,113.09006857839903,113.09006857839903,NA,NA,NA
mserd,epanechnikov,1,1870,1,-0.31995704978526973,0.17442947014425156,0.06660856180533743,377,378,130.83646712117746,130.83646712117746,NA,NA,NA
msetwo,epanechnikov,1,1870,1,-0.38839836195108957,0.18620659220650518,0.036992533020477926,537,359,123.85240208291472,197.61197763464776,NA,NA,NA
msesum,epanechnikov,1,1870,1,-0.5453134700848641,0.18908990227982053,0.003928025831493559,642,603,248.79360846005244,248.79360846005244,NA,NA,NA
cerrd,epanechnikov,1,1870,1,-0.28755153717483406,0.1721530933866963,0.09485516970844664,324,328,108.79922683279322,108.79922683279322,NA,NA,NA
certwo,epanechnikov,1,1870,1,-0.36269426435315566,0.18718410488502937,0.05266790535769079,459,316,102.99151211049669,164.3275063338122,NA,NA,NA
cersum,epanechnikov,1,1870,1,-0.5366558672619841,0.18693964774944166,0.004095070506298269,557,526,206.8884374287191,206.8884374287191,NA,NA,NA
mserd,triangular,2,1870,1,-0.16209395489424772,0.18045697884050824,0.36905679070832487,506,479,185.30927423261588,185.30927423261588,NA,NA,NA
msetwo,triangular,2,1870,1,-0.2225741931296472,0.18089099072564066,0.21853510821837555,487,592,241.11236737516685,177.2552266367591,NA,NA,NA
msesum,triangular,2,1870,1,-0.22323413155823957,0.18108929805856458,0.2176766776942661,592,562,224.73555893160054,224.73555893160054,NA,NA,NA
cerrd,triangular,2,1870,1,-0.17480339706089865,0.18626695345561756,0.3480099615604933,424,412,150.0896932211895,150.0896932211895,NA,NA,NA
certwo,triangular,2,1870,1,-0.17735238528066333,0.1813845417554474,0.3281880320606476,406,506,195.28694071591198,143.56638488782687,NA,NA,NA
cersum,triangular,2,1870,1,-0.16847043543197415,0.18031338906223146,0.3501387655102742,496,475,182.0226820034658,182.0226820034658,NA,NA,NA
mserd,uniform,2,1870,1,-0.12684335121335621,0.18097436513783033,0.4833708778344511,443,430,157.38664844107723,157.38664844107723,NA,NA,NA
msetwo,uniform,2,1870,1,-0.29604596246108983,0.18277786360389722,0.10529596395026042,405,571,230.05174105273045,142.94673963282563,NA,NA,NA
msesum,uniform,2,1870,1,-0.2556366638363663,0.191899026464467,0.1828136837317548,518,491,189.97546102436812,189.97546102436812,NA,NA,NA
cerrd,uniform,2,1870,1,-0.14063058966774378,0.19015269327580928,0.45956298617100105,367,371,127.47399653608275,127.47399653608275,NA,NA,NA
certwo,uniform,2,1870,1,-0.22762056346705606,0.1895350097988872,0.22977368075517288,339,483,186.32847914703868,115.77851344627322,NA,NA,NA
cersum,uniform,2,1870,1,-0.13295842235795874,0.18092853625217153,0.46242045835236417,435,420,153.8690320966293,153.8690320966293,NA,NA,NA
mserd,epanechnikov,2,1870,1,-0.15610601519282952,0.18080057534372942,0.3879090723928338,488,467,177.47489151681407,177.47489151681407,NA,NA,NA
