spec,bw_method,kernel,exclude_ohio_virginia,year,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_black_coef
1,mserd,triangular,TRUE,1870,-0.12026612776414947,0.1404867869752366,0.39196062030303824,273,284,103.50291673118512,103.50291673118512,NA,NA,NA,NA
2,mserd,triangular,TRUE,1870,-0.11896208158409892,0.14043647520777064,0.39694595944391664,272,273,101.15229532176409,101.15229532176409,-0.049408363874712015,-6.052834702454514e-4,NA,NA
3,mserd,triangular,TRUE,1870,-0.11423266996476647,0.1351259808006315,0.39789925138078824,291,296,110.23067908234627,110.23067908234627,-0.0024314178838882178,-0.053315793142992896,-5.862890453655211e-4,NA
4,mserd,triangular,TRUE,1870,-0.34121104813822856,0.14974818730953451,0.02269290878334232,236,238,86.77125702172275,86.77125702172275,0.020490938200262553,-0.010412407941832458,0.036764336108034555,-4.7586272511630084e-6
1,msetwo,triangular,TRUE,1870,-0.16736701620337424,0.12562375277043014,0.18276557441619373,414,287,105.06212276561003,161.3029392954704,NA,NA,NA,NA
2,msetwo,triangular,TRUE,1870,-0.1773610831670999,0.12802905890890437,0.16595495770196,469,229,84.99848379884016,185.10318742595092,-0.07100241558942405,2.0977403191378436e-5,NA,NA
3,msetwo,triangular,TRUE,1870,-0.17000891604802734,0.12613711724783147,0.17771937819628622,479,239,88.88406151466818,189.05617340766045,-0.0038187662585373004,-0.07320842879138856,5.594823923729718e-5,NA
4,msetwo,triangular,TRUE,1870,-0.32263043253824797,0.13747724854373947,0.01893584986265118,325,228,83.68880221884795,124.89306582651501,0.018172383301980045,-0.03312751004534993,0.03430946769359549,3.9754820779832603e-4
1,msesum,triangular,TRUE,1870,-0.2560513187263358,0.10744647778427834,0.017169432413717035,457,442,180.53941311570694,180.53941311570694,NA,NA,NA,NA
2,msesum,triangular,TRUE,1870,-0.09113462719966575,0.1365953367297549,0.5046527206485516,284,293,107.25599882630615,107.25599882630615,-0.05079981247374146,-6.132487463070134e-4,NA,NA
3,msesum,triangular,TRUE,1870,-0.08886017165812879,0.1347622446834598,0.5096487198335609,291,297,110.9827847055469,110.9827847055469,-0.0026549316885335003,-0.05364144662206086,-5.835252364883082e-4,NA
4,msesum,triangular,TRUE,1870,-0.3009454770814782,0.13105444065610083,0.021656482344514224,299,306,115.19405213778569,115.19405213778569,0.013741348306677906,-0.025348942186016646,0.03449708661821975,6.642692394775301e-5
1,cerrd,triangular,TRUE,1870,-0.19255472875869728,0.16862584046448453,0.2534934154143797,192,190,70.64999750718341,70.64999750718341,NA,NA,NA,NA
2,cerrd,triangular,TRUE,1870,-0.1765322390158786,0.16811968496285187,0.29370014638662706,189,188,69.05883159528761,69.05883159528761,-0.020194436737363555,-9.069984226903014e-4,NA,NA
3,cerrd,triangular,TRUE,1870,-0.17870620341885352,0.16077490108888126,0.266340076632121,208,199,75.25683801012123,75.25683801012123,0.008006078978201738,-0.022034360682517594,-9.158983771290791e-4,NA
4,cerrd,triangular,TRUE,1870,-0.31699585990631796,0.178754825345583,0.07616981117927314,162,159,59.24202378286756,59.24202378286756,0.02389969004185586,0.019573532716459903,0.03131141578954558,-6.055781302846616e-4
1,certwo,triangular,TRUE,1870,-0.14444945936115072,0.15005801426041168,0.335736203938221,291,192,71.7142950740955,110.10368228292397,NA,NA,NA,NA
2,certwo,triangular,TRUE,1870,-0.18364706363775027,0.15327179377992095,0.23084729059578285,327,155,58.0302795882864,126.37389796778335,-0.06698487438102611,-2.542928403092429e-4,NA,NA
3,certwo,triangular,TRUE,1870,-0.18204636930407986,0.15089419458608616,0.22764385269678092,334,161,60.68304645110651,129.07268589287233,-3.611602954537371e-4,-0.06757328885747307,-2.2346807077476116e-4,NA
4,certwo,triangular,TRUE,1870,-0.3480320041094181,0.16578170056257757,0.03578702003554469,232,154,57.13751513554202,85.26922658452861,0.021111866623205442,-0.01326584371430603,0.03532270757786889,-4.701231312089719e-5
1,cersum,triangular,TRUE,1870,-0.13511277058882065,0.1300949085148286,0.2990044012935365,321,324,123.2342960894548,123.2342960894548,NA,NA,NA,NA
2,cersum,triangular,TRUE,1870,-0.16213580579398332,0.1635401667020139,0.32148407880655977,205,195,73.2259602905575,73.2259602905575,-0.02562658228463765,-8.379187281128708e-4,NA,NA
3,cersum,triangular,TRUE,1870,-0.16388819417403822,0.16023791275894678,0.30641169404193164,210,202,75.77031657636891,75.77031657636891,0.007851071705745567,-0.02289940611829313,-9.057943621863635e-4,NA
4,cersum,triangular,TRUE,1870,-0.34826185203858673,0.15697056723375624,0.026510934159226143,214,216,78.64734257201263,78.64734257201263,0.02193403793123338,-0.003583038430935055,0.03615019103460439,-1.1683011282996158e-4
1,mserd,uniform,TRUE,1870,-0.15890958375523123,0.1431961870076083,0.26711394901372343,215,219,79.28072491248687,79.28072491248687,NA,NA,NA,NA
2,mserd,uniform,TRUE,1870,-0.11633157880843172,0.1462011490912121,0.42620911310724247,206,196,73.92082158136242,73.92082158136242,-0.06387509056324778,-3.403514060797532e-4,NA,NA
3,mserd,uniform,TRUE,1870,-0.15640233211075685,0.13997080398552503,0.26382652366440495,221,221,81.37202447330507,81.37202447330507,-0.00372115172793459,-0.06448525983623513,-3.59294464847323e-4,NA
4,mserd,uniform,TRUE,1870,-0.3709358080979221,0.16104050379242738,0.021258054127527064,172,163,63.311052357233635,63.311052357233635,0.020319597193415386,-0.012567232093920057,0.040983303322043196,2.4243625356620791e-4
1,msetwo,uniform,TRUE,1870,-0.12576209945831351,0.12995404615368522,0.3331728103297528,291,241,90.72827454783338,110.61195131386692,NA,NA,NA,NA
2,msetwo,uniform,TRUE,1870,-0.14851833925913555,0.13566392555119963,0.27362534754482193,350,168,64.73813901534972,135.71006915795655,-0.07989833455850304,3.5531900132610393e-4,NA,NA
3,msetwo,uniform,TRUE,1870,-0.19633669999752165,0.12069008760624114,0.10378298707938037,365,253,94.1251703725591,142.10003732276715,-0.009648340215511822,-0.0777378269965655,1.6795901691316973e-4,NA
4,msetwo,uniform,TRUE,1870,-0.3495733303001819,0.12665059121313896,0.005777664166484967,272,247,92.26194082840615,101.8370805538788,0.01069503415744441,-0.043301968777312114,0.033566637471179696,4.218476972070594e-4
1,msesum,uniform,TRUE,1870,-0.26090781919591954,0.11290169350644068,0.020836766395325626,343,347,132.10221920338375,132.10221920338375,NA,NA,NA,NA
2,msesum,uniform,TRUE,1870,-0.12396404234745753,0.14151745456912096,0.38105019353771863,214,215,77.69122272868174,77.69122272868174,-0.06119346507111474,-4.3141721163772635e-4,NA,NA
3,msesum,uniform,TRUE,1870,-0.09978115031533427,0.13868270353263143,0.47183758720542657,230,229,84.7083153597137,84.7083153597137,-0.006177365670849533,-0.06992719845772792,-2.4133270803188868e-4,NA
4,msesum,uniform,TRUE,1870,-0.3764662694860332,0.1377033602622519,0.006259035720677097,218,220,80.8671204623875,80.8671204623875,0.014847003457562371,-0.03020872557380863,0.040055396688403695,3.8532848153594165e-4
1,cerrd,uniform,TRUE,1870,-0.2282724612014757,0.17459243377973693,0.19105684681750715,148,151,54.11618526637397,54.11618526637397,NA,NA,NA,NA
2,cerrd,uniform,TRUE,1870,-0.1296625831393551,0.18076212737519734,0.4731824917081779,141,132,50.46732308677758,50.46732308677758,-0.026079396275595683,-7.374374034440259e-4,NA,NA
3,cerrd,uniform,TRUE,1870,-0.19534737699563534,0.17211063320941605,0.25637091621098695,154,151,55.55441838263957,55.55441838263957,0.010689132977981897,-0.03719505995759437,-5.891168528765409e-4,NA
4,cerrd,uniform,TRUE,1870,-0.36270904026203116,0.18559553617842445,0.05066595016176422,122,118,43.22485346186291,43.22485346186291,0.02660007676540191,0.02577964469097714,0.03281517447172913,-5.720430479751288e-4
1,certwo,uniform,TRUE,1870,-0.1396170935483685,0.15612266295502705,0.3711730624530057,210,161,61.93016171015963,75.50254941013499,NA,NA,NA,NA
2,certwo,uniform,TRUE,1870,-0.177372019262328,0.16105608665462207,0.27076354205673636,249,119,44.198109650720134,92.65216159407969,-0.08096915837858094,-1.5854181421806265e-4,NA,NA
3,certwo,uniform,TRUE,1870,-0.13579375654646805,0.14485025626723042,0.3485133456531608,258,166,64.26126336490286,97.01472928460204,-0.002663521527987274,-0.07711575200490466,-5.1953065912383606e-5,NA
4,certwo,uniform,TRUE,1870,-0.44718507130305113,0.15539659221030758,0.004005834581350825,190,163,62.990721587006924,69.5280321528631,0.021168758310883225,-0.0220199300436473,0.04030514076866343,3.628865085179532e-4
1,cersum,uniform,TRUE,1870,-0.1057617793411465,0.1381790314851822,0.44403533746348056,244,241,90.1715792382153,90.1715792382153,NA,NA,NA,NA
