point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
1,-0.3766662902734052,0.1678783817657935,0.02485264395922093,60,100,151.62450316588217,151.62450316588217,0.13667262102234634,-0.02705612555303761,-0.005246274526929348
2,-0.37771471188044875,0.07538357460163425,5.426892437302317e-7,38,74,119.12518375009451,119.12518375009451,-0.10998501605163306,-0.0029684377060677364,-7.680891818303871e-4
3,-0.30584581994258897,0.12404156802673307,0.0136756502975478,18,23,39.66140230020193,39.66140230020193,-0.11976186502361744,0.009642988121712243,-0.0023218729346349736
4,-0.07976282124052594,0.22545756985051976,0.7235022931783868,39,54,112.9742549816012,112.9742549816012,-0.11543985315293748,0.008335652690874603,-0.004258967263644746
5,-0.04109166014063875,0.3123263226936851,0.8953272374315518,34,27,83.27395470266242,83.27395470266242,-0.2284455471099958,0.0016824406850887916,0.004311261339716619
6,0.02781199762833228,0.4406265503014524,0.9496715812834468,28,17,51.418299726198256,51.418299726198256,-0.35284965713974725,-0.0036761097337187146,0.010595512145621051
7,-0.44974180846933376,0.12762704526589985,4.2528414522555744e-4,32,22,61.57504764036569,61.57504764036569,-0.18503092051329056,0.006605720200120261,0.004230359350266961
8,-0.3781391551295943,0.17853316544238246,0.03417226392703104,26,18,47.786223996179686,47.786223996179686,-0.32368223061215473,0.0015405393391015286,0.012586309925763609
9,-0.5465110791135287,0.19332758005062828,0.004700605686696652,28,28,60.55726237395321,60.55726237395321,-0.20502381273902837,0.026311289422806982,0.0076692570862860986
10,-0.399198796221444,0.1929974166010151,0.03860099411423385,46,35,73.6248035309677,73.6248035309677,-0.04538453146186083,0.03534919808028475,0.005412210747851177
11,-0.009491960957112279,0.17793196437038533,0.9574562189723957,60,81,124.3259469953275,124.3259469953275,-0.03449115871521793,0.027571804563805532,0.0071400952077906995
12,0.15455270095011125,0.13950883868198047,0.26793330859673736,75,87,143.53946277541027,143.53946277541027,-0.12493729191961338,0.019259318060676878,0.0018355712927453178
13,0.10377422871647991,0.20701863427536868,0.6161743244761714,41,31,70.77594324578969,70.77594324578969,-0.13359306341773425,0.01625055585295215,-0.00129575922074519
14,-0.10232673458203652,0.14041840960649432,0.4661684634077517,29,17,44.67541893805957,44.67541893805957,-0.09475920867390565,0.01731809184845652,0.007597506947224239
15,0.08779759277280214,0.14250902043206384,0.5378387784424212,31,52,98.8398356213474,98.8398356213474,-0.0786905838832585,-0.0019101873538467026,0.0037547593290285335
16,0.49390085715038184,0.2753848031604471,0.0728940474956265,19,18,38.36302567529686,38.36302567529686,-0.04553205774235902,0.10913915375583108,3.598571359008369e-4
17,-0.4061950782346378,0.18362186548695597,0.026957818864820973,43,53,113.78389666366557,113.78389666366557,-0.02869674198577694,-0.01711139666624296,-0.0019810328187746017
18,-0.16069571772418034,0.26977957540485553,0.5514053180111844,54,31,104.74572466276305,104.74572466276305,-0.0849550203954162,-0.028863530138219844,-0.0023627562813867747
19,-0.18423499464961315,0.2716359331635378,0.4976180424034248,61,66,114.64570361845018,114.64570361845018,-0.05126971219742782,-0.01150524598522476,-0.0017429486753493201
20,0.04824663772274257,0.18947831700746634,0.7990098079730767,77,115,185.5133563739571,185.5133563739571,0.0996169659017927,-0.027875352244834763,-0.004999446879267364
