point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_enslaved_coef
1,-0.5934218727958926,0.24805053915250302,0.016741206898737843,58,63,148.62192183799255,148.62192183799255,0.3606057329059676,-0.009958738374271714,-0.036084185400021694
2,-0.2023565870367541,0.18408011631762647,0.2716435921144355,35,44,94.89240935573422,94.89240935573422,-0.13207935400266257,-0.0025254319421228657,0.016004615051241414
3,0.17195781351065467,0.20363115359198947,0.39841391635875684,18,21,36.98564820507077,36.98564820507077,-0.11359761339048402,-0.009218716857590245,-0.007725588431421716
4,0.14564236390580368,0.20155015275835086,0.4699188885024451,34,53,110.03306607012745,110.03306607012745,0.006688362558592301,-0.0019170511910266727,-0.011582669774098973
5,0.9508306778492225,0.2629934338761839,2.9986565830976604e-4,23,23,64.57378265306563,64.57378265306563,-0.17257462898025205,0.007555643352549141,-0.05340951268910374
6,-0.04638102274366126,0.2318212480465445,0.8414239947282995,28,17,57.79560745655292,57.79560745655292,-0.1008819505090601,0.004623066155391679,-0.0038117793281513936
7,-0.7760440292124346,0.1259544806880494,7.214766816488173e-10,19,18,41.95149174110828,41.95149174110828,-0.10023823451396827,0.0049936645930132376,0.02855617017783599
8,-0.8094847038224473,0.1777093126240756,5.235924195675595e-6,19,17,42.87886294820663,42.87886294820663,-0.16047273892578245,0.013725988842591115,0.03492544794916261
9,-0.9117083663084957,0.31171611104953595,0.00344673814566244,23,27,53.43621498550414,53.43621498550414,-0.12324169098628723,0.009094809823037505,0.03419065042102631
10,-1.025218432208713,0.2440141911307461,2.651867758482724e-5,36,31,64.13464379129098,64.13464379129098,0.0031803036447193844,0.007243348749156168,0.045677200933387854
11,-0.45459610374819087,0.2497523418411111,0.06873044809140733,47,53,82.26095202465638,82.26095202465638,-0.026796644590823065,0.011196674000706818,0.03289842314054795
12,-0.45491817674139295,0.19060553242583925,0.017000369144380592,51,64,111.18268831037211,111.18268831037211,-0.10862651000760257,0.003658735771012738,0.031163176337896947
13,-0.3693619697021381,0.2866307440726134,0.19752554253172389,30,29,65.93740659247243,65.93740659247243,-0.1461957651057054,-6.304153669656623e-4,0.026593503756488404
14,-0.8099884082879841,0.19693861705894172,3.9072335868684754e-5,20,16,44.97393835889503,44.97393835889503,-0.04502689160817737,0.00464988599503083,0.07560091743018627
15,0.060982985884022026,0.1333942285126226,0.6475534585103684,21,40,74.77271950930223,74.77271950930223,-0.045281572316492984,0.0073566664329176934,0.039249753281797285
16,-0.024071796024077816,0.2651659372171745,0.9276673054891458,18,26,57.671146738550775,57.671146738550775,-0.07957474006507739,6.84694136117846e-4,0.026926663747220664
17,-0.37872610774405857,0.18771401086391204,0.04363609120137583,35,48,100.95901734956772,100.95901734956772,-0.05130585847080041,-0.0021943290113742913,0.0024418280262107905
18,-0.23266415910715976,0.20969219091622748,0.26719259934044093,46,29,94.96756702855565,94.96756702855565,-0.08910516347222931,-0.0022942673677629395,-0.02112186670656365
19,-0.3551796851291545,0.25352699411512475,0.1612277954442505,81,77,152.8404044436894,152.8404044436894,0.06194560758630457,-0.0034055144862131276,-0.012643045985859861
20,-0.6671264394755342,0.2053294878224292,0.0011578980086212256,54,61,127.61207699933514,127.61207699933514,0.2756580049861796,-0.007937358360020862,-0.029408524538211356
