bw_method,kernel,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
mserd,triangular,1890,1,-0.040114647763234146,0.11135785908627856,0.7186737572948001,281,272,87.30079692496695,87.30079692496695,NA,NA,NA
msetwo,triangular,1890,1,-0.11970850018199197,0.0911621288241732,0.18913628614368838,512,274,90.41338141048122,175.81442311884123,NA,NA,NA
msesum,triangular,1890,1,-0.060923279554057075,0.08463595341294318,0.4716312632325773,469,432,159.63802411156095,159.63802411156095,NA,NA,NA
cerrd,triangular,1890,1,0.016331136381675826,0.13452211842297332,0.9033733266297445,204,190,58.990906935920314,58.990906935920314,NA,NA,NA
certwo,triangular,1890,1,-0.058396628237897374,0.10720329760124496,0.5859406663141039,359,194,61.094142967923254,118.801347038219,NA,NA,NA
cersum,triangular,1890,1,-0.03014265299085217,0.10091964838247935,0.7651844271473242,336,327,107.87062839636113,107.87062839636113,NA,NA,NA
mserd,uniform,1890,1,-0.10777126663509318,0.11962456145922885,0.3676348271494161,218,197,63.77293818735791,63.77293818735791,NA,NA,NA
msetwo,uniform,1890,1,-0.06508803680940467,0.0983543278443934,0.5081180274118273,341,221,69.18015494482619,109.10452891829792,NA,NA,NA
msesum,uniform,1890,1,0.007269382112649048,0.09024452806635773,0.9357981974657115,354,342,117.25712553119871,117.25712553119871,NA,NA,NA
cerrd,uniform,1890,1,-0.02258358969564611,0.1397196934362422,0.8715933103417629,160,145,43.0926588777191,43.0926588777191,NA,NA,NA
certwo,uniform,1890,1,-0.07997401327212117,0.11816788972810414,0.49854367606288874,247,154,46.74642415544403,73.72412782484088,NA,NA,NA
cersum,uniform,1890,1,-0.058639547921839785,0.10407949043641983,0.5731549298968026,260,252,79.23300156961412,79.23300156961412,NA,NA,NA
mserd,epanechnikov,1890,1,-0.05576708846809808,0.11243352868896818,0.6198940454922148,260,252,79.4698476927013,79.4698476927013,NA,NA,NA
msetwo,epanechnikov,1890,1,-0.09287711073892435,0.09481149522476967,0.32728480278458366,416,260,83.50030666803707,141.08498629242413,NA,NA,NA
msesum,epanechnikov,1890,1,-0.18346671442949702,0.07776357663570235,0.01831001330430835,512,466,176.6238400923948,176.6238400923948,NA,NA,NA
cerrd,epanechnikov,1890,1,0.010498066943073425,0.1353697121711722,0.9381851601806409,190,181,53.6993768050151,53.6993768050151,NA,NA,NA
certwo,epanechnikov,1890,1,-0.06447036177819232,0.1117105192141777,0.5638584736130836,300,186,56.4228391180502,95.3339670379548,NA,NA,NA
cersum,epanechnikov,1890,1,-0.07191547553426414,0.09370534634699411,0.44280571726420664,362,352,119.3482863909066,119.3482863909066,NA,NA,NA
mserd,triangular,1890,2,0.013551256388569556,0.10802986846918032,0.9001752983323714,287,272,88.77396798117887,88.77396798117887,-0.054092582169656615,3.162723960768541e-4,NA
msetwo,triangular,1890,2,-0.04570167596901519,0.08925366259717371,0.608621207167545,500,274,90.7082136418749,172.5561116676917,-0.061595155411316625,6.462211275384644e-4,NA
msesum,triangular,1890,2,0.025804164977510716,0.08742433655555618,0.7678716760400471,415,398,141.01996688894852,141.01996688894852,-0.056142870877689474,2.561088603578233e-4,NA
cerrd,triangular,1890,2,0.0525626232038839,0.13079787484220923,0.6877859974201971,206,193,59.99700981533223,59.99700981533223,-0.045784653499436105,2.6146679352750447e-4,NA
certwo,triangular,1890,2,-0.017167408532402013,0.10531244091160503,0.8705073646877661,353,194,61.30425064875592,116.62034446423517,-0.058008458162857365,4.255487690691686e-4,NA
cersum,triangular,1890,2,0.013243692688158023,0.10455479885751166,0.8992035872193751,300,288,95.3069523645474,95.3069523645474,-0.05506969298011838,3.172575169645164e-4,NA
mserd,uniform,1890,2,-0.03286061912565502,0.1118378649212031,0.7688925977216372,227,214,66.71886018867588,66.71886018867588,-0.061286474348595986,4.030711062441444e-4,NA
msetwo,uniform,1890,2,-0.001991607764935982,0.09724782319520282,0.9836606932636336,345,205,65.4784916064935,111.52319089085756,-0.06592703594735684,7.046751631296303e-4,NA
msesum,uniform,1890,2,0.0692368974762548,0.09402900660364037,0.4615265347584843,299,286,95.08178425870302,95.08178425870302,-0.0615488821915577,3.4311700556522275e-4,NA
cerrd,uniform,1890,2,0.03156444678690655,0.13397358817854052,0.8137415128840519,165,152,45.091282958720896,45.091282958720896,-0.05024910584212436,2.816439837233615e-4,NA
certwo,uniform,1890,2,-0.022362156696443692,0.11397414782974757,0.8444506828027794,253,148,44.25299209832359,75.37184752104957,-0.05996978315293128,3.543111458117619e-4,NA
cersum,uniform,1890,2,-0.043514863884551475,0.11529692461675527,0.7058647374713133,219,199,64.26008517089328,64.26008517089328,-0.059501312780794874,3.5223903719446676e-4,NA
mserd,epanechnikov,1890,2,-0.0013601546172339117,0.10859457654971237,0.9900067017207992,265,253,81.20168865902478,81.20168865902478,-0.055937283443546884,3.20294671726554e-4,NA
msetwo,epanechnikov,1890,2,-0.03553116114136793,0.0920685486614362,0.6995553803349526,424,258,83.19172244433742,144.61973324515827,-0.06310914897977064,6.455056712341735e-4,NA
msesum,epanechnikov,1890,2,0.032731198072103423,0.08798395642474997,0.7098829799804662,384,373,129.07565435110848,129.07565435110848,-0.05752744210931875,2.3876524805132638e-4,NA
cerrd,epanechnikov,1890,2,0.045128576928438094,0.1308729004376995,0.7302240469946586,193,184,54.87935959480772,54.87935959480772,-0.046101037833604086,2.3449153198548092e-4,NA
certwo,epanechnikov,1890,2,-0.02533322671763781,0.1085078726723634,0.8153972231921466,306,186,56.224304281470346,97.7398189167354,-0.05816104397095243,3.5096056137394797e-4,NA
cersum,epanechnikov,1890,2,-0.008288013612350369,0.10479066853169072,0.9369601293514358,281,272,87.23450665926906,87.23450665926906,-0.05703538177002542,3.3398742898761583e-4,NA
mserd,triangular,1890,3,-0.15715051845951267,0.2326837663192285,0.49943285011227584,195,185,82.25888045079232,82.25888045079232,-0.06472049552364012,4.185678645281317e-4,NA
msetwo,triangular,1890,3,-0.0400439859144545,0.21874865537541965,0.8547514534436362,391,181,79.33879321843382,157.80323750518411,-0.07271561100047223,8.602751357171408e-4,NA
msesum,triangular,1890,3,-0.09584843535106087,0.2003070324745907,0.6322889734953381,223,214,93.52361944780779,93.52361944780779,-0.06622391474116962,4.3788019954102094e-4,NA
cerrd,triangular,1890,3,-0.24240825621943587,0.3836366316588287,0.527472206561926,124,114,55.756983813447945,55.756983813447945,-0.05534487403305884,3.2392701833578396e-4,NA
certwo,triangular,1890,3,-0.05959911374454282,0.3729128768290638,0.873022493338927,261,111,53.77768071989483,106.96270738269553,-0.0705597017737152,5.393512339654798e-4,NA
