point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_enslaved_coef
1,1.4396698293392467,0.4983212424051879,0.0038642034228971714,40,20,215.12193964387234,215.12193964387234,0.029154837217359925,0.1406200280001882,0.0063120349288445015,0.039554627885329006
2,0.7489854110619745,0.28432875040549294,0.008433001418203953,58,51,252.60420832832585,252.60420832832585,0.035910094707227336,0.10572575013297132,8.463261096401105e-4,0.026584643726413306
3,1.2986571322045966,0.2350632056568368,3.300215676186882e-8,25,15,120.9574670589432,120.9574670589432,0.05774003384653843,0.2638689269457251,0.001451357833544907,0.028637278452907512
4,-0.0784011377006186,0.20431880446410491,0.7011862557581672,28,23,126.08076459645922,126.08076459645922,-0.00987687714989805,0.193369068423757,-0.0056088124390299,-0.0032512152160936135
5,-0.17861298980065674,0.1401814535125892,0.20260826237464652,25,41,131.4626542623829,131.4626542623829,-0.012978398282354225,0.002807135249518533,-0.007305108110646638,0.008575310888088248
6,-0.12478688064191419,0.16277374036130562,0.4433028193078067,22,58,139.18226413989825,139.18226413989825,0.01712197627211355,-0.01442532614391082,-0.006856830277852364,0.01149498263905158
7,-0.46757858323327867,0.11858082074766003,8.042788417700919e-5,23,39,121.96242214982043,121.96242214982043,-0.0035401739292838796,-0.02586369575296376,-0.005477384878691344,0.013527403470980384
8,-1.9430617173688882,0.41526071578904644,2.880851201220524e-6,18,16,98.73690850678993,98.73690850678993,-0.08150988086321023,-0.105854967222565,-0.005257816526472228,0.01756317825122793
9,-2.1212415634889012,1.0255892785441258,0.038610423635475566,10,16,91.1849306987257,91.1849306987257,-0.004973629084766004,0.03824565102732397,-0.00333070445432671,-1.2255130007528736e-4
10,-1.8150760797422563,0.5173287436457089,4.5054895081866333e-4,15,27,110.09839389553002,110.09839389553002,0.05576730051680637,0.15406669804526749,0.004643705572331789,0.0024883029414031746
11,-0.5172035411868349,0.5257600151330932,0.32525049140498596,10,19,94.1226360605099,94.1226360605099,0.06536225782209489,0.40722766972887514,0.006824515200230891,-0.017059815327028105
12,0.17178662598924077,0.1996603012166374,0.38957161396412054,21,24,118.72173425018778,118.72173425018778,0.02218244093442342,0.12233939955694588,0.0013875037745785064,-0.016088230627731563
13,0.19422641720793948,0.17651897623856186,0.2711950471720523,21,21,115.34744525733781,115.34744525733781,0.016146114292337577,0.06293136570840371,8.386774232688181e-4,0.0015946273335691432
14,0.6980452181204929,0.45442829451281513,0.12451498147088806,13,12,89.00902472799568,89.00902472799568,0.040266380614289686,0.0499305739090798,0.0010456341680439608,0.014480730638063394
15,-0.2626453909109297,0.23137788224677935,0.2563182906948412,37,13,119.15126027973906,119.15126027973906,0.10166805775990824,0.054869664153162974,0.0033555507662316733,0.009530650952753
16,-0.4509399643100503,0.3441983088451172,0.19015634817768293,33,9,103.88069116935884,103.88069116935884,0.11771891802673085,0.010455760963508701,0.005092609335130217,0.014958899851588768
17,-0.5194746033328974,0.37966996047420803,0.1712411049386054,29,13,103.16516114292801,103.16516114292801,0.12313205865700173,-0.06131834203162618,0.006612338047171833,0.022685896809008718
18,-0.34739046159738896,0.3153715023734507,0.2706670335899879,19,14,95.01597024202103,95.01597024202103,0.06657647934482422,-0.03443953860935929,-3.7667997109870274e-4,0.035650228568549124
19,-0.29403467172323805,0.4518685014436724,0.5152346795359383,16,20,90.19342382157723,90.19342382157723,0.04826788480687333,0.008690370047927345,-3.224399311482079e-5,0.03564164814666103
20,-0.6416062685816286,0.35449618881284517,0.07030971384793441,12,27,92.14945011095386,92.14945011095386,0.07401156969644605,0.04582584518047769,7.654494502574299e-4,0.03410297544286252
21,0.21123510248560515,0.41948590450572176,0.614572650751262,9,19,81.22131218698318,81.22131218698318,0.12772501759067917,0.06228063043063964,0.006576289376486778,0.03939135459678418
