spec,bw_method,kernel,exclude_ohio_virginia,year,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_enslaved_coef
1,mserd,triangular,FALSE,1850,-0.24554280070891066,0.1121206862569345,0.028525208509163607,418,400,169.50993207760638,169.50993207760638,NA,NA,NA,NA
2,mserd,triangular,FALSE,1850,-0.2697684822116568,0.10924712102442379,0.013536185706907648,449,422,184.75260818326154,184.75260818326154,-4.97020251660249e-4,-9.667356297678738e-4,NA,NA
3,mserd,triangular,FALSE,1850,-0.19703647337318506,0.115889383489505,0.08909113232665238,393,382,156.9031999860644,156.9031999860644,-0.05272880849006506,-0.03885145575412897,-3.892016323140111e-4,NA
4,mserd,triangular,FALSE,1850,-0.45196590276128706,0.11732806540245015,1.1708283279078286e-4,384,375,152.35446806314988,152.35446806314988,-0.046588226248549615,-0.0206473322484183,1.3833116819920478e-6,0.026102863779651878
1,msetwo,triangular,FALSE,1850,-0.254043573334354,0.10586744810487024,0.016411283261266108,400,492,236.16976255920406,159.5967086491534,NA,NA,NA,NA
2,msetwo,triangular,FALSE,1850,-0.2342961979166716,0.11291853012148381,0.037994539685394145,494,372,147.52564893786177,206.87659776060428,2.7250119471787515e-4,-9.432414503043349e-4,NA,NA
3,msetwo,triangular,FALSE,1850,-0.19413972500199483,0.11284206082241229,0.08534970683187512,473,373,149.28741539001612,196.31257910456108,-0.05333680357213831,-0.03927842739729476,-3.7303507666147607e-4,NA
4,msetwo,triangular,FALSE,1850,-0.4539189973097198,0.11691856276734404,1.0345104820809184e-4,367,392,164.10620127351,146.48012984545505,-0.0469548122905505,-0.020317012005488085,-5.0821499267104595e-5,0.02631108802410958
1,msesum,triangular,FALSE,1850,-0.22437401864991546,0.11387664124984785,0.04880110939317006,404,392,162.54324303648824,162.54324303648824,NA,NA,NA,NA
2,msesum,triangular,FALSE,1850,-0.25536786662564903,0.11229699337441389,0.022963575308716226,422,404,171.6265322235215,171.6265322235215,-4.4566888123222237e-4,-9.495016160228955e-4,NA,NA
3,msesum,triangular,FALSE,1850,-0.20668290697643274,0.11260623780659007,0.06643932006239969,418,399,169.39136658929075,169.39136658929075,-0.053525147448826096,-0.03994825430244689,-4.0215319216533197e-4,NA
