bw_method,kernel,p_order,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_enslaved_coef
mserd,triangular,1,1860,1,-0.17061648870734247,0.17538580083244454,0.33064936350737417,379,392,138.60207757721227,138.60207757721227,NA,NA,NA
msetwo,triangular,1,1860,1,-0.21520650876356484,0.17744901396353274,0.225214173231951,391,450,172.64339462944977,143.6346031302893,NA,NA,NA
msesum,triangular,1,1860,1,-0.26700181114454846,0.18565195674795304,0.15038164384017186,487,474,184.86933690920327,184.86933690920327,NA,NA,NA
cerrd,triangular,1,1860,1,-0.12839435882419004,0.1725989778588894,0.4569440591115127,323,339,115.25684856541554,115.25684856541554,NA,NA,NA
certwo,triangular,1,1860,1,-0.15601974507850436,0.1709171884806339,0.3613276245748037,333,398,143.564468429709,119.44172837177673,NA,NA,NA
cersum,triangular,1,1860,1,-0.21784264629938654,0.1795365016457196,0.22499170864884382,419,419,153.73115281524474,153.73115281524474,NA,NA,NA
mserd,uniform,1,1860,1,-0.4079115599179035,0.20117148358505407,0.04259283385080274,420,420,154.0272220194841,154.0272220194841,NA,NA,NA
msetwo,uniform,1,1860,1,-0.4312302724973014,0.20003860079743138,0.03110434034767894,456,457,174.09231302325986,170.890072248128,NA,NA,NA
msesum,uniform,1,1860,1,-0.41861853930429493,0.1981922694314393,0.034670670806781524,535,522,209.88920079626615,209.88920079626615,NA,NA,NA
cerrd,uniform,1,1860,1,-0.3139892531224877,0.18535213814005924,0.0902624831409457,356,371,128.08388238886008,128.08388238886008,NA,NA,NA
certwo,uniform,1,1860,1,-0.3582341871314849,0.196557232681257,0.06837249767638441,388,402,144.7693404692784,142.10646422282557,NA,NA,NA
cersum,uniform,1,1860,1,-0.43866182046324553,0.19759593625667551,0.026419165442141408,462,459,174.53683418428528,174.53683418428528,NA,NA,NA
mserd,epanechnikov,1,1860,1,-0.18543126120668418,0.17691062140626346,0.29456327075611743,368,379,132.2783414952543,132.2783414952543,NA,NA,NA
msetwo,epanechnikov,1,1860,1,-0.24153664764163985,0.18024375106103072,0.1802272700801832,383,431,160.8146575900579,139.55690030410486,NA,NA,NA
msesum,epanechnikov,1,1860,1,-0.29821771821016485,0.18993593700025577,0.11639270154978269,458,450,172.19672235303312,172.19672235303312,NA,NA,NA
cerrd,epanechnikov,1,1860,1,-0.14051614260004452,0.1726890121407981,0.4158198423728368,317,329,109.99824130132272,109.99824130132272,NA,NA,NA
certwo,epanechnikov,1,1860,1,-0.1687045451683984,0.1716862547206256,0.32578819532083664,326,381,133.72808662720806,116.05084718624407,NA,NA,NA
cersum,epanechnikov,1,1860,1,-0.2320914964234424,0.18042963887243432,0.1983290013660262,391,398,143.1930307152011,143.1930307152011,NA,NA,NA
mserd,triangular,2,1860,1,-0.05097743345099559,0.17820115585907792,0.7748269633249285,515,504,197.22362098752484,197.22362098752484,NA,NA,NA
msetwo,triangular,2,1860,1,-0.10975048628129969,0.1752911035250595,0.5312466344606809,470,615,270.6424786729023,177.74163527789625,NA,NA,NA
msesum,triangular,2,1860,1,-0.11641329367888353,0.18370408002964844,0.5262765604072701,576,560,230.3017936095351,230.3017936095351,NA,NA,NA
cerrd,triangular,2,1860,1,-0.0102437346077906,0.18051071009485664,0.954745439194582,433,430,159.7396184976246,159.7396184976246,NA,NA,NA
certwo,triangular,2,1860,1,-0.03961975487852776,0.17800416816064094,0.8238642090440043,391,545,219.20460681124766,143.96034748916313,NA,NA,NA
