point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_enslaved_coef
1,-0.7121092322612951,0.20355230786017928,4.6804272331095004e-4,52,89,133.84627879937614,133.84627879937614,0.30250011363763835,-0.008137521373510438,-0.032498427317580764
2,-0.4555824909326201,0.10130132917332273,6.882177398422018e-6,43,138,197.79463173735525,197.79463173735525,-0.03364677347059079,-0.005340421304659013,0.011198872314023974
3,-0.029870084835669136,0.15393683597345295,0.846143640015784,19,24,42.20718016786444,42.20718016786444,-0.15170633931311528,-0.005035728739419948,0.009908824780132906
4,0.08106952232832207,0.20330689461349938,0.6900741668343819,34,50,98.60905703587792,98.60905703587792,-0.09535612763783007,-0.003894878612750494,9.159360339393036e-4
5,0.08529747286477984,0.24300261896230305,0.725577377432554,30,26,78.94368193862798,78.94368193862798,-0.1828181187640215,0.005695654322694953,-0.0070237903704230345
6,0.1743190075008906,0.22399124456677028,0.43642737836133505,38,18,70.485734964558,70.485734964558,-0.15578216721211716,0.0032578849000458074,0.013490673748022278
7,-0.429015847706568,0.12430406980896816,5.578064016187808e-4,28,20,52.95028549727033,52.95028549727033,-0.14206261858662234,0.003184332424627411,0.04025852177224416
8,-0.17477128077997847,0.136170543619741,0.199326246767564,31,22,61.841382605927834,61.841382605927834,-0.22210037974246427,0.00853731434293558,0.019435596409604614
9,-0.21222210300848576,0.19780972709510186,0.28333402795194124,28,28,61.479899316404016,61.479899316404016,-0.2114981026484212,0.009037225772183624,0.017334033249120452
10,-0.4103981183229423,0.20695591301626295,0.0473649777010303,35,30,57.49858606850315,57.49858606850315,-0.07672564339565133,0.006577635829319455,0.02346320809700878
11,-0.23211215701688404,0.18227955215545044,0.2028812444468643,61,88,137.13746308109944,137.13746308109944,-0.07157924881984205,0.007125545193818425,0.027610421515119186
12,-0.28049004636999475,0.17827282793586163,0.11563196589454153,49,46,81.2113254683953,81.2113254683953,-0.13535828190736396,0.0021501398173214975,0.021216649196056897
13,-0.196375903074669,0.20899389355487935,0.3474099091515829,32,25,57.610538363271736,57.610538363271736,-0.15013005422445605,-0.002555433243985077,0.023482588548721386
14,-0.44816607588489127,0.15293685162209525,0.003385264597949767,24,16,42.3116900581255,42.3116900581255,-0.07584691673773515,0.0045228241023908145,0.04616664135636275
15,-0.05387231066112636,0.16460039805803464,0.7434474231474144,22,39,70.91276667396366,70.91276667396366,-0.06718056193042662,0.005423945244610816,0.04919952272457724
16,-0.06439561693005932,0.2084773019093586,0.7574086224385721,25,28,59.73033494944219,59.73033494944219,-0.08601869385307542,3.0539274901666806e-4,-0.026128775802420942
17,-0.02129979887852442,0.20103369858985978,0.915620923817292,26,29,63.158798197815244,63.158798197815244,-0.061557480934628095,-0.0019876881112505925,0.007233543440184384
18,-0.30510874367196866,0.1937668248809092,0.11534462950188448,58,36,124.42442861270244,124.42442861270244,-0.0795620885154501,-0.0017971543227320492,-0.013241478200387749
19,-0.39622106207777846,0.24971814903040232,0.11258670870087674,72,76,142.71811172592749,142.71811172592749,0.013216533738469672,-0.002683354506543909,-0.00174557930261773
20,-0.41018326441020214,0.1848163611196033,0.026458849698454228,70,103,173.38966183837385,173.38966183837385,0.20458273201841873,-0.007175759209383244,-0.02738150482466807
