GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002
"G1800090","1870","Indiana","180","Blackford","0090","Blackford","22","90",6272,30863,34699,3964,1524040,60219
"G1800110","1870","Indiana","180","Boone","0110","Boone","22","110",22593,126942,103080,761,8974666,244307
"G1800130","1870","Indiana","180","Brown","0130","Brown","22","130",8681,41825,56694,335,1205152,44125
"G1800150","1870","Indiana","180","Carroll","0150","Carroll","22","150",16152,97359,83296,1363,7420307,236552
"G1800170","1870","Indiana","180","Cass","0170","Cass","22","170",24193,88381,73461,2673,7077945,198595
"G1800190","1870","Indiana","180","Clark","0190","Clark","22","190",24770,106511,76084,1696,6986128,177782
"G1800210","1870","Indiana","180","Clay","0210","Clay","22","210",19084,90039,84225,2049,4790525,132426
"G1800230","1870","Indiana","180","Clinton","0230","Clinton","22","230",17330,149402,119420,1173,10666922,502745
"G1800250","1870","Indiana","180","Crawford","0250","Crawford","22","250",9851,61256,44607,63187,1501154,42183
"G1800270","1870","Indiana","180","Daviess","0270","Daviess","22","270",16747,109231,96756,3165,5849692,191262
"G1800290","1870","Indiana","180","Dearborn","0290","Dearborn","22","290",24116,108834,61408,5611,6337995,241781
"G1800310","1870","Indiana","180","Decatur","0310","Decatur","22","310",19053,136270,72788,21966,8809318,184231
"G1800330","1870","Indiana","180","DeKalb","0330","De Kalb","22","330",17167,109431,95497,9969,8063488,249906
"G1800350","1870","Indiana","180","Delaware","0350","Delaware","22","350",19030,133491,94652,1969,10025184,253759
"G1800370","1870","Indiana","180","Dubois","0370","Dubois","22","370",12597,69155,97090,4789,1964964,99928
"G1800390","1870","Indiana","180","Elkhart","0390","Elkhart","22","390",26026,148671,88651,7504,15060300,259379
"G1800410","1870","Indiana","180","Fayette","0410","Fayette","22","410",10476,85856,39256,70,6705061,131045
"G1800430","1870","Indiana","180","Floyd","0430","Floyd","22","430",23300,46642,34839,1228,2697946,77098
"G1800450","1870","Indiana","180","Fountain","0450","Fountain","22","450",16389,115993,77763,2235,7399502,237381
"G1800470","1870","Indiana","180","Franklin","0470","Franklin","22","470",20223,139164,99903,2609,8999998,264812
"G1800490","1870","Indiana","180","Fulton","0490","Fulton","22","490",12726,78219,65621,18234,4497625,126151
"G1800510","1870","Indiana","180","Gibson","0510","Gibson","22","510",17371,106169,27085,65291,6261688,195604
"G1800530","1870","Indiana","180","Grant","0530","Grant","22","530",18487,123550,86270,24109,8531700,263179
"G1800550","1870","Indiana","180","Greene","0550","Greene","22","550",19514,124962,125882,3785,4701180,147804
"G1800570","1870","Indiana","180","Hamilton","0570","Hamilton","22","570",20882,125984,93369,3345,9840058,285679
"G1800590","1870","Indiana","180","Hancock","0590","Hancock","22","590",15123,98833,71509,1106,7721401,235665
"G1800610","1870","Indiana","180","Harrison","0610","Harrison","22","610",19913,141665,136065,157,5044381,195590
"G1800630","1870","Indiana","180","Hendricks","0630","Hendricks","22","630",20277,129838,104841,7481,12195484,180126
"G1800650","1870","Indiana","180","Henry","0650","Henry","22","650",22986,147479,85013,6201,12464508,303462
"G1800670","1870","Indiana","180","Howard","0670","Howard","22","670",15847,63222,59858,2305,3889797,105259
"G1800690","1870","Indiana","180","Huntington","0690","Huntington","22","690",19036,105453,98884,1372,7573192,219095
"G1800710","1870","Indiana","180","Jackson","0710","Jackson","22","710",18974,131148,119955,2176,6069099,180830
"G1800730","1870","Indiana","180","Jasper","0730","Jasper","22","730",6354,55060,35343,39995,2355095,84439
"G1800750","1870","Indiana","180","Jay","0750","Jay","22","750",15000,94194,98423,3020,5337530,197468
"G1800770","1870","Indiana","180","Jefferson","0770","Jefferson","22","770",29741,138106,83214,2432,6537858,181493
"G1800790","1870","Indiana","180","Jennings","0790","Jennings","22","790",16218,104622,87985,238,4156608,140796
"G1800810","1870","Indiana","180","Johnson","0810","Johnson","22","810",18366,124161,61809,1622,9957790,202417
"G1800830","1870","Indiana","180","Knox","0830","Knox","22","830",21562,117501,83779,38831,5621066,187912
"G1800850","1870","Indiana","180","Kosciusko","0850","Kosciusko","22","850",23531,133227,122962,21441,10714620,248957
"G1800870","1870","Indiana","180","Lagrange","0870","Lagrange","22","870",14148,111102,70000,27464,9470314,239663
"G1800890","1870","Indiana","180","Lake","0890","Lake","22","890",12339,114102,28279,33642,5132015,199173
"G1800910","1870","Indiana","180","LaPorte","0910","Laporte","22","910",27062,160060,64105,44858,11368264,321805
"G1800930","1870","Indiana","180","Lawrence","0930","Lawrence","22","930",14628,137026,109850,240,4892988,140478
"G1800950","1870","Indiana","180","Madison","0950","Madison","22","950",22770,133190,87521,1173,9399442,242571
"G1800970","1870","Indiana","180","Marion","0970","Marion","22","970",71939,138859,86276,1746,19398062,383673
"G1800990","1870","Indiana","180","Marshall","0990","Marshall","22","990",20211,90981,109593,15255,6930262,183381
"G1801010","1870","Indiana","180","Martin","1010","Martin","22","1010",11103,64381,93702,370,2106140,78810
"G1801030","1870","Indiana","180","Miami","1030","Miami","22","1030",21052,106676,78960,7934,8223410,284314
"G1801050","1870","Indiana","180","Monroe","1050","Monroe","22","1050",14168,102442,102869,3608,4003023,93120
"G1801070","1870","Indiana","180","Montgomery","1070","Montgomery","22","1070",23765,164979,126711,9108,14480218,357263
"G1801090","1870","Indiana","180","Morgan","1090","Morgan","22","1090",17528,133615,97612,50,8565856,248503
"G1801110","1870","Indiana","180","Newton","1110","Newton","22","1110",5829,88380,8167,11539,2658840,99083
"G1801130","1870","Indiana","180","Noble","1130","Noble","22","1130",20389,113016,96400,11538,8885080,222903
"G1801150","1870","Indiana","180","Ohio","1150","Ohio","22","1150",5837,34550,17760,3287,2732000,39505
"G1801170","1870","Indiana","180","Orange","1170","Orange","22","1170",13497,136355,94891,145,3840305,174482
"G1801190","1870","Indiana","180","Owen","1190","Owen","22","1190",16137,132763,90906,11423,5840995,126709
"G1801210","1870","Indiana","180","Parke","1210","Parke","22","1210",18166,167788,87227,2304,9763398,250331
"G1801230","1870","Indiana","180","Perry","1230","Perry","22","1230",14801,54829,103889,690,1656150,70684
"G1801250","1870","Indiana","180","Pike","1250","Pike","22","1250",13779,84404,87545,244,2825819,123999
"G1801270","1870","Indiana","180","Porter","1270","Porter","22","1270",13942,110891,27403,48955,4813202,119108
"G1801290","1870","Indiana","180","Posey","1290","Posey","22","1290",19185,110182,75000,6390,6279709,218641
"G1801310","1870","Indiana","180","Pulaski","1310","Pulaski","22","1310",7801,65038,56908,15269,2467985,77355
"G1801330","1870","Indiana","180","Putnam","1330","Putnam","22","1330",21514,166889,110428,698,12154422,267014
"G1801350","1870","Indiana","180","Randolph","1350","Randolph","22","1350",22862,151191,116726,1829,10111014,293675
"G1801370","1870","Indiana","180","Ripley","1370","Ripley","22","1370",20977,129320,114608,911,6180650,185356
"G1801390","1870","Indiana","180","Rush","1390","Rush","22","1390",17626,194777,37740,16885,12939664,371120
"G1801410","1870","Indiana","180","St Joseph","1410","St Joseph","22","1410",25322,123976,80177,24619,10867848,178783
"G1801430","1870","Indiana","180","Scott","1430","Scott","22","1430",7873,54393,40789,1805,1768050,56983
"G1801450","1870","Indiana","180","Shelby","1450","Shelby","22","1450",21892,137861,72622,12413,12080676,319174
"G1801470","1870","Indiana","180","Spencer","1470","Spencer","22","1470",17998,106462,87749,113,3844803,195442
"G1801490","1870","Indiana","180","Starke","1490","Starke","22","1490",3888,15148,15882,13176,777972,25368
"G1801510","1870","Indiana","180","Steuben","1510","Steuben","22","1510",12854,86144,63274,9628,5940275,139772
"G1801530","1870","Indiana","180","Sullivan","1530","Sullivan","22","1530",18453,120724,102896,1253,5633817,141709
"G1801550","1870","Indiana","180","Switzerland","1550","Switzerland","22","1550",12134,86667,39197,1268,5196800,174653
"G1801570","1870","Indiana","180","Tippecanoe","1570","Tippecanoe","22","1570",33515,190567,61290,9132,12533574,282408
"G1801590","1870","Indiana","180","Tipton","1590","Tipton","22","1590",11953,46667,52819,1465,3064500,63115
"G1801610","1870","Indiana","180","Union","1610","Union","22","1610",6341,58733,31097,491,6095475,233157
"G1801630","1870","Indiana","180","Vanderburgh","1630","Vanderburgh","22","1630",33145,66913,41424,118,4241775,134724
"G1801650","1870","Indiana","180","Vermillion","1650","Vermillion","22","1650",10840,87558,62065,613,4148925,98358
"G1801670","1870","Indiana","180","Vigo","1670","Vigo","22","1670",33549,127664,80459,7608,8766584,218509
"G1801690","1870","Indiana","180","Wabash","1690","Wabash","22","1690",21305,121578,97013,886,8727366,322591
"G1801710","1870","Indiana","180","Warren","1710","Warren","22","1710",10204,131455,35369,8857,5806901,112491
"G1801730","1870","Indiana","180","Warrick","1730","Warrick","22","1730",17653,103241,89743,4164,4402735,204206
"G1801750","1870","Indiana","180","Washington","1750","Washington","22","1750",18495,166578,133527,140,6209183,193051
"G1801770","1870","Indiana","180","Wayne","1770","Wayne","22","1770",34048,158574,82326,2170,14594696,273905
"G1801790","1870","Indiana","180","Wells","1790","Wells","22","1790",13585,86794,99783,320,6113709,176819
"G1801810","1870","Indiana","180","White","1810","White","22","1810",10554,109741,33641,28844,4666108,128708
"G1801830","1870","Indiana","180","Whitley","1830","Whitley","22","1830",14399,83948,92470,2165,6473308,187275
"G1900010","1870","Iowa","190","Adair","0010","Adair","31","10",3982,35329,8529,45954,1527586,91677
"G1900030","1870","Iowa","190","Adams","0030","Adams","31","30",4614,27270,10392,29429,1385963,67977
"G1900050","1870","Iowa","190","Allamakee","0050","Allamakee","31","50",17868,112149,61107,84214,4301936,292612
"G1900070","1870","Iowa","190","Appanoose","0070","Appanoose","31","70",16456,135402,63340,89328,5631209,251258
"G1900090","1870","Iowa","190","Audubon","0090","Audubon","31","90",1212,9872,4132,9396,473407,26432
"G1900110","1870","Iowa","190","Benton","0110","Benton","31","110",22454,254856,23558,47290,8716034,571842
"G1900130","1870","Iowa","190","Black Hawk","0130","Black Hawk","31","130",21706,223426,19875,29158,8100998,546065
"G1900150","1870","Iowa","190","Boone","0150","Boone","31","150",14584,113243,22067,25949,3438031,207166
"G1900170","1870","Iowa","190","Bremer","0170","Bremer","31","170",12528,139519,24899,26801,4486291,286772
"G1900190","1870","Iowa","190","Buchanan","0190","Buchanan","31","190",17034,177781,33553,33288,6021232,396855
"G1900210","1870","Iowa","190","Buena Vista","0210","Buena Vista","31","210",1585,5546,799,20827,272924,22638
"G1900230","1870","Iowa","190","Butler","0230","Butler","31","230",9951,90788,12228,50232,3294701,227890
"G1900250","1870","Iowa","190","Calhoun","0250","Calhoun","31","250",1602,6475,765,11897,215000,15980
"G1900270","1870","Iowa","190","Carroll","0270","Carroll","31","270",2451,13894,2680,33946,456044,17361
"G1900290","1870","Iowa","190","Cass","0290","Cass","31","290",5464,16141,4442,17094,820231,46866
"G1900310","1870","Iowa","190","Cedar","0310","Cedar","31","310",19731,254219,23706,12885,10473122,462535
"G1900330","1870","Iowa","190","Cerro Gordo","0330","Cerro Gordo","31","330",4722,26724,5872,34413,1269175,76760
"G1900350","1870","Iowa","190","Cherokee","0350","Cherokee","31","350",1967,9739,1377,25575,401025,36450
"G1900370","1870","Iowa","190","Chickasaw","0370","Chickasaw","31","370",10180,66925,22125,77780,3542015,245274
"G1900390","1870","Iowa","190","Clarke","0390","Clarke","31","390",8735,63162,24251,43897,2214809,143436
"G1900410","1870","Iowa","190","Clay","0410","Clay","31","410",1523,4993,1368,21612,173215,18002
"G1900430","1870","Iowa","190","Clayton","0430","Clayton","31","430",27771,196775,117213,52463,9267968,492989
"G1900450","1870","Iowa","190","Clinton","0450","Clinton","31","450",35357,323182,30710,42514,12964846,658944
"G1900470","1870","Iowa","190","Crawford","0470","Crawford","31","470",2530,20011,5010,21932,986740,49336
"G1900490","1870","Iowa","190","Dallas","0490","Dallas","31","490",12019,78858,23855,44405,3579844,175038
"G1900510","1870","Iowa","190","Davis","0510","Davis","31","510",15565,145665,99625,23875,5690432,271993
"G1900530","1870","Iowa","190","Decatur","0530","Decatur","31","530",12018,65659,45620,43718,2609576,136357
"G1900550","1870","Iowa","190","Delaware","0550","Delaware","31","550",17432,222307,44163,20939,8200888,399686
"G1900570","1870","Iowa","190","Des Moines","0570","Des Moines","31","570",27256,147210,65991,9608,8709608,272510
"G1900590","1870","Iowa","190","Dickinson","0590","Dickinson","31","590",1389,5473,1845,23533,225950,25503
"G1900610","1870","Iowa","190","Dubuque","0610","Dubuque","31","610",38969,181049,81185,55532,9141828,455110
"G1900630","1870","Iowa","190","Emmet","0630","Emmet","31","630",1392,6526,1976,27370,395975,21713
"G1900650","1870","Iowa","190","Fayette","0650","Fayette","31","650",16973,124647,47875,49176,4599802,263912
"G1900670","1870","Iowa","190","Floyd","0670","Floyd","31","670",10768,79706,20238,66065,3807985,243370
"G1900690","1870","Iowa","190","Franklin","0690","Franklin","31","690",4738,51207,7621,42756,1906673,115052
"G1900710","1870","Iowa","190","Fremont","0710","Fremont","31","710",11174,98343,23368,43283,4769850,241680
"G1900730","1870","Iowa","190","Greene","0730","Greene","31","730",4627,33759,10708,27694,1285286,108952
"G1900750","1870","Iowa","190","Grundy","0750","Grundy","31","750",6399,108483,2718,64497,3459275,279240
"G1900770","1870","Iowa","190","Guthrie","0770","Guthrie","31","770",7061,46778,15128,43752,1872900,75005
"G1900790","1870","Iowa","190","Hamilton","0790","Hamilton","31","790",6055,36946,10376,36529,1640590,79435
"G1900810","1870","Iowa","190","Hancock","0810","Hancock","31","810",999,6024,2173,10856,286190,22855
"G1900830","1870","Iowa","190","Hardin","0830","Hardin","31","830",13684,97890,20530,59474,4757912,210624
"G1900850","1870","Iowa","190","Harrison","0850","Harrison","31","850",8931,54150,29930,72255,3011350,182613
"G1900870","1870","Iowa","190","Henry","0870","Henry","31","870",21463,176285,57191,16888,8243369,332309
"G1900890","1870","Iowa","190","Howard","0890","Howard","31","890",6282,44235,13142,45196,2109075,180444
"G1900910","1870","Iowa","190","Humboldt","0910","Humboldt","31","910",2596,14453,2476,34277,780093,47497
"G1900930","1870","Iowa","190","Ida","0930","Ida","31","930",226,2011,591,6134,75460,7290
"G1900950","1870","Iowa","190","Iowa","0950","Iowa","31","950",16644,139753,29081,64096,5422071,342393
"G1900970","1870","Iowa","190","Jackson","0970","Jackson","31","970",22619,176683,80285,65568,8021360,449773
"G1900990","1870","Iowa","190","Jasper","0990","Jasper","31","990",22116,198411,33146,77131,8870354,457808
"G1901010","1870","Iowa","190","Jefferson","1010","Jefferson","31","1010",17839,163276,69429,12936,7611811,352349
"G1901030","1870","Iowa","190","Johnson","1030","Johnson","31","1030",24898,228919,47925,41437,8496044,499824
"G1901050","1870","Iowa","190","Jones","1050","Jones","31","1050",19731,213399,48007,27030,7786975,330421
"G1901070","1870","Iowa","190","Keokuk","1070","Keokuk","31","1070",19434,176975,42688,92675,8170684,512520
"G1901090","1870","Iowa","190","Kossuth","1090","Kossuth","31","1090",3351,12488,2319,30699,630580,48255
"G1901110","1870","Iowa","190","Lee","1110","Lee","31","1110",37210,175662,60596,23820,7750525,294883
"G1901130","1870","Iowa","190","Linn","1130","Linn","31","1130",31080,227019,64078,32859,10364526,598137
"G1901150","1870","Iowa","190","Louisa","1150","Louisa","31","1150",12877,144172,48111,26766,6721425,253400
"G1901170","1870","Iowa","190","Lucas","1170","Lucas","31","1170",10388,107996,27206,49504,3550464,182718
"G1901190","1870","Iowa","190","Lyon","1190","Lyon","31","1190",221,604,230,7494,31080,4465
"G1901210","1870","Iowa","190","Madison","1210","Madison","31","1210",13884,126243,23687,50272,3516431,257164
"G1901230","1870","Iowa","190","Mahaska","1230","Mahaska","31","1230",22508,201651,44124,33194,8103998,386290
"G1901250","1870","Iowa","190","Marion","1250","Marion","31","1250",24436,173129,57586,46846,8376390,371062
"G1901270","1870","Iowa","190","Marshall","1270","Marshall","31","1270",17576,200816,16771,20967,6863379,378472
"G1901290","1870","Iowa","190","Mills","1290","Mills","31","1290",8718,81889,29584,39656,3564201,156780
"G1901310","1870","Iowa","190","Mitchell","1310","Mitchell","31","1310",9582,55724,10084,55487,2165450,102083
"G1901330","1870","Iowa","190","Monona","1330","Monona","31","1330",3654,28822,8972,67337,799210,76045
"G1901350","1870","Iowa","190","Monroe","1350","Monroe","31","1350",12724,100453,49213,50850,4682189,123831
"G1901370","1870","Iowa","190","Montgomery","1370","Montgomery","31","1370",5934,30284,11656,28507,1373765,58208
"G1901390","1870","Iowa","190","Muscatine","1390","Muscatine","31","1390",21688,204261,31285,19577,9490716,300877
"G1901410","1870","Iowa","190","O Brien","1410","O Brien","31","1410",715,3146,0,13174,82070,1100
"G1901430","1870","Iowa","190","Osceola","1430","Osceola","31","1430",,,,,,
"G1901450","1870","Iowa","190","Page","1450","Page","31","1450",9975,80941,25188,44656,3562383,189984
"G1901470","1870","Iowa","190","Palo Alto","1470","Palo Alto","31","1470",1336,4852,1646,18675,195053,18742
"G1901490","1870","Iowa","190","Plymouth","1490","Plymouth","31","1490",2199,11274,365,22779,277749,22567
"G1901510","1870","Iowa","190","Pocahontas","1510","Pocahontas","31","1510",1446,7078,951,30517,330930,29405
"G1901530","1870","Iowa","190","Polk","1530","Polk","31","1530",27857,151014,34218,41506,6667664,310167
"G1901550","1870","Iowa","190","Pottawattamie","1550","Pottawattamie","31","1550",16893,46043,20681,36928,2471865,136278
"G1901570","1870","Iowa","190","Poweshiek","1570","Poweshiek","31","1570",15581,151419,18379,64107,6107700,341954
"G1901590","1870","Iowa","190","Ringgold","1590","Ringgold","31","1590",5691,41919,21387,43953,1664735,112311
"G1901610","1870","Iowa","190","Sac","1610","Sac","31","1610",1411,9070,2916,26406,429933,32846
"G1901630","1870","Iowa","190","Scott","1630","Scott","31","1630",38599,235741,14835,8630,11744696,497591
"G1901650","1870","Iowa","190","Shelby","1650","Shelby","31","1650",2540,16368,6184,17242,797800,58738
"G1901670","1870","Iowa","190","Sioux","1670","Sioux","31","1670",576,1237,0,4173,20630,620
"G1901690","1870","Iowa","190","Story","1690","Story","31","1690",11651,42474,9468,24556,1908980,99809
"G1901710","1870","Iowa","190","Tama","1710","Tama","31","1710",16131,167563,20283,79236,6540221,432728
"G1901730","1870","Iowa","190","Taylor","1730","Taylor","31","1730",6989,46895,22873,39951,2212586,91340
"G1901750","1870","Iowa","190","Union","1750","Union","31","1750",5986,28675,11330,26692,1233983,73495
"G1901770","1870","Iowa","190","Van Buren","1770","Van Buren","31","1770",17672,128615,85189,10093,5538664,241384
"G1901790","1870","Iowa","190","Wapello","1790","Wapello","31","1790",22346,132373,51734,26238,5861913,243546
"G1901810","1870","Iowa","190","Warren","1810","Warren","31","1810",17980,142942,47719,55135,7461356,306118
"G1901830","1870","Iowa","190","Washington","1830","Washington","31","1830",18952,197396,41762,20649,8135408,332745
"G1901850","1870","Iowa","190","Wayne","1850","Wayne","31","1850",11287,95785,27509,37852,3154245,184257
"G1901870","1870","Iowa","190","Webster","1870","Webster","31","1870",10484,37175,8967,53591,1852565,139103
"G1901890","1870","Iowa","190","Winnebago","1890","Winnebago","31","1890",1562,3955,2190,10804,203030,14196
"G1901910","1870","Iowa","190","Winneshiek","1910","Winneshiek","31","1910",23570,243975,44360,59193,8119041,498109
"G1901930","1870","Iowa","190","Woodbury","1930","Woodbury","31","1930",6172,12475,6005,22410,707900,55811
"G1901950","1870","Iowa","190","Worth","1950","Worth","31","1950",2892,14030,6475,33442,738641,64580
"G1901970","1870","Iowa","190","Wright","1970","Wright","31","1970",2392,18323,3793,27551,682665,40995
"G2000010","1870","Kansas","200","Allen","0010","Allen","32","10",7022,30474,8070,31773,1412870,65150
"G2000030","1870","Kansas","200","Anderson","0030","Anderson","32","30",5220,29598,14066,70114,1343358,84427
"G2000050","1870","Kansas","200","Atchison","0050","Atchison","32","50",15507,82593,24132,57744,3525775,210242
"G2000090","1870","Kansas","200","Barton","0090","Barton","32","90",2,,,,,
"G2000110","1870","Kansas","200","Bourbon","0110","Bourbon","32","110",15076,98069,23570,130429,4783865,190817
"G2000130","1870","Kansas","200","Brown","0130","Brown","32","130",6823,50174,10121,56309,2245711,111550
"G2000150","1870","Kansas","200","Butler","0150","Butler","32","150",3035,10839,10735,47536,544230,39683
"G2000170","1870","Kansas","200","Chase","0170","Chase","32","170",1975,9810,6704,38454,940697,39167
"G2000210","1870","Kansas","200","Cherokee","0210","Cherokee","32","210",11038,61428,22742,144219,2063517,131428
"G2000270","1870","Kansas","200","Clay","0270","Clay","32","270",2942,10885,2936,62986,624990,48650
"G2000290","1870","Kansas","200","Cloud","0290","Cloud","32","290",2323,90371,6260,18,572910,40360
"G2000310","1870","Kansas","200","Coffey","0310","Coffey","32","310",6201,34798,12806,62973,1953215,92921
"G2000350","1870","Kansas","200","Cowley","0350","Cowley","32","350",1175,2381,12853,51371,295917,16476
"G2000370","1870","Kansas","200","Crawford","0370","Crawford","32","370",8160,60181,13616,180423,2676500,132533
"G2000375","1870","Kansas","200","Davis","0375","Davis","32","610",5526,45006,5265,722,760530,15945
"G2000410","1870","Kansas","200","Dickinson","0410","Dickinson","32","410",3043,12396,3545,43644,636112,31440
"G2000430","1870","Kansas","200","Doniphan","0430","Doniphan","32","430",13969,88028,20935,45166,3962347,176355
"G2000450","1870","Kansas","200","Douglas","0450","Douglas","32","450",20592,94852,27936,91111,6689989,150593
"G2000510","1870","Kansas","200","Ellis","0510","Ellis","32","510",1336,,,,,
"G2000530","1870","Kansas","200","Ellsworth","0530","Ellsworth","32","530",1185,2476,1502,15378,113470,10085
"G2000570","1870","Kansas","200","Ford","0570","Ford","32","570",427,,,,,
"G2000590","1870","Kansas","200","Franklin","0590","Franklin","32","590",10385,78324,14064,69078,3438800,177805
"G2000730","1870","Kansas","200","Greenwood","0730","Greenwood","32","730",3484,20161,13272,44165,997453,36972
"G2000833","1870","Kansas","200","Howard","0833","Howard","32","835",2794,2251,2253,4966,91880,6930
"G2000850","1870","Kansas","200","Jackson","0850","Jackson","32","850",6053,41833,18103,58882,2386640,85319
"G2000870","1870","Kansas","200","Jefferson","0870","Jefferson","32","870",12526,97583,29586,72448,4363943,179907
"G2000890","1870","Kansas","200","Jewell","0890","Jewell","32","890",207,964,866,18005,47750,3008
"G2000910","1870","Kansas","200","Johnson","0910","Johnson","32","910",13684,119528,20425,46671,4300355,181620
"G2000990","1870","Kansas","200","Labette","0990","Labette","32","990",9973,40782,12058,154811,1851390,93550
"G2001030","1870","Kansas","200","Leavenworth","1030","Leavenworth","32","1030",32444,100191,43821,33463,5207554,152678
"G2001050","1870","Kansas","200","Lincoln","1050","Lincoln","32","1050",516,1226,1082,10614,69150,4931
"G2001070","1870","Kansas","200","Linn","1070","Linn","32","1070",12174,93198,37926,82707,3576846,158751
"G2001110","1870","Kansas","200","Lyon","1110","Lyon","32","1110",8014,38253,13381,57309,2551968,101780
"G2001130","1870","Kansas","200","McPherson","1130","Mcpherson","32","1130",738,3608,1586,40708,270770,12121
"G2001150","1870","Kansas","200","Marion","1150","Marion","32","1150",768,3601,1118,9575,185760,13479
"G2001170","1870","Kansas","200","Marshall","1170","Marshall","32","1170",6901,33868,9244,107991,1545385,79748
"G2001210","1870","Kansas","200","Miami","1210","Miami","32","1210",11725,88928,29463,77993,4069590,145942
"G2001230","1870","Kansas","200","Mitchell","1230","Mitchell","32","1230",485,30192,1708,160,98250,9302
"G2001250","1870","Kansas","200","Montgomery","1250","Montgomery","32","1250",7564,21653,16603,130649,821800,40114
"G2001270","1870","Kansas","200","Morris","1270","Morris","32","1270",2225,10506,5199,19773,549946,30105
"G2001310","1870","Kansas","200","Nemaha","1310","Nemaha","32","1310",7339,41723,19430,99990,1996630,115322
"G2001330","1870","Kansas","200","Neosho","1330","Neosho","32","1330",10206,38915,12449,79665,1472533,77194
"G2001350","1870","Kansas","200","Ness","1350","Ness","32","1350",2,,,,,
"G2001390","1870","Kansas","200","Osage","1390","Osage","32","1390",7648,29178,11628,122950,1943030,107174
"G2001410","1870","Kansas","200","Osborne","1410","Osborne","32","1410",33,3780,220,0,7200,880
"G2001430","1870","Kansas","200","Ottawa","1430","Ottawa","32","1430",2127,11441,6030,66484,559240,34889
"G2001450","1870","Kansas","200","Pawnee","1450","Pawnee","32","1450",179,,,,,
"G2001490","1870","Kansas","200","Pottawatomie","1490","Pottawatomie","32","1490",7848,31732,14141,60709,1891220,108063
"G2001570","1870","Kansas","200","Republic","1570","Republic","32","1570",1281,5613,3404,60803,373700,18956
"G2001590","1870","Kansas","200","Rice","1590","Rice","32","1590",5,13,25,762,2600,55
"G2001610","1870","Kansas","200","Riley","1610","Riley","32","1610",5105,28366,9566,62347,1808615,93171
"G2001670","1870","Kansas","200","Russell","1670","Russell","32","1670",156,,,,,
"G2001690","1870","Kansas","200","Saline","1690","Saline","32","1690",4246,19756,3440,90029,1185962,68770
"G2001730","1870","Kansas","200","Sedgwick","1730","Sedgwick","32","1730",1095,3459,3388,31661,266790,21725
"G2001770","1870","Kansas","200","Shawnee","1770","Shawnee","32","1770",13121,43259,11918,42903,3485760,110217
"G2001830","1870","Kansas","200","Smith","1830","Smith","32","1830",66,407,652,5821,25300,875
"G2001910","1870","Kansas","200","Sumner","1910","Sumner","32","1910",22,,,,,
"G2001950","1870","Kansas","200","Trego","1950","Trego","32","1950",166,,,,,
"G2001970","1870","Kansas","200","Wabaunsee","1970","Wabaunsee","32","1970",3362,16875,9122,59424,973080,64681
"G2001990","1870","Kansas","200","Wallace","1990","Wallace","32","1990",538,,,,,
"G2002010","1870","Kansas","200","Washington","2010","Washington","32","2010",4081,9819,5184,34987,453290,26154
"G2002050","1870","Kansas","200","Wilson","2050","Wilson","32","2050",6694,14893,8362,38119,703240,50533
"G2002070","1870","Kansas","200","Woodson","2070","Woodson","32","2070",3827,10024,4984,17707,398810,20830
"G2002090","1870","Kansas","200","Wyandotte","2090","Wyandotte","32","2090",10015,20741,11924,5758,1208807,31939
"G2100010","1870","Kentucky","210","Adair","0010","Adair","51","10",11065,79249,95747,0,1224168,23618
"G2100030","1870","Kentucky","210","Allen","0030","Allen","51","30",10296,77733,104739,245,878504,84247
"G2100050","1870","Kentucky","210","Anderson","0050","Anderson","51","50",5449,59469,37646,1616,1597857,60832
"G2100070","1870","Kentucky","210","Ballard","0070","Ballard","51","70",12576,72420,132828,375,1537482,137647
"G2100090","1870","Kentucky","210","Barren","0090","Barren","51","90",17780,135618,136355,5566,3045915,157556
"G2100110","1870","Kentucky","210","Bath","0110","Bath","51","110",10145,116847,33103,1544,5199829,75965
"G2100150","1870","Kentucky","210","Boone","0150","Boone","51","150",10696,105927,41005,1316,8601330,243080
"G2100170","1870","Kentucky","210","Bourbon","0170","Bourbon","51","170",14863,155304,17569,19980,15945374,150170
"G2100190","1870","Kentucky","210","Boyd","0190","Boyd","51","190",8573,19129,30901,4528,732584,21049
"G2100210","1870","Kentucky","210","Boyle","0210","Boyle","51","210",9515,62760,6084,669,3671986,66758
"G2100230","1870","Kentucky","210","Bracken","0230","Bracken","51","230",11409,75575,33299,80,3158884,114527
"G2100250","1870","Kentucky","210","Breathitt","0250","Breathitt","51","250",5672,21735,259119,0,437469,8342
"G2100270","1870","Kentucky","210","Breckinridge","0270","Breckinridge","51","270",13440,107833,170091,3514,2155576,125987
"G2100290","1870","Kentucky","210","Bullitt","0290","Bullitt","51","290",7781,58757,79818,2967,2056652,92271
"G2100310","1870","Kentucky","210","Butler","0310","Butler","51","310",9404,55947,122429,8993,1011750,57971
"G2100330","1870","Kentucky","210","Caldwell","0330","Caldwell","51","330",10826,87497,90708,3385,1448191,95445
"G2100350","1870","Kentucky","210","Calloway","0350","Calloway","51","350",9410,60883,1112,113186,1194590,58630
"G2100370","1870","Kentucky","210","Campbell","0370","Campbell","51","370",27406,46227,24723,378,2991854,101520
