GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AKE001,AK3001,AK3002,AK3003,AK3004
"G0100010","1870","Alabama","010","Autauga","0010","Autauga","41","10",0,4329,7292,0,2
"G0100015","1870","Alabama","010","Baker","0015","Baker","41","210",0,5057,1137,0,0
"G0100030","1870","Alabama","010","Baldwin","0030","Baldwin","41","30",0,3159,2845,0,0
"G0100050","1870","Alabama","010","Barbour","0050","Barbour","41","50",3185,12143,17165,0,1
"G0100070","1870","Alabama","010","Bibb","0070","Bibb","41","70",0,5061,2408,0,0
"G0100090","1870","Alabama","010","Blount","0090","Blount","41","90",0,9263,682,0,0
"G0100110","1870","Alabama","010","Bullock","0110","Bullock","41","110",0,7223,17251,0,0
"G0100130","1870","Alabama","010","Butler","0130","Butler","41","130",2856,8590,6391,0,0
"G0100150","1870","Alabama","010","Calhoun","0150","Calhoun","41","150",0,10088,3892,0,0
"G0100170","1870","Alabama","010","Chambers","0170","Chambers","41","170",0,8974,8588,0,0
"G0100190","1870","Alabama","010","Cherokee","0190","Cherokee","41","190",0,9652,1480,0,0
"G0100230","1870","Alabama","010","Choctaw","0230","Choctaw","41","230",0,5802,6872,0,2
"G0100250","1870","Alabama","010","Clarke","0250","Clarke","41","250",0,7098,7565,0,0
"G0100270","1870","Alabama","010","Clay","0270","Clay","41","270",0,8823,737,0,0
"G0100290","1870","Alabama","010","Cleburne","0290","Cleburne","41","290",0,7441,576,0,0
"G0100310","1870","Alabama","010","Coffee","0310","Coffee","41","310",0,5151,1020,0,0
"G0100330","1870","Alabama","010","Colbert","0330","Colbert","41","330",0,7898,4639,0,0
"G0100350","1870","Alabama","010","Conecuh","0350","Conecuh","41","350",0,4667,4901,0,6
"G0100370","1870","Alabama","010","Coosa","0370","Coosa","41","370",0,8544,3394,0,7
"G0100390","1870","Alabama","010","Covington","0390","Covington","41","390",0,4269,599,0,0
"G0100410","1870","Alabama","010","Crenshaw","0410","Crenshaw","41","410",0,8950,2206,0,0
"G0100450","1870","Alabama","010","Dale","0450","Dale","41","450",0,9528,1797,0,0
"G0100470","1870","Alabama","010","Dallas","0470","Dallas","41","470",6484,8552,32152,0,1
"G0100490","1870","Alabama","010","DeKalb","0490","Dekalb","41","490",0,6656,470,0,0
"G0100510","1870","Alabama","010","Elmore","0510","Elmore","41","510",0,7747,6730,0,0
"G0100530","1870","Alabama","010","Escambia","0530","Escambia","41","530",0,3047,951,0,43
"G0100550","1870","Alabama","010","Etowah","0550","Etowah","41","550",0,8401,1708,0,0
