GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AUM001,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AUY001,AUY002
"G1701010","1890","Illinois","170","Lawrence","1010","Lawrence","21","1010",14693,382,319,290,0,0,0,0,0,0,0,0,0,4193880,184100
"G1701030","1890","Illinois","170","Lee","1030","Lee","21","1030",26187,63,64,48,3,0,0,0,0,0,0,0,0,19518530,505830
"G1701050","1890","Illinois","170","Livingston","1050","Livingston","21","1050",38455,353,300,111,2,0,0,0,0,0,2,0,0,30798020,864710
"G1701070","1890","Illinois","170","Logan","1070","Logan","21","1070",25489,281,356,116,1,0,0,0,0,0,2,0,0,19661940,475780
"G1701090","1890","Illinois","170","McDonough","1090","Mcdonough","21","1090",27467,186,144,42,1,0,0,0,0,0,0,1,0,14167780,393755
"G1701110","1890","Illinois","170","McHenry","1110","Mchenry","21","1110",26114,45,51,64,0,0,0,0,0,0,0,0,0,18559380,575100
"G1701130","1890","Illinois","170","McLean","1130","Mclean","21","1130",63036,934,687,427,15,4,0,0,0,0,2,0,0,41347072,905425
"G1701150","1890","Illinois","170","Macon","1150","Macon","21","1150",38083,605,352,235,9,3,0,0,0,0,1,2,0,18741640,470800
"G1701170","1890","Illinois","170","Macoupin","1170","Macoupin","21","1170",40380,499,434,320,0,0,0,0,0,0,0,0,0,18120880,489955
"G1701190","1890","Illinois","170","Madison","1190","Madison","21","1190",51535,2442,2701,2214,2,1,0,0,0,0,3,2,0,19322430,576080
"G1701210","1890","Illinois","170","Marion","1210","Marion","21","1210",24341,390,302,215,5,0,0,0,0,0,0,0,0,5437200,161970
"G1701230","1890","Illinois","170","Marshall","1230","Marshall","21","1230",13653,17,37,13,2,0,0,0,0,0,0,0,0,11054720,256280
"G1701250","1890","Illinois","170","Mason","1250","Mason","21","1250",16067,29,24,3,0,0,0,0,0,0,1,0,0,9416860,302110
"G1701270","1890","Illinois","170","Massac","1270","Massac","21","1270",11313,1547,1703,956,4,0,0,0,0,0,0,0,0,1663440,102310
"G1701290","1890","Illinois","170","Menard","1290","Menard","21","1290",13120,86,54,8,1,0,0,0,0,0,0,0,0,9826160,212650
"G1701310","1890","Illinois","170","Mercer","1310","Mercer","21","1310",18545,29,37,28,0,0,0,0,0,0,0,0,0,11791878,283410
"G1701330","1890","Illinois","170","Monroe","1330","Monroe","21","1330",12948,53,56,69,0,0,0,0,0,0,0,0,0,5313100,201230
"G1701350","1890","Illinois","170","Montgomery","1350","Montgomery","21","1350",30003,279,167,152,0,0,0,0,0,0,0,0,0,13064160,362935
"G1701370","1890","Illinois","170","Morgan","1370","Morgan","21","1370",32636,996,935,593,2,0,1,1,0,0,7,1,0,18792980,365070
"G1701390","1890","Illinois","170","Moultrie","1390","Moultrie","21","1390",14481,4,20,1,0,0,0,0,0,0,0,0,0,8226490,198180
"G1701410","1890","Illinois","170","Ogle","1410","Ogle","21","1410",28710,82,107,85,2,0,0,0,0,0,1,1,0,22700340,559050
"G1701430","1890","Illinois","170","Peoria","1430","Peoria","21","1430",70378,966,512,155,21,12,0,1,0,0,2,0,0,19854730,538890
"G1701450","1890","Illinois","170","Perry","1450","Perry","21","1450",17529,690,767,391,0,0,0,0,0,0,0,10,0,3619260,156970
"G1701470","1890","Illinois","170","Piatt","1470","Piatt","21","1470",17062,49,33,6,0,0,0,0,0,0,0,0,0,12908310,313350
"G1701490","1890","Illinois","170","Pike","1490","Pike","21","1490",31000,302,301,106,0,0,0,0,0,0,0,0,1,14135020,430415
"G1701510","1890","Illinois","170","Pope","1510","Pope","21","1510",14016,724,570,471,0,5,0,0,0,0,11,29,11,1658200,97830
"G1701530","1890","Illinois","170","Pulaski","1530","Pulaski","21","1530",11355,4303,3270,2394,0,0,0,0,0,0,0,0,0,1671560,96810
"G1701550","1890","Illinois","170","Putnam","1550","Putnam","21","1550",4730,27,44,65,0,0,0,0,0,0,0,0,0,4040050,93619
"G1701570","1890","Illinois","170","Randolph","1570","Randolph","21","1570",25049,1124,1298,1137,0,0,0,0,0,0,3,0,0,7984290,342570
"G1701590","1890","Illinois","170","Richland","1590","Richland","21","1590",15019,8,36,30,1,0,0,0,0,0,0,0,0,3985440,188660
"G1701610","1890","Illinois","170","Rock Island","1610","Rock Island","21","1610",41917,379,534,137,3,2,0,2,0,0,1,2,0,10029626,257080
"G1701630","1890","Illinois","170","St Clair","1630","St Clair","21","1630",66571,2430,2577,1297,4,0,0,0,0,0,8,0,0,18163180,549900
"G1701650","1890","Illinois","170","Saline","1650","Saline","21","1650",19342,792,583,231,1,0,0,0,0,0,0,0,0,2639910,130855
"G1701670","1890","Illinois","170","Sangamon","1670","Sangamon","21","1670",61195,2339,1822,1166,5,1,0,0,0,0,3,0,0,27616510,479475
"G1701690","1890","Illinois","170","Schuyler","1690","Schuyler","21","1690",16013,10,89,25,0,0,0,0,0,0,0,0,0,7857850,233660
"G1701710","1890","Illinois","170","Scott","1710","Scott","21","1710",10304,25,31,15,0,0,0,0,0,0,0,0,0,5703850,112120
"G1701730","1890","Illinois","170","Shelby","1730","Shelby","21","1730",31191,100,77,60,0,0,0,0,0,0,0,0,0,13815210,427560
"G1701750","1890","Illinois","170","Stark","1750","Stark","21","1750",9982,14,4,21,0,0,0,0,0,0,0,0,0,8705730,184390
"G1701770","1890","Illinois","170","Stephenson","1770","Stephenson","21","1770",31338,12,23,12,1,0,0,0,0,0,0,0,0,17743690,512500
"G1701790","1890","Illinois","170","Tazewell","1790","Tazewell","21","1790",29556,60,87,64,7,1,0,0,0,0,0,7,0,20281190,461280
"G1701810","1890","Illinois","170","Union","1810","Union","21","1810",21549,260,272,148,0,0,0,0,0,0,6,0,0,4250020,214780
"G1701830","1890","Illinois","170","Vermilion","1830","Vermilion","21","1830",49905,456,202,49,2,2,0,0,0,0,0,0,1,22790920,544700
"G1701850","1890","Illinois","170","Wabash","1850","Wabash","21","1850",11866,91,57,63,0,0,0,0,0,0,0,0,0,3609580,144010
"G1701870","1890","Illinois","170","Warren","1870","Warren","21","1870",21281,403,290,223,0,1,0,0,0,0,0,0,0,16402690,335000
"G1701890","1890","Illinois","170","Washington","1890","Washington","21","1890",19262,135,212,133,0,0,0,0,0,0,0,0,3,6729760,247910
"G1701910","1890","Illinois","170","Wayne","1910","Wayne","21","1910",23806,6,16,29,0,0,0,0,0,0,0,0,0,5258970,208775
"G1701930","1890","Illinois","170","White","1930","White","21","1930",25005,593,534,173,0,0,0,0,0,0,0,0,0,6090590,221480
"G1701950","1890","Illinois","170","Whiteside","1950","Whiteside","21","1950",30854,40,78,59,3,0,0,0,0,0,0,0,0,17223960,504690
"G1701970","1890","Illinois","170","Will","1970","Will","21","1970",62007,503,703,242,5,0,0,0,0,0,0,0,0,26583120,814205
"G1701990","1890","Illinois","170","Williamson","1990","Williamson","21","1990",22226,197,253,106,0,0,0,0,0,0,0,0,0,3844130,179105
"G1702010","1890","Illinois","170","Winnebago","2010","Winnebago","21","2010",39938,170,140,121,3,0,0,0,0,0,0,14,0,16834370,429740
"G1702030","1890","Illinois","170","Woodford","2030","Woodford","21","2030",21429,120,85,10,0,0,0,0,0,0,0,0,0,18007780,458790
"G1800010","1890","Indiana","180","Adams","0010","Adams","22","10",20181,0,2,0,0,0,0,0,0,0,1,0,0,8658250,284380
"G1800030","1890","Indiana","180","Allen","0030","Allen","22","30",66689,248,169,42,11,3,0,1,0,0,26,34,24,18039690,582640
"G1800050","1890","Indiana","180","Bartholomew","0050","Bartholomew","22","50",23867,314,138,11,0,0,0,0,0,0,0,0,0,10379536,232080
"G1800070","1890","Indiana","180","Benton","0070","Benton","22","70",11903,46,6,0,0,0,0,0,0,0,0,0,0,8663930,247470
"G1800090","1890","Indiana","180","Blackford","0090","Blackford","22","90",10461,3,17,14,0,0,0,0,0,0,0,0,0,3747710,84700
"G1800110","1890","Indiana","180","Boone","0110","Boone","22","110",26572,168,238,240,0,0,0,0,0,0,1,0,0,11642480,303990
"G1800130","1890","Indiana","180","Brown","0130","Brown","22","130",10308,7,0,1,0,0,0,0,0,0,0,0,0,1868175,88400
"G1800150","1890","Indiana","180","Carroll","0150","Carroll","22","150",20021,17,42,24,0,0,0,0,0,0,1,0,0,9712980,279570
"G1800170","1890","Indiana","180","Cass","0170","Cass","22","170",31152,148,197,111,2,1,0,0,0,0,4,1,0,11071660,361490
"G1800190","1890","Indiana","180","Clark","0190","Clark","22","190",30259,2859,2536,1970,3,0,0,0,0,0,1,1,0,5433610,164840
"G1800210","1890","Indiana","180","Clay","0210","Clay","22","210",30536,412,298,26,0,0,0,0,0,0,1,0,4,6893660,195220
"G1800230","1890","Indiana","180","Clinton","0230","Clinton","22","230",27370,105,65,7,0,0,0,0,0,0,0,4,0,12147750,310620
"G1800250","1890","Indiana","180","Crawford","0250","Crawford","22","250",13941,14,2,3,0,0,0,0,0,0,0,0,0,1624070,81670
"G1800270","1890","Indiana","180","Daviess","0270","Daviess","22","270",26227,271,307,129,2,0,0,0,0,0,0,1,0,7024250,251320
"G1800290","1890","Indiana","180","Dearborn","0290","Dearborn","22","290",23364,87,57,58,3,0,0,0,0,0,1,0,0,6008460,193300
"G1800310","1890","Indiana","180","Decatur","0310","Decatur","22","310",19277,164,235,87,0,0,0,0,0,0,1,0,0,9134230,214930
"G1800330","1890","Indiana","180","DeKalb","0330","De Kalb","22","330",24307,20,5,4,0,0,0,0,0,0,0,0,0,10248940,320400
"G1800350","1890","Indiana","180","Delaware","0350","Delaware","22","350",30131,451,213,53,2,0,0,0,0,0,6,7,1,12585390,327390
"G1800370","1890","Indiana","180","Dubois","0370","Dubois","22","370",20253,93,58,35,0,0,0,0,0,0,0,0,0,4307620,211090
"G1800390","1890","Indiana","180","Elkhart","0390","Elkhart","22","390",39201,57,28,35,2,0,0,0,0,0,1,0,0,16398560,440400
"G1800410","1890","Indiana","180","Fayette","0410","Fayette","22","410",12630,346,242,92,2,0,0,0,0,0,0,0,0,5418310,143230
"G1800430","1890","Indiana","180","Floyd","0430","Floyd","22","430",29458,2167,1552,1462,0,0,0,0,0,0,10,9,0,2913460,86450
"G1800450","1890","Indiana","180","Fountain","0450","Fountain","22","450",19558,31,108,47,0,0,0,0,0,0,0,0,0,9367610,325380
"G1800470","1890","Indiana","180","Franklin","0470","Franklin","22","470",18366,6,12,24,0,0,0,0,0,0,0,0,0,6933500,207150
"G1800490","1890","Indiana","180","Fulton","0490","Fulton","22","490",16746,21,23,16,0,0,0,0,0,0,0,0,0,8443186,246670
"G1800510","1890","Indiana","180","Gibson","0510","Gibson","22","510",24920,1239,1027,437,0,0,0,0,0,0,1,3,0,9261660,275930
"G1800530","1890","Indiana","180","Grant","0530","Grant","22","530",31493,866,867,737,2,0,0,0,0,0,48,0,0,12149750,274710
"G1800550","1890","Indiana","180","Greene","0550","Greene","22","550",24379,169,250,21,0,0,0,0,0,0,0,7,0,5906750,175910
"G1800570","1890","Indiana","180","Hamilton","0570","Hamilton","22","570",26123,560,762,515,1,0,0,0,0,0,3,0,0,12560920,325950
"G1800590","1890","Indiana","180","Hancock","0590","Hancock","22","590",17829,92,101,54,1,0,0,0,0,0,0,0,0,9067220,204160
"G1800610","1890","Indiana","180","Harrison","0610","Harrison","22","610",20786,330,350,349,1,0,0,0,0,0,0,0,0,4835010,218730
"G1800630","1890","Indiana","180","Hendricks","0630","Hendricks","22","630",21498,398,402,182,1,0,0,0,0,0,0,2,0,11712530,291930
"G1800650","1890","Indiana","180","Henry","0650","Henry","22","650",23879,544,679,441,0,0,0,0,0,0,10,5,0,12503490,263880
"G1800670","1890","Indiana","180","Howard","0670","Howard","22","670",26186,506,404,304,2,0,0,0,0,0,0,0,0,9310310,245880
"G1800690","1890","Indiana","180","Huntington","0690","Huntington","22","690",27644,21,7,5,3,0,0,0,0,0,1,10,3,9954340,275880
"G1800710","1890","Indiana","180","Jackson","0710","Jackson","22","710",24139,270,344,164,1,0,0,0,0,0,0,0,0,5729810,205850
"G1800730","1890","Indiana","180","Jasper","0730","Jasper","22","730",11185,3,0,3,0,0,0,0,0,0,0,0,0,5445860,150120
"G1800750","1890","Indiana","180","Jay","0750","Jay","22","750",23478,120,155,21,0,0,0,0,0,0,0,0,0,9021990,248960
"G1800770","1890","Indiana","180","Jefferson","0770","Jefferson","22","770",24507,999,944,1105,0,0,0,0,0,0,2,3,0,4766140,170670
"G1800790","1890","Indiana","180","Jennings","0790","Jennings","22","790",14608,294,408,422,0,0,0,0,0,0,1,0,0,4200600,190810
"G1800810","1890","Indiana","180","Johnson","0810","Johnson","22","810",19561,342,355,115,0,0,0,0,0,0,0,0,0,8783740,207730
"G1800830","1890","Indiana","180","Knox","0830","Knox","22","830",28044,588,629,380,2,0,0,0,0,0,0,1,0,8378090,264140
"G1800850","1890","Indiana","180","Kosciusko","0850","Kosciusko","22","850",28645,62,49,10,3,0,0,0,0,0,0,0,0,14739970,366960
"G1800870","1890","Indiana","180","Lagrange","0870","Lagrange","22","870",15615,8,15,25,0,0,0,0,0,0,0,0,0,10936670,304110
"G1800890","1890","Indiana","180","Lake","0890","Lake","22","890",23886,23,2,3,2,0,0,0,0,0,0,0,0,7900720,225860
"G1800910","1890","Indiana","180","LaPorte","0910","Laporte","22","910",34445,217,249,228,4,0,0,0,0,0,0,5,0,13134510,328810
"G1800930","1890","Indiana","180","Lawrence","0930","Lawrence","22","930",19792,377,335,250,0,0,0,0,0,0,1,0,0,3826070,104430
"G1800950","1890","Indiana","180","Madison","0950","Madison","22","950",36487,226,126,88,0,0,0,0,0,0,0,0,0,13962650,273310
"G1800970","1890","Indiana","180","Marion","0970","Marion","22","970",141156,11118,8038,3938,10,14,0,1,0,0,10,1,4,17885620,350970
"G1800990","1890","Indiana","180","Marshall","0990","Marshall","22","990",23818,5,9,0,0,0,0,0,0,0,0,0,0,11131680,323710
"G1801010","1890","Indiana","180","Martin","1010","Martin","22","1010",13973,23,22,36,0,0,0,0,0,0,0,0,0,2579930,104895
"G1801030","1890","Indiana","180","Miami","1030","Miami","22","1030",25823,112,135,51,2,1,0,0,0,0,97,109,145,11074030,269010
"G1801050","1890","Indiana","180","Monroe","1050","Monroe","22","1050",17673,408,345,259,1,0,0,0,0,0,0,0,0,4086640,115180
"G1801070","1890","Indiana","180","Montgomery","1070","Montgomery","22","1070",28025,357,427,167,2,1,0,2,0,0,3,3,0,13705470,298220
"G1801090","1890","Indiana","180","Morgan","1090","Morgan","22","1090",18643,114,150,74,1,0,0,0,0,0,0,0,0,6827310,199090
"G1801110","1890","Indiana","180","Newton","1110","Newton","22","1110",8803,44,86,33,0,0,0,0,0,0,0,0,0,6057800,167710
"G1801130","1890","Indiana","180","Noble","1130","Noble","22","1130",23359,10,47,13,1,0,0,0,0,0,1,0,0,11956866,366810
"G1801150","1890","Indiana","180","Ohio","1150","Ohio","22","1150",4955,154,205,189,0,0,0,0,0,0,0,0,0,1736290,34110
"G1801170","1890","Indiana","180","Orange","1170","Orange","22","1170",14678,70,149,159,0,0,0,0,0,0,0,4,0,2661695,105630
"G1801190","1890","Indiana","180","Owen","1190","Owen","22","1190",15040,83,127,59,0,0,0,0,0,0,0,0,0,4892010,123600
"G1801210","1890","Indiana","180","Parke","1210","Parke","22","1210",20296,356,288,152,0,0,0,1,0,0,0,2,0,8824870,190330
"G1801230","1890","Indiana","180","Perry","1230","Perry","22","1230",18240,253,208,150,0,0,0,0,0,0,0,0,0,2149315,90330
"G1801250","1890","Indiana","180","Pike","1250","Pike","22","1250",18544,56,27,14,1,0,0,0,0,0,0,0,0,3763850,157950
"G1801270","1890","Indiana","180","Porter","1270","Porter","22","1270",18052,11,33,39,2,0,0,0,0,0,0,0,0,8461116,208070
"G1801290","1890","Indiana","180","Posey","1290","Posey","22","1290",21529,1193,955,564,1,0,0,0,0,0,0,0,0,8250490,281380
"G1801310","1890","Indiana","180","Pulaski","1310","Pulaski","22","1310",11233,9,4,0,0,0,0,0,0,0,0,0,0,4353490,192150
"G1801330","1890","Indiana","180","Putnam","1330","Putnam","22","1330",22335,357,576,105,1,0,0,0,0,0,0,0,0,9477300,216590
"G1801350","1890","Indiana","180","Randolph","1350","Randolph","22","1350",28085,606,591,617,0,0,0,0,0,0,4,1,0,12856950,398580
"G1801370","1890","Indiana","180","Ripley","1370","Ripley","22","1370",19350,74,157,103,0,0,0,0,0,0,0,0,0,5897900,267040
"G1801390","1890","Indiana","180","Rush","1390","Rush","22","1390",19034,534,550,463,0,0,0,0,0,0,2,0,1,13552100,251560
"G1801410","1890","Indiana","180","St Joseph","1410","St Joseph","22","1410",42457,340,279,120,3,0,0,0,0,0,1,10,7,13847550,318050
"G1801430","1890","Indiana","180","Scott","1430","Scott","22","1430",7833,1,10,5,0,0,0,0,0,0,0,0,0,2022200,84960
"G1801450","1890","Indiana","180","Shelby","1450","Shelby","22","1450",25454,313,287,128,1,0,0,0,0,0,0,0,0,13172040,321160
"G1801470","1890","Indiana","180","Spencer","1470","Spencer","22","1470",22060,1388,1492,949,1,0,0,0,0,0,0,0,0,4629360,216920
"G1801490","1890","Indiana","180","Starke","1490","Starke","22","1490",7339,3,0,0,0,0,0,0,0,0,0,0,0,1798750,66760
"G1801510","1890","Indiana","180","Steuben","1510","Steuben","22","1510",14478,6,8,5,0,0,0,0,0,0,0,0,0,7259830,224610
"G1801530","1890","Indiana","180","Sullivan","1530","Sullivan","22","1530",21877,182,146,105,0,0,0,0,0,0,0,0,0,7503460,215270
"G1801550","1890","Indiana","180","Switzerland","1550","Switzerland","22","1550",12514,135,214,121,0,0,0,0,0,0,0,0,0,3990550,130530
"G1801570","1890","Indiana","180","Tippecanoe","1570","Tippecanoe","22","1570",35078,352,304,172,2,2,0,0,0,0,0,0,0,12282680,303390
"G1801590","1890","Indiana","180","Tipton","1590","Tipton","22","1590",18157,19,58,61,2,0,0,0,0,0,0,3,0,7596195,218770
"G1801610","1890","Indiana","180","Union","1610","Union","22","1610",7006,161,144,112,0,0,0,0,0,0,0,0,0,3521470,102960
"G1801630","1890","Indiana","180","Vanderburgh","1630","Vanderburgh","22","1630",59809,6080,3843,2151,3,3,0,13,0,0,2,2,0,5712420,173750
"G1801650","1890","Indiana","180","Vermillion","1650","Vermillion","22","1650",13154,47,74,48,0,0,0,0,0,0,0,0,0,4588460,140260
"G1801670","1890","Indiana","180","Vigo","1670","Vigo","22","1670",50195,1720,1506,1099,1,2,0,0,0,0,0,1,3,8846250,175340
"G1801690","1890","Indiana","180","Wabash","1690","Wabash","22","1690",27126,141,254,84,3,0,0,0,0,0,94,16,47,12468090,341440
"G1801710","1890","Indiana","180","Warren","1710","Warren","22","1710",10955,15,19,22,0,0,0,0,0,0,6,0,1,7322230,143110
"G1801730","1890","Indiana","180","Warrick","1730","Warrick","22","1730",21161,614,619,487,0,0,0,0,0,0,0,0,0,4854930,234850
"G1801750","1890","Indiana","180","Washington","1750","Washington","22","1750",18619,9,3,18,0,0,0,0,0,0,1,0,0,5228150,185880
"G1801770","1890","Indiana","180","Wayne","1770","Wayne","22","1770",37628,1370,1710,1238,3,2,0,0,0,0,1,1,0,13760030,314550
"G1801790","1890","Indiana","180","Wells","1790","Wells","22","1790",21514,3,5,0,0,0,0,0,0,0,0,0,0,8986800,293100
"G1801810","1890","Indiana","180","White","1810","White","22","1810",15671,9,6,3,0,0,0,0,0,0,0,0,0,7346820,233790
"G1801830","1890","Indiana","180","Whitley","1830","Whitley","22","1830",17768,51,108,97,1,0,0,0,0,0,0,0,0,9112310,240390
"G1900010","1890","Iowa","190","Adair","0010","Adair","31","10",14534,22,8,1,0,0,0,0,0,0,0,0,0,7283405,331450
"G1900030","1890","Iowa","190","Adams","0030","Adams","31","30",12292,45,89,24,0,0,0,0,0,0,0,0,0,6020320,259900
"G1900050","1890","Iowa","190","Allamakee","0050","Allamakee","31","50",17907,12,38,8,0,0,0,0,0,0,0,0,0,6582745,397300
"G1900070","1890","Iowa","190","Appanoose","0070","Appanoose","31","70",18961,145,74,35,0,0,0,0,0,0,0,0,0,6300500,279240
"G1900090","1890","Iowa","190","Audubon","0090","Audubon","31","90",12412,0,3,1,0,0,0,0,0,0,0,0,0,6518930,333350
"G1900110","1890","Iowa","190","Benton","0110","Benton","31","110",24178,23,20,24,0,0,0,0,0,0,0,0,0,15332520,583620
"G1900130","1890","Iowa","190","Black Hawk","0130","Black Hawk","31","130",24219,12,37,18,1,0,0,0,0,0,0,0,0,10914650,388220
"G1900150","1890","Iowa","190","Boone","0150","Boone","31","150",23772,93,251,11,1,2,0,0,0,0,0,0,1,8566830,434980
"G1900170","1890","Iowa","190","Bremer","0170","Bremer","31","170",14630,7,6,17,0,0,0,0,0,0,0,1,1,8083230,363090
"G1900190","1890","Iowa","190","Buchanan","0190","Buchanan","31","190",18997,20,29,9,0,0,0,0,0,0,1,0,0,9883206,383460
"G1900210","1890","Iowa","190","Buena Vista","0210","Buena Vista","31","210",13548,16,1,0,0,0,0,0,0,0,0,0,0,8423220,372860
"G1900230","1890","Iowa","190","Butler","0230","Butler","31","230",15463,1,31,0,0,0,0,0,0,0,0,0,0,8673790,359140
"G1900250","1890","Iowa","190","Calhoun","0250","Calhoun","31","250",13107,0,2,0,0,0,0,0,0,0,0,0,0,6295660,290260
"G1900270","1890","Iowa","190","Carroll","0270","Carroll","31","270",18828,29,10,0,0,0,0,0,0,0,0,0,0,9997240,513640
"G1900290","1890","Iowa","190","Cass","0290","Cass","31","290",19645,12,21,5,2,0,0,0,0,0,0,0,0,9959580,399530
"G1900310","1890","Iowa","190","Cedar","0310","Cedar","31","310",18253,37,53,42,0,0,0,0,0,0,1,4,0,14427320,435620
"G1900330","1890","Iowa","190","Cerro Gordo","0330","Cerro Gordo","31","330",14864,9,23,4,0,0,0,0,0,0,0,0,0,6755670,335540
"G1900350","1890","Iowa","190","Cherokee","0350","Cherokee","31","350",15659,5,2,6,0,0,0,0,0,0,0,0,0,9020810,399640
"G1900370","1890","Iowa","190","Chickasaw","0370","Chickasaw","31","370",15019,0,0,3,1,0,0,0,0,0,0,0,0,6343300,346830
"G1900390","1890","Iowa","190","Clarke","0390","Clarke","31","390",11332,61,58,26,0,0,0,0,0,0,0,0,0,5089810,231530
"G1900410","1890","Iowa","190","Clay","0410","Clay","31","410",9309,0,2,0,0,0,0,0,0,0,0,0,0,4915700,293500
"G1900430","1890","Iowa","190","Clayton","0430","Clayton","31","430",26733,11,1,26,0,0,0,0,0,0,0,0,1,12186610,629170
"G1900450","1890","Iowa","190","Clinton","0450","Clinton","31","450",41199,209,187,129,1,2,0,0,0,0,8,1,2,16913120,536240
"G1900470","1890","Iowa","190","Crawford","0470","Crawford","31","470",18894,15,23,1,0,0,0,0,0,0,0,0,0,10425980,543650
"G1900490","1890","Iowa","190","Dallas","0490","Dallas","31","490",20479,37,53,25,1,1,0,0,0,0,0,0,0,10272880,417600
"G1900510","1890","Iowa","190","Davis","0510","Davis","31","510",15258,60,60,30,0,0,0,0,0,0,0,4,0,5937200,290100
"G1900530","1890","Iowa","190","Decatur","0530","Decatur","31","530",15643,56,129,41,0,0,0,0,0,0,0,0,0,6084270,303540
"G1900550","1890","Iowa","190","Delaware","0550","Delaware","31","550",17349,2,2,21,1,0,0,0,0,0,0,0,0,11558400,460180
"G1900570","1890","Iowa","190","Des Moines","0570","Des Moines","31","570",35324,381,425,227,3,0,0,0,0,0,0,0,0,9470190,340380
"G1900590","1890","Iowa","190","Dickinson","0590","Dickinson","31","590",4328,1,1,0,0,0,0,0,0,0,0,0,0,1942960,111440
"G1900610","1890","Iowa","190","Dubuque","0610","Dubuque","31","610",49848,133,156,167,3,2,0,0,0,0,0,1,0,13755390,516190
"G1900630","1890","Iowa","190","Emmet","0630","Emmet","31","630",4274,4,3,3,0,0,0,0,0,0,0,0,0,1598770,107490
"G1900650","1890","Iowa","190","Fayette","0650","Fayette","31","650",23141,75,122,70,0,0,0,0,0,0,0,0,0,10747620,547600
"G1900670","1890","Iowa","190","Floyd","0670","Floyd","31","670",15424,4,5,3,1,0,0,0,0,0,0,0,0,7061600,331110
"G1900690","1890","Iowa","190","Franklin","0690","Franklin","31","690",12871,0,12,5,0,0,0,0,0,0,0,0,0,7790410,387120
"G1900710","1890","Iowa","190","Fremont","0710","Fremont","31","710",16842,43,59,29,0,0,0,0,0,0,0,5,1,8752110,281520
"G1900730","1890","Iowa","190","Greene","0730","Greene","31","730",15797,11,16,3,0,0,0,0,0,0,0,0,0,8482760,385160
"G1900750","1890","Iowa","190","Grundy","0750","Grundy","31","750",13215,15,0,0,0,0,0,0,0,0,0,0,0,11188450,421630
"G1900770","1890","Iowa","190","Guthrie","0770","Guthrie","31","770",17380,29,2,5,0,0,0,0,0,0,0,0,0,7415380,328710
"G1900790","1890","Iowa","190","Hamilton","0790","Hamilton","31","790",15319,19,1,3,1,0,0,0,0,0,0,0,0,7394730,383150
"G1900810","1890","Iowa","190","Hancock","0810","Hancock","31","810",7621,2,0,5,0,0,0,0,0,0,0,0,0,3738140,255120
"G1900830","1890","Iowa","190","Hardin","0830","Hardin","31","830",19003,80,111,23,1,0,0,0,0,0,0,0,10,8619196,349800
"G1900850","1890","Iowa","190","Harrison","0850","Harrison","31","850",21356,26,13,1,1,0,0,0,0,0,1,4,0,9435830,377270
"G1900870","1890","Iowa","190","Henry","0870","Henry","31","870",18895,411,509,465,1,0,0,0,0,0,0,0,18,8349330,313370
"G1900890","1890","Iowa","190","Howard","0890","Howard","31","890",11182,10,19,12,0,1,0,0,0,0,0,0,0,4866505,291960
"G1900910","1890","Iowa","190","Humboldt","0910","Humboldt","31","910",9836,4,2,0,0,0,0,0,0,0,0,0,0,5233060,291280
"G1900930","1890","Iowa","190","Ida","0930","Ida","31","930",10705,1,0,0,0,0,0,0,0,0,0,0,0,6612850,327600
"G1900950","1890","Iowa","190","Iowa","0950","Iowa","31","950",18270,2,15,11,0,0,0,0,0,0,0,0,0,9876480,402300
"G1900970","1890","Iowa","190","Jackson","0970","Jackson","31","970",22771,13,9,25,0,0,0,0,0,0,0,0,0,10752700,453930
"G1900990","1890","Iowa","190","Jasper","0990","Jasper","31","990",24943,104,121,69,0,0,0,0,0,0,0,0,0,13818600,476780
"G1901010","1890","Iowa","190","Jefferson","1010","Jefferson","31","1010",15184,57,72,53,2,0,0,0,0,0,0,0,0,7031320,337410
"G1901030","1890","Iowa","190","Johnson","1030","Johnson","31","1030",23082,58,105,98,0,1,0,0,0,0,0,0,0,13120140,499810
"G1901050","1890","Iowa","190","Jones","1050","Jones","31","1050",20233,34,35,32,0,0,0,0,0,0,0,0,0,12246186,398610
"G1901070","1890","Iowa","190","Keokuk","1070","Keokuk","31","1070",23862,24,15,3,0,0,0,0,0,0,0,0,0,9954640,414880
"G1901090","1890","Iowa","190","Kossuth","1090","Kossuth","31","1090",13120,12,1,0,0,0,0,0,0,0,0,0,0,5858680,398790
"G1901110","1890","Iowa","190","Lee","1110","Lee","31","1110",37715,1666,1679,1563,4,1,0,0,0,0,1,1,0,9224730,370020
"G1901130","1890","Iowa","190","Linn","1130","Linn","31","1130",45303,234,207,48,0,3,0,0,0,0,0,0,0,15724780,516040
"G1901150","1890","Iowa","190","Louisa","1150","Louisa","31","1150",11873,25,65,59,0,0,0,0,0,0,0,0,0,6608530,247610
"G1901170","1890","Iowa","190","Lucas","1170","Lucas","31","1170",14563,319,40,31,0,0,0,0,0,0,1,0,0,5239600,226150
"G1901190","1890","Iowa","190","Lyon","1190","Lyon","31","1190",8680,0,0,0,0,0,0,0,0,0,0,0,0,5742780,322720
"G1901210","1890","Iowa","190","Madison","1210","Madison","31","1210",15977,11,10,3,0,0,0,0,0,0,0,2,0,8115417,322420
