GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ADI001,ADI002,ADJ001,ADJ002,ADM001,ADM002,ADM003,ADM004,ADM005,ADM006,ADM007,ADM008,ADM009,ADM010,ADM011,ADM012,ADM013,ADM014,ADM015,ADM016,ADM017,ADM018,ADM019,ADM020,ADM021,ADM022,ADM023,ADM024,ADM025,ADM026,ADM027,ADM028,ADM029,ADM030
"G1302410","1850","Georgia","130","Rabun","2410","Rabun","44","2410",12741,120634,156885,10449,256,3195,64699,9771,0,6787,0,6603,3232,4089,9868,5,65,0,27548,2221,104,7,221,24,0,0,1268,45,0,0,0,0,2,10355
"G1302430","1850","Georgia","130","Randolph","2430","Randolph","44","2430",93211,239605,1319699,97482,3713,524,454533,56959,7425,75,10533,15085,40084,228,151132,0,0,40,82023,0,0,0,0,0,0,0,0,0,0,0,4,0,7493,34676
"G1302450","1850","Georgia","130","Richmond","2450","Richmond","44","2450",37644,111592,1165463,50934,4064,1005,297780,27458,9413,0,1087,5578,19693,2233,51045,260,2,320,32965,546,1599,40,0,0,0,0,0,0,0,0,0,0,0,2474
"G1302510","1850","Georgia","130","Screven","2510","Screven","44","2510",56008,454748,609375,43142,3560,1283,264860,5830,510550,0,3936,37760,9473,9800,131620,0,0,0,93235,0,0,0,34,90,0,0,0,0,0,0,0,0,4585,0
"G1302590","1850","Georgia","130","Stewart","2590","Stewart","44","2590",145821,233130,2238361,115636,12152,323,684499,70624,16390,70,19165,11190,33596,1896,171791,453,0,0,70729,0,0,0,0,0,0,0,0,0,5,0,0,0,65,46396
"G1302610","1850","Georgia","130","Sumter","2610","Sumter","44","2610",68165,157748,1252168,72409,7258,157,354842,34051,0,0,7535,9241,22477,2561,120333,11,10,10,46100,0,0,0,0,0,0,0,0,0,0,50,0,13332,0,11671
"G1302630","1850","Georgia","130","Talbot","2630","Talbot","44","2630",136933,159251,2100407,116444,28349,169,655802,89185,13368,410,13732,11360,18477,432,162819,444,0,0,73848,120,0,0,0,0,0,0,0,0,50,0,0,0,90,26028
"G1302650","1850","Georgia","130","Taliaferro","2650","Taliaferro","44","2650",39184,89823,616829,34683,8879,62,193327,28690,43,360,5170,4743,2825,878,29061,163,1,0,30669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3688
"G1302670","1850","Georgia","130","Tattnall","2670","Tattnall","44","2670",14244,379369,229888,13396,1132,6,71740,3775,47800,0,321,9933,2924,5,46227,0,0,0,16005,0,0,0,0,0,0,0,0,0,0,0,20,0,1426,165
"G1302710","1850","Georgia","130","Telfair","2710","Telfair","44","2710",15360,183235,168793,11633,1047,7,77805,4958,41670,0,572,11585,6376,1,44250,0,0,0,6807,95,0,0,0,0,0,0,0,0,0,0,43,0,5319,0
"G1302750","1850","Georgia","130","Thomas","2750","Thomas","44","2750",63931,383453,1104240,108041,249,0,353920,16598,102480,2204,7667,26990,0,0,146022,0,0,0,24001,0,0,0,0,0,0,0,0,0,0,0,109,0,9312,0
"G1302850","1850","Georgia","130","Troup","2850","Troup","44","2850",128190,130900,1980186,132572,17644,338,687205,120302,3952,1190,14481,11441,18819,2729,142884,151,0,0,79067,630,3441,0,0,0,0,0,400,6,10,0,0,0,170,30545
"G1302890","1850","Georgia","130","Twiggs","2890","Twiggs","44","2890",101619,142171,575990,241509,5892,565,379537,8758,0,20,9689,6403,11447,960,76323,2,0,0,22110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766
"G1302910","1850","Georgia","130","Union","2910","Union","44","2910",31316,147967,476518,25288,2176,13042,274345,40428,0,11827,0,16829,82,4418,30867,0,20,0,51501,3156,102,0,0,0,0,0,1174,53,0,0,0,0,0,1949
"G1302930","1850","Georgia","130","Upson","2930","Upson","44","2930",73512,89792,991904,65891,19701,289,343017,48131,17,0,7443,7494,11768,2419,68709,68,0,5,38692,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12278
"G1302950","1850","Georgia","130","Walker","2950","Walker","44","2950",36191,72917,852905,30410,11913,258,371760,51969,4903,9795,359,9585,586,3630,40501,0,0,0,17857,70,53,0,7,0,0,0,60,2,0,0,0,0,0,573
"G1302970","1850","Georgia","130","Walton","2970","Walton","44","2970",101490,126883,1015731,69493,21494,213,426516,92660,7280,2100,5599,8980,18851,3351,103178,48,0,3,78473,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15620
"G1302990","1850","Georgia","130","Ware","2990","Ware","44","2990",11316,265315,169770,12191,388,11,68270,2843,40895,0,394,1727,4033,8,44522,5,0,0,12773,1959,0,0,0,0,0,0,0,0,0,0,0,0,2792,9680
"G1303010","1850","Georgia","130","Warren","3010","Warren","44","3010",135115,236236,1680835,92392,19155,902,428364,44119,5210,664,9994,12964,61429,3156,123825,88,0,0,80244,0,0,0,0,0,0,0,0,0,13,0,0,0,94,11473
"G1303030","1850","Georgia","130","Washington","3030","Washington","44","3030",117433,308418,1331638,93340,11550,1895,446730,11261,4395,37,7445,20968,18067,429,112576,17,0,0,41044,490,0,0,0,0,0,0,0,0,0,0,200,0,85,6647
"G1303050","1850","Georgia","130","Wayne","3050","Wayne","44","3050",5356,69727,91079,5038,60,0,21545,82,41180,0,87,1133,457,0,24433,0,0,0,10444,96,5,0,0,0,0,0,0,0,0,0,10,0,540,1320
"G1303170","1850","Georgia","130","Wilkes","3170","Wilkes","44","3170",97545,190547,1344855,83481,12649,163,418176,133213,0,20,12024,12061,7929,115,59525,64,0,0,71381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"G1303190","1850","Georgia","130","Wilkinson","3190","Wilkinson","44","3190",75721,239951,912086,69370,12149,2194,323976,17615,16614,80,4920,10077,41337,7141,99490,18,0,0,41107,0,0,0,0,0,0,0,0,0,0,0,0,0,50,11762
"G1700010","1850","Illinois","170","Adams","0010","Adams","21","10",147273,168872,3156090,207860,502034,559,2092713,277201,0,270,0,59541,79,38423,2066,797,6745,150,340253,20127,10878,39,372,100,0,0,1290,48,0,3750,0,24,0,21717
"G1700030","1850","Illinois","170","Alexander","0030","Alexander","21","30",5333,16882,95459,6024,1698,0,92920,3435,0,0,0,711,88,2866,1490,0,0,0,19810,0,44,0,0,0,0,0,50,0,0,0,0,0,0,260
"G1700050","1850","Illinois","170","Bond","0050","Bond","21","50",48038,85214,560248,50291,7655,1785,460985,84771,0,0,0,18098,2292,7401,1690,20,715,0,114970,7968,3529,0,5,0,0,0,0,0,6,270,0,27,0,1255
"G1700070","1850","Illinois","170","Boone","0070","Boone","21","70",50763,76711,1059580,69663,248107,1402,159114,141825,0,150,0,26282,836,40641,0,1190,6681,0,173966,28355,12676,19,89,32,0,0,360,119,0,3160,0,43,0,4090
"G1700090","1850","Illinois","170","Brown","0090","Brown","21","90",34846,73458,862622,58912,76658,491,513118,51325,0,0,0,21649,131,15843,983,20,1119,0,71569,1581,3000,20,35,1,0,0,1312,482,0,7183,0,307,0,9235
"G1700110","1850","Illinois","170","Bureau","0110","Bureau","21","110",62470,74325,1269936,75506,171402,230,542823,119048,0,0,0,25698,309,49379,83,656,2228,4,151410,21061,9428,3,202,18,0,0,230,4,0,0,0,5,0,11847
"G1700130","1850","Illinois","170","Calhoun","0130","Calhoun","21","130",7295,29076,174675,19710,3370,0,146205,9125,0,0,0,1662,20,5479,147,0,0,0,19877,150,163,0,4,0,0,0,0,0,0,0,0,0,0,4440
"G1700150","1850","Illinois","170","Carroll","0150","Carroll","21","150",32776,54760,599717,53016,136301,319,218061,74484,0,20,0,9900,158,24608,0,3277,1947,5,100986,12282,6625,0,109,5,0,0,92,0,0,0,0,0,0,2952
"G1700170","1850","Illinois","170","Cass","0170","Cass","21","170",54578,46732,1220254,61164,131136,1336,1417750,150197,0,0,0,19651,5,9620,251,25,438,0,96717,2385,3385,0,49,0,0,0,120,0,0,0,0,0,0,987
"G1700190","1850","Illinois","170","Champaign","0190","Champaign","21","190",22873,35300,454620,23230,7023,40,441060,38850,0,0,0,9098,0,3458,230,10,96,0,53710,730,1406,5,3,0,0,0,87,15,0,1875,0,17,0,1418
"G1700210","1850","Illinois","170","Christian","0210","Christian","21","210",27654,43412,497590,32622,17295,380,594475,50700,0,2000,0,9948,996,6561,601,0,673,0,64930,2949,1008,0,65,0,0,0,320,493,0,380,0,30,0,5850
"G1700230","1850","Illinois","170","Clark","0230","Clark","21","230",35899,67120,575999,39385,18350,1368,431490,79928,0,0,0,17598,529,15819,1970,126,4123,10,85017,4278,1720,132,195,80,0,0,7384,318,2,21070,0,801,0,11424
"G1700250","1850","Illinois","170","Clay","0250","Clay","21","250",18354,29996,242020,15742,2244,366,245575,38315,0,1580,0,8289,181,2797,1044,0,298,0,26605,1585,320,0,77,111,0,0,3570,95,0,2053,0,78,0,10903
"G1700270","1850","Illinois","170","Clinton","0270","Clinton","21","270",40410,66532,508116,46270,19682,530,414898,71508,0,0,0,10006,143,9227,587,106,467,0,99077,500,930,0,0,0,0,0,100,0,0,0,0,0,0,13316
"G1700290","1850","Illinois","170","Coles","0290","Coles","21","290",77544,123669,1240751,81575,21338,266,1012735,136450,0,100,0,34087,3,15468,834,0,1715,0,159133,10390,4125,43,90,0,0,0,3102,142,0,5122,0,121,0,20780
"G1700310","1850","Illinois","170","Cook","0310","Cook","21","310",154090,109844,2573325,121198,238952,2864,429513,403234,0,0,0,27954,531,204972,67,6068,14565,35,656690,78062,48449,0,60,10,0,0,100,375,0,1750,0,0,0,19138
"G1700330","1850","Illinois","170","Crawford","0330","Crawford","21","330",34697,65041,529920,40012,16943,2852,453955,59001,0,16350,0,13789,1128,12974,2897,0,3144,0,105054,5455,1411,41,97,13,0,0,34545,391,0,7601,0,263,0,16387
"G1700350","1850","Illinois","170","Cumberland","0350","Cumberland","21","350",16001,49602,282612,21822,5122,505,217015,33906,0,0,0,6186,10,7591,1029,0,3353,0,49771,2650,863,15,70,0,0,0,6412,91,0,10990,0,214,0,10777
"G1700370","1850","Illinois","170","DeKalb","0370","De Kalb","21","370",63749,81293,924090,69128,221796,0,215733,138903,0,0,0,14200,259,41531,0,685,3969,0,138989,21401,21193,14,107,0,0,0,239,19,0,4905,0,151,0,4873
"G1700390","1850","Illinois","170","De Witt","0390","De Witt","21","390",36945,48402,788270,43017,22401,620,704600,45737,0,4950,0,18833,19,7023,1397,15,1136,0,59606,6044,2083,0,12,0,0,0,2415,253,0,0,0,0,0,9128
"G1700430","1850","Illinois","170","Dupage","0430","Du Page","21","430",86200,59231,1714065,86013,259283,62,198363,230450,0,590,0,34034,245,53028,40,5745,3282,0,192045,25930,23617,24,163,0,0,0,481,162,0,1665,0,0,0,5030
"G1700450","1850","Illinois","170","Edgar","0450","Edgar","21","450",91532,106503,1642417,140008,49424,1151,1250278,138830,0,3870,0,43739,1002,18397,4084,810,2173,277,174828,14240,6153,130,319,74,0,0,6610,382,0,24616,0,1241,0,10998
"G1700470","1850","Illinois","170","Edwards","0470","Edwards","21","470",20216,37212,258503,25357,4001,270,227035,37412,0,1175,0,12898,547,7965,725,100,138,35,20587,4140,1502,40,357,205,0,0,2175,72,0,290,0,9,0,6144
"G1700490","1850","Illinois","170","Effingham","0490","Effingham","21","490",14457,43259,231288,26614,5169,671,227025,36028,0,2699,0,7105,154,8776,850,0,2167,0,41671,1373,341,2,40,0,0,0,5073,133,0,4070,0,0,0,7131
"G1700510","1850","Illinois","170","Fayette","0510","Fayette","21","510",38258,100529,640085,52954,18277,1096,398765,88427,0,14720,0,2035,606,12776,3107,0,1624,2,146188,1843,1657,38,43,50,0,0,5179,130,0,9509,0,9,0,15419
"G1700550","1850","Illinois","170","Franklin","0550","Franklin","21","550",29003,50304,272075,26984,3008,19,268690,24883,0,18565,0,9506,7298,5943,3868,5,19,0,48632,935,383,1,51,0,0,0,1773,73,0,0,0,0,0,13789
"G1700570","1850","Illinois","170","Fulton","0570","Fulton","21","570",124817,148203,2817680,190033,274479,926,1430717,178734,0,0,0,83791,851,41324,954,4077,6316,0,302029,23449,9931,402,1136,3,0,0,2457,0,0,3335,0,85,0,51016
"G1700590","1850","Illinois","170","Gallatin","0590","Gallatin","21","590",19956,52026,325166,22622,1777,190,436125,25987,0,200,0,4567,212,8904,3699,0,0,0,47622,395,286,0,6,6,0,0,1120,0,0,150,0,0,0,1659
"G1700610","1850","Illinois","170","Greene","0610","Greene","21","610",87257,113574,1782105,90387,168822,516,1346973,104952,0,0,0,43682,1217,20535,3449,137,1669,0,186222,34564,5611,130,189,0,0,0,25,0,0,0,0,12,0,1949
"G1700630","1850","Illinois","170","Grundy","0630","Grundy","21","630",15916,35738,355446,25508,46875,0,143778,32851,0,0,0,3280,103,16147,0,332,806,0,61965,2960,7329,0,75,0,0,0,0,0,0,0,0,0,0,4222
"G1700650","1850","Illinois","170","Hamilton","0650","Hamilton","21","650",19102,37475,357805,21580,2948,77,242955,28764,0,7242,0,8295,1732,7184,3237,43,10,16,48055,866,264,1,73,0,0,0,1833,359,6,10,0,10,0,5854
"G1700670","1850","Illinois","170","Hancock","0670","Hancock","21","670",80163,93769,1378208,102676,189436,1219,689110,137947,0,142,0,26742,302,21425,950,2511,2575,60,184652,41626,6076,34,220,226,0,0,750,60,0,12285,0,262,0,18869
"G1700690","1850","Illinois","170","Hardin","0690","Hardin","21","690",10531,34283,199030,10268,613,109,164400,6311,0,5560,0,2718,721,13610,1084,0,42,0,6644,20,9,0,75,0,0,0,200,2,0,30,0,0,0,175
"G1700710","1850","Illinois","170","Henderson","0710","Henderson","21","710",35796,48879,757475,47103,121775,794,352840,52622,0,360,0,12572,80,10052,226,45,353,0,91482,7417,2813,24,12,50,0,0,250,0,0,25,0,0,0,6188
"G1700730","1850","Illinois","170","Henry","0730","Henry","21","730",22983,24276,306250,25248,61108,1040,203820,43534,0,0,0,10762,50,3226,0,1915,587,0,51285,24770,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1700750","1850","Illinois","170","Iroquois","0750","Iroquois","21","750",30118,36812,517169,38471,27125,242,311115,69793,0,0,0,18763,379,14562,168,180,2131,0,67906,10292,1496,0,37,0,0,0,2540,109,10,3166,0,162,0,13474
"G1700770","1850","Illinois","170","Jackson","0770","Jackson","21","770",22778,40657,288544,26517,22354,51,273050,30104,0,580,0,7371,836,11472,3240,15,956,5,45940,34,240,2,19,28,0,0,1656,34,13,5685,0,124,0,2889
"G1700790","1850","Illinois","170","Jasper","0790","Jasper","21","790",10948,38774,184605,24081,3540,71,132585,19620,0,0,0,4369,8,2882,151,0,554,0,35635,0,379,0,3,0,0,0,2501,150,0,4010,0,6,0,5342
"G1700810","1850","Illinois","170","Jefferson","0810","Jefferson","21","810",29660,19727,255394,29397,3965,176,302944,38707,0,3120,0,14027,2742,5580,1879,0,46,0,73443,1014,647,4,40,200,0,0,1136,39,0,1368,0,28,0,12885
"G1700830","1850","Illinois","170","Jersey","0830","Jersey","21","830",56491,66858,1569220,86345,154127,563,759530,96753,0,0,0,11631,155,26537,4645,50,1531,115,107035,8495,2883,3,25,0,0,0,0,0,0,0,0,0,0,745
"G1700850","1850","Illinois","170","Jo Daviess","0850","Jo Daviess","21","850",60311,137839,1334603,95885,207288,658,220615,250386,0,120,0,12060,610,78716,15,2408,3232,0,168138,28701,20029,25,151,329,0,0,935,4,0,0,0,0,0,13885
"G1700870","1850","Illinois","170","Johnson","0870","Johnson","21","870",9658,18261,109388,9700,6887,20,133295,10689,0,15966,0,2913,303,4596,3762,0,10,0,19036,30,34,4,43,37,0,0,300,31,1,3360,0,113,0,1877
"G1700890","1850","Illinois","170","Kane","0890","Kane","21","890",83738,102256,1948290,90746,316493,0,337593,206364,0,2000,0,43803,152,63468,4,7162,10992,0,224085,50326,23244,94,587,21,0,0,75,72,0,660,0,308,0,1661
"G1700930","1850","Illinois","170","Kendall","0930","Kendall","21","930",79257,70885,1335917,94569,213660,0,410986,139098,0,212,0,15738,1079,38355,73,4751,5512,10,180270,27222,14700,177,1827,50,0,0,0,0,0,560,0,3,0,3358
"G1700950","1850","Illinois","170","Knox","0950","Knox","21","950",103267,77248,1733708,138708,201481,1673,1570361,227718,0,110,0,67849,214,29521,17,801,1343,29,213156,38548,13164,85,1287,10,0,0,986,267,5,3568,0,150,0,12799
"G1700970","1850","Illinois","170","Lake","0970","Lake","21","970",88929,127914,1923230,112724,320071,164,168915,250733,0,0,0,45895,905,89619,0,4761,5888,0,421200,61240,35506,1,424,74,0,0,469,19,0,0,0,0,0,5772
"G1700990","1850","Illinois","170","La Salle","0990","La Salle","21","990",93098,118546,1800483,117158,253598,170,637483,199875,0,0,0,33063,359,61124,455,627,3939,104,146001,34650,25179,2,301,7,0,0,0,0,0,0,0,0,0,6515
"G1701010","1850","Illinois","170","Lawrence","1010","Lawrence","21","1010",34684,56968,599680,46757,15582,583,427850,59144,0,7297,0,12617,576,14120,1846,0,1530,0,90505,5371,1926,48,117,0,0,0,10528,571,3,2370,0,79,0,12356
"G1701030","1850","Illinois","170","Lee","1030","Lee","21","1030",38678,46484,684731,45383,97538,69,232010,99562,0,180,0,12125,454,30942,59,2021,4749,7,91483,11149,8661,19,128,0,0,0,75,13,0,1000,0,10,0,6086
"G1701050","1850","Illinois","170","Livingston","1050","Livingston","21","1050",13334,18499,164407,16718,15517,0,129785,25409,0,0,0,6815,0,4361,0,90,100,0,15099,230,298,0,71,0,0,0,0,0,0,0,0,0,0,5196
"G1701070","1850","Illinois","170","Logan","1070","Logan","21","1070",46694,67925,933560,47632,26598,922,839638,35728,0,160,0,23527,58,7475,722,65,551,0,57657,4066,2093,3,85,0,0,0,1180,42,0,135,0,0,0,9397
"G1701090","1850","Illinois","170","McDonough","1090","Mcdonough","21","1090",51541,82072,1074099,100920,100107,100,550768,76689,0,25,0,28481,262,6581,62,0,377,0,118491,12523,3286,111,45,6,0,0,283,111,0,540,0,24,0,4837
"G1701110","1850","Illinois","170","McHenry","1110","Mchenry","21","1110",125010,159204,2103114,143299,562269,285,301248,270275,0,77,0,45094,744,89582,124,10022,7949,0,347008,43335,27678,10,407,11,0,0,320,0,0,0,0,0,0,10248
"G1701130","1850","Illinois","170","McLean","1130","Mclean","21","1130",92540,91730,1577825,87611,63893,40,1226533,126159,0,0,0,49883,25,16255,616,148,1510,10,207331,13330,5450,0,23,0,0,0,0,1204,0,4135,0,3,0,58055
"G1701150","1850","Illinois","170","Macon","1150","Macon","21","1150",33330,69901,786603,49902,22226,655,698220,90805,0,0,0,18883,204,10377,2192,25,284,0,99775,1810,1451,28,24,0,0,0,0,0,0,0,0,0,0,5110
"G1701170","1850","Illinois","170","Macoupin","1170","Macoupin","21","1170",97897,113892,1679466,112776,77022,1029,1598829,257101,0,200,0,32851,2955,22069,2568,0,1550,0,297707,110045,3411,4,135,22,0,0,560,13,0,0,0,0,0,12196
"G1701190","1850","Illinois","170","Madison","1190","Madison","21","1190",93251,165067,2435154,142457,88893,611,1153183,202059,0,100,0,19878,1669,270204,6732,220,839,923,251824,14136,6499,14,71,56,0,0,110,49,0,0,0,0,0,11006
"G1701210","1850","Illinois","170","Marion","1210","Marion","21","1210",43916,65250,423732,40882,5813,525,413335,71557,0,8488,0,22116,239,9137,3837,2,264,10,113082,1580,1553,0,95,0,0,0,1060,184,0,3625,0,0,0,29776
"G1701230","1850","Illinois","170","Marshall","1230","Marshall","21","1230",36301,58192,820834,49887,104469,400,392317,46990,0,0,0,18586,29,21025,808,30,255,0,70710,2971,4967,39,25,0,0,0,0,0,0,60,0,0,0,1217
"G1701250","1850","Illinois","170","Mason","1250","Mason","21","1250",46223,42201,736200,37559,142474,180,555610,70400,0,0,0,10284,0,14204,237,0,30,0,66177,200,1825,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1701270","1850","Illinois","170","Massac","1270","Massac","21","1270",10571,31691,177372,10901,4179,1,146700,12607,0,16520,0,2904,151,28449,3024,20,1,5,30650,110,30,8,6,1,0,0,135,192,0,0,0,0,0,1991
"G1701290","1850","Illinois","170","Menard","1290","Menard","21","1290",55785,55704,1124406,57585,69106,0,1280206,129107,0,250,0,31752,2,7508,1237,0,389,0,124378,5596,3447,0,102,0,0,0,1315,4,0,500,0,0,0,4818
"G1701310","1850","Illinois","170","Mercer","1310","Mercer","21","1310",34929,47434,579764,45589,103479,385,430991,60159,0,0,0,19493,18,9747,287,76,1407,65,75188,12497,1029,42,79,12,0,0,470,4,0,200,0,0,0,4927
"G1701330","1850","Illinois","170","Monroe","1330","Monroe","21","1330",39687,74186,722157,57991,89856,15,399250,58546,0,250,0,4043,68,26012,569,942,74,50,70834,2823,267,1,0,0,0,0,0,0,0,500,0,600,0,2110
"G1701350","1850","Illinois","170","Montgomery","1350","Montgomery","21","1350",49206,86829,660765,53910,21455,288,452885,98412,0,0,0,18858,3878,11033,3240,45,1536,0,90592,5860,3048,0,64,0,0,0,375,90,0,0,0,0,0,2765
"G1701370","1850","Illinois","170","Morgan","1370","Morgan","21","1370",142272,97662,2823800,195028,91453,16302,2693021,154805,0,2600,0,54643,21,24136,2123,1556,676,1,393130,3510,9723,0,49,0,0,0,40,3,0,28,0,0,0,894
"G1701390","1850","Illinois","170","Moultrie","1390","Moultrie","21","1390",23132,41839,360821,22294,6148,278,373630,60040,0,0,0,15368,3,4369,50,0,190,0,43161,1645,995,0,25,0,0,0,2190,9,0,0,0,0,0,8290
"G1701410","1850","Illinois","170","Ogle","1410","Ogle","21","1410",77208,146848,1751410,126122,289323,1159,480758,198833,0,0,0,34194,292,49368,108,2248,4025,40,199368,26740,13019,11,296,16,0,0,600,3,0,1245,0,16,0,7632
"G1701430","1850","Illinois","170","Peoria","1430","Peoria","21","1430",83718,100790,2089921,124012,185157,82,1013289,138718,0,0,0,40225,291,38229,784,886,2537,25,90801,19590,12553,17,281,2,0,0,126,20,0,750,0,90,0,6823
"G1701450","1850","Illinois","170","Perry","1450","Perry","21","1450",32333,58544,375401,37238,6605,0,363300,66363,0,0,0,15988,11439,5081,3308,20,396,0,119079,14900,157,0,15,0,0,0,40,73,0,0,0,0,0,7800
"G1701470","1850","Illinois","170","Piatt","1470","Piatt","21","1470",23502,22892,274960,15050,5769,0,430655,29115,0,0,0,5769,0,2748,65,0,460,0,37950,1130,158,0,2,0,0,0,0,0,0,0,0,0,0,13870
"G1701490","1850","Illinois","170","Pike","1490","Pike","21","1490",87957,105455,1447579,115757,194051,722,1375045,130267,0,1960,0,38450,3,26204,2086,370,5771,5,119741,6284,4491,323,118,13,0,0,82,0,0,0,0,0,0,4666
"G1701510","1850","Illinois","170","Pope","1510","Pope","21","1510",15629,30898,194685,13348,2352,0,223592,10958,0,4290,0,2937,477,12426,2482,0,0,0,13922,10,14,0,0,0,0,0,60,0,0,100,0,0,0,5
"G1701530","1850","Illinois","170","Pulaski","1530","Pulaski","21","1530",7332,22809,127613,12781,4305,0,87145,16326,0,695,0,1474,644,8864,2328,0,20,0,25695,0,118,5,4,22,0,0,381,52,0,225,0,19,0,2723
"G1701550","1850","Illinois","170","Putnam","1550","Putnam","21","1550",28105,27965,661975,35520,88771,0,279260,29671,0,0,0,10774,30,25158,498,390,506,6,48494,7691,3732,5,22,0,0,0,0,0,0,1325,0,42,0,8057
"G1701570","1850","Illinois","170","Randolph","1570","Randolph","21","1570",50655,108246,890173,82366,60914,75,443491,125130,0,0,0,17751,127,23510,5684,163,649,0,103067,2071,1296,5,121,0,0,0,70,309,0,0,0,0,0,364
"G1701590","1850","Illinois","170","Richland","1590","Richland","21","1590",13255,25460,179126,15170,5836,607,113205,25848,0,810,0,4658,197,4207,729,0,362,0,21900,1995,809,0,85,10,0,0,2915,119,0,4408,0,305,0,8911
"G1701610","1850","Illinois","170","Rock Island","1610","Rock Island","21","1610",24803,47512,519990,48609,83076,339,215255,31041,0,0,0,8865,636,13702,563,2692,1009,0,76215,5520,7443,2,28,16,0,0,150,0,0,500,0,0,0,8915
"G1701630","1850","Illinois","170","St Clair","1630","St Clair","21","1630",113101,161001,2626504,147041,224049,1706,1102563,263197,0,0,0,20895,106,74709,7092,21222,947,425,243976,4939,3596,34,6,75,0,0,0,0,0,0,0,0,0,17260
"G1701650","1850","Illinois","170","Saline","1650","Saline","21","1650",19568,39138,200570,22723,4799,108,341900,23858,0,113650,0,7558,3125,8414,7144,10,0,0,29016,680,185,0,24,0,0,0,4475,75,0,1412,0,0,0,2710
"G1701670","1850","Illinois","170","Sangamon","1670","Sangamon","21","1670",176895,146377,3315533,174831,104126,11339,3318304,335008,0,2000,0,120868,675,28494,2546,753,2367,325,377272,23388,9200,15,620,30,0,0,112,1572,0,120,0,0,0,3507
"G1701690","1850","Illinois","170","Schuyler","1690","Schuyler","21","1690",37776,60313,806991,61275,79930,20,398160,56570,0,1050,0,22295,56,11069,455,0,1177,0,136823,5770,3307,5,70,0,0,0,1283,0,0,4316,0,135,0,6430
"G1701710","1850","Illinois","170","Scott","1710","Scott","21","1710",48216,54216,1107798,72581,84232,5396,762950,39917,0,0,0,24897,0,10757,1102,300,700,0,112436,4233,3823,0,15,0,0,0,0,0,0,0,0,0,0,4887
"G1701730","1850","Illinois","170","Shelby","1730","Shelby","21","1730",51454,109520,998930,66473,21998,900,757382,96504,0,200,0,27208,21,10647,1354,8,574,135,124943,1578,2646,2,38,0,0,0,902,110,0,3551,0,0,0,1476
"G1701750","1850","Illinois","170","Stark","1750","Stark","21","1750",24552,28480,456594,35455,54327,0,312475,50703,0,0,0,16047,126,11552,75,223,1981,8,71379,9921,5630,18,32,0,0,0,130,4,0,60,0,2,0,5220
"G1701770","1850","Illinois","170","Stephenson","1770","Stephenson","21","1770",76343,122319,1889550,107620,228267,1507,303285,227310,0,1000,0,18404,379,43058,5,4444,3911,0,288567,32280,16023,443,388,1230,0,0,1537,19,0,19984,0,123,0,24193
"G1701790","1850","Illinois","170","Tazewell","1790","Tazewell","21","1790",72882,92077,1604205,82720,144241,400,1114640,146922,0,0,0,20813,20,20288,259,1350,761,10,186350,13292,9986,27,71,12,0,0,0,55,0,657,0,74,0,586
"G1701810","1850","Illinois","170","Union","1810","Union","21","1810",30448,65505,346913,33707,31902,38,314705,42249,0,2228,0,8820,132,13221,7862,0,17,0,34127,131,209,0,12,8,0,0,825,51,0,6241,0,578,0,0
"G1701830","1850","Illinois","170","Vermilion","1830","Vermilion","21","1830",11759,135623,2088541,122111,46301,427,1475195,168976,0,100,0,59938,178,16507,902,60,2413,10,178586,8454,5545,69,449,25,0,0,2396,29,0,23990,0,656,0,21439
"G1701850","1850","Illinois","170","Wabash","1850","Wabash","21","1850",24369,39648,407434,35856,12438,330,320000,44895,0,4900,0,10230,2492,10110,536,16,934,0,55490,5984,2222,207,83,149,0,0,4687,130,0,2250,0,191,0,8148
"G1701870","1850","Illinois","170","Warren","1870","Warren","21","1870",75334,61267,1171018,106520,122645,2170,1021542,174396,0,0,0,51277,67,19779,93,624,404,30,188495,31425,8293,17,121,5,0,0,0,0,0,3480,0,60,0,4030
"G1701890","1850","Illinois","170","Washington","1890","Washington","21","1890",47557,68276,514118,41599,12080,126,467690,133268,0,0,0,19563,11998,12426,4165,0,580,0,159365,250,1699,0,15,0,0,0,0,171,0,0,0,0,0,33412
"G1701910","1850","Illinois","170","Wayne","1910","Wayne","21","1910",23938,45957,280570,27632,6342,472,301935,28613,0,2051,0,11347,1072,8616,1880,16,453,0,63440,1020,458,0,7,0,0,0,4734,319,0,100,0,0,0,19019
"G1701930","1850","Illinois","170","White","1930","White","21","1930",48548,88996,522691,48591,15293,1969,708815,54278,0,28129,0,19364,2319,17187,4652,6,331,25,146369,865,747,52,181,25,0,0,12762,143,1,780,0,59,0,6867
"G1701950","1850","Illinois","170","Whiteside","1950","Whiteside","21","1950",35992,55184,709497,58055,149661,0,211027,70654,0,505,0,14445,635,35441,23,2265,1685,0,118963,39954,8950,104,102,61,0,0,750,17,0,1980,0,510,0,9256
