GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AOS001,AOS002,AOD001,AOD002,AOD003,AOH001,AOH002,AOH003,AOH004,AOH005,AOH006,AOH007,AOH008,AOH009,AOH010,AOH011,AOH012,AOH013,AOH014,AOH015,AOH016,AOH017,AOH018,AOH019,AOH020,AOH021,AOH022,AOH023,AOH024,AOH025,AOH026,AOH027,AOH028,AOH029,AOH030,AOH031,AOH032,AOH033,AOH034,AOH035,AOH036,AOH037,AOH038
"G0100350","1880","Alabama","010","Conecuh","0350","Conecuh","41","350",47770,162608,481768,27474,235109,17314,720,38445,0,0,0,181277,25136,270,0,4633,0,0,0,0,0,31304,0,895,0,0,0,0,0,56715,8422,900,60341,1210,1437,54536,10424,6157,17314,0,0,2809,31
"G0100370","1880","Alabama","010","Coosa","0370","Coosa","41","370",81829,218063,969269,63261,374619,6805,276,172889,669,68,0,364399,41758,72,55028,8411,0,0,0,0,0,0,0,36982,0,0,0,0,0,124071,18022,1092,0,5258,1861,33268,31642,4159,6805,0,0,10204,96
"G0100390","1880","Alabama","010","Covington","0390","Covington","41","390",20813,104607,208096,17356,141056,29931,60,24972,0,0,0,81997,16266,50,0,1158,0,0,0,0,9,19840,0,186,0,0,0,0,0,33992,20515,1524,18860,1764,495,43890,8000,9613,29931,0,0,7668,0
"G0100410","1880","Alabama","010","Crenshaw","0410","Crenshaw","41","410",69059,159478,650619,34859,292061,5413,50,73469,50,0,0,254950,36480,102,139,8173,0,0,0,0,4,36630,0,605,0,0,0,0,0,91174,22051,1000,13490,6256,1865,52218,7435,2371,5413,0,0,5437,80
"G0100430","1880","Alabama","010","Cullman","0430","Cullman","41","430",21449,96832,404429,28767,111207,7108,1691,59326,2020,104,155,102982,8198,2513,12452,378,0,0,0,0,0,0,0,11364,0,0,47,0,0,41555,1410,257,0,8888,3789,11006,11538,5028,7108,0,0,1280,221
"G0100450","1880","Alabama","010","Dale","0450","Dale","41","450",72465,191516,575015,32875,265187,10055,15,29966,80,0,0,221497,28894,87,336,6224,0,0,0,0,6,48453,0,519,0,0,0,0,0,37986,16847,1251,19843,250,304,82286,9100,4190,10055,0,0,2751,0
"G0100470","1880","Alabama","010","Dallas","0470","Dallas","41","470",214441,227588,2326686,126445,686254,6298,4265,110487,25,133,0,707139,111213,219,487,33534,0,0,0,0,0,1756,0,830,0,0,681,0,125,118094,6354,821,2080,1678,3101,137387,13806,1860,6298,0,0,2062,164
"G0100490","1880","Alabama","010","DeKalb","0490","Dekalb","41","490",53859,131280,812192,39517,271791,12883,337,126436,145,0,0,322259,34843,1182,37382,2859,0,0,0,0,0,0,0,31494,0,0,177,0,0,95260,14554,696,0,4322,5075,14773,13599,6942,12883,0,0,1504,147
"G0100510","1880","Alabama","010","Elmore","0510","Elmore","41","510",76317,212732,938144,49341,313958,5451,1543,130616,0,157,0,211688,49849,116,20779,9771,0,0,0,0,0,2108,0,21506,0,0,12,0,0,128891,23233,1264,2140,2585,1282,49260,14221,2316,5451,0,0,6275,3
"G0100530","1880","Alabama","010","Escambia","0530","Escambia","41","530",8458,82859,138135,9201,119972,26317,1286,5502,12,0,0,34336,8979,0,0,94,0,0,0,0,0,13916,0,0,0,0,25,0,0,17864,4005,199,200150,0,799,42013,633,9239,26317,0,0,453,90
"G0100550","1880","Alabama","010","Etowah","0550","Etowah","41","550",61543,128862,1042055,39490,269757,9002,1402,136728,60,0,0,382788,44734,224,40192,6571,0,0,0,0,0,0,41,32202,0,0,32,0,0,100155,7486,675,0,11333,2383,19631,22967,5774,9002,0,0,1650,109
"G0100570","1880","Alabama","010","Fayette","0570","Fayette","41","570",58388,247792,710921,29189,249481,11205,0,147035,0,0,0,342520,27302,172,22745,4268,0,0,0,0,0,0,0,21586,0,0,212,0,0,85615,11837,982,1500,7184,762,32547,22922,7368,11205,0,0,11859,32
"G0100590","1880","Alabama","010","Franklin","0590","Franklin","41","590",48018,163873,763036,49160,217281,6178,200,119047,43,0,0,348897,23143,121,7331,3603,0,0,0,0,0,0,0,11028,0,0,5,0,0,87350,6345,588,0,3087,1756,10159,32688,4329,6178,0,0,1279,346
