GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AOS001,AOS002,AOD001,AOD002,AOD003,AOH001,AOH002,AOH003,AOH004,AOH005,AOH006,AOH007,AOH008,AOH009,AOH010,AOH011,AOH012,AOH013,AOH014,AOH015,AOH016,AOH017,AOH018,AOH019,AOH020,AOH021,AOH022,AOH023,AOH024,AOH025,AOH026,AOH027,AOH028,AOH029,AOH030,AOH031,AOH032,AOH033,AOH034,AOH035,AOH036,AOH037,AOH038
"G1301210","1880","Georgia","130","Fulton","1210","Fulton","44","1210",40798,55742,1438521,36320,188783,1438,91132,78972,1128,202,0,184630,32764,291,24914,4285,0,0,0,0,0,0,0,7765,0,0,235,0,0,92811,6806,385,0,1599,5056,32888,24050,810,1438,0,0,2669,853
"G1301230","1880","Georgia","130","Gilmer","1230","Gilmer","44","1230",31766,165809,421506,13501,130481,8618,0,82475,235,0,0,233348,3950,3729,25209,32,0,54,0,0,0,0,0,16550,0,0,24,0,0,58969,18382,224,0,2362,3013,4299,26437,7102,8618,0,0,3024,1404
"G1301250","1880","Georgia","130","Glascock","1250","Glascock","44","1250",25167,41251,365413,14203,80446,1930,0,21497,0,0,0,64701,15851,123,14197,2635,0,0,0,0,0,0,0,3816,0,0,3,0,0,13315,3165,79,0,0,1195,11819,697,770,1930,0,0,9577,0
"G1301270","1880","Georgia","130","Glynn","1270","Glynn","44","1270",5672,46979,228970,10237,60523,1615,1392,1287,0,0,0,17546,2415,0,0,10,0,0,0,0,15,8819,0,334,0,0,10,0,0,14954,745,139,1738342,0,628,28868,883,508,1615,0,0,450,23
"G1301290","1880","Georgia","130","Gordon","1290","Gordon","44","1290",73019,129832,1557445,65173,240000,11143,436,150774,1050,453,0,345800,48434,1005,113222,3301,0,0,0,0,0,0,0,20521,0,0,484,0,0,134832,11875,626,0,4653,1490,10181,17943,4794,11143,0,0,9685,596
"G1301330","1880","Georgia","130","Greene","1330","Greene","44","1330",101652,108909,1656662,85809,285727,6645,526,117851,550,1974,0,188909,77269,516,44581,12448,0,0,0,0,0,0,0,18595,0,0,435,0,0,87917,7921,391,0,1949,7289,36077,37647,2427,6645,0,0,21274,989
"G1301350","1880","Georgia","130","Gwinnett","1350","Gwinnett","44","1350",100375,187804,1734120,79067,349626,8268,1365,189363,247,100,0,470409,61814,452,74795,11810,0,0,0,0,0,2759,0,26877,0,0,5,0,0,164288,17488,594,0,11588,2594,43593,50540,5395,8268,0,0,2900,88
"G1301370","1880","Georgia","130","Habersham","1370","Habersham","44","1370",30022,151458,498470,15170,100309,4583,2443,45413,0,0,0,172806,15036,2153,12923,597,0,0,0,0,0,0,0,12364,0,0,52,0,0,42507,10227,567,12140,2963,886,11192,30075,3885,4583,0,0,1278,251
"G1301390","1880","Georgia","130","Hall","1390","Hall","44","1390",69327,194930,1227564,53269,237721,6000,2517,161005,150,0,0,354329,35424,1698,54876,5133,0,0,0,0,0,0,0,17776,0,0,11,0,0,75900,19963,771,0,8291,4451,23518,25806,4200,6000,0,0,4444,281
"G1301410","1880","Georgia","130","Hancock","1410","Hancock","44","1410",180800,145595,1343319,74426,270634,5431,1008,65817,0,155,0,233608,74810,454,34142,15010,0,0,0,0,0,0,17,15034,0,0,2,0,0,67296,5249,252,0,1929,1255,60701,8456,1962,5431,0,0,23973,23
"G1301430","1880","Georgia","130","Haralson","1430","Haralson","44","1430",28603,100578,466406,16730,100533,5061,880,72709,0,0,0,174011,25144,490,34163,2035,0,0,0,0,0,0,0,13272,0,0,1,0,0,48278,3755,236,0,10138,1324,3393,10772,3366,5061,0,0,874,43
"G1301450","1880","Georgia","130","Harris","1450","Harris","44","1450",94833,164722,1245062,49757,274388,2394,150,102045,270,1551,0,238452,48220,231,32563,12677,0,0,0,0,0,10998,0,5727,0,0,0,0,0,82578,9852,962,1505,1108,1617,51603,13776,1118,2394,0,0,6848,92
"G1301470","1880","Georgia","130","Hart","1470","Hart","44","1470",43730,82942,672492,31439,136284,3636,676,82939,0,0,0,126958,28453,35,24977,5094,0,0,0,0,0,0,0,9007,0,0,0,0,0,51983,10826,488,0,5204,1612,13617,14701,2085,3636,0,0,3586,37
"G1301490","1880","Georgia","130","Heard","1490","Heard","44","1490",50661,92006,687233,34272,151951,4093,0,66361,0,107,0,195161,25315,247,35439,5900,0,0,0,0,0,155,0,16139,0,0,4,0,0,37533,11531,899,0,1630,2902,21590,9196,2091,4093,0,0,4008,59
"G1301510","1880","Georgia","130","Henry","1510","Henry","44","1510",77128,83866,1141674,69616,235485,1977,0,107935,200,0,0,199132,39861,163,56513,10930,0,0,0,0,0,140,0,5735,0,0,0,0,0,61368,7260,192,0,420,591,13409,26415,963,1977,0,0,5390,0
"G1301530","1880","Georgia","130","Houston","1530","Houston","44","1530",171168,135292,1808938,81967,390083,3018,2621,37739,0,0,0,354229,121261,1040,19909,19099,0,0,0,0,0,19419,0,1756,0,0,0,0,0,95510,1850,222,12250,374,2223,70792,15931,1112,3018,0,0,34189,60
"G1301550","1880","Georgia","130","Irwin","1550","Irwin","44","1550",12606,213651,178023,13010,123948,50384,30,7225,0,0,0,38391,29114,0,0,595,0,0,0,0,21,8470,0,0,0,0,0,0,0,15068,1168,188,38010,0,0,59706,0,18254,50384,0,0,1649,0
"G1301570","1880","Georgia","130","Jackson","1570","Jackson","44","1570",70912,140914,1405670,70839,250001,5836,49,159678,79,0,0,295641,54649,111,56359,9482,0,0,0,0,0,0,0,19469,0,0,69,0,0,106458,16971,827,0,4088,1576,20022,27998,4310,5836,0,0,3827,37
"G1301590","1880","Georgia","130","Jasper","1590","Jasper","44","1590",89347,111219,870741,58430,216738,2833,0,75845,160,411,0,163152,30122,189,37760,6741,0,0,0,0,0,956,0,5423,0,0,9,0,0,45363,11607,794,0,277,1069,18776,8691,1152,2833,0,0,4898,431
"G1301630","1880","Georgia","130","Jefferson","1630","Jefferson","44","1630",125549,148109,1636267,62455,295755,10063,104,42299,120,0,0,296551,59037,941,23767,13377,0,0,0,0,0,14942,0,3290,0,0,4,0,0,78088,2328,137,0,0,596,61086,8407,3955,10063,0,0,14960,755
"G1301670","1880","Georgia","130","Johnson","1670","Johnson","44","1670",40663,123725,562422,25418,126162,21477,366,8892,2037,0,0,87413,15084,270,1616,3323,0,0,0,0,0,6790,0,296,0,0,0,0,0,23218,673,59,650,0,15,28360,339,8524,21477,0,0,4410,0
"G1301690","1880","Georgia","130","Jones","1690","Jones","44","1690",76968,126043,929079,33885,202171,3195,1001,37325,250,700,0,181777,31392,686,17374,8297,0,7,0,0,0,2318,0,3714,0,0,17,0,0,58296,2236,273,0,1923,2224,31519,17304,1256,3195,0,0,14711,17
"G1301750","1880","Georgia","130","Laurens","1750","Laurens","44","1750",93278,247500,852996,35767,290887,40716,7617,10559,224,0,0,196486,40123,1397,1624,6863,0,0,0,0,1,10987,0,76,0,0,0,0,0,53576,747,139,0,0,20,40108,4327,12191,40716,0,0,8270,1000
"G1301770","1880","Georgia","130","Lee","1770","Lee","44","1770",99696,93119,685024,54121,162526,2635,334,29255,20,0,0,161574,56912,525,2660,9143,0,0,0,0,0,26452,0,361,0,0,0,0,0,32855,1996,126,890,0,612,33693,5765,806,2635,0,0,4182,42
"G1301790","1880","Georgia","130","Liberty","1790","Liberty","44","1790",34501,197944,416221,22001,228135,15904,0,15464,129,0,0,74041,27178,38,0,679,0,0,0,0,30,30361,0,222,0,0,0,0,0,37649,12108,1323,2704330,0,174,74038,2055,6338,15904,0,0,4561,6
"G1301810","1880","Georgia","130","Lincoln","1810","Lincoln","44","1810",39245,100387,536920,27284,115365,4976,480,42135,10,0,0,87317,73380,125,15431,3861,0,0,0,0,0,225,0,8403,0,0,0,0,0,42789,1623,94,0,4030,1180,12895,19055,2041,4976,0,0,5894,112
"G1301850","1880","Georgia","130","Lowndes","1850","Lowndes","44","1850",56689,234076,702197,32571,213612,10709,6,33650,0,0,0,138671,102276,154,488,4981,0,0,0,0,64,57475,0,26,0,0,0,0,0,59262,15470,1212,162339,0,411,58793,2402,3760,10709,0,0,3643,0
"G1301870","1880","Georgia","130","Lumpkin","1870","Lumpkin","44","1870",22016,78334,266941,11109,80483,5896,461,53909,0,0,35,134747,12059,2513,13229,109,0,0,0,0,0,0,0,18284,0,0,6,0,0,41089,13111,663,0,10921,4941,12546,15611,4869,5896,0,0,1679,815
"G1301890","1880","Georgia","130","McDuffie","1890","Mcduffie","44","1890",60663,64849,745105,39829,197978,3894,0,42817,0,115,0,87614,57864,66,17367,7439,0,0,0,0,0,0,0,3712,0,0,30,0,0,48025,4217,243,0,355,1037,37016,8460,1481,3894,0,0,11522,100
"G1301910","1880","Georgia","130","McIntosh","1910","Mcintosh","44","1910",9321,70800,597882,22579,65487,2068,20,220,0,0,0,34463,4197,0,0,104,0,0,0,0,2,1860,0,455,0,0,0,0,0,6636,20,7,3787312,0,390,40060,0,781,2068,0,0,155,0
"G1301930","1880","Georgia","130","Macon","1930","Macon","44","1930",68020,87432,727189,35926,174047,2569,213,34382,40,0,0,154238,40712,1160,11105,8334,0,0,0,0,0,28939,0,968,0,0,8,0,0,41603,4147,306,975,355,680,42077,7233,970,2569,0,0,15873,0
"G1301950","1880","Georgia","130","Madison","1950","Madison","44","1950",54275,117324,633278,42490,131580,4857,0,77200,0,65,0,145422,32423,131,42150,4918,0,0,0,0,0,0,0,15661,0,0,3,0,0,39049,8409,287,0,486,438,8444,17013,3307,4857,0,0,4877,91
"G1301970","1880","Georgia","130","Marion","1970","Marion","44","1970",81457,89085,762305,32889,173175,1148,0,46614,0,0,0,141145,16800,2980,13132,6169,0,0,0,0,1,20831,0,381,0,0,0,0,0,45067,4039,198,2508,645,884,43598,13750,400,1148,0,0,15027,5
"G1301990","1880","Georgia","130","Meriwether","1990","Meriwether","44","1990",130906,166861,1529557,77554,308986,7138,945,100194,15,1132,0,310428,57913,991,53965,15154,0,0,0,0,0,2831,0,8927,0,0,249,0,0,72676,11654,1119,2446,5372,3626,50485,28070,2766,7138,0,0,15147,63
"G1302010","1880","Georgia","130","Miller","2010","Miller","44","2010",23758,68050,274905,4228,100289,8449,0,8226,100,0,0,55809,33647,10,0,1905,0,0,0,0,0,22771,0,0,0,0,0,0,0,17291,140,0,0,0,58,26588,0,2787,8449,0,0,480,10
"G1302015","1880","Georgia","130","Milton","2015","Milton","44","2030",31640,40907,533464,21770,142565,2004,0,58081,220,0,0,197188,25486,601,31100,4490,0,0,0,0,0,495,0,13343,0,0,28,0,0,52072,9079,340,0,975,392,9168,1465,1231,2004,0,0,767,37
"G1302050","1880","Georgia","130","Mitchell","2050","Mitchell","44","2050",72626,114796,642216,34983,214504,14720,16,10211,25,0,0,127161,67835,75,373,5559,0,0,0,0,0,47380,0,0,0,0,0,0,0,18755,593,27,7910,0,587,46761,0,4941,14720,0,0,1514,0
"G1302070","1880","Georgia","130","Monroe","2070","Monroe","44","2070",111137,124292,1538149,71794,315239,3764,113,106227,730,503,0,238776,76543,993,54998,13354,0,0,0,0,1,3597,0,5402,0,0,5,0,0,77581,7213,634,1260,1009,2154,42215,21693,1331,3764,0,0,19058,190
"G1302090","1880","Georgia","130","Montgomery","2090","Montgomery","44","2090",29544,288703,449837,24820,215636,45298,0,13352,31,140,0,84375,36218,47,495,852,0,0,0,0,20,29085,0,40,0,0,0,0,0,22158,1055,90,9462,560,175,42080,3499,15757,45298,0,0,4026,0
"G1302110","1880","Georgia","130","Morgan","2110","Morgan","44","2110",93124,103020,1114623,55528,206719,6226,686,92330,0,1755,0,105358,32198,861,39884,7358,0,0,0,0,0,0,0,13706,0,0,507,0,0,45164,16439,536,0,0,651,14671,31784,1882,6226,0,0,6107,192
"G1302130","1880","Georgia","130","Murray","2130","Murray","44","2130",44265,95291,724157,30086,133310,6175,0,78416,0,34,0,211059,14361,633,51502,1917,0,0,0,0,0,0,0,10604,0,0,422,0,0,46378,13348,384,0,2375,1874,7874,11945,3371,6175,0,0,9316,172
"G1302150","1880","Georgia","130","Muscogee","2150","Muscogee","44","2150",50708,53474,500347,31908,116750,520,32605,36999,0,0,0,69059,22649,179,1577,3268,0,0,0,0,0,3602,0,421,0,0,14,0,0,34615,1127,90,0,0,1911,25449,1171,205,520,0,0,4574,15
"G1302170","1880","Georgia","130","Newton","2170","Newton","44","2170",66287,92400,1181118,63644,194864,2047,465,116952,0,370,0,140808,49465,331,40657,7796,0,0,0,0,0,323,0,8263,0,0,22,0,0,85299,8564,335,0,235,1928,16996,11107,888,2047,0,0,4311,53
"G1302190","1880","Georgia","130","Oconee","2190","Oconee","44","2190",34417,54176,350556,29857,100690,2757,0,47831,0,266,0,97566,18454,181,17415,4257,0,0,0,0,0,0,0,7313,0,0,17,0,0,25867,2538,113,0,995,1168,10962,5494,1281,2757,0,0,3183,0
"G1302210","1880","Georgia","130","Oglethorpe","2210","Oglethorpe","44","2210",97536,158496,1315257,62432,250681,8166,51,115440,0,1114,0,200584,59832,172,57713,12336,0,0,0,0,0,0,0,12779,0,0,18,0,0,56901,8075,185,0,0,7846,25071,25870,3554,8166,0,0,22895,43
"G1302230","1880","Georgia","130","Paulding","2230","Paulding","44","2230",54458,98155,928367,59589,192591,7106,0,104780,0,0,0,318520,53613,591,48240,7352,0,0,0,0,0,0,0,16784,0,0,40,0,0,89734,14822,610,0,7286,1375,21548,44344,3890,7106,0,0,2866,266
"G1302270","1880","Georgia","130","Pickens","2270","Pickens","44","2270",27805,103850,381425,26944,95133,3789,480,59044,70,0,0,189245,12542,1633,33999,734,0,0,0,0,0,0,0,13832,0,0,12,0,0,50298,11872,366,0,6640,2223,10544,17691,3353,3789,0,0,2507,574
"G1302290","1880","Georgia","130","Pierce","2290","Pierce","44","2290",12118,213420,232785,13649,145559,11355,691,7156,95,0,0,39026,21786,0,0,369,0,0,0,0,15,11598,0,0,0,0,0,0,0,15547,19034,1022,44522,0,135,45770,5584,4175,11355,0,0,988,7
"G1302310","1880","Georgia","130","Pike","2310","Pike","44","2310",97145,83988,1762529,73178,272198,2603,27810,85529,80,378,0,244674,48976,1069,52880,12431,0,0,0,0,0,907,0,11178,0,0,16,0,0,69135,6894,415,1500,1330,1518,41540,20645,1017,2603,0,0,14958,34
"G1302330","1880","Georgia","130","Polk","2330","Polk","44","2330",54701,66615,1110475,32949,167601,4937,3352,63484,350,0,0,241382,67515,161,50010,8126,0,0,0,0,0,0,0,18500,0,0,63,0,0,46952,5398,185,0,6130,2904,6929,27040,2370,4937,0,0,2477,16
"G1302350","1880","Georgia","130","Pulaski","2350","Pulaski","44","2350",84816,116567,955574,38802,240210,4995,115,27485,0,0,0,242814,29604,531,1326,9805,0,0,0,0,1,22653,0,331,0,0,0,0,0,68287,930,32,0,0,1065,51698,14321,1640,4995,0,0,9751,85
"G1302370","1880","Georgia","130","Putnam","2370","Putnam","44","2370",81423,104464,1071492,55156,240404,3663,768,58371,13,826,0,141172,35234,467,24591,9678,0,0,0,0,0,2422,0,3948,0,0,185,0,0,47003,5780,200,1000,0,2262,21413,23306,1423,3663,0,0,7288,8
"G1302390","1880","Georgia","130","Quitman","2390","Quitman","44","2390",27814,39727,265168,16916,80424,445,0,14163,0,0,0,40220,22398,114,2419,3163,0,0,0,0,0,4877,0,0,0,0,0,0,0,14520,614,38,3000,0,0,11964,0,206,445,0,0,4018,0
"G1302410","1880","Georgia","130","Rabun","2410","Rabun","44","2410",19451,168908,225490,11738,94988,4597,90,48207,270,0,0,115456,2823,6811,1870,14,0,0,0,0,0,0,0,8443,0,0,130,0,0,32082,14246,557,750,3643,5282,8312,13755,4052,4597,0,0,285,365
"G1302430","1880","Georgia","130","Randolph","2430","Randolph","44","2430",92654,123475,787165,34120,213357,1237,60,48698,0,0,0,130258,46612,1535,12653,8467,0,0,0,0,0,31797,0,927,0,0,0,0,0,55722,15316,908,3765,0,1223,51697,3888,537,1237,0,0,5298,83
"G1302450","1880","Georgia","130","Richmond","2450","Richmond","44","2450",40071,86689,1267155,52304,179702,2313,36489,30091,0,0,0,102619,73155,74,13553,2742,0,0,0,0,1,1662,0,1398,0,0,1728,0,0,49071,6133,91,21397,0,5031,47213,19776,866,2313,0,0,4605,16
"G1302470","1880","Georgia","130","Rockdale","2470","Rockdale","44","2470",34336,31389,531975,35015,101167,1493,2428,59045,0,0,0,91552,23349,203,27128,4385,0,0,0,0,0,0,0,5580,0,0,12,0,0,47266,4093,133,0,0,80,9732,8595,695,1493,0,0,3974,24
"G1302490","1880","Georgia","130","Schley","2490","Schley","44","2490",41139,53163,431863,21578,105271,1591,21,8547,0,0,0,99188,12408,1254,7986,4945,0,0,0,0,0,12410,0,75,0,0,0,0,0,16664,2919,102,1280,0,30,25999,2315,508,1591,0,0,12335,0
"G1302510","1880","Georgia","130","Screven","2510","Screven","44","2510",84006,260652,1394303,53796,260489,18412,150,29367,27,0,0,180215,35347,24,452,8166,0,0,0,0,12,35756,0,906,0,0,3,0,0,50945,7583,358,235184,0,290,44186,6397,6285,18412,0,0,3175,130
"G1302550","1880","Georgia","130","Spalding","2550","Spalding","44","2550",56779,49076,1011151,42232,164481,1274,1794,31489,0,119,0,140142,22555,97,29574,7418,0,0,0,0,0,961,0,4798,0,0,9,0,0,33410,3120,218,680,589,382,19215,13524,671,1274,0,0,2959,36
"G1302590","1880","Georgia","130","Stewart","2590","Stewart","44","2590",110224,135346,916936,52510,240986,2986,10,62300,0,0,0,182948,61370,804,12922,12653,0,0,0,0,0,35451,1,1109,0,0,0,0,0,44317,7084,744,2554,390,845,60930,21202,959,2986,0,0,16015,70
"G1302610","1880","Georgia","130","Sumter","2610","Sumter","44","2610",105680,122220,1143317,60677,281168,2096,0,37110,0,0,0,272238,83868,1338,9650,11451,0,0,0,0,0,39064,0,130,0,0,0,0,0,64421,9906,544,3455,470,662,70273,2531,805,2096,0,0,9612,165
"G1302630","1880","Georgia","130","Talbot","2630","Talbot","44","2630",86145,121045,1089220,61388,249887,1631,995,76286,950,525,0,234545,36834,338,26411,10325,0,0,0,0,0,11317,0,1543,0,0,18,0,0,71076,8968,685,0,719,1788,41672,35990,599,1631,0,0,11640,85
"G1302650","1880","Georgia","130","Taliaferro","2650","Taliaferro","44","2650",49570,58695,548942,27887,100403,2598,0,38239,0,168,0,83239,38769,261,20647,4758,0,0,0,0,0,2872,0,9491,0,0,10,0,0,23496,1276,44,0,205,620,17499,4362,1097,2598,0,0,3100,0
"G1302670","1880","Georgia","130","Tattnall","2670","Tattnall","44","2670",26830,442921,464023,29416,292875,36502,154,10122,670,0,0,96189,36954,107,67,964,0,0,0,0,60,30018,0,115,0,0,375,0,0,30840,6936,424,169153,0,142,68147,150,14177,36502,0,0,3200,0
"G1302690","1880","Georgia","130","Taylor","2690","Taylor","44","2690",52271,106330,429930,23291,112250,3331,38501,31138,0,0,0,115400,19177,602,14739,4854,0,0,0,0,0,15515,0,334,0,0,0,0,0,33242,6103,279,4775,1000,1207,30690,8711,1041,3331,0,0,12426,0
"G1302710","1880","Georgia","130","Telfair","2710","Telfair","44","2710",22779,103080,198595,5874,116377,22935,100,8295,215,0,0,49942,15658,0,0,740,0,0,0,0,0,10500,2,200,0,0,0,0,0,15275,0,0,0,215,0,27826,275,7740,22935,0,0,421,0
"G1302730","1880","Georgia","130","Terrell","2730","Terrell","44","2730",59743,81805,513315,33158,152649,2012,730,38751,0,0,0,137882,42830,626,9710,6944,0,0,0,0,1,38500,0,269,0,0,0,0,0,68079,13795,692,0,0,1348,39919,7458,652,2012,0,0,3092,7
"G1302750","1880","Georgia","130","Thomas","2750","Thomas","44","2750",94797,221046,1287052,71437,336910,20681,1448,50368,0,0,0,245531,158467,81,160,8773,0,0,0,0,25,101325,0,0,0,0,0,0,0,86348,2152,246,32323,656,568,96727,12875,7120,20681,0,0,466,6
"G1302810","1880","Georgia","130","Towns","2810","Towns","44","2810",16064,56920,190754,9707,55315,3376,0,30585,58,0,0,87895,4465,6669,8559,0,0,0,0,0,0,0,0,6760,0,0,125,0,0,18214,9406,194,0,3127,4401,6153,10783,2779,3376,0,0,161,679
"G1302850","1880","Georgia","130","Troup","2850","Troup","44","2850",138684,127030,1790872,68794,350441,2519,1742,108787,150,448,0,341963,69672,816,55572,18655,0,0,0,0,0,1216,0,12828,0,0,189,0,0,89827,8619,562,0,2135,4822,81987,26689,836,2519,0,0,9579,569
"G1302890","1880","Georgia","130","Twiggs","2890","Twiggs","44","2890",68914,109978,664955,26895,173561,1051,300,17819,115,250,0,168044,9202,1378,1876,8217,0,0,0,0,0,3582,0,667,0,0,11,0,0,31639,2000,290,1400,0,465,24885,12030,396,1051,0,0,7703,0
"G1302910","1880","Georgia","130","Union","2910","Union","44","2910",32238,127594,311611,14668,104316,7129,145,51662,85,0,206,198531,12697,9132,20743,5,35,0,0,0,0,0,0,16365,0,0,100,0,0,57358,10040,288,0,7707,6062,10104,23119,6221,7129,0,0,518,762
"G1302930","1880","Georgia","130","Upson","2930","Upson","44","2930",75925,107300,856653,47585,210430,2323,0,48754,0,0,0,193694,30140,210,52258,8540,0,0,0,0,0,11772,0,9119,0,0,12,0,0,46333,8332,492,1110,311,756,23077,19549,867,2323,0,0,7788,26
"G1302950","1880","Georgia","130","Walker","2950","Walker","44","2950",74077,148602,1306549,59761,263537,11786,874,111536,291,267,0,369298,36861,758,96344,2009,0,0,0,0,0,0,0,28889,0,0,493,0,0,116269,19172,561,27000,2377,6473,20846,32421,5523,11786,0,0,9423,70
"G1302970","1880","Georgia","130","Walton","2970","Walton","44","2970",88410,125085,1581907,69950,269330,4500,170,141995,100,106,0,288761,50633,414,65385,12534,0,0,0,0,0,0,0,7082,0,0,2890,0,0,82042,7531,1018,0,1957,2020,27071,29387,2329,4500,0,0,2643,288
"G1302990","1880","Georgia","130","Ware","2990","Ware","44","2990",10807,137604,167779,8980,133680,11476,265,7908,20,0,0,29184,14376,28,0,158,0,0,0,0,0,13289,0,0,0,0,0,0,0,14414,8638,1061,231553,235,86,33682,885,4242,11476,0,0,1252,0
"G1303010","1880","Georgia","130","Warren","3010","Warren","44","3010",59862,79772,1121619,30712,168320,5035,65,48520,0,178,0,89770,48915,21,19229,7885,0,0,0,0,0,0,0,922,0,0,3,0,0,29806,1744,100,0,0,1421,37160,11908,1914,5035,0,0,12810,17
"G1303030","1880","Georgia","130","Washington","3030","Washington","44","3030",159734,175497,1940851,94934,412198,12945,19332,49014,0,0,0,411499,88184,5456,30460,23058,0,0,0,0,1,7392,0,4015,0,0,0,0,0,78409,4817,106,2260,0,8252,99552,5535,4954,12945,0,0,37922,5
"G1303050","1880","Georgia","130","Wayne","3050","Wayne","44","3050",9979,270080,219168,9043,185346,11224,656,9006,0,0,0,39112,15506,0,0,119,0,0,0,0,0,14501,0,0,0,0,0,0,0,19651,14670,1212,94688,0,212,52010,7065,4765,11224,0,0,1958,35
"G1303070","1880","Georgia","130","Webster","3070","Webster","44","3070",44435,75211,502752,31592,108418,635,0,31269,75,0,0,96105,20039,1492,8834,4642,0,0,0,0,0,10713,0,127,0,0,0,0,0,20276,9870,345,637,0,125,22930,10400,248,635,0,0,9250,0
"G1303110","1880","Georgia","130","White","3110","White","44","3110",20592,90022,395430,17345,82868,2815,10,43387,0,0,0,148120,19225,1963,12843,68,0,0,0,0,0,0,0,11325,0,0,154,0,0,34083,8451,334,8672,4738,2319,12238,22260,2187,2815,0,0,2328,502
"G1303130","1880","Georgia","130","Whitfield","3130","Whitfield","44","3130",49164,103457,1058102,46004,179386,8865,648,122434,164,324,0,255923,36085,772,40267,1240,0,0,0,0,0,0,0,23492,0,0,763,0,0,104239,15534,576,0,5207,2832,13570,19452,4810,8865,0,0,6105,206
"G1303150","1880","Georgia","130","Wilcox","3150","Wilcox","44","3150",18897,188730,230473,18260,148758,41270,0,6750,191,0,0,61511,20711,0,32,1331,0,0,0,0,0,22261,0,0,0,0,0,0,0,15498,50,20,3874,0,320,33071,6091,14221,41270,0,0,2734,0
"G1303170","1880","Georgia","130","Wilkes","3170","Wilkes","44","3170",97159,155623,1278174,62400,245305,5998,2021,53309,350,1220,0,191218,133277,466,32732,11109,34,2,100,0,0,56,0,26053,0,0,51,0,0,53281,5420,405,0,0,2296,24962,8344,2392,5998,0,0,9749,55
"G1303190","1880","Georgia","130","Wilkinson","3190","Wilkinson","44","3190",109696,153039,928537,42704,240625,3592,2660,33141,471,0,0,224305,37665,3790,19805,7966,0,0,0,0,0,15467,0,840,0,0,0,0,0,78929,3771,359,3600,0,1145,39971,13679,1373,3592,0,0,32592,137
"G1303210","1880","Georgia","130","Worth","3210","Worth","44","3210",40641,137591,434166,30130,185049,41060,0,20081,0,0,0,86222,33466,39,607,2893,0,0,0,0,1,24690,0,30,0,0,0,0,0,37708,1829,154,27584,1780,986,46059,88,14542,41060,0,0,3649,163
"G1650015","1880","Idaho Territory","165","Ada","0015","Ada","63","10",62842,18011,800475,84545,522264,14900,112,69482,1690,97633,0,9936,97681,2479,163298,0,0,0,0,0,0,0,0,36,0,0,8782,10,71,47432,50,0,0,0,27890,0,1337,4525,14900,0,300,58,471
"G1650035","1880","Idaho Territory","165","Alturas","0035","Alturas","63","35",919,525,28950,3225,11870,0,0,1150,500,1600,0,0,1950,0,215,0,0,0,0,0,0,0,0,0,0,0,129,0,27,1160,0,0,0,0,4520,0,12,0,0,0,0,0,0
"G1650055","1880","Idaho Territory","165","Bear Lake","0055","Bear Lake","63","70",11604,190,138050,23380,81731,13639,50,28685,4805,2536,0,0,30840,0,34859,0,0,0,0,0,0,0,0,0,0,0,3204,0,0,10604,0,0,0,0,8450,0,0,3255,13639,0,0,0,0
"G1650075","1880","Idaho Territory","165","Boise","0075","Boise","63","150",4444,5617,116050,12710,71079,500,800,10160,0,16132,0,645,33719,0,21739,0,0,0,0,0,0,0,0,0,0,0,1270,0,0,10456,0,0,0,0,20033,0,598,102,500,0,0,0,0
"G1650095","1880","Idaho Territory","165","Cassia","0095","Cassia","63","310",7336,12912,110900,15963,106319,9565,60,13200,350,22993,0,330,11617,0,7767,0,0,0,0,0,0,0,0,0,0,0,2154,0,0,8174,0,0,0,0,7600,0,0,1473,9565,0,0,0,0
"G1650115","1880","Idaho Territory","165","Idaho","0115","Idaho","63","490",22830,8084,254225,30370,170838,16158,0,8289,0,3915,0,3150,53968,0,47233,0,0,0,0,0,0,0,0,0,0,0,4165,0,0,7306,0,0,0,0,10088,0,391,3988,16158,0,0,0,0
"G1650135","1880","Idaho Territory","165","Kootenai","0135","Kootenai","63","550",1100,2640,14290,2877,7117,300,0,1520,0,580,0,0,800,0,475,0,0,0,0,0,0,0,0,0,0,0,428,0,0,591,0,0,0,0,540,0,0,60,300,0,0,0,0
"G1650155","1880","Idaho Territory","165","Lemhi","0155","Lemhi","63","590",17750,3400,135850,18460,164460,0,1500,30000,150,205,0,0,38628,0,33564,0,0,0,0,0,0,0,0,0,0,0,2196,0,168,4608,0,0,0,0,12840,0,298,0,0,0,0,660,0
"G1650175","1880","Idaho Territory","165","Nez Perce","0175","Nez Perce","63","690",18992,17385,546460,70240,260067,41070,10175,27823,0,51644,0,768,133897,25,148422,0,14901,89,0,0,0,0,0,0,0,0,4441,15,136,26422,0,0,0,400,22764,0,310,7814,41070,0,0,30,33
"G1650195","1880","Idaho Territory","165","Oneida","0195","Oneida","63","710",30148,37642,359890,63785,349588,8896,450,82818,12600,1639,0,504,41781,1377,44160,0,0,0,0,0,0,0,0,0,0,0,8269,10,4,132366,0,0,0,0,28693,0,0,2420,8896,0,0,25,0
"G1650215","1880","Idaho Territory","165","Owyhee","0215","Owyhee","63","730",4897,10333,117000,12865,237405,21600,2480,20900,200,18220,0,640,6960,0,1413,0,0,0,0,0,0,0,0,0,0,0,1574,0,0,1085,0,0,0,0,7990,0,207,3600,21600,0,0,0,0
