GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AGP001,AGP002,AGV001,AGV002,AGY001,AGY002,AGY003,AGY004,AGY005,AGY006,AGY007,AGY008,AGY009,AGY010,AGY011,AGY012,AGY013,AGY014,AGY015,AGY016,AGY017,AGY018,AGY019,AGY020,AGY021,AGY022,AGY023,AGY024,AGY025,AGY026,AGY027,AGY028,AGY029,AGY030,AGY031,AGY032,AGY033
"G1900670","1860","Iowa","190","Floyd","0670","Floyd","31","670",21522,49367,773012,14843,48850,302,119356,51782,0,456,0,2711,234,37380,11,485,167,0,72903,9100,8442,0,219,5,0,0,0,35,8,0,11434,0,643,0,1132,7,4041
"G1900690","1860","Iowa","190","Franklin","0690","Franklin","31","690",6506,16617,200298,10178,14742,751,52707,12765,0,535,0,188,48,9009,0,0,101,0,24281,1980,2891,0,119,2,0,0,0,0,0,0,150,0,14,0,417,0,140
"G1900710","1860","Iowa","190","Fremont","0710","Fremont","31","710",28687,60517,1175083,40543,45147,1060,463860,33005,0,35,0,6944,401,17220,0,509,2488,6,110586,7727,1462,94,272,37,0,0,0,0,0,0,0,0,0,0,7098,1071,20119
"G1900730","1860","Iowa","190","Greene","0730","Greene","31","730",7227,20860,168557,9960,11799,0,89560,5252,0,1543,0,2341,134,5404,1,0,0,0,17818,703,2220,0,50,0,0,0,0,430,207,5,232,0,35,0,3626,33,852
"G1900750","1860","Iowa","190","Grundy","0750","Grundy","31","750",5458,12961,200720,10935,16016,90,50435,17138,0,525,0,846,72,6816,0,900,21,0,32385,8190,2481,0,215,0,0,0,0,0,0,0,0,0,0,0,1219,8,100
"G1900770","1860","Iowa","190","Guthrie","0770","Guthrie","31","770",18477,39312,510130,27202,56648,32,278840,14088,0,2271,0,4075,378,11293,191,0,93,0,66684,1960,5249,0,97,0,0,0,0,66,6,0,0,0,241,0,15705,0,1594
"G1900790","1860","Iowa","190","Hamilton","0790","Hamilton","31","790",8237,20334,312375,14860,10590,75,45505,8209,0,180,0,625,80,10212,12,0,224,6,40810,820,3742,0,45,0,0,0,0,0,0,0,3170,0,319,0,1009,0,300
"G1900810","1860","Iowa","190","Hancock","0810","Hancock","31","810",845,2409,38100,2305,2424,0,4380,1518,0,0,0,100,12,2945,0,0,0,0,5000,100,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1900830","1860","Iowa","190","Hardin","0830","Hardin","31","830",22593,52388,737827,30724,57786,708,250345,46863,0,2635,0,4628,363,24843,156,70,251,0,79270,3321,6972,0,182,10,0,0,0,200,4,0,4355,0,290,0,9613,101,3567
"G1900850","1860","Iowa","190","Harrison","0850","Harrison","31","850",12276,41837,29010,25596,36988,404,226035,29900,0,2381,0,1868,575,16814,0,325,190,0,75384,8331,6016,0,28,0,0,0,0,100,1,0,0,0,0,0,9175,897,21895
"G1900870","1860","Iowa","190","Henry","0870","Henry","31","870",114270,74187,4106510,156579,118012,4588,1319803,36852,0,24545,0,19135,1503,53465,3593,3018,10924,197,296974,19092,16122,176,2399,224,0,0,0,145,610,30,7820,0,496,0,52234,1047,25706
"G1900890","1860","Iowa","190","Howard","0890","Howard","31","890",16388,73278,615519,27402,60071,337,76007,50572,0,1100,0,1094,120,32775,0,3028,141,0,85171,6535,8588,0,41,0,0,0,0,0,0,0,1000,0,0,0,0,0,40
"G1900910","1860","Iowa","190","Humboldt","0910","Humboldt","31","910",1110,2676,18730,755,846,0,4190,950,0,0,0,54,12,2321,0,0,50,0,5050,50,590,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0
"G1900930","1860","Iowa","190","Ida","0930","Ida","31","930",248,2137,12060,717,260,0,1580,150,0,0,0,0,13,265,0,0,0,0,1250,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1900950","1860","Iowa","190","Iowa","0950","Iowa","31","950",43192,98380,1464530,66638,104629,787,653416,94360,0,1505,0,4313,502,48896,127,1112,962,250,168429,12396,12458,10,239,0,0,0,0,495,22,0,0,0,0,0,19091,354,9600
"G1900970","1860","Iowa","190","Jackson","0970","Jackson","31","970",107554,177476,3219489,162213,339126,1796,760546,302332,0,1176,0,11898,1100,70150,0,5198,4603,105,374644,25704,22687,26,1071,100,10,0,0,90,306,0,32782,0,442,0,13394,1855,18496
"G1900990","1860","Iowa","190","Jasper","0990","Jasper","31","990",58772,103698,2046716,85129,100827,153,906615,76849,0,4615,0,10086,468,41461,722,1257,712,32,172420,14899,13141,0,133,9,0,0,0,0,20,0,0,0,75,0,48893,281,18076
"G1901010","1860","Iowa","190","Jefferson","1010","Jefferson","31","1010",99357,109083,3661566,146064,72910,4377,1171985,36929,0,25,0,27069,490,38761,3370,1013,12045,91,257044,5514,13218,303,6174,141,0,0,0,0,465,0,90,0,10,0,34585,2112,33612
"G1901030","1860","Iowa","190","Johnson","1030","Johnson","31","1030",77642,76764,2436810,92647,177464,2316,1106661,161452,0,3000,0,12574,21,69591,581,4520,604,20,212792,12575,20516,13,1341,7,0,0,0,0,0,0,798,0,0,0,13996,127,7690
"G1901050","1860","Iowa","190","Jones","1050","Jones","31","1050",96977,131105,2552933,114576,263866,0,721592,193144,0,2734,0,10094,549,56035,357,5936,84,9,261694,33188,24415,25,675,61,5,0,0,296,83,4,395,0,9,0,12680,324,6960
"G1901070","1860","Iowa","190","Keokuk","1070","Keokuk","31","1070",91363,162475,3204065,119164,116470,12115,1324715,81836,0,2218,0,22583,835,44325,3836,2659,5980,2,221603,13033,8114,86,254,4,0,0,0,587,8,0,120,0,0,0,66017,293,28162
"G1901090","1860","Iowa","190","Kossuth","1090","Kossuth","31","1090",1798,6870,38010,1825,1150,0,7815,1101,0,0,0,0,2,5430,0,0,0,0,12134,60,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"G1901110","1860","Iowa","190","Lee","1110","Lee","31","1110",131206,95717,5115505,199189,141844,21799,1501117,42647,0,29799,0,26196,1134,92213,4778,11162,10800,131,362363,82654,19759,39,5626,81,0,0,0,212,149,0,3043,0,343,0,24636,1109,30551
"G1901130","1860","Iowa","190","Linn","1130","Linn","31","1130",115867,136451,3845262,151222,251256,1618,1048581,222224,0,967,0,16291,732,66050,684,3623,512,38,229760,25822,26502,31,1242,45,0,0,0,300,11,0,9254,0,382,0,23088,1013,16620
"G1901150","1860","Iowa","190","Louisa","1150","Louisa","31","1150",75201,53974,2538652,112789,144354,12573,1050830,35531,0,2808,0,10000,239,38938,1975,381,2191,0,252602,5177,12237,6,1946,0,0,0,0,200,0,0,1150,0,36,0,22895,366,21138
"G1901170","1860","Iowa","190","Lucas","1170","Lucas","31","1170",33763,54726,739539,42242,21839,812,569145,30779,0,4732,0,9855,619,16728,722,0,9122,0,149535,6823,5680,0,1013,0,0,0,0,466,21,0,0,0,0,0,19445,335,18657
"G1901210","1860","Iowa","190","Madison","1210","Madison","31","1210",44172,120776,617460,77212,63359,4088,694785,39787,0,10860,0,8674,1270,29496,551,512,5637,1,145435,7179,10958,49,471,44,20,0,0,2714,126,55,10945,0,0,0,36134,1238,27399
"G1901230","1860","Iowa","190","Mahaska","1230","Mahaska","31","1230",73850,97019,2476356,106951,106401,3059,1318310,77969,0,12643,0,35348,522,37431,2492,3033,2460,43,189115,13247,14782,1,1273,44,0,0,0,408,109,0,70,0,0,0,52491,1222,27161
"G1901250","1860","Iowa","190","Marion","1250","Marion","31","1250",78759,123833,2778960,122907,119836,7811,1571066,84034,0,5007,0,23221,601,43899,2844,712,4198,0,228532,23502,9474,11,686,0,0,0,0,497,23,0,0,0,14,0,67680,1609,37887
"G1901270","1860","Iowa","190","Marshall","1270","Marshall","31","1270",34120,79585,1017015,57022,81801,1736,477775,83285,0,0,0,8959,354,25885,70,573,109,0,106838,9398,7879,0,155,0,0,0,0,1023,97,0,0,0,0,0,14217,179,6606
"G1901290","1860","Iowa","190","Mills","1290","Mills","31","1290",29531,73700,1330710,59919,77053,1957,393880,38103,0,200,0,4829,1017,22303,82,495,2291,589,112271,7739,7465,0,2,0,0,0,0,0,0,0,0,0,0,0,8302,778,10881
"G1901310","1860","Iowa","190","Mitchell","1310","Mitchell","31","1310",17549,665615,607070,33664,63961,1249,101489,51833,0,2595,0,625,243,39425,0,4559,363,0,72795,12125,9112,0,116,4,0,0,0,130,2,0,5830,0,168,0,873,20,926
"G1901330","1860","Iowa","190","Monona","1330","Monona","31","1330",2883,14915,92435,6610,4326,78,25745,4020,0,0,0,1890,221,4871,0,0,0,0,12475,1400,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,1315,216,2720
"G1901350","1860","Iowa","190","Monroe","1350","Monroe","31","1350",51120,91295,1997648,73354,38538,4179,730856,29699,0,14208,0,19548,914,21455,989,0,8666,3,171243,6386,8625,0,3492,0,0,0,0,899,28,0,1,0,0,0,29832,957,25922
"G1901370","1860","Iowa","190","Montgomery","1370","Montgomery","31","1370",5770,18414,232082,8858,10605,353,103700,4514,0,0,0,1751,214,4434,0,0,1059,0,21395,2300,1547,6,35,0,0,0,0,25,1,0,0,0,0,0,1722,84,4685
"G1901390","1860","Iowa","190","Muscatine","1390","Muscatine","31","1390",112899,73666,3886294,145405,346481,15590,1144985,111142,0,1880,0,4795,1105,117138,3986,29719,2199,375,272595,25540,19572,2,4714,193,7,0,0,28,25,0,30,0,18,0,18100,436,10999
"G1901410","1860","Iowa","190","O Brien","1410","O Brien","31","1410",25,135,800,0,30,0,100,5,0,0,0,0,0,30,0,0,0,0,100,100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1901430","1860","Iowa","190","Osceola","1430","Osceola","31","1430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1901450","1860","Iowa","190","Page","1450","Page","31","1450",26425,65824,1645890,43896,47444,124,368380,16525,0,5398,0,10182,635,15140,169,71,2264,6,95651,3745,1932,0,506,123,0,0,122,2402,20,0,0,0,0,0,15243,942,18926
"G1901470","1860","Iowa","190","Palo Alto","1470","Palo Alto","31","1470",345,1384,4650,415,10,0,1705,110,0,0,0,0,10,2550,0,0,0,0,2125,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1901490","1860","Iowa","190","Plymouth","1490","Plymouth","31","1490",1316,4286,32810,1805,2121,0,9040,50,0,0,0,0,0,2970,0,0,0,0,3195,100,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1901510","1860","Iowa","190","Pocahontas","1510","Pocahontas","31","1510",139,656,2700,170,50,0,1280,0,0,0,0,0,0,650,0,0,0,0,1350,1000,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1901530","1860","Iowa","190","Polk","1530","Polk","31","1530",45040,73473,1892316,62274,75210,343,1553000,47772,0,20,0,10682,76,29218,752,1985,197,2,146907,6077,10247,277,45,3,0,0,0,400,0,0,2808,0,139,0,24038,649,20701
"G1901550","1860","Iowa","190","Pottawattamie","1550","Pottawattamie","31","1550",17066,35240,424211,23565,52817,691,234530,22124,0,50,0,1487,690,21731,8,306,596,0,81970,3281,5545,0,70,0,0,0,0,0,0,0,0,0,0,0,2679,209,4628
"G1901570","1860","Iowa","190","Poweshiek","1570","Poweshiek","31","1570",36762,61253,975925,38304,71612,110,542615,49639,0,0,0,8838,0,24911,81,0,532,0,91876,4560,4158,0,63,27,0,0,0,0,0,0,0,0,0,0,16759,30,2985
"G1901590","1860","Iowa","190","Ringgold","1590","Ringgold","31","1590",16875,39076,425098,18491,10640,891,204319,10157,0,3623,0,2429,449,10318,0,28,4913,0,53541,2716,4778,0,209,0,0,0,0,147,22,0,25,0,0,0,7704,227,8176
"G1901610","1860","Iowa","190","Sac","1610","Sac","31","1610",903,2683,41850,1700,769,0,6670,1562,0,0,0,146,46,1395,0,0,0,0,5200,550,505,0,0,0,0,0,0,0,0,0,40,0,3,0,261,0,0
"G1901630","1860","Iowa","190","Scott","1630","Scott","31","1630",151053,43209,4405186,209274,746634,2225,1015796,267970,0,625,0,5121,1199,164484,925,222126,1122,76,353337,32173,22100,293,1675,122,0,0,0,50,3,0,150,0,0,0,6321,209,4991
"G1901650","1860","Iowa","190","Shelby","1650","Shelby","31","1650",3910,14558,127610,6541,9300,0,45875,3562,0,0,0,750,121,4180,0,0,157,2,16740,465,1859,0,0,0,0,0,0,0,0,0,0,0,0,0,930,70,7100
"G1901670","1860","Iowa","190","Sioux","1670","Sioux","31","1670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1901690","1860","Iowa","190","Story","1690","Story","31","1690",24711,48674,626574,30004,33411,137,194127,17744,0,5630,0,3116,266,18164,54,29,110,0,99757,2335,6829,0,46,14,0,0,0,281,32,0,3499,0,132,0,10404,149,4515
"G1901710","1860","Iowa","190","Tama","1710","Tama","31","1710",10615,5956,313943,18066,29364,5462,127265,23995,0,1177,0,1380,206,10575,40,260,155,0,39009,4389,807,0,575,18,0,0,0,0,0,0,0,0,0,0,6619,58,1224
"G1901730","1860","Iowa","190","Taylor","1730","Taylor","31","1730",18288,62556,577647,23007,19489,533,262200,7609,0,2590,0,5144,427,14152,231,70,3924,5,66004,4661,4549,0,133,0,0,0,0,0,6,0,0,0,0,0,10416,606,10155
"G1901750","1860","Iowa","190","Union","1750","Union","31","1750",12456,30131,377447,19295,10725,852,160635,7581,0,643,0,1174,210,9887,36,88,2072,0,40105,6551,3704,0,49,0,0,0,0,0,0,0,50,0,0,0,8543,180,5357
"G1901770","1860","Iowa","190","Van Buren","1770","Van Buren","31","1770",91914,121564,2800204,123876,63480,9389,1155573,27384,0,5807,0,27777,975,32713,1855,2174,17336,286,299632,18503,13937,174,3931,30,55,0,0,168,65,4,7625,0,515,0,41457,1338,36230
"G1901790","1860","Iowa","190","Wapello","1790","Wapello","31","1790",65477,82831,2064023,61303,44490,5533,992060,28955,0,1910,0,25200,325,25900,209,64,7141,0,155900,4561,10910,0,2385,0,0,0,0,0,5,0,0,0,0,0,30255,650,24828
"G1901810","1860","Iowa","190","Warren","1810","Warren","31","1810",47906,96930,1843000,72094,72756,450,872949,50882,0,5826,0,13757,485,29938,2156,1689,3288,11,128900,7887,9955,0,550,11,0,0,0,872,0,0,1377,0,104,0,51410,1109,30847
"G1901830","1860","Iowa","190","Washington","1830","Washington","31","1830",109863,113043,3304843,143116,164442,6242,1410420,76625,0,2680,0,18958,739,55966,1968,4819,7803,10,298188,23238,11857,131,816,25,0,0,30,101,8,0,25,0,0,0,46622,476,21453
"G1901850","1860","Iowa","190","Wayne","1850","Wayne","31","1850",41015,97071,1185586,46300,15518,2409,572164,25471,0,9956,0,13268,621,15255,493,10,9561,10,170887,5820,9601,0,2152,4,0,0,0,1407,28,0,0,0,0,0,14092,418,12555
"G1901870","1860","Iowa","190","Webster","1870","Webster","31","1870",10101,20754,257465,13122,7186,438,63466,7916,0,0,0,813,165,16649,22,110,669,0,58625,2490,4686,0,5,15,0,0,0,0,0,0,5632,0,784,0,983,113,1872
"G1901890","1860","Iowa","190","Winnebago","1890","Winnebago","31","1890",364,3579,11900,1298,632,0,3120,350,0,0,0,27,17,2225,0,10,40,0,3353,200,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1901910","1860","Iowa","190","Winneshiek","1910","Winneshiek","31","1910",66211,158557,2224697,152387,341973,1203,331676,321203,0,0,0,10286,570,80788,10,20415,192,0,320988,24843,29563,13,593,10,0,0,100,0,1,0,9859,0,444,0,2015,127,3586
"G1901930","1860","Iowa","190","Woodbury","1930","Woodbury","31","1930",2696,12194,127698,7199,3559,170,24434,2787,0,0,0,350,956,6510,0,10,30,66,6882,1500,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,560,15,520
"G1901950","1860","Iowa","190","Worth","1950","Worth","31","1950",2325,18405,120800,8232,6492,825,18667,2703,0,0,0,386,29,8641,0,319,157,0,21080,2300,2525,0,0,0,0,0,0,0,0,0,0,0,9,0,121,0,0
"G1901970","1860","Iowa","190","Wright","1970","Wright","31","1970",1685,4934,49095,3815,4520,0,7660,2967,0,0,0,98,55,3090,0,0,30,0,7690,2515,1375,0,2,0,0,0,0,10,0,0,0,0,0,0,200,0,0
"G2050015","1860","Kansas Territory","205","Allen","0015","Allen","32","10",13326,103686,260719,28654,1883,0,112479,60,0,0,0,860,29,2891,10,15,95,0,178,521,92,0,40,0,0,0,0,0,0,0,0,0,0,0,142,1,0
"G2050035","1860","Kansas Territory","205","Anderson","0035","Anderson","32","30",9894,36545,261235,11744,2222,20,102580,1963,0,0,0,25,123,5361,69,65,1174,0,5085,215,100,0,119,5,0,0,0,0,0,0,0,0,0,0,1836,17,280
"G2050075","1860","Kansas Territory","205","Atchison","0075","Atchison","32","50",27806,53383,655193,43305,8462,165,531600,7752,0,492,0,3132,0,24273,1197,715,1635,100,147992,580,6084,0,450,6,3,0,0,0,0,0,0,0,0,0,5365,74,277
"G2050095","1860","Kansas Territory","205","Bourbon","0095","Bourbon","32","110",22404,167483,452123,54274,2436,0,248952,2838,0,2195,0,3658,113,6319,261,60,756,0,11865,150,99,6,40,52,0,0,0,0,0,0,40,0,0,0,8521,55,1480
"G2050115","1860","Kansas Territory","205","Breckinridge","0115","Breckinridge","32","115",21541,62951,640355,31594,13232,0,210915,2058,0,1585,0,995,495,5653,192,0,1395,1,35650,2050,2475,0,133,100,0,0,0,0,2,0,0,0,0,0,3618,0,0
"G2050135","1860","Kansas Territory","205","Brown","0135","Brown","32","130",13648,40069,348665,25760,12662,256,211287,5343,0,1975,0,1470,227,11865,15,120,2633,0,56238,1880,3159,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,55,975
"G2050155","1860","Kansas Territory","205","Butler","0155","Butler","32","150",1631,6527,32300,3633,240,0,13660,0,0,0,0,0,23,375,15,0,178,0,4525,0,230,0,3,0,0,0,0,0,0,0,60,0,0,0,160,0,0
"G2050175","1860","Kansas Territory","205","Chase","0175","Chase","32","170",2854,12619,91820,5666,1835,45,41590,250,0,31,0,110,176,2120,59,2,424,0,9095,900,1005,0,6,0,0,0,0,0,0,0,0,0,0,0,465,40,500
"G2050195","1860","Kansas Territory","205","Clay","0195","Clay","32","270",481,2446,9200,975,156,0,8550,95,0,0,0,0,69,602,0,0,4,0,1190,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0
"G2050215","1860","Kansas Territory","205","Coffey","0215","Coffey","32","310",12206,46541,344040,22875,5771,14,158350,895,0,2125,0,127,265,7277,481,0,3050,0,32944,785,205,0,113,0,0,0,0,0,0,0,0,0,0,0,2728,17,275
"G2050255","1860","Kansas Territory","205","Davis","0255","Davis","32","610",2959,10279,95050,6810,20220,1461,55975,619,0,20,0,0,176,4244,0,51,228,0,12095,1265,900,0,0,0,0,0,0,10,0,0,0,0,0,0,812,0,0
"G2050275","1860","Kansas Territory","205","Dickinson","0275","Dickinson","32","410",423,2185,8400,1580,90,0,7300,0,0,0,0,0,3,370,0,0,0,0,2150,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2050295","1860","Kansas Territory","205","Doniphan","0295","Doniphan","32","430",20671,59870,801878,35123,26306,1120,457208,12909,0,1015,60,3017,188,26970,800,1220,1777,35,83986,986,2833,0,164,10,40,0,0,0,0,0,0,0,0,0,2679,113,5874
"G2050315","1860","Kansas Territory","205","Dorn","0315","Dorn","32","1330",34,608,375,380,0,0,200,0,0,50,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2050335","1860","Kansas Territory","205","Douglas","0335","Douglas","32","450",36905,104772,1427795,68351,23082,0,553558,14185,0,153,0,0,1560,31137,1679,297,3452,70,97495,1605,3985,0,0,0,0,0,0,0,0,0,1774,0,0,0,5687,155,125
"G2050355","1860","Kansas Territory","205","Franklin","0355","Franklin","32","590",16995,40868,578848,25778,5438,1,275780,3054,0,1055,0,1385,294,9487,464,170,1582,242,70851,3132,2278,0,368,0,0,0,0,0,0,0,0,0,0,0,4271,0,40
"G2050375","1860","Kansas Territory","205","Godfrey","0375","Godfrey","32","835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2050395","1860","Kansas Territory","205","Greenwood","0395","Greenwood","32","730",1534,6866,68200,4745,159,0,26650,0,0,525,0,151,99,1506,63,60,384,0,10250,150,655,0,16,0,0,0,0,200,5,0,0,0,0,0,474,0,0
"G2050415","1860","Kansas Territory","205","Hunter","0415","Hunter","32","845",524,1076,6700,800,600,0,4437,0,0,0,0,0,11,145,0,0,0,0,1300,0,71,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"G2050435","1860","Kansas Territory","205","Jackson","0435","Jackson","32","850",5294,18796,210900,12515,3559,0,194500,440,0,0,0,0,71,4578,0,0,894,0,23830,0,519,0,0,0,0,0,0,0,0,0,492,0,0,0,590,0,0
"G2050455","1860","Kansas Territory","205","Jefferson","0455","Jefferson","32","870",22910,53094,599705,26156,4057,0,344160,2058,0,595,0,2381,406,12489,290,170,2398,2,51131,1211,3947,0,231,8,0,0,0,0,0,0,0,0,2,0,4373,58,2107
"G2050475","1860","Kansas Territory","205","Johnson","0475","Johnson","32","910",23502,38425,603305,28415,7911,0,268010,4615,0,20,0,0,673,10652,149,350,1588,0,48860,370,3041,82,470,0,0,0,0,800,0,0,0,0,0,0,2442,7,55
"G2050495","1860","Kansas Territory","205","Leavenworth","0495","Leavenworth","32","1030",27330,65356,1247410,45182,1092,0,517600,4338,0,0,0,2008,1090,29690,1842,900,442,0,46437,10,1878,0,0,0,0,0,0,0,0,0,0,0,0,0,290,50,890
"G2050515","1860","Kansas Territory","205","Linn","0515","Linn","32","1070",29889,80120,673153,41006,7083,9,389971,6705,0,1813,1,3613,814,10872,465,226,2765,0,68597,1715,4095,8,287,0,0,0,0,0,0,40,1036,0,0,0,9643,519,2221
"G2050535","1860","Kansas Territory","205","McGhee","0535","Mcghee","32","210",3792,41648,63365,14688,1447,50,31450,965,0,1940,0,650,2,1026,250,0,93,0,360,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,0,575
"G2050555","1860","Kansas Territory","205","Madison","0555","Madison","32","1115",3975,13851,102800,6868,1538,0,46000,36,0,540,0,0,83,1334,47,0,258,0,6930,0,431,0,4,0,0,0,0,0,0,0,0,0,0,0,515,0,0
"G2050575","1860","Kansas Territory","205","Marion","0575","Marion","32","1150",80,80,2000,80,50,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2050595","1860","Kansas Territory","205","Marshall","0595","Marshall","32","1170",2332,8039,52900,2364,573,50,36250,100,0,95,0,232,226,4915,25,58,929,90,5851,320,727,0,14,0,0,0,0,0,0,0,0,0,0,0,691,0,0
"G2050615","1860","Kansas Territory","205","Miami/Lykins","0615","Miami/Lykins","32","1210",26604,66478,694635,37984,7972,0,309630,3026,0,0,0,90,353,8589,461,8,2119,5,53100,6000,3632,0,313,0,1,0,0,0,0,0,0,0,0,0,8127,0,180
"G2050635","1860","Kansas Territory","205","Morris","0635","Morris","32","1270",3908,15471,111310,5757,1481,26,48575,359,0,250,0,30,101,2344,78,0,122,0,9895,100,939,7,160,0,0,0,0,0,0,0,0,0,0,0,337,0,0
"G2050655","1860","Kansas Territory","205","Nemaha","0655","Nemaha","32","1310",8978,44064,227055,10821,4554,50,115760,1075,0,0,0,0,15,7381,0,30,957,0,21100,280,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,10,300
"G2050695","1860","Kansas Territory","205","Osage","0695","Osage","32","1390",4630,19775,133130,12449,1190,0,75470,463,0,730,0,0,280,4897,0,3,2306,6,14555,310,902,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,0,0
"G2050715","1860","Kansas Territory","205","Otoe","0715","Otoe","32","1415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2050735","1860","Kansas Territory","205","Pottawatomie","0735","Pottawatomie","32","1490",8877,38456,231475,22926,3982,50,152190,865,0,325,0,78,435,9821,221,45,967,0,38960,400,2364,0,0,0,0,0,0,125,3,0,0,0,0,0,3512,0,0
"G2050755","1860","Kansas Territory","205","Riley","0755","Riley","32","1610",3832,11523,161300,9586,1294,25,85310,3273,0,0,0,0,169,4753,42,0,482,27,11135,810,1057,0,18,1,0,0,0,0,1,0,340,0,0,0,1040,0,0
"G2050795","1860","Kansas Territory","205","Shawnee","0795","Shawnee","32","1770",10652,39758,511700,37070,14483,120,304195,4430,0,100,0,0,763,20375,530,0,4341,0,59511,1300,3217,0,0,0,0,0,0,0,0,0,0,0,0,0,6768,0,0
"G2050815","1860","Kansas Territory","205","Wabaunsee","0815","Wabaunsee","32","1970",6829,35989,234250,16460,5624,371,86590,1151,0,2200,0,500,245,10380,189,151,1007,5,28500,1840,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,5083,0,100
"G2050835","1860","Kansas Territory","205","Washington","0835","Washington","32","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2050855","1860","Kansas Territory","205","Wilson","0855","Wilson","32","2050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2050875","1860","Kansas Territory","205","Woodson","0875","Woodson","32","2070",2917,12169,115500,8005,1464,0,40315,260,0,520,0,234,170,2354,61,0,805,0,13292,160,1182,0,69,15,0,0,0,0,0,0,0,0,0,0,1373,10,540
"G2052090","1860","Kansas Territory","205","Wyandotte","2090","Wyandotte","32","2090",3301,11066,199450,17315,25,0,83380,2145,0,0,0,0,80,9285,10,0,335,0,8564,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"G2100010","1860","Kentucky","210","Adair","0010","Adair","51","10",58132,102239,1062283,49908,29513,1391,413205,24195,0,767395,0,15471,17552,11282,16341,0,3,13,112540,1070,792,2,150,0,0,9,205,7867,569,16,4526,0,3776,0,3462,402,10637
"G2100030","1860","Kentucky","210","Allen","0030","Allen","51","30",58096,106013,1414413,57391,29948,355,450228,32109,0,977491,0,16024,1291,9546,13692,0,13,0,88932,222,410,3,504,10,1,0,72,3911,102,0,4788,0,2490,0,30,453,12606
"G2100050","1860","Kentucky","210","Anderson","0050","Anderson","51","50",63842,41328,1798182,52116,55647,27415,510505,36864,0,36361,0,18972,2665,9372,2797,468,137,1,115558,847,1167,0,351,20,0,0,0,4752,731,0,556,0,1517,0,972,309,13358
"G2100070","1860","Kentucky","210","Ballard","0070","Ballard","51","70",44922,117550,2236281,65438,53048,714,525260,3002,0,1817792,0,7469,3060,10936,13721,0,10,0,102532,30,714,1,34,0,0,0,0,1210,17,0,0,0,0,0,922,298,10702
"G2100090","1860","Kentucky","210","Barren","0090","Barren","51","90",114150,172441,2590583,126031,74612,7074,793806,66730,0,2230002,0,55336,2060,17719,23404,5,10,233,164443,704,1453,1,317,27,0,0,470,13060,753,140,3852,0,9930,0,739,744,15935
"G2100110","1860","Kentucky","210","Bath","0110","Bath","51","110",125894,84307,3694743,75154,94703,26515,1146696,129594,0,4542,0,32237,3221,23788,4845,100,160,30,190327,1425,1710,0,0,0,8,0,13,2270,47,0,255,0,198,0,3503,43,13183
"G2100150","1860","Kentucky","210","Boone","0150","Boone","51","150",94210,54684,6386165,114808,139297,44010,917750,45929,0,569649,0,38094,240,34905,7562,2950,142,5508,196962,360,3470,0,35,0,0,0,0,165,8,0,4690,0,2743,0,555,60,12410
"G2100170","1860","Kentucky","210","Bourbon","0170","Bourbon","51","170",176916,0,13036380,142240,293269,20234,1364285,183129,0,860,0,78986,1509,22667,3515,2546,340,246,220190,4095,4668,0,7359,22,836,10,0,300,6,0,0,0,37,0,0,99,24805
