GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AGP001,AGP002,AGV001,AGV002,AGY001,AGY002,AGY003,AGY004,AGY005,AGY006,AGY007,AGY008,AGY009,AGY010,AGY011,AGY012,AGY013,AGY014,AGY015,AGY016,AGY017,AGY018,AGY019,AGY020,AGY021,AGY022,AGY023,AGY024,AGY025,AGY026,AGY027,AGY028,AGY029,AGY030,AGY031,AGY032,AGY033
"G0100630","1860","Alabama","010","Greene","0630","Greene","41","630",277462,282682,9176802,259471,22033,2725,1311535,17743,180,20,57858,27568,60613,11218,194469,140,0,1090,151520,0,2753,24,240,0,0,0,0,0,0,0,0,0,0,0,0,1577,15683
"G0100670","1860","Alabama","010","Henry","0670","Henry","41","670",101993,266582,2154860,99118,1790,1350,421618,4241,9031,270,13034,7082,58930,3224,138025,15,0,227,65644,100,4,0,0,0,0,0,0,0,0,0,0,1,0,23634,0,1663,30875
"G0100710","1860","Alabama","010","Jackson","0710","Jackson","41","710",104860,228582,3121085,98255,26458,788,1050716,8510,0,10207,2713,20323,12267,14730,47085,201,0,12,141914,891,155,5,41,0,0,0,0,0,5,0,122,44,0,2067,0,3392,43190
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson","41","730",75121,216547,1219865,95261,51032,267,586785,2787,0,9192,4940,12691,26405,7163,52995,0,0,0,147447,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2047,20413
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale","41","770",139446,287234,4554063,154512,38751,3328,646603,30569,80,3525,11050,17354,15362,14026,36252,0,6,148,102881,130,2379,7,84,10,0,0,0,0,0,0,0,0,0,0,5280,435,8415
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence","41","790",142726,201467,2996285,91730,17817,4104,659666,13301,0,247,15434,12507,16783,9515,29967,68,0,0,85948,0,2483,8,0,0,0,0,0,0,0,0,0,20,0,0,694,557,8092
"G0100830","1860","Alabama","010","Limestone","0830","Limestone","41","830",120047,147139,3592495,114529,20317,4023,585785,9555,25,4372,15115,13311,8458,10133,26454,14,0,106,93503,142,3222,0,0,38,0,0,0,33,20,315,0,0,0,0,1061,688,6313
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes","41","850",239667,273238,9040470,405489,9096,1563,1288722,45122,16743,28,53664,16327,24767,13453,174632,260,0,299,126526,0,5539,0,0,0,0,0,0,0,0,0,0,0,0,245,0,2284,28855
"G0100870","1860","Alabama","010","Macon","0870","Macon","41","870",224419,221073,5825099,152394,23728,1679,972723,27264,6355,60,41119,5552,82861,11895,241610,148,0,865,155232,0,2612,4,20,1,0,0,0,0,0,0,0,0,0,783,0,823,92719
"G0100890","1860","Alabama","010","Madison","0890","Madison","41","890",214509,192734,6078806,184277,43613,7746,988396,44587,260,6711,22119,16725,33595,21127,69627,0,0,472,170114,60,5641,0,88,16,0,0,0,12,0,0,53,0,0,235,6213,1962,22341
"G0100910","1860","Alabama","010","Marengo","0910","Marengo","41","910",244821,334102,10291862,301473,4495,1583,1384616,13970,31689,200,62428,22929,22945,6014,208836,105,150,124,162827,187,2491,5,13,15,0,0,0,0,0,0,0,0,0,40,0,3353,28483
"G0100930","1860","Alabama","010","Marion","0930","Marion","41","930",38912,323869,729765,85834,25224,1196,359018,1955,2070,12960,4285,13520,27602,4997,53574,30,0,60,168302,647,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,2867,1763,24275
"G0100950","1860","Alabama","010","Marshall","0950","Marshall","41","950",56400,124199,1372766,71393,20429,859,462446,6780,120,3775,4931,10819,6155,9040,43281,0,0,0,99032,113,288,55,8,0,0,0,0,0,0,0,0,0,0,0,9919,663,11282
"G0100970","1860","Alabama","010","Mobile","0970","Mobile","41","970",10399,130400,1186763,40758,0,0,70412,2325,58439,30,440,8671,4755,15132,10881,0,20,560,12064,388,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,6220
"G0100990","1860","Alabama","010","Monroe","0990","Monroe","41","990",98408,253367,2672000,144549,277,400,496455,818,8111,40,18226,9190,23226,3556,118017,0,0,143,51472,50,16,0,20,10,0,0,0,0,0,0,0,0,0,560,0,3607,29115
"G0101010","1860","Alabama","010","Montgomery","1010","Montgomery","41","1010",257602,295511,9883964,326229,6317,1262,1586480,33476,5054,476,58880,18448,32206,11839,23394,1134,175,319,163798,400,469,0,1,0,0,0,0,0,0,0,0,0,0,80,0,949,10662
"G0101030","1860","Alabama","010","Morgan","1030","Morgan","41","1030",82412,158641,1441974,77076,16240,1422,447851,6885,1440,7145,6326,13695,14892,9930,36686,2753,0,231,100199,110,1001,1,2,12,0,0,0,0,0,0,0,0,0,5418,0,1100,13246
"G0101050","1860","Alabama","010","Perry","1050","Perry","41","1050",194562,227089,7275412,276479,12540,1012,1074257,16239,8580,605,44603,17124,16314,4458,179145,824,11,529,148932,0,48,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2987,35931
"G0101070","1860","Alabama","010","Pickens","1070","Pickens","41","1070",174131,328873,4016618,263403,36907,1275,884229,1283,0,0,29843,16594,41970,4593,166204,15,15,343,157503,0,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760,31196
"G0101090","1860","Alabama","010","Pike","1090","Pike","41","1090",167085,354822,3744687,165763,3153,960,823752,13199,25150,185,24527,8730,79493,4143,243079,13,0,10,130026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,236,1891,40816
"G0101110","1860","Alabama","010","Randolph","1110","Randolph","41","1110",100323,333502,1950170,105930,63080,759,560133,24973,3031,18391,6427,16671,24054,7183,114802,256,147,71,222375,315,1,0,0,15,0,0,0,20,1,0,0,0,0,565,0,2903,30650
"G0101130","1860","Alabama","010","Russell","1130","Russell","41","1130",230121,214407,4959649,208958,18911,660,776955,22087,4140,1275,38728,7510,69361,8417,227303,118,2,963,138915,0,7545,0,0,807,0,0,0,0,0,0,0,0,0,1851,625,1166,21015
"G0101150","1860","Alabama","010","St Clair","1150","St Clair","41","1150",60460,237725,1370662,75371,38660,461,371527,4294,6,9821,4189,9757,7020,5544,45924,0,0,0,144132,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,865,1085,10128
"G0101170","1860","Alabama","010","Shelby","1170","Shelby","41","1170",72154,193588,1401230,82123,37448,1283,378660,11854,300,2574,6463,8258,15142,10742,56913,71,35,42,116947,0,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,80,13000,18501
"G0101190","1860","Alabama","010","Sumter","1190","Sumter","41","1190",189014,208798,5303979,248997,8802,1944,996490,10469,1460,0,36584,20215,42699,10398,122559,355,2,1124,115431,240,130,75,0,0,0,0,0,0,0,0,0,0,0,0,140,1408,18764
"G0101210","1860","Alabama","010","Talladega","1210","Talladega","41","1210",139892,310014,3111205,184704,81559,2465,755173,64082,62,2578,18243,12660,27068,11973,89954,3383,0,20,187921,0,33,0,0,2,0,0,0,1,5,0,0,0,0,0,522,720,7824
"G0101230","1860","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",153332,301859,3256377,198236,59031,563,635220,10835,492,2844,17399,14889,46465,4724,125144,31,0,29,132175,0,2723,0,0,0,0,0,0,0,0,0,0,0,0,0,437,2647,56345
"G0101250","1860","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",151420,469085,5925157,260551,25458,3019,859928,24480,36899,1941,26035,19076,43965,12775,150271,104,52,1341,284758,453,4818,2,0,0,0,0,0,0,0,0,40,11,0,0,398,5313,52099
"G0101270","1860","Alabama","010","Walker","1270","Walker","41","1270",31467,198567,613820,57797,12085,695,249274,1051,74,6631,2766,7889,16493,2447,38415,36,5,0,46515,170,1,0,0,0,0,0,0,25,0,0,0,0,0,0,1480,1025,12142
"G0101290","1860","Alabama","010","Washington","1290","Washington","41","1290",16987,107552,791710,23920,0,0,132745,0,0,0,3449,2020,770,0,42033,0,0,2311,23555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,100
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox","41","1310",179143,337886,7311117,233165,3278,727,1011359,9681,71534,0,48749,16249,20088,9378,206106,3026,0,714,109362,100,1439,40,0,5,0,0,0,0,0,0,0,0,0,400,0,2939,31169
"G0101330","1860","Alabama","010","Winston","1330","Winston","41","1330",12329,72663,231261,21184,3529,709,88808,483,687,7629,352,2836,7954,3385,15090,20,2,0,16511,50,0,0,6,1,0,0,0,15,2,0,0,0,0,0,2539,285,3048
"G0500010","1860","Arkansas","050","Arkansas","0010","Arkansas","42","10",45493,288767,5498395,175999,1353,107,364632,1830,0,545,20178,3028,16489,11084,44949,0,0,0,80486,225,1375,0,5,0,0,0,0,0,0,0,0,0,0,0,26,361,10048
"G0500030","1860","Arkansas","050","Ashley","0030","Ashley","42","30",44225,209953,2532356,126402,2174,173,282559,2380,0,50,9435,4529,21544,8213,67893,0,0,50,83350,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,40,240,3370
"G0500070","1860","Arkansas","050","Benton","0070","Benton","42","70",41183,150019,1411920,70544,76791,6356,426495,35449,0,37725,0,17149,146,10858,10437,0,110,0,77191,531,173,0,386,50,0,0,75,153,2,0,0,0,0,0,10484,239,6089
"G0500110","1860","Arkansas","050","Bradley","0110","Bradley","42","110",46906,208115,2084198,109668,16825,663,304172,3629,825,2208,7921,9148,37767,7029,77406,10,0,15,123683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,909,11129
"G0500130","1860","Arkansas","050","Calhoun","0130","Calhoun","42","130",19641,52895,499136,30647,1840,41,139475,1083,0,70,3672,4391,993,1552,23312,0,0,0,27939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,337,6377
"G0500150","1860","Arkansas","050","Carroll","0150","Carroll","42","150",39742,69624,836970,62775,52770,19960,531669,39630,0,27750,7,18640,92,12069,14635,0,0,0,159194,145,17,0,61,0,0,0,0,305,54,1,46,0,0,0,17350,632,38816
"G0500170","1860","Arkansas","050","Chicot","0170","Chicot","42","170",66423,155071,4399554,234555,50,0,329941,0,9000,0,40948,4701,4633,11430,43076,0,0,0,40008,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,2815
"G0500190","1860","Arkansas","050","Clark","0190","Clark","42","190",37564,161270,1254607,65452,8405,219,360797,2444,360,2279,7203,7552,9364,6811,47983,30,0,0,41903,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,1354,18978
"G0500270","1860","Arkansas","050","Columbia","0270","Columbia","42","270",87446,332785,2041073,156534,26182,1944,456360,11622,555,1605,13911,10902,42324,7026,116771,50,0,0,27498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,170,1525
"G0500290","1860","Arkansas","050","Conway","0290","Conway","42","290",21747,121016,923263,33470,11643,866,265119,3858,0,34917,3181,8725,5644,8639,16912,0,0,0,44903,425,54,0,10,0,0,0,0,10,0,0,0,0,0,0,306,762,10284
"G0500310","1860","Arkansas","050","Craighead","0310","Craighead","42","310",8879,38831,268982,16589,3700,89,91375,1083,0,1343,318,1911,700,2239,7264,0,0,0,18433,40,0,0,2,0,0,0,0,25,2,0,0,0,0,0,1521,389,7330
"G0500330","1860","Arkansas","050","Crawford","0330","Crawford","42","330",21568,40252,615073,50663,22452,481,238380,12000,0,2040,198,5473,290,7214,12908,840,0,20,36820,825,305,0,14,0,0,0,0,20,0,0,0,0,0,0,438,610,9975
"G0500350","1860","Arkansas","050","Crittenden","0350","Crittenden","42","350",19897,88011,2408415,51871,1785,25,211700,150,0,0,4675,467,1854,5123,7181,200,125,15,26130,0,112,5,4,0,0,0,0,0,0,0,0,0,0,0,0,242,2715
"G0500390","1860","Arkansas","050","Dallas","0390","Dallas","42","390",50786,201105,1530234,75500,16247,1341,287691,1939,0,335,9229,5985,8665,2997,59997,0,0,0,63600,0,967,0,11,0,0,0,0,25,1,0,0,0,0,0,41,1221,13833
"G0500410","1860","Arkansas","050","Desha","0410","Desha","42","410",42264,125800,4098240,128064,1091,0,239923,325,0,0,12261,2302,9806,5575,24021,0,0,0,56374,10,119,0,60,0,0,0,0,0,0,0,0,0,0,0,0,365,3635
"G0500430","1860","Arkansas","050","Drew","0430","Drew","42","430",44858,320868,1062123,67024,11479,1251,317287,2052,1050,7740,9204,5576,21844,7405,75232,56,51,18,86359,258,2,0,104,20,0,0,0,0,0,0,0,0,0,0,241,222,3977
"G0500470","1860","Arkansas","050","Franklin","0470","Franklin","42","470",33033,89039,1030882,42288,23157,1349,401995,14252,0,9115,2528,9568,6310,13709,16760,45,58,0,112511,432,133,0,76,0,0,0,0,0,0,0,0,0,0,0,1033,1190,39892
"G0500490","1860","Arkansas","050","Fulton","0490","Fulton","42","490",15065,91023,466340,25268,19840,484,234288,4408,0,41750,3,6343,2931,6008,7404,0,5,0,50455,1112,8,0,13,0,0,0,0,341,24,0,0,0,0,0,8228,238,5455
"G0500550","1860","Arkansas","050","Greene","0550","Greene","42","550",14908,90815,575574,45666,12033,94,287090,917,250,144767,275,5731,1320,7519,19000,0,0,2,66519,325,0,0,45,0,0,0,0,0,0,4,130,0,4,0,8413,716,10212
"G0500570","1860","Arkansas","050","Hempstead","0570","Hempstead","42","570",65548,211138,3029418,156522,19933,1656,563093,19658,47,1019,16548,15174,26466,9281,61199,3,0,0,110407,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674,16185
"G0500590","1860","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",25400,139691,797525,64013,17082,696,272385,5557,100,14515,1793,6157,13499,5888,33273,0,1,0,112600,100,0,0,13,0,0,0,0,0,0,0,0,0,0,0,219,515,7707
"G0500630","1860","Arkansas","050","Independence","0630","Independence","42","630",51769,183946,1695951,107267,52650,1259,604470,22969,0,85990,2120,19656,6196,16978,29300,2,23,30,203389,687,435,37,48,0,0,0,0,450,2,0,45,0,0,0,5367,2157,33294
"G0500650","1860","Arkansas","050","Izard","0650","Izard","42","650",28945,148932,750076,32496,29462,1418,365072,12975,0,199774,184,10239,1768,7031,13435,40,0,0,81510,1762,97,0,1,0,0,0,1,210,3,0,0,0,0,0,7095,916,12402
"G0500670","1860","Arkansas","050","Jackson","0670","Jackson","42","670",40597,108028,2063231,93719,1344,211,332165,820,0,8,10483,613,529,2677,4999,0,0,0,4355,182,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,175,324
"G0500690","1860","Arkansas","050","Jefferson","0690","Jefferson","42","690",65387,230833,6952596,276942,3364,157,490765,1585,2980,2627,28586,9130,13857,14145,53349,0,0,66,81573,100,448,0,77,6,0,0,0,20,1,0,0,0,0,0,63,585,12762
"G0500710","1860","Arkansas","050","Johnson","0710","Johnson","42","710",32569,118875,947405,155482,23202,1079,387293,21358,10,30306,1560,10318,3514,11535,18302,301,0,0,115537,162,57,0,22,0,0,0,0,160,2,0,0,0,0,0,2909,2922,55773
"G0500730","1860","Arkansas","050","Lafayette","0730","Lafayette","42","730",47390,137965,2356283,70945,3059,108,310430,742,75,250,17653,2415,2655,2651,32604,0,0,0,50357,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,58,2512
"G0500750","1860","Arkansas","050","Lawrence","0750","Lawrence","42","750",44795,177199,1089470,72614,36641,257,480266,9431,0,27500,770,17808,54,4346,13935,0,0,0,158543,1074,87,0,0,0,0,0,0,0,0,0,0,0,0,0,5698,38,6925
"G0500870","1860","Arkansas","050","Madison","0870","Madison","42","870",34558,63187,757783,59917,33038,4499,439663,15429,15,39870,1,14338,1970,13041,8265,75,0,0,97466,750,167,0,40,0,0,0,200,1038,25,0,1907,0,111,0,7746,3399,57043
"G0500890","1860","Arkansas","050","Marion","0890","Marion","42","890",19436,55205,462956,33379,36506,3065,292158,13825,0,35967,21063,8787,3834,7730,3900,250,0,0,118803,1196,66,0,156,0,0,0,0,160,0,0,205,0,0,0,6547,889,10274
"G0500930","1860","Arkansas","050","Mississippi","0930","Mississippi","42","930",17584,165602,1741201,22829,105,120,282450,0,0,500,1244,870,1175,6404,6580,0,10,0,82508,54,391,0,0,0,0,0,0,0,0,0,0,0,0,0,405,2081,32303
"G0500950","1860","Arkansas","050","Monroe","0950","Monroe","42","950",25284,94343,1458212,54438,1446,0,189988,320,0,1245,7137,1028,10120,5828,22315,0,0,27,35841,0,9,0,5,11,1,0,0,0,0,0,0,0,0,0,0,95,1331
"G0500970","1860","Arkansas","050","Montgomery","0970","Montgomery","42","970",15703,18019,294250,30635,9103,205,179642,5138,0,8576,302,4977,1652,4856,12915,15,4,0,39579,380,3,0,0,2,0,0,0,0,0,0,0,0,0,0,817,2252,11686
